symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HUMA,2023-07-17 11:00:00+00:00,3.04,3.04,3.04,3.04,300.0,1.0,3.04
HUMA,2023-07-17 12:00:00+00:00,2.97,2.97,2.97,2.97,3000.0,2.0,2.97
HUMA,2023-07-17 13:00:00+00:00,3.02,3.12,2.99,3.11,31154.0,207.0,3.043421
HUMA,2023-07-17 14:00:00+00:00,3.12,3.12,3.055,3.075,32406.0,280.0,3.073386
HUMA,2023-07-17 15:00:00+00:00,3.08,3.08,3.045,3.08,29398.0,210.0,3.062658
HUMA,2023-07-17 16:00:00+00:00,3.08,3.09,3.07,3.085,9842.0,101.0,3.079222
HUMA,2023-07-17 17:00:00+00:00,3.085,3.1,3.08,3.09,30053.0,193.0,3.089272
HUMA,2023-07-17 18:00:00+00:00,3.09,3.11,3.0791,3.0791,12966.0,151.0,3.090944
HUMA,2023-07-17 19:00:00+00:00,3.08,3.1,3.065,3.07,36648.0,543.0,3.085512
HUMA,2023-07-17 20:00:00+00:00,3.08,3.08,3.08,3.08,18673.0,2.0,3.08
HUMA,2023-07-18 13:00:00+00:00,3.08,3.2,3.04,3.2,51095.0,191.0,3.141829
HUMA,2023-07-18 14:00:00+00:00,3.19,3.21,3.125,3.18,57237.0,340.0,3.167848
HUMA,2023-07-18 15:00:00+00:00,3.18,3.19,3.13,3.1501,18275.0,169.0,3.155647
HUMA,2023-07-18 16:00:00+00:00,3.16,3.175,3.145,3.15,13243.0,165.0,3.156337
HUMA,2023-07-18 17:00:00+00:00,3.15,3.19,3.125,3.1675,60795.0,325.0,3.158055
HUMA,2023-07-18 18:00:00+00:00,3.17,3.2,3.16,3.195,20191.0,204.0,3.178424
HUMA,2023-07-18 19:00:00+00:00,3.195,3.2,3.15,3.16,51498.0,528.0,3.17414
HUMA,2023-07-18 20:00:00+00:00,3.16,3.16,3.16,3.16,22127.0,1.0,3.16
HUMA,2023-07-19 12:00:00+00:00,3.26,3.26,3.26,3.26,1000.0,1.0,3.26
HUMA,2023-07-19 13:00:00+00:00,3.17,3.22,3.15,3.15,38131.0,170.0,3.16529
HUMA,2023-07-19 14:00:00+00:00,3.1515,3.21,3.15,3.174,22151.0,223.0,3.181786
HUMA,2023-07-19 15:00:00+00:00,3.17,3.21,3.15,3.2,28541.0,237.0,3.173094
HUMA,2023-07-19 16:00:00+00:00,3.2,3.21,3.15,3.175,52233.0,310.0,3.173254
HUMA,2023-07-19 17:00:00+00:00,3.17,3.18,3.14,3.14,14463.0,171.0,3.1519
HUMA,2023-07-19 18:00:00+00:00,3.14,3.15,3.12,3.14,18271.0,184.0,3.135708
