symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HVT,2023-07-17 13:00:00+00:00,33.0,33.48,33.0,33.4699,5088.0,88.0,33.208783
HVT,2023-07-17 14:00:00+00:00,33.375,33.69,33.28,33.585,9608.0,250.0,33.448401
HVT,2023-07-17 15:00:00+00:00,33.53,33.69,33.53,33.55,5828.0,180.0,33.645888
HVT,2023-07-17 16:00:00+00:00,33.56,33.56,33.18,33.18,11155.0,286.0,33.39083
HVT,2023-07-17 17:00:00+00:00,33.235,33.5,33.18,33.435,5342.0,123.0,33.308889
HVT,2023-07-17 18:00:00+00:00,33.44,33.56,33.42,33.42,8558.0,281.0,33.462247
HVT,2023-07-17 19:00:00+00:00,33.41,33.41,33.12,33.12,30985.0,1143.0,33.250015
HVT,2023-07-17 20:00:00+00:00,33.12,33.12,33.12,33.12,16171.0,6.0,33.12
HVT,2023-07-18 13:00:00+00:00,33.24,34.01,33.24,34.0,8525.0,155.0,33.879321
HVT,2023-07-18 14:00:00+00:00,34.11,34.12,33.77,33.84,7482.0,280.0,33.907986
HVT,2023-07-18 15:00:00+00:00,33.8,33.9016,33.78,33.86,4195.0,146.0,33.818157
HVT,2023-07-18 16:00:00+00:00,33.905,33.905,33.77,33.77,4081.0,90.0,33.832697
HVT,2023-07-18 17:00:00+00:00,33.82,33.83,33.65,33.6901,3606.0,96.0,33.720124
HVT,2023-07-18 18:00:00+00:00,33.72,33.79,33.72,33.775,1627.0,63.0,33.770288
HVT,2023-07-18 19:00:00+00:00,33.79,33.824,33.7,33.79,14743.0,455.0,33.760319
HVT,2023-07-18 20:00:00+00:00,33.75,33.75,33.75,33.75,9064.0,5.0,33.75
HVT,2023-07-19 13:00:00+00:00,33.78,34.0,33.63,33.99,4308.0,64.0,33.775844
HVT,2023-07-19 14:00:00+00:00,34.0,34.38,33.9201,34.38,9537.0,211.0,34.132727
HVT,2023-07-19 15:00:00+00:00,34.46,34.46,33.99,34.035,11073.0,311.0,34.144837
HVT,2023-07-19 16:00:00+00:00,34.08,34.39,34.07,34.295,3605.0,90.0,34.150011
HVT,2023-07-19 17:00:00+00:00,34.27,34.35,34.26,34.28,5300.0,145.0,34.291709
HVT,2023-07-19 18:00:00+00:00,34.29,34.325,34.23,34.255,5196.0,128.0,34.280416
HVT,2023-07-19 19:00:00+00:00,34.28,34.325,34.19,34.26,21780.0,908.0,34.254064
HVT,2023-07-19 20:00:00+00:00,34.26,34.28,34.26,34.28,13848.0,6.0,34.279558
HVT,2023-07-20 13:00:00+00:00,34.4,34.4,34.16,34.16,1169.0,15.0,34.299217
HVT,2023-07-20 14:00:00+00:00,34.16,34.16,33.8,33.91,4676.0,136.0,33.9725
HVT,2023-07-20 15:00:00+00:00,33.98,34.2,33.98,34.2,3409.0,80.0,34.076936
HVT,2023-07-20 16:00:00+00:00,34.11,34.3,34.1,34.3,3065.0,67.0,34.2197
HVT,2023-07-20 17:00:00+00:00,34.25,34.32,34.04,34.1,4614.0,119.0,34.206614
HVT,2023-07-20 18:00:00+00:00,34.11,34.23,34.07,34.23,5971.0,156.0,34.151335
HVT,2023-07-20 19:00:00+00:00,34.21,34.3,34.13,34.29,13029.0,471.0,34.226887
HVT,2023-07-20 20:00:00+00:00,34.28,34.28,34.28,34.28,10933.0,4.0,34.28
HVT,2023-07-21 13:00:00+00:00,34.5,34.5,33.875,33.89,8579.0,45.0,34.429741
HVT,2023-07-21 14:00:00+00:00,34.05,34.12,33.91,33.925,2384.0,73.0,33.997382
HVT,2023-07-21 15:00:00+00:00,33.92,34.18,33.77,34.11,8503.0,249.0,34.006967
HVT,2023-07-21 16:00:00+00:00,34.125,34.125,34.03,34.11,2816.0,79.0,34.08705
HVT,2023-07-21 17:00:00+00:00,34.15,34.16,34.14,34.14,1551.0,46.0,34.154046
HVT,2023-07-21 18:00:00+00:00,34.11,34.11,33.93,34.01,2214.0,89.0,34.015482
HVT,2023-07-21 19:00:00+00:00,33.99,34.06,33.94,34.03,28228.0,747.0,34.002893
HVT,2023-07-21 20:00:00+00:00,34.03,34.03,34.03,34.03,12130.0,4.0,34.03
HVT,2023-07-24 13:00:00+00:00,34.11,34.5,34.07,34.44,3981.0,38.0,34.145245
HVT,2023-07-24 14:00:00+00:00,34.2,34.2001,33.98,34.05,7403.0,141.0,34.122455
HVT,2023-07-24 15:00:00+00:00,34.06,34.15,33.98,34.13,2558.0,68.0,34.056958
HVT,2023-07-24 16:00:00+00:00,34.15,34.26,34.09,34.26,2575.0,77.0,34.158184
HVT,2023-07-24 17:00:00+00:00,34.34,34.44,34.34,34.39,2185.0,85.0,34.396233
HVT,2023-07-24 18:00:00+00:00,34.4,34.4509,34.325,34.34,2705.0,75.0,34.397478
HVT,2023-07-24 19:00:00+00:00,34.29,34.3199,34.07,34.14,12511.0,433.0,34.167707
HVT,2023-07-24 20:00:00+00:00,34.11,34.11,34.11,34.11,8086.0,9.0,34.11
HVT,2023-07-25 13:00:00+00:00,33.95,34.32,33.95,34.11,3450.0,48.0,34.108163
HVT,2023-07-25 14:00:00+00:00,34.3,34.57,34.16,34.385,17762.0,324.0,34.282919
HVT,2023-07-25 15:00:00+00:00,34.34,34.415,34.235,34.375,7805.0,171.0,34.322021
HVT,2023-07-25 16:00:00+00:00,34.3555,34.44,34.3555,34.43,1957.0,61.0,34.4102
HVT,2023-07-25 17:00:00+00:00,34.4275,34.51,34.4,34.5,4494.0,151.0,34.458492
HVT,2023-07-25 18:00:00+00:00,34.4956,34.57,34.35,34.35,3770.0,110.0,34.499044
HVT,2023-07-25 19:00:00+00:00,34.42,34.46,34.2,34.21,10180.0,452.0,34.312207
HVT,2023-07-25 20:00:00+00:00,34.2,34.2,34.2,34.2,86480.0,4.0,34.2
HVT,2023-07-26 13:00:00+00:00,34.2,34.9,34.2,34.555,3712.0,79.0,34.496227
HVT,2023-07-26 14:00:00+00:00,34.35,34.7,34.35,34.56,4955.0,140.0,34.548222
HVT,2023-07-26 15:00:00+00:00,34.56,34.58,34.42,34.44,2896.0,95.0,34.499783
HVT,2023-07-26 16:00:00+00:00,34.43,34.43,34.34,34.38,1853.0,44.0,34.396641
HVT,2023-07-26 17:00:00+00:00,34.38,34.39,34.05,34.05,7123.0,157.0,34.235708
HVT,2023-07-26 18:00:00+00:00,34.115,34.49,34.115,34.49,6410.0,237.0,34.259035
HVT,2023-07-26 19:00:00+00:00,34.48,34.55,34.41,34.5,18481.0,622.0,34.472038
HVT,2023-07-26 20:00:00+00:00,34.48,34.48,34.48,34.48,68830.0,5.0,34.48
HVT,2023-07-27 13:00:00+00:00,34.65,34.68,34.65,34.65,2847.0,43.0,34.655465
HVT,2023-07-27 14:00:00+00:00,34.79,34.98,34.65,34.82,6716.0,172.0,34.805073
HVT,2023-07-27 15:00:00+00:00,34.7,34.72,34.61,34.65,3788.0,107.0,34.67602
HVT,2023-07-27 16:00:00+00:00,34.68,34.95,34.68,34.88,3368.0,94.0,34.803545
HVT,2023-07-27 17:00:00+00:00,34.88,34.88,34.5,34.61,4549.0,149.0,34.718268
