symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HWC,2023-07-17 13:00:00+00:00,41.29,41.83,41.29,41.83,15758.0,360.0,41.516834
HWC,2023-07-17 14:00:00+00:00,41.775,42.245,41.76,42.24,37045.0,1202.0,41.962309
HWC,2023-07-17 15:00:00+00:00,42.19,42.56,42.16,42.47,20365.0,737.0,42.329929
HWC,2023-07-17 16:00:00+00:00,42.42,42.58,42.33,42.36,27653.0,1142.0,42.436633
HWC,2023-07-17 17:00:00+00:00,42.36,42.51,42.36,42.3898,24049.0,905.0,42.438031
HWC,2023-07-17 18:00:00+00:00,42.385,42.66,42.385,42.4,34214.0,1102.0,42.539239
HWC,2023-07-17 19:00:00+00:00,42.4,42.42,42.22,42.33,112885.0,2904.0,42.312196
HWC,2023-07-17 20:00:00+00:00,42.34,42.34,42.34,42.34,63656.0,20.0,42.34
HWC,2023-07-18 12:00:00+00:00,42.34,42.34,42.34,42.34,100.0,1.0,42.34
HWC,2023-07-18 13:00:00+00:00,42.34,43.3,42.34,43.275,36421.0,655.0,43.019685
HWC,2023-07-18 14:00:00+00:00,43.33,43.455,42.97,43.09,113561.0,2344.0,43.198544
HWC,2023-07-18 15:00:00+00:00,43.14,43.39,43.0,43.17,110283.0,2321.0,43.22124
HWC,2023-07-18 16:00:00+00:00,43.14,43.425,43.09,43.32,21432.0,617.0,43.306594
HWC,2023-07-18 17:00:00+00:00,43.35,43.54,43.29,43.3704,27623.0,706.0,43.431526
HWC,2023-07-18 18:00:00+00:00,43.34,43.7,43.34,43.55,25971.0,693.0,43.549056
HWC,2023-07-18 19:00:00+00:00,43.6,43.73,43.3,43.45,223328.0,4152.0,43.494202
HWC,2023-07-18 20:00:00+00:00,43.45,43.45,43.35,43.45,106970.0,33.0,43.449911
HWC,2023-07-19 13:00:00+00:00,40.89,42.37,39.01,42.1949,532973.0,4409.0,40.835619
HWC,2023-07-19 14:00:00+00:00,42.33,42.81,41.62,42.42,373408.0,5183.0,42.283426
HWC,2023-07-19 15:00:00+00:00,42.42,43.1,42.29,42.88,239287.0,2859.0,42.72107
HWC,2023-07-19 16:00:00+00:00,42.87,43.615,42.86,43.6,120588.0,2132.0,43.114209
HWC,2023-07-19 17:00:00+00:00,43.52,43.62,43.07,43.5393,118647.0,2132.0,43.397006
HWC,2023-07-19 18:00:00+00:00,43.55,44.32,43.4,44.14,213685.0,3864.0,43.883351
HWC,2023-07-19 19:00:00+00:00,44.165,44.49,43.63,44.44,562188.0,10351.0,44.223142
HWC,2023-07-19 20:00:00+00:00,44.44,44.44,44.44,44.44,157410.0,8.0,44.44
HWC,2023-07-20 13:00:00+00:00,44.54,44.69,43.37,43.56,58751.0,1182.0,43.914785
