symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HYDW,2023-07-17 13:00:00+00:00,45.147,45.147,45.147,45.147,2350.0,1.0,45.147
HYDW,2023-07-17 14:00:00+00:00,45.25,45.25,45.25,45.25,244.0,1.0,45.25
HYDW,2023-07-17 15:00:00+00:00,45.2201,45.27,45.2201,45.27,664.0,5.0,45.229765
HYDW,2023-07-17 17:00:00+00:00,45.2777,45.28,45.2641,45.28,1411.0,6.0,45.27722
HYDW,2023-07-17 18:00:00+00:00,45.38,45.38,45.38,45.38,180.0,2.0,45.375788
HYDW,2023-07-18 15:00:00+00:00,45.4472,45.4844,45.4472,45.4844,453.0,2.0,45.47315
HYDW,2023-07-18 16:00:00+00:00,45.45,45.45,45.45,45.45,107.0,1.0,45.45
HYDW,2023-07-18 18:00:00+00:00,45.4181,45.4181,45.4181,45.4181,327.0,1.0,45.4181
HYDW,2023-07-18 19:00:00+00:00,45.4277,45.4277,45.4277,45.4277,671.0,2.0,45.427383
HYDW,2023-07-19 14:00:00+00:00,45.478,45.478,45.4641,45.4641,463.0,2.0,45.473827
HYDW,2023-07-19 15:00:00+00:00,45.48,45.48,45.48,45.48,149.0,1.0,45.48
HYDW,2023-07-19 17:00:00+00:00,45.46,45.46,45.46,45.46,205.0,1.0,45.46
HYDW,2023-07-19 18:00:00+00:00,45.46,45.46,45.435,45.45,632.0,8.0,45.447975
HYDW,2023-07-19 19:00:00+00:00,45.45,45.45,45.45,45.45,192.0,1.0,45.45
HYDW,2023-07-20 13:00:00+00:00,45.29,45.31,45.275,45.275,842.0,5.0,45.29384
HYDW,2023-07-20 14:00:00+00:00,45.2106,45.2394,45.2106,45.2394,512.0,4.0,45.230095
HYDW,2023-07-20 16:00:00+00:00,45.21,45.21,45.21,45.21,104.0,2.0,45.21
HYDW,2023-07-20 19:00:00+00:00,45.23,45.23,45.23,45.23,402.0,4.0,45.2299
HYDW,2023-07-21 13:00:00+00:00,45.33,45.33,45.313,45.313,218.0,2.0,45.3215
HYDW,2023-07-21 14:00:00+00:00,45.25,45.25,45.25,45.25,583.0,4.0,45.249186
HYDW,2023-07-21 18:00:00+00:00,45.37,45.37,45.3509,45.3509,849.0,2.0,45.35324
HYDW,2023-07-21 19:00:00+00:00,45.34,45.34,45.31,45.31,814.0,10.0,45.317887
HYDW,2023-07-24 13:00:00+00:00,45.365,45.365,45.365,45.365,227.0,1.0,45.365
HYDW,2023-07-24 14:00:00+00:00,45.389,45.389,45.3855,45.3855,214.0,2.0,45.38725
