symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IAG,2023-07-17 12:00:00+00:00,2.86,2.8702,2.86,2.8702,1103.0,6.0,2.867353
IAG,2023-07-17 13:00:00+00:00,2.85,2.895,2.83,2.895,315648.0,633.0,2.853167
IAG,2023-07-17 14:00:00+00:00,2.89,2.915,2.89,2.915,296405.0,919.0,2.899366
IAG,2023-07-17 15:00:00+00:00,2.915,2.915,2.88,2.9,581885.0,993.0,2.896356
IAG,2023-07-17 16:00:00+00:00,2.9,2.92,2.9,2.905,181615.0,615.0,2.909197
IAG,2023-07-17 17:00:00+00:00,2.905,2.91,2.89,2.898,191487.0,780.0,2.90021
IAG,2023-07-17 18:00:00+00:00,2.9,2.9,2.89,2.9,196654.0,683.0,2.89502
IAG,2023-07-17 19:00:00+00:00,2.895,2.91,2.89,2.895,565759.0,2736.0,2.896991
IAG,2023-07-17 20:00:00+00:00,2.89,2.89,2.89,2.89,55625.0,3.0,2.89
IAG,2023-07-18 12:00:00+00:00,2.92,2.92,2.91,2.91,11600.0,10.0,2.91431
IAG,2023-07-18 13:00:00+00:00,2.92,2.94,2.9,2.935,185004.0,687.0,2.927247
IAG,2023-07-18 14:00:00+00:00,2.935,2.9799,2.93,2.945,807693.0,1782.0,2.949336
IAG,2023-07-18 15:00:00+00:00,2.945,2.95,2.925,2.95,481688.0,1214.0,2.937377
IAG,2023-07-18 16:00:00+00:00,2.95,2.96,2.92,2.935,305931.0,839.0,2.939653
IAG,2023-07-18 17:00:00+00:00,2.935,2.94,2.91,2.915,179302.0,538.0,2.925627
IAG,2023-07-18 18:00:00+00:00,2.915,2.94,2.91,2.94,164511.0,545.0,2.927372
IAG,2023-07-18 19:00:00+00:00,2.94,2.95,2.925,2.94,371151.0,1681.0,2.935959
IAG,2023-07-18 20:00:00+00:00,2.93,2.93,2.93,2.93,41803.0,6.0,2.930048
IAG,2023-07-19 12:00:00+00:00,2.95,2.95,2.93,2.93,3100.0,2.0,2.949355
IAG,2023-07-19 13:00:00+00:00,2.94,2.97,2.925,2.93,168276.0,457.0,2.94576
IAG,2023-07-19 14:00:00+00:00,2.925,2.94,2.905,2.94,297918.0,992.0,2.916845
IAG,2023-07-19 15:00:00+00:00,2.94,2.94,2.91,2.915,335199.0,807.0,2.927986
