symbol,timestamp,open,high,low,close,volume,trade_count,vwap
INGN,2023-07-17 11:00:00+00:00,8.9,8.9,8.9,8.9,340.0,3.0,8.900147
INGN,2023-07-17 13:00:00+00:00,8.89,8.96,8.67,8.94,37054.0,447.0,8.830656
INGN,2023-07-17 14:00:00+00:00,8.94,9.01,8.58,8.78,122038.0,1619.0,8.741843
INGN,2023-07-17 15:00:00+00:00,8.77,8.95,8.72,8.92,194573.0,1212.0,8.853517
INGN,2023-07-17 16:00:00+00:00,8.92,8.9284,8.81,8.88,29611.0,563.0,8.89169
INGN,2023-07-17 17:00:00+00:00,8.88,8.885,8.75,8.8199,42010.0,854.0,8.809556
INGN,2023-07-17 18:00:00+00:00,8.81,8.91,8.76,8.895,177226.0,821.0,8.854222
INGN,2023-07-17 19:00:00+00:00,8.895,9.15,8.8,9.11,182855.0,2545.0,9.021138
INGN,2023-07-17 20:00:00+00:00,9.11,9.11,8.7,8.7,39337.0,6.0,9.108958
INGN,2023-07-17 23:00:00+00:00,9.1,9.1,9.1,9.1,100.0,1.0,9.1
INGN,2023-07-18 13:00:00+00:00,9.12,9.23,9.02,9.1616,28328.0,386.0,9.110809
INGN,2023-07-18 14:00:00+00:00,9.185,9.26,9.085,9.115,29471.0,489.0,9.157831
INGN,2023-07-18 15:00:00+00:00,9.08,9.09,8.94,9.0,16109.0,394.0,9.02118
INGN,2023-07-18 16:00:00+00:00,9.01,9.02,8.86,8.88,16578.0,343.0,8.927916
INGN,2023-07-18 17:00:00+00:00,8.9,8.95,8.82,8.915,18065.0,348.0,8.899314
INGN,2023-07-18 18:00:00+00:00,8.92,8.93,8.81,8.82,17061.0,347.0,8.868067
INGN,2023-07-18 19:00:00+00:00,8.82,8.85,8.66,8.67,95409.0,1469.0,8.703796
INGN,2023-07-18 20:00:00+00:00,8.66,8.66,8.66,8.66,31061.0,6.0,8.66
INGN,2023-07-19 13:00:00+00:00,8.67,8.92,8.59,8.81,73354.0,561.0,8.737494
INGN,2023-07-19 14:00:00+00:00,8.83,8.835,8.61,8.64,37848.0,750.0,8.732466
INGN,2023-07-19 15:00:00+00:00,8.63,8.81,8.6298,8.73,30316.0,612.0,8.71175
INGN,2023-07-19 16:00:00+00:00,8.74,8.755,8.61,8.665,32448.0,635.0,8.686634
INGN,2023-07-19 17:00:00+00:00,8.66,8.66,8.5231,8.595,41378.0,648.0,8.566484
INGN,2023-07-19 18:00:00+00:00,8.595,8.67,8.57,8.5742,32251.0,561.0,8.622833
INGN,2023-07-19 19:00:00+00:00,8.57,8.58,8.39,8.41,101580.0,1945.0,8.474007
INGN,2023-07-19 20:00:00+00:00,8.4,8.82,8.4,8.45,53555.0,11.0,8.402245
INGN,2023-07-19 21:00:00+00:00,8.65,8.65,8.65,8.65,115.0,1.0,8.65
INGN,2023-07-20 13:00:00+00:00,8.45,8.71,8.42,8.59,20994.0,278.0,8.543209
INGN,2023-07-20 14:00:00+00:00,8.55,8.675,8.5217,8.655,31330.0,527.0,8.589535
INGN,2023-07-20 15:00:00+00:00,8.65,8.69,8.595,8.66,29759.0,498.0,8.654849
INGN,2023-07-20 16:00:00+00:00,8.66,8.71,8.59,8.6,18536.0,307.0,8.650786
INGN,2023-07-20 17:00:00+00:00,8.59,8.59,8.5,8.58,22628.0,401.0,8.549552
INGN,2023-07-20 18:00:00+00:00,8.58,8.645,8.53,8.6,18804.0,351.0,8.577863
INGN,2023-07-20 19:00:00+00:00,8.605,8.68,8.605,8.65,71442.0,1315.0,8.649319
INGN,2023-07-20 20:00:00+00:00,8.64,8.64,8.64,8.64,22676.0,5.0,8.64
INGN,2023-07-21 13:00:00+00:00,8.71,8.71,8.42,8.44,27198.0,347.0,8.585008
INGN,2023-07-21 14:00:00+00:00,8.44,8.54,8.35,8.46,24551.0,391.0,8.460919
INGN,2023-07-21 15:00:00+00:00,8.46,8.52,8.41,8.46,16678.0,420.0,8.467005
INGN,2023-07-21 16:00:00+00:00,8.47,8.59,8.47,8.56,24284.0,423.0,8.542923
INGN,2023-07-21 17:00:00+00:00,8.57,8.72,8.57,8.7,27971.0,543.0,8.66024
INGN,2023-07-21 18:00:00+00:00,8.71,8.74,8.61,8.63,76678.0,606.0,8.67974
INGN,2023-07-21 19:00:00+00:00,8.61,8.645,8.54,8.59,53777.0,1291.0,8.596588
INGN,2023-07-21 20:00:00+00:00,8.58,8.58,8.58,8.58,22429.0,6.0,8.58
INGN,2023-07-24 13:00:00+00:00,8.6,8.62,8.52,8.52,16549.0,240.0,8.56226
INGN,2023-07-24 14:00:00+00:00,8.49,8.51,8.34,8.3518,27539.0,466.0,8.403235
INGN,2023-07-24 15:00:00+00:00,8.36,8.4,8.3201,8.35,27361.0,420.0,8.350277
INGN,2023-07-24 16:00:00+00:00,8.36,8.41,8.3,8.31,36565.0,518.0,8.368699
INGN,2023-07-24 17:00:00+00:00,8.31,8.33,8.2518,8.28,38302.0,618.0,8.284207
INGN,2023-07-24 18:00:00+00:00,8.28,8.39,8.27,8.36,32049.0,605.0,8.33973
INGN,2023-07-24 19:00:00+00:00,8.36,8.36,8.23,8.265,92544.0,1691.0,8.276843
INGN,2023-07-24 20:00:00+00:00,8.26,8.26,8.26,8.26,21491.0,5.0,8.26
INGN,2023-07-25 12:00:00+00:00,8.26,8.26,8.26,8.26,108.0,2.0,8.26
INGN,2023-07-25 13:00:00+00:00,8.22,8.35,8.22,8.2816,11541.0,251.0,8.26827
INGN,2023-07-25 14:00:00+00:00,8.29,8.39,8.29,8.35,20006.0,574.0,8.340394
INGN,2023-07-25 15:00:00+00:00,8.35,8.36,8.14,8.15,21159.0,622.0,8.277027
INGN,2023-07-25 16:00:00+00:00,8.145,8.19,8.08,8.11,44313.0,581.0,8.125395
INGN,2023-07-25 17:00:00+00:00,8.1,8.1,8.03,8.0699,22139.0,437.0,8.064301
INGN,2023-07-25 18:00:00+00:00,8.06,8.085,8.01,8.02,24142.0,460.0,8.045985
INGN,2023-07-25 19:00:00+00:00,8.03,8.17,8.01,8.14,87038.0,1375.0,8.10016
INGN,2023-07-25 20:00:00+00:00,8.13,8.13,8.13,8.13,21856.0,8.0,8.13
INGN,2023-07-25 22:00:00+00:00,8.01,8.01,8.01,8.01,140.0,1.0,8.01
INGN,2023-07-26 12:00:00+00:00,8.3757,8.3757,8.3757,8.3757,100.0,1.0,8.3757
INGN,2023-07-26 13:00:00+00:00,8.11,8.53,8.11,8.45,22975.0,442.0,8.412715
INGN,2023-07-26 14:00:00+00:00,8.43,8.46,8.35,8.44,29995.0,467.0,8.394295
INGN,2023-07-26 15:00:00+00:00,8.43,8.475,8.355,8.44,19058.0,401.0,8.421587
INGN,2023-07-26 16:00:00+00:00,8.45,8.46,8.35,8.365,13462.0,366.0,8.418323
