symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IPAY,2023-07-17 13:00:00+00:00,44.49,44.71,44.48,44.7014,11238.0,39.0,44.507109
IPAY,2023-07-17 14:00:00+00:00,44.71,44.83,44.71,44.83,2797.0,16.0,44.763004
IPAY,2023-07-17 15:00:00+00:00,44.81,44.885,44.774,44.885,2627.0,25.0,44.826241
IPAY,2023-07-17 16:00:00+00:00,44.93,44.96,44.905,44.94,1569.0,15.0,44.932853
IPAY,2023-07-17 17:00:00+00:00,44.9779,44.9779,44.9193,44.9193,4055.0,21.0,44.939275
IPAY,2023-07-17 18:00:00+00:00,44.9599,44.9599,44.89,44.925,5762.0,48.0,44.915648
IPAY,2023-07-17 19:00:00+00:00,44.94,45.0,44.9,44.96,9886.0,68.0,44.978644
IPAY,2023-07-17 20:00:00+00:00,44.9,45.75,44.9,45.75,997.0,2.0,45.094383
IPAY,2023-07-18 13:00:00+00:00,44.9,45.045,44.9,45.0312,2692.0,12.0,44.949113
IPAY,2023-07-18 14:00:00+00:00,45.14,45.15,45.044,45.08,1587.0,13.0,45.117054
IPAY,2023-07-18 15:00:00+00:00,45.12,45.19,45.04,45.04,2433.0,14.0,45.089291
IPAY,2023-07-18 16:00:00+00:00,45.175,45.19,45.11,45.16,4255.0,15.0,45.146881
IPAY,2023-07-18 17:00:00+00:00,45.1236,45.1641,45.1236,45.1583,1811.0,5.0,45.148101
IPAY,2023-07-18 18:00:00+00:00,45.18,45.29,45.16,45.2235,4522.0,33.0,45.236202
IPAY,2023-07-18 19:00:00+00:00,45.237,45.36,45.237,45.32,3702.0,31.0,45.288522
IPAY,2023-07-18 20:00:00+00:00,45.33,45.33,45.33,45.33,287.0,1.0,45.33
IPAY,2023-07-19 13:00:00+00:00,45.33,45.65,45.33,45.5975,4735.0,23.0,45.487489
IPAY,2023-07-19 14:00:00+00:00,45.55,45.6,45.4701,45.5714,8720.0,30.0,45.546897
IPAY,2023-07-19 15:00:00+00:00,45.56,45.5655,45.52,45.5655,697.0,7.0,45.551238
IPAY,2023-07-19 16:00:00+00:00,45.54,45.54,45.2738,45.3,2343.0,13.0,45.414341
IPAY,2023-07-19 17:00:00+00:00,45.25,45.345,45.2,45.24,2213.0,31.0,45.26019
IPAY,2023-07-19 18:00:00+00:00,45.21,45.265,45.17,45.265,1826.0,12.0,45.231209
IPAY,2023-07-19 19:00:00+00:00,45.3829,45.39,45.27,45.27,7107.0,48.0,45.306796
IPAY,2023-07-19 20:00:00+00:00,45.3,45.3,45.3,45.3,750.0,1.0,45.3
IPAY,2023-07-20 13:00:00+00:00,44.85,44.9,44.84,44.9,4121.0,18.0,44.849312
IPAY,2023-07-20 14:00:00+00:00,44.78,44.78,44.56,44.68,3767.0,61.0,44.65722
IPAY,2023-07-20 15:00:00+00:00,44.68,44.84,44.68,44.8,3137.0,68.0,44.762784
IPAY,2023-07-20 16:00:00+00:00,44.8,44.87,44.7,44.79,1606.0,18.0,44.804262
IPAY,2023-07-20 17:00:00+00:00,44.75,44.78,44.72,44.72,1355.0,25.0,44.750343
IPAY,2023-07-20 18:00:00+00:00,44.71,44.765,44.64,44.67,2498.0,149.0,44.714328
IPAY,2023-07-20 19:00:00+00:00,44.65,44.7125,44.635,44.64,4432.0,76.0,44.664385
IPAY,2023-07-20 20:00:00+00:00,44.7,44.7,44.7,44.7,682.0,1.0,44.7
IPAY,2023-07-21 12:00:00+00:00,44.7,44.7,44.7,44.7,100.0,1.0,44.7
IPAY,2023-07-21 13:00:00+00:00,45.0,45.0,44.402,44.402,1096.0,5.0,44.706836
IPAY,2023-07-21 14:00:00+00:00,44.35,44.58,44.35,44.575,2561.0,36.0,44.490564
IPAY,2023-07-21 15:00:00+00:00,44.585,44.7254,44.585,44.7254,875.0,7.0,44.673612
IPAY,2023-07-21 16:00:00+00:00,44.67,44.7328,44.67,44.69,932.0,10.0,44.701561
IPAY,2023-07-21 17:00:00+00:00,44.77,44.93,44.77,44.93,36700.0,13.0,44.84026
IPAY,2023-07-21 18:00:00+00:00,44.8741,44.88,44.8201,44.88,1359.0,10.0,44.861666
IPAY,2023-07-21 19:00:00+00:00,44.84,44.85,44.67,44.67,3267.0,39.0,44.767871
IPAY,2023-07-21 20:00:00+00:00,44.76,44.76,44.76,44.76,201.0,1.0,44.76
IPAY,2023-07-24 13:00:00+00:00,44.76,44.92,44.74,44.76,11201.0,123.0,44.790722
IPAY,2023-07-24 14:00:00+00:00,44.82,45.0,44.82,44.9401,2594.0,21.0,44.912343
IPAY,2023-07-24 15:00:00+00:00,44.995,44.995,44.91,44.96,1680.0,18.0,44.951072
IPAY,2023-07-24 16:00:00+00:00,45.01,45.07,44.96,45.01,1720.0,16.0,45.001811
IPAY,2023-07-24 17:00:00+00:00,45.01,45.0831,44.99,45.06,739.0,11.0,45.045003
IPAY,2023-07-24 18:00:00+00:00,45.065,45.065,45.01,45.01,822.0,9.0,45.045254
IPAY,2023-07-24 19:00:00+00:00,45.05,45.125,45.005,45.03,2812.0,31.0,45.041085
IPAY,2023-07-24 20:00:00+00:00,45.07,45.07,45.07,45.07,187.0,1.0,45.07
IPAY,2023-07-25 13:00:00+00:00,44.99,45.0168,44.99,45.0168,2743.0,20.0,44.994118
IPAY,2023-07-25 14:00:00+00:00,45.08,45.08,44.96,44.96,953.0,9.0,45.027561
IPAY,2023-07-25 15:00:00+00:00,45.005,45.055,44.96,44.975,3120.0,27.0,44.995065
IPAY,2023-07-25 16:00:00+00:00,44.9601,45.06,44.9601,45.01,1691.0,14.0,45.02515
IPAY,2023-07-25 17:00:00+00:00,45.07,45.1,45.04,45.07,3355.0,24.0,45.052646
IPAY,2023-07-25 18:00:00+00:00,45.065,45.1,44.96,45.0,2264.0,21.0,45.037189
IPAY,2023-07-25 19:00:00+00:00,45.0,45.0289,44.87,44.87,3087.0,29.0,44.925243
IPAY,2023-07-25 20:00:00+00:00,44.94,44.94,44.94,44.94,521.0,1.0,44.94
IPAY,2023-07-26 13:00:00+00:00,44.56,44.86,44.45,44.7,6437.0,47.0,44.603715
IPAY,2023-07-26 14:00:00+00:00,44.6,44.65,44.5,44.5,3760.0,27.0,44.603236
