symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IP,2023-07-17 11:00:00+00:00,31.35,31.35,31.3,31.3,730.0,15.0,31.318466
IP,2023-07-17 12:00:00+00:00,31.4493,31.4493,31.4493,31.4493,1000.0,1.0,31.4493
IP,2023-07-17 13:00:00+00:00,31.3,31.3,30.98,31.05,348475.0,3364.0,31.085428
IP,2023-07-17 14:00:00+00:00,31.05,31.175,30.98,31.01,369309.0,4450.0,31.078921
IP,2023-07-17 15:00:00+00:00,31.005,31.145,30.98,31.0847,233152.0,3105.0,31.068555
IP,2023-07-17 16:00:00+00:00,31.075,31.14,31.05,31.08,173133.0,2378.0,31.080989
IP,2023-07-17 17:00:00+00:00,31.085,31.1,30.99,30.995,176160.0,2383.0,31.062255
IP,2023-07-17 18:00:00+00:00,30.995,31.09,30.99,31.06,241575.0,2990.0,31.038688
IP,2023-07-17 19:00:00+00:00,31.06,31.095,30.98,30.995,796642.0,8036.0,31.033366
IP,2023-07-17 20:00:00+00:00,30.99,30.99,30.99,30.99,400396.0,45.0,30.99
IP,2023-07-17 22:00:00+00:00,31.0,31.0,31.0,31.0,100.0,1.0,31.0
IP,2023-07-17 23:00:00+00:00,31.0,31.0,31.0,31.0,100.0,1.0,31.0
IP,2023-07-18 11:00:00+00:00,31.01,31.01,31.01,31.01,490.0,5.0,31.01
IP,2023-07-18 12:00:00+00:00,30.99,31.0,30.88,30.88,1287.0,28.0,30.960428
IP,2023-07-18 13:00:00+00:00,30.84,31.47,30.78,31.45,272632.0,2713.0,31.18585
IP,2023-07-18 14:00:00+00:00,31.445,31.58,31.3,31.35,386722.0,4661.0,31.432365
IP,2023-07-18 15:00:00+00:00,31.355,31.44,31.255,31.355,505726.0,4696.0,31.351005
IP,2023-07-18 16:00:00+00:00,31.3556,31.39,31.16,31.235,199159.0,2923.0,31.250694
IP,2023-07-18 17:00:00+00:00,31.24,31.305,31.18,31.265,210099.0,3228.0,31.243592
IP,2023-07-18 18:00:00+00:00,31.265,31.32,31.215,31.255,269545.0,3950.0,31.264627
IP,2023-07-18 19:00:00+00:00,31.26,31.37,31.245,31.37,932543.0,9608.0,31.311099
IP,2023-07-18 20:00:00+00:00,31.36,31.36,31.36,31.36,375889.0,63.0,31.36
IP,2023-07-18 22:00:00+00:00,31.36,31.36,31.15,31.25,762.0,5.0,31.211942
IP,2023-07-19 12:00:00+00:00,31.35,31.35,31.35,31.35,100.0,1.0,31.35
IP,2023-07-19 13:00:00+00:00,31.29,31.505,31.26,31.465,262654.0,2728.0,31.397487
IP,2023-07-19 14:00:00+00:00,31.47,31.65,31.36,31.445,522553.0,5348.0,31.475967
IP,2023-07-19 15:00:00+00:00,31.44,31.5,31.228,31.46,266034.0,3286.0,31.392185
IP,2023-07-19 16:00:00+00:00,31.455,31.535,31.34,31.535,205318.0,2849.0,31.460044
IP,2023-07-19 17:00:00+00:00,31.54,31.6083,31.49,31.57,191510.0,2877.0,31.556263
IP,2023-07-19 18:00:00+00:00,31.56,31.58,31.5044,31.56,184823.0,2912.0,31.550261
IP,2023-07-19 19:00:00+00:00,31.56,31.58,31.48,31.55,745750.0,6932.0,31.531336
IP,2023-07-19 20:00:00+00:00,31.56,31.56,31.56,31.56,571740.0,27.0,31.56
IP,2023-07-20 12:00:00+00:00,31.56,31.56,31.56,31.56,204.0,7.0,31.571078
IP,2023-07-20 13:00:00+00:00,31.56,31.73,31.315,31.54,233087.0,2670.0,31.527133
IP,2023-07-20 14:00:00+00:00,31.555,31.57,31.36,31.45,290934.0,3997.0,31.450275
IP,2023-07-20 15:00:00+00:00,31.46,31.59,31.425,31.59,196707.0,3350.0,31.502753
IP,2023-07-20 16:00:00+00:00,31.6,31.7,31.565,31.66,192856.0,2878.0,31.646779
IP,2023-07-20 17:00:00+00:00,31.655,31.69,31.63,31.67,211508.0,2800.0,31.659103
IP,2023-07-20 18:00:00+00:00,31.67,31.765,31.64,31.72,246138.0,3657.0,31.70496
IP,2023-07-20 19:00:00+00:00,31.72,31.75,31.58,31.61,584237.0,6234.0,31.641671
IP,2023-07-20 20:00:00+00:00,31.61,31.61,31.61,31.61,369962.0,59.0,31.61
IP,2023-07-20 21:00:00+00:00,31.53,31.53,31.52,31.52,1000.0,3.0,31.52685
IP,2023-07-21 08:00:00+00:00,31.61,31.61,31.61,31.61,802.0,7.0,31.61
IP,2023-07-21 10:00:00+00:00,31.61,31.61,31.61,31.61,1303.0,11.0,31.609977
IP,2023-07-21 12:00:00+00:00,31.58,31.58,31.5,31.5,1367.0,16.0,31.534842
IP,2023-07-21 13:00:00+00:00,31.58,31.65,31.2836,31.4084,344373.0,3237.0,31.491921
IP,2023-07-21 14:00:00+00:00,31.405,31.66,31.38,31.61,442294.0,5855.0,31.530471
IP,2023-07-21 15:00:00+00:00,31.615,31.78,31.57,31.765,288327.0,3694.0,31.678183
IP,2023-07-21 16:00:00+00:00,31.76,31.7675,31.67,31.685,187841.0,2804.0,31.709796
IP,2023-07-21 17:00:00+00:00,31.685,31.79,31.67,31.75,242062.0,3145.0,31.728095
IP,2023-07-21 18:00:00+00:00,31.74,31.82,31.71,31.8063,239392.0,3426.0,31.756547
IP,2023-07-21 19:00:00+00:00,31.81,31.92,31.75,31.85,928550.0,9210.0,31.834349
IP,2023-07-21 20:00:00+00:00,31.85,31.85,31.85,31.85,467012.0,42.0,31.85
