symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IRMD,2023-07-17 13:00:00+00:00,46.045,46.25,45.86,45.935,755.0,19.0,46.004901
IRMD,2023-07-17 14:00:00+00:00,45.85,46.52,45.785,45.785,4267.0,105.0,46.180562
IRMD,2023-07-17 15:00:00+00:00,46.09,46.24,45.84,45.95,13190.0,234.0,46.037522
IRMD,2023-07-17 16:00:00+00:00,45.8701,46.11,45.24,45.24,4847.0,129.0,45.650625
IRMD,2023-07-17 17:00:00+00:00,44.975,45.68,44.83,45.68,24537.0,348.0,45.06025
IRMD,2023-07-17 18:00:00+00:00,45.79,45.9925,45.555,45.785,4214.0,115.0,45.819613
IRMD,2023-07-17 19:00:00+00:00,45.6,45.99,45.45,45.55,18093.0,447.0,45.75144
IRMD,2023-07-17 20:00:00+00:00,45.69,45.69,45.69,45.69,3686.0,3.0,45.69
IRMD,2023-07-18 13:00:00+00:00,45.74,46.28,45.53,45.71,456.0,5.0,45.806776
IRMD,2023-07-18 14:00:00+00:00,46.61,46.61,45.9,46.25,4059.0,108.0,46.153705
IRMD,2023-07-18 15:00:00+00:00,46.305,46.305,45.925,46.22,3740.0,115.0,46.06223
IRMD,2023-07-18 16:00:00+00:00,46.07,46.265,45.94,45.99,2306.0,42.0,46.042179
IRMD,2023-07-18 17:00:00+00:00,46.055,47.34,46.055,47.01,18243.0,106.0,46.475766
IRMD,2023-07-18 18:00:00+00:00,46.54,46.97,46.22,46.52,9908.0,194.0,46.585782
IRMD,2023-07-18 19:00:00+00:00,46.7,46.78,46.16,46.39,14057.0,364.0,46.491771
IRMD,2023-07-18 20:00:00+00:00,46.4,46.4,46.4,46.4,3371.0,1.0,46.4
IRMD,2023-07-19 13:00:00+00:00,46.42,46.7,46.42,46.7,581.0,8.0,46.489553
IRMD,2023-07-19 14:00:00+00:00,46.5,46.5,45.9886,46.47,515.0,7.0,46.302876
IRMD,2023-07-19 15:00:00+00:00,46.24,46.52,46.0,46.52,7154.0,202.0,46.22155
IRMD,2023-07-19 16:00:00+00:00,46.8,46.9,46.36,46.36,3387.0,69.0,46.584973
IRMD,2023-07-19 17:00:00+00:00,46.49,46.8,46.21,46.53,3928.0,114.0,46.422343
IRMD,2023-07-19 18:00:00+00:00,46.54,46.82,46.4,46.425,5238.0,107.0,46.555376
IRMD,2023-07-19 19:00:00+00:00,46.425,46.605,46.32,46.45,14599.0,424.0,46.455515
