symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JHEM,2023-07-17 13:00:00+00:00,25.2,25.29,25.17,25.29,3400.0,25.0,25.213529
JHEM,2023-07-17 14:00:00+00:00,25.33,25.345,25.31,25.32,9122.0,29.0,25.325627
JHEM,2023-07-17 15:00:00+00:00,25.33,25.33,25.275,25.29,8990.0,42.0,25.304231
JHEM,2023-07-17 16:00:00+00:00,25.3,25.31,25.29,25.29,8103.0,35.0,25.302715
JHEM,2023-07-17 17:00:00+00:00,25.31,25.32,25.29,25.31,7712.0,22.0,25.306387
JHEM,2023-07-17 18:00:00+00:00,25.32,25.32,25.31,25.31,11400.0,42.0,25.313333
JHEM,2023-07-17 19:00:00+00:00,25.345,25.35,25.32,25.32,24684.0,172.0,25.334186
JHEM,2023-07-18 13:00:00+00:00,25.201,25.201,25.2,25.2001,592.0,3.0,25.200358
JHEM,2023-07-18 15:00:00+00:00,25.2599,25.26,25.2599,25.2599,691.0,7.0,25.260153
JHEM,2023-07-18 16:00:00+00:00,25.21,25.21,25.2,25.2,200.0,2.0,25.205
JHEM,2023-07-18 17:00:00+00:00,25.14,25.175,25.14,25.1697,2767.0,5.0,25.167814
JHEM,2023-07-18 18:00:00+00:00,25.15,25.2,25.15,25.2,406.0,5.0,25.179409
JHEM,2023-07-18 19:00:00+00:00,25.18,25.2494,25.18,25.19,944.0,11.0,25.209113
JHEM,2023-07-19 13:00:00+00:00,25.28,25.28,25.28,25.28,100.0,1.0,25.28
JHEM,2023-07-19 14:00:00+00:00,25.24,25.256,25.24,25.256,776.0,4.0,25.248011
JHEM,2023-07-19 17:00:00+00:00,25.131,25.147,25.131,25.147,396.0,2.0,25.139
JHEM,2023-07-19 19:00:00+00:00,25.2,25.2,25.2,25.2,912.0,1.0,25.2
JHEM,2023-07-20 13:00:00+00:00,25.08,25.08,25.08,25.08,300.0,1.0,25.08
JHEM,2023-07-20 14:00:00+00:00,25.0286,25.0286,25.0286,25.0286,217.0,1.0,25.0286
JHEM,2023-07-20 19:00:00+00:00,25.04,25.04,25.04,25.04,710.0,4.0,25.03969
JHEM,2023-07-21 14:00:00+00:00,25.045,25.045,25.045,25.045,123.0,1.0,25.045
