symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JRVR,2023-07-17 13:00:00+00:00,17.96,18.23,17.96,18.2,6164.0,131.0,18.117835
JRVR,2023-07-17 14:00:00+00:00,18.23,18.315,18.15,18.24,13749.0,363.0,18.249373
JRVR,2023-07-17 15:00:00+00:00,18.24,18.24,18.13,18.22,5514.0,190.0,18.189008
JRVR,2023-07-17 16:00:00+00:00,18.2375,18.31,18.225,18.25,10008.0,250.0,18.272779
JRVR,2023-07-17 17:00:00+00:00,18.21,18.26,18.14,18.21,9201.0,226.0,18.191959
JRVR,2023-07-17 18:00:00+00:00,18.19,18.2,18.1,18.18,10067.0,326.0,18.16018
JRVR,2023-07-17 19:00:00+00:00,18.18,18.24,18.1,18.19,47749.0,1154.0,18.164329
JRVR,2023-07-17 20:00:00+00:00,18.2,18.2,18.2,18.2,58261.0,6.0,18.2
JRVR,2023-07-18 13:00:00+00:00,18.16,18.449,18.16,18.385,4645.0,63.0,18.363179
JRVR,2023-07-18 14:00:00+00:00,18.385,18.45,18.14,18.155,5355.0,145.0,18.325418
JRVR,2023-07-18 15:00:00+00:00,18.1,18.24,18.015,18.015,6232.0,189.0,18.14038
JRVR,2023-07-18 16:00:00+00:00,18.01,18.07,18.0,18.01,8349.0,245.0,18.041566
JRVR,2023-07-18 17:00:00+00:00,18.02,18.07,17.9003,18.0,10603.0,254.0,18.014349
JRVR,2023-07-18 18:00:00+00:00,18.06,18.1,18.04,18.085,4985.0,179.0,18.070939
JRVR,2023-07-18 19:00:00+00:00,18.09,18.18,18.05,18.18,18267.0,555.0,18.133315
JRVR,2023-07-18 20:00:00+00:00,18.15,18.15,18.15,18.15,26058.0,7.0,18.15
JRVR,2023-07-19 13:00:00+00:00,18.14,18.29,18.14,18.16,2745.0,58.0,18.189811
JRVR,2023-07-19 14:00:00+00:00,18.12,18.16,18.07,18.14,11255.0,294.0,18.11846
JRVR,2023-07-19 15:00:00+00:00,18.14,18.15,18.045,18.12,6586.0,159.0,18.109096
JRVR,2023-07-19 16:00:00+00:00,18.11,18.14,18.05,18.11,8442.0,243.0,18.099013
JRVR,2023-07-19 17:00:00+00:00,18.1,18.16,18.095,18.16,5455.0,137.0,18.138577
JRVR,2023-07-19 18:00:00+00:00,18.13,18.18,18.1,18.115,4041.0,78.0,18.134649
JRVR,2023-07-19 19:00:00+00:00,18.115,18.17,17.97,18.03,38299.0,837.0,18.039352
JRVR,2023-07-19 20:00:00+00:00,18.03,18.03,18.03,18.03,26200.0,5.0,18.03
JRVR,2023-07-20 13:00:00+00:00,18.13,18.32,18.05,18.32,17065.0,232.0,18.231217
JRVR,2023-07-20 14:00:00+00:00,18.39,18.53,18.32,18.53,21588.0,380.0,18.399965
JRVR,2023-07-20 15:00:00+00:00,18.528,18.63,18.46,18.63,8960.0,234.0,18.553258
JRVR,2023-07-20 16:00:00+00:00,18.62,18.65,18.58,18.58,4161.0,200.0,18.614316
JRVR,2023-07-20 17:00:00+00:00,18.51,18.53,18.505,18.505,1561.0,94.0,18.520474
JRVR,2023-07-20 18:00:00+00:00,18.45,18.63,18.45,18.63,4024.0,169.0,18.529395
JRVR,2023-07-20 19:00:00+00:00,18.62,18.72,18.58,18.61,27716.0,733.0,18.638284
JRVR,2023-07-20 20:00:00+00:00,18.59,18.59,18.59,18.59,24982.0,5.0,18.59
JRVR,2023-07-21 13:00:00+00:00,18.76,18.8,18.43,18.485,16404.0,33.0,18.78622
JRVR,2023-07-21 14:00:00+00:00,18.55,18.73,18.55,18.69,8919.0,250.0,18.6658
JRVR,2023-07-21 15:00:00+00:00,18.71,18.8,18.66,18.8,6385.0,156.0,18.747888
JRVR,2023-07-21 16:00:00+00:00,18.78,18.79,18.7,18.75,4518.0,133.0,18.733439
JRVR,2023-07-21 17:00:00+00:00,18.7225,18.86,18.72,18.82,5975.0,174.0,18.815172
JRVR,2023-07-21 18:00:00+00:00,18.83,18.865,18.8,18.865,5890.0,202.0,18.833417
JRVR,2023-07-21 19:00:00+00:00,18.82,18.88,18.79,18.8,29043.0,997.0,18.845647
JRVR,2023-07-21 20:00:00+00:00,18.81,18.81,18.81,18.81,18597.0,5.0,18.81
JRVR,2023-07-24 13:00:00+00:00,18.75,18.87,18.725,18.78,886.0,20.0,18.77816
JRVR,2023-07-24 14:00:00+00:00,18.7664,18.78,18.61,18.75,5935.0,111.0,18.727191
JRVR,2023-07-24 15:00:00+00:00,18.76,18.94,18.76,18.94,5652.0,152.0,18.837235
JRVR,2023-07-24 16:00:00+00:00,18.95,19.04,18.93,18.97,4640.0,152.0,18.978601
JRVR,2023-07-24 17:00:00+00:00,19.0,19.06,18.92,18.96,6203.0,140.0,19.002001
JRVR,2023-07-24 18:00:00+00:00,18.955,18.96,18.87,18.89,2697.0,93.0,18.919956
JRVR,2023-07-24 19:00:00+00:00,18.91,18.98,18.86,18.934,31745.0,778.0,18.922304
JRVR,2023-07-24 20:00:00+00:00,18.93,18.93,18.93,18.93,19780.0,8.0,18.93
JRVR,2023-07-25 13:00:00+00:00,18.85,19.05,18.83,18.83,1694.0,44.0,18.875189
JRVR,2023-07-25 14:00:00+00:00,18.78,18.955,18.78,18.95,6434.0,211.0,18.900624
JRVR,2023-07-25 15:00:00+00:00,18.95,18.95,18.66,18.66,10891.0,232.0,18.86316
JRVR,2023-07-25 16:00:00+00:00,18.63,18.73,18.63,18.67,9091.0,169.0,18.670369
JRVR,2023-07-25 17:00:00+00:00,18.68,18.745,18.644,18.745,5670.0,138.0,18.69579
JRVR,2023-07-25 18:00:00+00:00,18.74,18.78,18.71,18.73,8339.0,190.0,18.740226
JRVR,2023-07-25 19:00:00+00:00,18.76,18.78,18.63,18.66,38617.0,750.0,18.690015
JRVR,2023-07-25 20:00:00+00:00,18.66,18.66,18.66,18.66,31751.0,7.0,18.66
JRVR,2023-07-26 13:00:00+00:00,18.66,18.99,18.66,18.99,1462.0,45.0,18.8484
JRVR,2023-07-26 14:00:00+00:00,19.01,19.0699,18.99,19.01,3252.0,94.0,19.023241
JRVR,2023-07-26 15:00:00+00:00,19.04,19.04,18.92,18.94,2891.0,79.0,18.965268
JRVR,2023-07-26 16:00:00+00:00,18.93,18.94,18.9,18.925,3839.0,129.0,18.919282
JRVR,2023-07-26 17:00:00+00:00,18.945,18.98,18.88,18.89,13612.0,246.0,18.934966
JRVR,2023-07-26 18:00:00+00:00,18.89,19.01,18.88,18.935,7756.0,226.0,18.926153
JRVR,2023-07-26 19:00:00+00:00,18.96,18.96,18.83,18.83,21911.0,623.0,18.863005
JRVR,2023-07-26 20:00:00+00:00,18.86,18.86,18.86,18.86,20536.0,4.0,18.86
JRVR,2023-07-27 13:00:00+00:00,18.91,18.91,18.695,18.695,1236.0,55.0,18.767089
JRVR,2023-07-27 14:00:00+00:00,18.67,18.7,18.5,18.545,8728.0,233.0,18.600058
JRVR,2023-07-27 15:00:00+00:00,18.5025,18.51,18.315,18.39,23013.0,484.0,18.39573
JRVR,2023-07-27 16:00:00+00:00,18.415,18.45,18.39,18.45,6967.0,220.0,18.417434
JRVR,2023-07-27 17:00:00+00:00,18.47,18.52,18.38,18.43,8151.0,229.0,18.434117
JRVR,2023-07-27 18:00:00+00:00,18.4401,18.5,18.42,18.47,5818.0,166.0,18.453916
JRVR,2023-07-27 19:00:00+00:00,18.43,18.49,18.405,18.49,29047.0,722.0,18.450125
JRVR,2023-07-27 20:00:00+00:00,18.49,18.49,18.49,18.49,21066.0,4.0,18.49
JRVR,2023-07-28 13:00:00+00:00,18.53,18.66,18.46,18.58,2515.0,48.0,18.567175
JRVR,2023-07-28 14:00:00+00:00,18.62,18.62,18.4459,18.56,7048.0,186.0,18.544094
JRVR,2023-07-28 15:00:00+00:00,18.55,18.63,18.52,18.55,6458.0,152.0,18.570876
JRVR,2023-07-28 16:00:00+00:00,18.52,18.615,18.5,18.61,3764.0,105.0,18.57289
JRVR,2023-07-28 17:00:00+00:00,18.58,18.58,18.4,18.43,4926.0,148.0,18.468403
JRVR,2023-07-28 18:00:00+00:00,18.42,18.47,18.42,18.42,3889.0,111.0,18.447171
JRVR,2023-07-28 19:00:00+00:00,18.41,18.42,18.35,18.36,15559.0,525.0,18.386101
JRVR,2023-07-28 20:00:00+00:00,18.37,18.37,18.37,18.37,14604.0,8.0,18.37
JRVR,2023-07-31 13:00:00+00:00,18.32,18.44,18.32,18.431,2959.0,57.0,18.369736
JRVR,2023-07-31 14:00:00+00:00,18.46,18.46,18.31,18.38,6047.0,205.0,18.376347
JRVR,2023-07-31 15:00:00+00:00,18.38,18.655,18.375,18.645,15937.0,405.0,18.564744
JRVR,2023-07-31 16:00:00+00:00,18.66,18.67,18.46,18.49,7248.0,203.0,18.599831
JRVR,2023-07-31 17:00:00+00:00,18.49,18.59,18.49,18.5,6030.0,182.0,18.54589
JRVR,2023-07-31 18:00:00+00:00,18.51,18.53,18.47,18.49,6021.0,199.0,18.496458
JRVR,2023-07-31 19:00:00+00:00,18.48,18.49,18.44,18.49,36581.0,959.0,18.469111
JRVR,2023-07-31 20:00:00+00:00,18.49,18.49,18.49,18.49,64629.0,12.0,18.49
JRVR,2023-08-01 13:00:00+00:00,18.47,18.49,18.29,18.32,5742.0,169.0,18.376034
JRVR,2023-08-01 14:00:00+00:00,18.41,18.41,18.0,18.09,13983.0,449.0,18.102791
JRVR,2023-08-01 15:00:00+00:00,18.105,18.29,18.105,18.28,13620.0,361.0,18.243671
JRVR,2023-08-01 16:00:00+00:00,18.27,18.37,18.23,18.32,6383.0,189.0,18.260719
JRVR,2023-08-01 17:00:00+00:00,18.34,18.37,18.31,18.31,5014.0,164.0,18.340279
JRVR,2023-08-01 18:00:00+00:00,18.31,18.42,18.26,18.42,16770.0,420.0,18.328215
JRVR,2023-08-01 19:00:00+00:00,18.415,18.44,18.37,18.41,41275.0,985.0,18.41216
JRVR,2023-08-01 20:00:00+00:00,18.42,18.42,18.42,18.42,37533.0,5.0,18.42
JRVR,2023-08-02 13:00:00+00:00,18.2,18.42,18.185,18.42,2454.0,84.0,18.30146
JRVR,2023-08-02 14:00:00+00:00,18.37,18.45,18.23,18.37,7675.0,347.0,18.36175
JRVR,2023-08-02 15:00:00+00:00,18.39,18.48,18.3386,18.48,6733.0,149.0,18.405838
JRVR,2023-08-02 16:00:00+00:00,18.46,18.56,18.46,18.53,4312.0,116.0,18.529254
JRVR,2023-08-02 17:00:00+00:00,18.5,18.5,18.465,18.48,2880.0,88.0,18.484137
JRVR,2023-08-02 18:00:00+00:00,18.49,18.49,17.94,17.97,21018.0,500.0,18.160476
JRVR,2023-08-02 19:00:00+00:00,17.975,18.12,17.92,18.0,113236.0,1768.0,18.004213
JRVR,2023-08-02 20:00:00+00:00,17.99,17.99,17.99,17.99,15842.0,3.0,17.99
JRVR,2023-08-03 13:00:00+00:00,17.99,18.06,17.82,17.8601,5746.0,133.0,17.954829
JRVR,2023-08-03 14:00:00+00:00,17.97,18.04,17.88,17.92,9372.0,358.0,17.955236
JRVR,2023-08-03 15:00:00+00:00,17.95,18.0,17.88,17.89,9462.0,339.0,17.946667
JRVR,2023-08-03 16:00:00+00:00,17.88,17.93,17.72,17.93,17297.0,465.0,17.783095
JRVR,2023-08-03 17:00:00+00:00,17.95,17.98,17.89,17.9,7404.0,234.0,17.936741
JRVR,2023-08-03 18:00:00+00:00,17.91,17.94,17.9,17.905,6387.0,197.0,17.916243
JRVR,2023-08-03 19:00:00+00:00,17.9,17.92,17.74,17.8,41872.0,1201.0,17.820359
JRVR,2023-08-03 20:00:00+00:00,17.8,17.8,17.8,17.8,23413.0,6.0,17.8
JRVR,2023-08-04 13:00:00+00:00,17.91,18.03,17.7,18.0,15407.0,126.0,17.918331
JRVR,2023-08-04 14:00:00+00:00,17.94,17.965,17.88,17.95,6477.0,203.0,17.920136
JRVR,2023-08-04 15:00:00+00:00,17.945,17.96,17.89,17.92,5583.0,147.0,17.919426
JRVR,2023-08-04 16:00:00+00:00,17.95,18.015,17.93,17.98,12513.0,174.0,17.990872
JRVR,2023-08-04 17:00:00+00:00,17.99,18.0,17.91,17.94,11263.0,202.0,17.972904
JRVR,2023-08-04 18:00:00+00:00,17.91,17.91,17.725,17.725,6934.0,259.0,17.842431
JRVR,2023-08-04 19:00:00+00:00,17.72,17.75,17.67,17.69,15568.0,537.0,17.711251
JRVR,2023-08-04 20:00:00+00:00,17.71,17.71,17.71,17.71,13968.0,4.0,17.71
JRVR,2023-08-07 13:00:00+00:00,17.71,17.8609,17.615,17.76,5408.0,186.0,17.756809
JRVR,2023-08-07 14:00:00+00:00,17.72,17.86,17.6816,17.82,8057.0,246.0,17.763574
JRVR,2023-08-07 15:00:00+00:00,17.81,17.94,17.8,17.91,8022.0,198.0,17.879725
JRVR,2023-08-07 16:00:00+00:00,17.92,17.94,17.85,17.8501,10404.0,249.0,17.884361
JRVR,2023-08-07 17:00:00+00:00,17.865,17.91,17.83,17.85,8443.0,198.0,17.863357
JRVR,2023-08-07 18:00:00+00:00,17.87,17.9,17.79,17.81,18232.0,354.0,17.838985
JRVR,2023-08-07 19:00:00+00:00,17.83,17.88,17.75,17.78,51139.0,997.0,17.806641
JRVR,2023-08-07 20:00:00+00:00,17.77,17.77,17.77,17.77,29325.0,5.0,17.77
JRVR,2023-08-07 21:00:00+00:00,18.0,18.0,18.0,18.0,250.0,1.0,18.0
JRVR,2023-08-08 13:00:00+00:00,17.47,17.5,17.27,17.48,11729.0,213.0,17.412926
JRVR,2023-08-08 14:00:00+00:00,17.48,17.48,16.53,16.74,34752.0,621.0,16.847929
JRVR,2023-08-08 15:00:00+00:00,16.76,17.0,16.68,16.92,58072.0,643.0,16.850619
JRVR,2023-08-08 16:00:00+00:00,16.97,16.97,16.82,16.87,12571.0,306.0,16.877266
JRVR,2023-08-08 17:00:00+00:00,16.84,16.85,16.33,16.525,50241.0,884.0,16.637424
JRVR,2023-08-08 18:00:00+00:00,16.48,16.59,16.3,16.3,18764.0,442.0,16.440254
JRVR,2023-08-08 19:00:00+00:00,16.315,16.51,16.25,16.29,75288.0,1628.0,16.341531
JRVR,2023-08-08 20:00:00+00:00,16.27,16.27,16.27,16.27,33079.0,8.0,16.27
JRVR,2023-08-09 13:00:00+00:00,16.07,16.09,15.55,15.8,17688.0,424.0,15.881888
JRVR,2023-08-09 14:00:00+00:00,15.79,15.93,15.585,15.6,61640.0,977.0,15.746918
JRVR,2023-08-09 15:00:00+00:00,15.575,15.62,15.46,15.51,55161.0,655.0,15.520107
JRVR,2023-08-09 16:00:00+00:00,15.55,15.72,15.55,15.59,18471.0,410.0,15.639588
JRVR,2023-08-09 17:00:00+00:00,15.6,15.755,15.6,15.65,16595.0,347.0,15.703208
JRVR,2023-08-09 18:00:00+00:00,15.65,15.74,15.59,15.6,22301.0,477.0,15.671112
JRVR,2023-08-09 19:00:00+00:00,15.6081,15.64,15.5,15.59,69701.0,1565.0,15.584084
JRVR,2023-08-09 20:00:00+00:00,15.62,15.62,15.62,15.62,38870.0,10.0,15.62
JRVR,2023-08-10 13:00:00+00:00,15.71,15.72,15.55,15.64,32860.0,389.0,15.622169
JRVR,2023-08-10 14:00:00+00:00,15.68,15.75,15.26,15.27,51974.0,1023.0,15.594509
