symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KBWB,2023-07-17 12:00:00+00:00,42.05,42.05,42.05,42.05,500.0,5.0,42.05
KBWB,2023-07-17 13:00:00+00:00,42.08,42.5,41.97,42.425,105086.0,778.0,42.232107
KBWB,2023-07-17 14:00:00+00:00,42.49,42.58,42.27,42.57,56257.0,786.0,42.43117
KBWB,2023-07-17 15:00:00+00:00,42.57,42.62,42.42,42.55,68244.0,784.0,42.541595
KBWB,2023-07-17 16:00:00+00:00,42.55,42.6122,42.51,42.5713,40349.0,520.0,42.557733
KBWB,2023-07-17 17:00:00+00:00,42.569,42.7,42.5606,42.5963,38901.0,500.0,42.641837
KBWB,2023-07-17 18:00:00+00:00,42.595,42.685,42.55,42.63,37923.0,544.0,42.637088
KBWB,2023-07-17 19:00:00+00:00,42.63,42.64,42.54,42.57,103548.0,1116.0,42.585772
KBWB,2023-07-17 20:00:00+00:00,42.57,42.58,42.57,42.58,1447.0,2.0,42.574057
KBWB,2023-07-17 21:00:00+00:00,42.57,42.58,42.57,42.58,4776.0,11.0,42.579422
KBWB,2023-07-17 22:00:00+00:00,42.51,42.51,42.51,42.51,400.0,2.0,42.51
KBWB,2023-07-18 11:00:00+00:00,42.7,42.7,42.7,42.7,201.0,4.0,42.664527
KBWB,2023-07-18 12:00:00+00:00,42.54,42.54,42.4,42.4,971.0,8.0,42.492328
KBWB,2023-07-18 13:00:00+00:00,42.69,43.59,42.29,43.59,131543.0,1017.0,43.125677
KBWB,2023-07-18 14:00:00+00:00,43.61,43.75,43.52,43.56,153269.0,1860.0,43.632186
KBWB,2023-07-18 15:00:00+00:00,43.59,43.91,43.59,43.71,165071.0,1483.0,43.745239
KBWB,2023-07-18 16:00:00+00:00,43.71,43.805,43.66,43.7117,50389.0,866.0,43.721614
KBWB,2023-07-18 17:00:00+00:00,43.74,43.785,43.68,43.715,37751.0,771.0,43.722699
KBWB,2023-07-18 18:00:00+00:00,43.705,43.775,43.6791,43.765,129222.0,1032.0,43.734039
KBWB,2023-07-18 19:00:00+00:00,43.765,43.89,43.74,43.88,172640.0,1394.0,43.836385
KBWB,2023-07-18 20:00:00+00:00,43.87,44.2,43.87,44.19,4663.0,23.0,43.937109
KBWB,2023-07-18 22:00:00+00:00,44.06,44.06,44.06,44.06,432.0,5.0,44.055255
KBWB,2023-07-19 13:00:00+00:00,44.05,44.49,43.95,44.49,279192.0,1617.0,44.191657
KBWB,2023-07-19 14:00:00+00:00,44.49,44.89,44.44,44.8,366679.0,3816.0,44.716964
KBWB,2023-07-19 15:00:00+00:00,44.8,45.01,44.635,45.01,1387501.0,2136.0,44.923253
KBWB,2023-07-19 16:00:00+00:00,45.02,45.06,44.81,44.99,167219.0,1513.0,44.970723
KBWB,2023-07-19 17:00:00+00:00,44.995,45.09,44.93,45.08,644615.0,5491.0,45.033198
KBWB,2023-07-19 18:00:00+00:00,45.09,45.24,45.02,45.22,503532.0,3895.0,45.188509
KBWB,2023-07-19 19:00:00+00:00,45.215,45.23,45.02,45.03,1450194.0,10321.0,45.136257
KBWB,2023-07-19 20:00:00+00:00,45.07,45.0781,45.0,45.0,5003393.0,3.0,45.078043
KBWB,2023-07-20 08:00:00+00:00,45.0,45.25,45.0,45.25,200.0,2.0,45.125
KBWB,2023-07-20 12:00:00+00:00,45.09,45.09,45.0,45.0,673.0,10.0,45.065379
KBWB,2023-07-20 13:00:00+00:00,40.85,45.31,40.85,45.1,242401.0,1834.0,45.079988
KBWB,2023-07-20 14:00:00+00:00,45.151,45.17,44.78,44.97,259153.0,2571.0,44.914697
KBWB,2023-07-20 15:00:00+00:00,44.98,45.11,44.83,45.1,156775.0,1896.0,44.914606
KBWB,2023-07-20 16:00:00+00:00,45.13,45.26,45.065,45.17,1820048.0,3621.0,45.169677
KBWB,2023-07-20 17:00:00+00:00,45.17,45.255,45.13,45.24,357211.0,2142.0,45.198386
KBWB,2023-07-20 18:00:00+00:00,45.235,45.3,45.17,45.29,209516.0,1504.0,45.243225
KBWB,2023-07-20 19:00:00+00:00,45.2875,45.345,45.21,45.33,254426.0,2266.0,45.288601
KBWB,2023-07-20 20:00:00+00:00,45.33,45.35,45.33,45.33,5483.0,3.0,45.330365
KBWB,2023-07-20 21:00:00+00:00,45.0,45.0,45.0,45.0,500.0,4.0,45.0234
KBWB,2023-07-21 10:00:00+00:00,45.33,45.33,45.33,45.33,260.0,4.0,45.372308
KBWB,2023-07-21 12:00:00+00:00,45.5,45.5,45.5,45.5,160.0,2.0,45.53125
KBWB,2023-07-21 13:00:00+00:00,45.5,45.63,44.81,44.97,172758.0,979.0,45.182831
KBWB,2023-07-21 14:00:00+00:00,44.98,45.135,44.8001,44.85,155446.0,1382.0,44.96789
KBWB,2023-07-21 15:00:00+00:00,44.83,45.115,44.73,45.115,152519.0,862.0,44.922862
KBWB,2023-07-21 16:00:00+00:00,45.09,45.09,44.9,44.96,36457.0,364.0,44.990659
KBWB,2023-07-21 17:00:00+00:00,44.96,45.09,44.96,45.09,90379.0,328.0,45.008474
KBWB,2023-07-21 18:00:00+00:00,45.09,45.1187,45.02,45.06,35701.0,336.0,45.074487
