symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KREF,2023-07-17 13:00:00+00:00,12.94,12.98,12.87,12.97,11765.0,161.0,12.930858
KREF,2023-07-17 14:00:00+00:00,12.96,13.005,12.91,12.99,67776.0,561.0,12.950232
KREF,2023-07-17 15:00:00+00:00,12.99,13.0115,12.945,12.95,34730.0,357.0,12.978488
KREF,2023-07-17 16:00:00+00:00,12.95,12.96,12.871,12.875,51445.0,444.0,12.932259
KREF,2023-07-17 17:00:00+00:00,12.87,12.89,12.8199,12.825,41535.0,603.0,12.861965
KREF,2023-07-17 18:00:00+00:00,12.8212,12.95,12.82,12.935,42464.0,642.0,12.889728
KREF,2023-07-17 19:00:00+00:00,12.935,12.965,12.86,12.86,87951.0,1321.0,12.910439
KREF,2023-07-17 20:00:00+00:00,12.86,12.86,12.86,12.86,69851.0,8.0,12.86
KREF,2023-07-17 23:00:00+00:00,13.1,13.1,13.1,13.1,899.0,1.0,13.1
KREF,2023-07-18 12:00:00+00:00,12.86,12.86,12.86,12.86,101.0,2.0,12.86
KREF,2023-07-18 13:00:00+00:00,12.87,13.07,12.87,13.05,30865.0,256.0,12.971378
KREF,2023-07-18 14:00:00+00:00,13.065,13.15,12.95,13.0,35170.0,713.0,13.052898
KREF,2023-07-18 15:00:00+00:00,13.01,13.025,12.93,12.955,22767.0,363.0,12.980663
KREF,2023-07-18 16:00:00+00:00,12.97,13.01,12.97,13.01,35996.0,395.0,12.992532
KREF,2023-07-18 17:00:00+00:00,13.025,13.05,12.93,12.97,45726.0,492.0,12.995856
KREF,2023-07-18 18:00:00+00:00,12.965,13.01,12.9,12.905,31984.0,490.0,12.971232
KREF,2023-07-18 19:00:00+00:00,12.9,12.965,12.895,12.93,111769.0,1378.0,12.937344
KREF,2023-07-18 20:00:00+00:00,12.94,12.94,12.94,12.94,70614.0,13.0,12.94
KREF,2023-07-18 22:00:00+00:00,13.02,13.02,13.02,13.02,200.0,1.0,13.02
KREF,2023-07-18 23:00:00+00:00,12.86,12.86,12.86,12.86,201.0,1.0,12.86
KREF,2023-07-19 13:00:00+00:00,12.98,13.07,12.97,13.07,35438.0,251.0,13.022407
KREF,2023-07-19 14:00:00+00:00,13.08,13.0979,12.9862,13.01,34417.0,511.0,13.052102
