symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KTB,2023-07-17 13:00:00+00:00,38.88,38.955,38.49,38.855,11043.0,161.0,38.762197
KTB,2023-07-17 14:00:00+00:00,38.91,39.19,38.75,39.06,29098.0,705.0,38.960042
KTB,2023-07-17 15:00:00+00:00,38.9983,39.355,38.98,39.355,32010.0,1015.0,39.143202
KTB,2023-07-17 16:00:00+00:00,39.38,39.6442,39.35,39.58,29926.0,887.0,39.498745
KTB,2023-07-17 17:00:00+00:00,39.595,39.7,39.53,39.57,23060.0,594.0,39.605179
KTB,2023-07-17 18:00:00+00:00,39.59,39.75,39.58,39.72,25776.0,683.0,39.681355
KTB,2023-07-17 19:00:00+00:00,39.72,39.78,39.57,39.57,94007.0,2200.0,39.665251
KTB,2023-07-17 20:00:00+00:00,39.6,39.6,39.6,39.6,47708.0,11.0,39.6
KTB,2023-07-18 13:00:00+00:00,39.38,40.13,39.38,40.09,14991.0,410.0,39.867131
KTB,2023-07-18 14:00:00+00:00,40.1208,40.259,39.95,40.03,22865.0,779.0,40.073529
KTB,2023-07-18 15:00:00+00:00,39.99,39.99,39.61,39.78,28774.0,715.0,39.822998
KTB,2023-07-18 16:00:00+00:00,39.7677,39.85,39.675,39.838,20271.0,565.0,39.765753
KTB,2023-07-18 17:00:00+00:00,39.84,40.17,39.84,40.12,19341.0,515.0,39.991972
KTB,2023-07-18 18:00:00+00:00,40.13,40.174,40.04,40.15,22280.0,700.0,40.107201
KTB,2023-07-18 19:00:00+00:00,40.14,40.2,40.02,40.11,74128.0,1985.0,40.10602
KTB,2023-07-18 20:00:00+00:00,40.11,40.11,40.11,40.11,39639.0,14.0,40.11
KTB,2023-07-19 13:00:00+00:00,40.01,40.28,40.01,40.13,9379.0,359.0,40.15321
KTB,2023-07-19 14:00:00+00:00,40.11,40.265,40.0,40.11,38832.0,965.0,40.109642
KTB,2023-07-19 15:00:00+00:00,40.1099,40.3199,39.88,40.29,26152.0,669.0,40.109049
KTB,2023-07-19 16:00:00+00:00,40.29,40.54,40.21,40.49,27305.0,717.0,40.369489
KTB,2023-07-19 17:00:00+00:00,40.46,40.55,40.36,40.41,24709.0,648.0,40.441624
KTB,2023-07-19 18:00:00+00:00,40.41,40.6158,40.33,40.555,39646.0,1017.0,40.462152
KTB,2023-07-19 19:00:00+00:00,40.555,40.79,40.555,40.76,87308.0,1999.0,40.68518
KTB,2023-07-19 20:00:00+00:00,40.76,40.76,40.76,40.76,45778.0,12.0,40.76
KTB,2023-07-20 13:00:00+00:00,40.81,40.81,40.21,40.39,9891.0,192.0,40.551926
KTB,2023-07-20 14:00:00+00:00,40.45,40.46,40.09,40.32,20588.0,800.0,40.260147
KTB,2023-07-20 15:00:00+00:00,40.32,40.78,40.32,40.76,28894.0,998.0,40.597094
KTB,2023-07-20 16:00:00+00:00,40.77,40.96,40.67,40.91,45411.0,1164.0,40.786774
KTB,2023-07-20 17:00:00+00:00,40.905,41.04,40.89,40.93,42891.0,1066.0,40.973782
KTB,2023-07-20 18:00:00+00:00,40.93,41.13,40.91,41.0,37879.0,1290.0,41.02817
KTB,2023-07-20 19:00:00+00:00,41.005,41.05,40.8,40.87,139668.0,2898.0,40.942635
KTB,2023-07-20 20:00:00+00:00,40.87,40.87,40.87,40.87,63725.0,15.0,40.87
KTB,2023-07-21 13:00:00+00:00,41.2,41.35,40.7,40.73,37937.0,183.0,41.151381
KTB,2023-07-21 14:00:00+00:00,40.81,41.2,40.71,41.09,41548.0,844.0,40.947425
KTB,2023-07-21 15:00:00+00:00,41.04,41.445,41.035,41.44,45365.0,1042.0,41.313713
KTB,2023-07-21 16:00:00+00:00,41.43,41.55,40.95,41.0,32911.0,604.0,41.316223
KTB,2023-07-21 17:00:00+00:00,41.02,41.16,40.96,41.085,32008.0,701.0,41.055453
KTB,2023-07-21 18:00:00+00:00,41.08,41.08,40.76,40.77,38560.0,845.0,40.870625
KTB,2023-07-21 19:00:00+00:00,40.72,40.72,40.34,40.39,121152.0,2488.0,40.435033
KTB,2023-07-21 20:00:00+00:00,40.39,40.39,40.39,40.39,81281.0,8.0,40.39
KTB,2023-07-24 13:00:00+00:00,40.21,41.18,40.0,40.895,17140.0,323.0,40.617284
KTB,2023-07-24 14:00:00+00:00,40.86,41.05,40.33,40.68,35946.0,721.0,40.655461
KTB,2023-07-24 15:00:00+00:00,40.71,41.04,40.66,41.035,64647.0,1000.0,40.901679
KTB,2023-07-24 16:00:00+00:00,41.035,41.14,40.96,41.105,36418.0,797.0,41.062554
KTB,2023-07-24 17:00:00+00:00,41.09,41.27,41.05,41.12,27630.0,633.0,41.161677
KTB,2023-07-24 18:00:00+00:00,41.04,41.22,41.02,41.075,44312.0,967.0,41.095228
KTB,2023-07-24 19:00:00+00:00,41.075,41.195,40.88,41.13,148074.0,2415.0,41.07978
KTB,2023-07-24 20:00:00+00:00,41.12,41.12,41.12,41.12,60217.0,11.0,41.12
KTB,2023-07-25 13:00:00+00:00,41.3,41.66,41.03,41.03,25658.0,521.0,41.432618
KTB,2023-07-25 14:00:00+00:00,41.12,41.55,41.11,41.53,18568.0,611.0,41.348449
KTB,2023-07-25 15:00:00+00:00,41.54,41.76,41.4325,41.57,32067.0,932.0,41.570075
KTB,2023-07-25 16:00:00+00:00,41.54,41.63,41.43,41.51,16120.0,475.0,41.533948
KTB,2023-07-25 17:00:00+00:00,41.48,41.6,41.44,41.59,16094.0,476.0,41.523073
KTB,2023-07-25 18:00:00+00:00,41.59,41.67,41.42,41.65,35194.0,863.0,41.574953
KTB,2023-07-25 19:00:00+00:00,41.68,41.72,41.38,41.41,101456.0,2110.0,41.511002
KTB,2023-07-25 20:00:00+00:00,41.41,41.41,41.41,41.41,64706.0,21.0,41.41
KTB,2023-07-26 13:00:00+00:00,41.52,42.45,41.52,42.19,18398.0,328.0,42.093871
KTB,2023-07-26 14:00:00+00:00,42.13,42.13,41.8825,42.09,22985.0,638.0,42.018045
KTB,2023-07-26 15:00:00+00:00,42.065,42.45,42.01,42.45,20057.0,685.0,42.221395
KTB,2023-07-26 16:00:00+00:00,42.45,42.57,42.2,42.25,22726.0,669.0,42.391657
KTB,2023-07-26 17:00:00+00:00,42.25,42.29,42.1,42.15,24067.0,659.0,42.18723
KTB,2023-07-26 18:00:00+00:00,42.11,42.4,42.06,42.28,54551.0,1370.0,42.210748
KTB,2023-07-26 19:00:00+00:00,42.28,42.45,42.09,42.24,138775.0,2775.0,42.260327
KTB,2023-07-26 20:00:00+00:00,42.24,42.24,42.24,42.24,43144.0,17.0,42.24
KTB,2023-07-27 13:00:00+00:00,42.34,42.62,42.3,42.475,17250.0,245.0,42.402697
KTB,2023-07-27 14:00:00+00:00,42.54,42.54,42.28,42.32,18290.0,528.0,42.399519
KTB,2023-07-27 15:00:00+00:00,42.309,42.38,42.14,42.27,18237.0,433.0,42.276335
KTB,2023-07-27 16:00:00+00:00,42.295,42.49,42.2704,42.28,11846.0,290.0,42.394429
KTB,2023-07-27 17:00:00+00:00,42.31,42.33,41.99,42.13,25482.0,489.0,42.139438
KTB,2023-07-27 18:00:00+00:00,42.15,42.18,41.61,41.64,24325.0,672.0,41.902525
KTB,2023-07-27 19:00:00+00:00,41.62,41.77,41.44,41.61,111657.0,2123.0,41.59348
KTB,2023-07-27 20:00:00+00:00,41.6,41.6,41.6,41.6,95382.0,16.0,41.6
KTB,2023-07-28 13:00:00+00:00,41.85,42.1,41.58,41.735,21318.0,244.0,41.87784
KTB,2023-07-28 14:00:00+00:00,41.67,42.18,41.67,42.18,27774.0,514.0,41.911727
KTB,2023-07-28 15:00:00+00:00,42.15,42.29,42.0501,42.21,27525.0,474.0,42.207585
KTB,2023-07-28 16:00:00+00:00,42.215,42.215,41.95,41.95,13024.0,291.0,42.056254
KTB,2023-07-28 17:00:00+00:00,41.94,42.12,41.875,42.1,21852.0,519.0,41.992886
KTB,2023-07-28 18:00:00+00:00,42.13,42.15,41.99,42.02,29290.0,698.0,42.089528
KTB,2023-07-28 19:00:00+00:00,42.03,42.27,42.005,42.22,89218.0,1891.0,42.170196
KTB,2023-07-28 20:00:00+00:00,42.22,42.24,42.22,42.24,50038.0,11.0,42.23996
KTB,2023-07-31 13:00:00+00:00,42.63,42.9,42.63,42.795,9035.0,148.0,42.744408
KTB,2023-07-31 14:00:00+00:00,42.79,42.89,42.46,42.59,17258.0,529.0,42.622265
KTB,2023-07-31 15:00:00+00:00,42.595,42.76,42.54,42.61,22042.0,605.0,42.659847
KTB,2023-07-31 16:00:00+00:00,42.63,42.72,42.55,42.64,17234.0,494.0,42.626096
KTB,2023-07-31 17:00:00+00:00,42.6,42.66,42.5,42.6046,21849.0,565.0,42.587841
KTB,2023-07-31 18:00:00+00:00,42.6,42.63,42.37,42.455,22096.0,604.0,42.448581
KTB,2023-07-31 19:00:00+00:00,42.43,42.4714,42.13,42.35,118701.0,2538.0,42.288128
KTB,2023-07-31 20:00:00+00:00,42.36,42.36,42.36,42.36,99793.0,22.0,42.36
KTB,2023-08-01 13:00:00+00:00,42.21,42.54,41.75,42.41,44220.0,346.0,42.383724
KTB,2023-08-01 14:00:00+00:00,42.39,42.4,41.58,41.6,65828.0,1336.0,41.930663
KTB,2023-08-01 15:00:00+00:00,41.665,41.9,41.59,41.89,29537.0,893.0,41.808916
KTB,2023-08-01 16:00:00+00:00,41.87,41.87,41.7,41.81,23676.0,739.0,41.794082
KTB,2023-08-01 17:00:00+00:00,41.84,41.84,41.54,41.71,35773.0,776.0,41.652187
KTB,2023-08-01 18:00:00+00:00,41.67,41.74,41.59,41.62,37764.0,1003.0,41.641326
KTB,2023-08-01 19:00:00+00:00,41.62,41.7,41.36,41.53,198758.0,3436.0,41.531754
KTB,2023-08-01 20:00:00+00:00,41.52,41.52,41.52,41.52,72638.0,20.0,41.52
KTB,2023-08-02 13:00:00+00:00,41.0,41.19,40.67,40.88,19723.0,315.0,40.901605
KTB,2023-08-02 14:00:00+00:00,40.873,41.1,40.63,40.665,84960.0,1472.0,40.842772
KTB,2023-08-02 15:00:00+00:00,40.58,40.645,40.295,40.435,63161.0,1343.0,40.49898
KTB,2023-08-02 16:00:00+00:00,40.42,40.83,40.345,40.73,29865.0,763.0,40.592473
KTB,2023-08-02 17:00:00+00:00,40.73,40.785,40.58,40.61,36447.0,698.0,40.710287
KTB,2023-08-02 18:00:00+00:00,40.615,40.69,40.52,40.57,45614.0,944.0,40.611324
KTB,2023-08-02 19:00:00+00:00,40.59,40.65,40.42,40.64,202117.0,3225.0,40.556104
KTB,2023-08-02 20:00:00+00:00,40.63,40.63,40.63,40.63,66466.0,19.0,40.63
KTB,2023-08-03 11:00:00+00:00,41.25,41.25,41.25,41.25,300.0,1.0,41.25
KTB,2023-08-03 13:00:00+00:00,43.42,46.93,43.29,46.2401,106943.0,1486.0,45.511167
KTB,2023-08-03 14:00:00+00:00,46.285,47.9,46.285,47.725,166449.0,5992.0,47.154576
KTB,2023-08-03 15:00:00+00:00,47.67,48.42,47.3152,48.14,115469.0,2568.0,47.947534
KTB,2023-08-03 16:00:00+00:00,48.12,48.34,46.91,47.29,97157.0,1940.0,47.742744
KTB,2023-08-03 17:00:00+00:00,47.3,48.27,47.23,47.84,96378.0,1871.0,47.977198
KTB,2023-08-03 18:00:00+00:00,47.9,48.26,47.86,47.8925,88782.0,1804.0,48.027192
KTB,2023-08-03 19:00:00+00:00,47.89,48.38,47.72,47.86,294492.0,4780.0,47.973719
KTB,2023-08-03 20:00:00+00:00,47.82,47.82,47.82,47.82,89614.0,27.0,47.82
KTB,2023-08-04 13:00:00+00:00,48.21,48.82,48.04,48.09,61922.0,563.0,48.431256
KTB,2023-08-04 14:00:00+00:00,48.16,48.8,47.78,48.57,86147.0,2274.0,48.39991
KTB,2023-08-04 15:00:00+00:00,48.555,48.86,48.37,48.46,56991.0,1515.0,48.580519
KTB,2023-08-04 16:00:00+00:00,48.48,48.69,48.28,48.39,50736.0,1357.0,48.51183
KTB,2023-08-04 17:00:00+00:00,48.44,48.54,48.09,48.165,50400.0,1373.0,48.265988
KTB,2023-08-04 18:00:00+00:00,48.21,48.25,47.565,47.68,68375.0,1542.0,47.984239
KTB,2023-08-04 19:00:00+00:00,47.65,47.8,47.34,47.37,228286.0,3827.0,47.52618
KTB,2023-08-04 20:00:00+00:00,47.36,47.36,47.36,47.36,69205.0,10.0,47.36
KTB,2023-08-07 12:00:00+00:00,48.86,48.86,48.86,48.86,100.0,1.0,48.86
KTB,2023-08-07 13:00:00+00:00,47.51,47.78,47.33,47.485,15533.0,301.0,47.535253
KTB,2023-08-07 14:00:00+00:00,47.51,48.165,47.34,47.63,40434.0,1143.0,47.862418
KTB,2023-08-07 15:00:00+00:00,47.68,47.77,47.38,47.57,39618.0,1050.0,47.559644
KTB,2023-08-07 16:00:00+00:00,47.54,47.86,47.44,47.735,28210.0,795.0,47.609961
KTB,2023-08-07 17:00:00+00:00,47.735,47.76,47.39,47.55,19452.0,644.0,47.605106
KTB,2023-08-07 18:00:00+00:00,47.55,47.625,47.38,47.385,34597.0,1013.0,47.493331
KTB,2023-08-07 19:00:00+00:00,47.41,47.6,47.33,47.53,106972.0,2453.0,47.52185
KTB,2023-08-07 20:00:00+00:00,47.53,47.53,47.53,47.53,59251.0,18.0,47.53
KTB,2023-08-08 13:00:00+00:00,47.0,47.15,46.515,46.785,15967.0,356.0,46.824945
KTB,2023-08-08 14:00:00+00:00,46.7,46.82,46.22,46.746,68514.0,1665.0,46.575533
KTB,2023-08-08 15:00:00+00:00,46.68,46.74,46.48,46.61,29579.0,1002.0,46.621543
KTB,2023-08-08 16:00:00+00:00,46.6,46.765,46.56,46.765,24928.0,867.0,46.656651
KTB,2023-08-08 17:00:00+00:00,46.76,46.99,46.76,46.99,27359.0,813.0,46.8318
KTB,2023-08-08 18:00:00+00:00,47.0,47.04,46.76,47.01,48811.0,1356.0,46.905925
KTB,2023-08-08 19:00:00+00:00,47.025,47.24,46.86,47.24,118946.0,2763.0,47.054172
KTB,2023-08-08 20:00:00+00:00,47.24,47.24,47.24,47.24,55393.0,18.0,47.24
KTB,2023-08-09 13:00:00+00:00,47.03,47.04,46.59,46.84,12613.0,364.0,46.870257
KTB,2023-08-09 14:00:00+00:00,46.77,46.9,46.44,46.44,30515.0,988.0,46.686401
KTB,2023-08-09 15:00:00+00:00,46.43,46.44,46.085,46.19,42890.0,738.0,46.339184
KTB,2023-08-09 16:00:00+00:00,46.17,46.33,46.08,46.29,21292.0,667.0,46.184497
KTB,2023-08-09 17:00:00+00:00,46.26,46.67,46.26,46.58,24071.0,705.0,46.474805
KTB,2023-08-09 18:00:00+00:00,46.58,46.9,46.58,46.73,24341.0,827.0,46.748217
KTB,2023-08-09 19:00:00+00:00,46.74,46.79,46.48,46.62,87508.0,2359.0,46.609275
KTB,2023-08-09 20:00:00+00:00,46.61,46.61,46.61,46.61,70391.0,29.0,46.61
KTB,2023-08-10 13:00:00+00:00,46.59,47.0613,46.565,46.88,18365.0,420.0,46.748439
KTB,2023-08-10 14:00:00+00:00,46.95,47.31,46.65,46.8318,43380.0,1158.0,47.000013
KTB,2023-08-10 15:00:00+00:00,46.83,47.0,46.32,46.54,88622.0,1059.0,46.687017
KTB,2023-08-10 16:00:00+00:00,46.58,46.72,46.23,46.23,26282.0,624.0,46.428502
KTB,2023-08-10 17:00:00+00:00,46.19,46.31,45.97,46.045,39393.0,953.0,46.176807
KTB,2023-08-10 18:00:00+00:00,46.04,46.845,46.04,46.845,57951.0,1332.0,46.307158
KTB,2023-08-10 19:00:00+00:00,46.81,46.81,46.42,46.64,156654.0,3483.0,46.651501
KTB,2023-08-10 20:00:00+00:00,46.64,46.64,46.64,46.64,58467.0,27.0,46.64
KTB,2023-08-11 13:00:00+00:00,46.53,46.995,46.425,46.86,8900.0,192.0,46.629395
KTB,2023-08-11 14:00:00+00:00,46.875,47.65,46.76,47.07,50645.0,1147.0,47.127236
KTB,2023-08-11 15:00:00+00:00,47.12,47.3,47.015,47.29,47302.0,1193.0,47.168887
KTB,2023-08-11 16:00:00+00:00,47.28,47.57,47.19,47.225,46468.0,1147.0,47.42203
KTB,2023-08-11 17:00:00+00:00,47.27,47.65,47.24,47.635,80259.0,1453.0,47.468477
KTB,2023-08-11 18:00:00+00:00,47.635,47.75,47.46,47.585,54549.0,1322.0,47.613895
KTB,2023-08-11 19:00:00+00:00,47.575,47.77,47.43,47.43,145424.0,3338.0,47.574815
KTB,2023-08-11 20:00:00+00:00,47.45,47.45,47.45,47.45,64319.0,17.0,47.45
KTB,2023-08-14 13:00:00+00:00,47.21,47.63,46.96,47.05,16877.0,377.0,47.270188
KTB,2023-08-14 14:00:00+00:00,47.155,47.725,47.05,47.725,42929.0,1099.0,47.373074
KTB,2023-08-14 15:00:00+00:00,47.705,47.93,47.4,47.92,38571.0,1081.0,47.74725
KTB,2023-08-14 16:00:00+00:00,47.925,48.31,47.925,48.22,40777.0,1108.0,48.098512
KTB,2023-08-14 17:00:00+00:00,48.25,48.5,48.22,48.5,33102.0,1026.0,48.367933
KTB,2023-08-14 18:00:00+00:00,48.52,48.63,48.45,48.63,57169.0,1577.0,48.532126
KTB,2023-08-14 19:00:00+00:00,48.64,49.02,48.62,48.84,202518.0,4218.0,48.840747
KTB,2023-08-14 20:00:00+00:00,48.84,48.84,48.84,48.84,66416.0,17.0,48.84
