symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LBRDA,2023-07-17 13:00:00+00:00,81.4,81.52,80.6,81.52,12415.0,266.0,81.084807
LBRDA,2023-07-17 14:00:00+00:00,81.57,81.59,81.18,81.56,4732.0,167.0,81.388808
LBRDA,2023-07-17 15:00:00+00:00,81.43,81.515,80.96,81.4075,6327.0,267.0,81.248025
LBRDA,2023-07-17 16:00:00+00:00,81.44,81.6799,81.3173,81.5,6273.0,167.0,81.476201
LBRDA,2023-07-17 17:00:00+00:00,81.39,81.6,81.28,81.55,6470.0,243.0,81.518164
LBRDA,2023-07-17 18:00:00+00:00,81.71,81.76,81.61,81.76,3986.0,152.0,81.663792
LBRDA,2023-07-17 19:00:00+00:00,81.84,81.88,81.44,81.58,26298.0,948.0,81.65827
LBRDA,2023-07-17 20:00:00+00:00,81.56,81.56,81.56,81.56,5793.0,4.0,81.56
LBRDA,2023-07-18 13:00:00+00:00,81.51,84.75,81.51,84.6799,12296.0,263.0,83.668946
LBRDA,2023-07-18 14:00:00+00:00,84.52,84.78,83.94,84.1575,8999.0,231.0,84.357326
LBRDA,2023-07-18 15:00:00+00:00,84.1599,84.22,83.59,83.675,7721.0,147.0,83.981473
LBRDA,2023-07-18 16:00:00+00:00,83.645,83.65,83.11,83.45,6894.0,192.0,83.337688
LBRDA,2023-07-18 17:00:00+00:00,83.42,83.61,83.34,83.59,4161.0,133.0,83.472307
LBRDA,2023-07-18 18:00:00+00:00,83.645,84.21,83.645,84.15,29036.0,699.0,84.030074
LBRDA,2023-07-18 19:00:00+00:00,84.06,84.86,84.03,84.64,32801.0,911.0,84.62138
LBRDA,2023-07-18 20:00:00+00:00,84.58,84.58,84.58,84.58,12043.0,11.0,84.58
LBRDA,2023-07-19 13:00:00+00:00,85.25,86.29,85.25,85.99,13939.0,241.0,85.789873
LBRDA,2023-07-19 14:00:00+00:00,86.16,86.75,86.09,86.39,18460.0,455.0,86.445128
LBRDA,2023-07-19 15:00:00+00:00,86.41,86.65,86.26,86.38,13425.0,328.0,86.422512
LBRDA,2023-07-19 16:00:00+00:00,86.43,86.53,86.1012,86.53,12755.0,328.0,86.269954
LBRDA,2023-07-19 17:00:00+00:00,86.51,86.51,86.2,86.34,15764.0,289.0,86.274921
LBRDA,2023-07-19 18:00:00+00:00,86.31,86.4,86.11,86.23,7510.0,197.0,86.258127
LBRDA,2023-07-19 19:00:00+00:00,86.27,86.34,85.74,85.78,76374.0,1689.0,85.912934
LBRDA,2023-07-19 20:00:00+00:00,85.87,85.87,85.87,85.87,56579.0,7.0,85.87
LBRDA,2023-07-20 13:00:00+00:00,85.11,86.42,85.11,86.28,8926.0,176.0,86.060672
LBRDA,2023-07-20 14:00:00+00:00,86.36,86.94,86.185,86.53,31083.0,437.0,86.433562
LBRDA,2023-07-20 15:00:00+00:00,86.66,87.5,86.53,87.48,10529.0,245.0,87.083469
LBRDA,2023-07-20 16:00:00+00:00,87.555,87.585,86.72,87.12,8276.0,266.0,87.254088
LBRDA,2023-07-20 17:00:00+00:00,87.22,87.34,87.08,87.31,5589.0,151.0,87.200889
LBRDA,2023-07-20 18:00:00+00:00,87.32,87.81,87.17,87.74,36536.0,747.0,87.524909
LBRDA,2023-07-20 19:00:00+00:00,87.77,87.77,87.33,87.42,68083.0,1595.0,87.489644
LBRDA,2023-07-20 20:00:00+00:00,87.41,87.41,87.41,87.41,25074.0,5.0,87.41
LBRDA,2023-07-21 13:00:00+00:00,88.14,88.81,87.035,87.075,14283.0,332.0,88.146935
LBRDA,2023-07-21 14:00:00+00:00,87.09,87.81,86.975,87.1,11631.0,483.0,87.439365
LBRDA,2023-07-21 15:00:00+00:00,87.2,87.81,87.08,87.61,3951.0,157.0,87.467711
LBRDA,2023-07-21 16:00:00+00:00,87.66,87.66,87.15,87.27,4467.0,140.0,87.280369
LBRDA,2023-07-21 17:00:00+00:00,87.17,87.68,87.17,87.68,3178.0,179.0,87.401309
LBRDA,2023-07-21 18:00:00+00:00,87.64,87.64,87.37,87.39,2600.0,81.0,87.508452
LBRDA,2023-07-21 19:00:00+00:00,87.33,87.75,87.18,87.56,43780.0,1225.0,87.546152
