symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LC,2023-07-17 10:00:00+00:00,9.88,9.88,9.88,9.88,108.0,3.0,9.884444
LC,2023-07-17 13:00:00+00:00,9.87,10.04,9.8,10.03,56423.0,756.0,9.939185
LC,2023-07-17 14:00:00+00:00,10.0491,10.15,10.04,10.15,77279.0,1138.0,10.087119
LC,2023-07-17 15:00:00+00:00,10.15,10.265,10.1396,10.25,191304.0,1879.0,10.210231
LC,2023-07-17 16:00:00+00:00,10.255,10.3,10.25,10.27,71567.0,1367.0,10.270438
LC,2023-07-17 17:00:00+00:00,10.27,10.31,10.25,10.265,86804.0,1135.0,10.281524
LC,2023-07-17 18:00:00+00:00,10.27,10.285,10.26,10.28,52033.0,1033.0,10.27348
LC,2023-07-17 19:00:00+00:00,10.28,10.355,10.27,10.33,822545.0,3995.0,10.308812
LC,2023-07-17 20:00:00+00:00,10.33,10.36,10.31,10.31,102998.0,21.0,10.329998
LC,2023-07-17 21:00:00+00:00,10.4,10.4,10.4,10.4,400.0,2.0,10.4
LC,2023-07-18 08:00:00+00:00,10.49,10.49,10.49,10.49,200.0,1.0,10.49
LC,2023-07-18 12:00:00+00:00,10.37,10.37,10.36,10.36,1103.0,3.0,10.360907
LC,2023-07-18 13:00:00+00:00,10.4,10.69,10.36,10.69,570658.0,2429.0,10.521146
LC,2023-07-18 14:00:00+00:00,10.685,10.69,10.38,10.38,436914.0,3649.0,10.534252
LC,2023-07-18 15:00:00+00:00,10.38,10.435,10.32,10.32,172694.0,2213.0,10.37916
LC,2023-07-18 16:00:00+00:00,10.32,10.385,10.3,10.32,171014.0,1864.0,10.338877
LC,2023-07-18 17:00:00+00:00,10.315,10.365,10.3,10.3325,141866.0,1393.0,10.334379
LC,2023-07-18 18:00:00+00:00,10.34,10.47,10.34,10.445,109795.0,1313.0,10.428016
LC,2023-07-18 19:00:00+00:00,10.445,10.505,10.4,10.42,367746.0,2793.0,10.435294
LC,2023-07-18 20:00:00+00:00,10.42,10.42,10.42,10.42,94146.0,14.0,10.42
LC,2023-07-18 23:00:00+00:00,10.65,10.65,10.65,10.65,200.0,1.0,10.65
LC,2023-07-19 13:00:00+00:00,10.48,10.58,10.44,10.535,293679.0,1379.0,10.506696
LC,2023-07-19 14:00:00+00:00,10.535,10.68,10.415,10.68,433661.0,3258.0,10.56245
LC,2023-07-19 15:00:00+00:00,10.68,10.9199,10.625,10.755,835974.0,5058.0,10.789567
LC,2023-07-19 16:00:00+00:00,10.755,10.84,10.645,10.65,395709.0,2380.0,10.752511
LC,2023-07-19 17:00:00+00:00,10.655,10.66,10.6,10.645,245061.0,1975.0,10.635469
LC,2023-07-19 18:00:00+00:00,10.645,10.72,10.64,10.72,173901.0,1608.0,10.683067
LC,2023-07-19 19:00:00+00:00,10.715,10.7901,10.715,10.79,505302.0,4729.0,10.757529
LC,2023-07-19 20:00:00+00:00,10.78,10.83,10.71,10.83,111813.0,28.0,10.774151
LC,2023-07-19 23:00:00+00:00,10.17,10.57,10.17,10.54,7334.0,30.0,10.304182
LC,2023-07-20 11:00:00+00:00,10.78,10.78,10.78,10.78,201.0,2.0,10.7801
LC,2023-07-20 12:00:00+00:00,10.78,10.81,10.7,10.7,1009.0,6.0,10.760397
LC,2023-07-20 13:00:00+00:00,10.57,10.7,10.51,10.62,156070.0,1429.0,10.612314
LC,2023-07-20 14:00:00+00:00,10.63,10.635,10.32,10.35,259829.0,2984.0,10.424482
LC,2023-07-20 15:00:00+00:00,10.355,10.37,10.28,10.32,405994.0,3872.0,10.329848
LC,2023-07-20 16:00:00+00:00,10.325,10.355,10.29,10.32,289361.0,2704.0,10.327084
LC,2023-07-20 17:00:00+00:00,10.32,10.44,10.265,10.43,119854.0,1320.0,10.342896
LC,2023-07-20 18:00:00+00:00,10.435,10.455,10.315,10.315,104915.0,1301.0,10.382352
LC,2023-07-20 19:00:00+00:00,10.315,10.36,10.28,10.33,407058.0,4211.0,10.329761
LC,2023-07-20 20:00:00+00:00,10.33,10.33,10.33,10.33,110718.0,8.0,10.33
LC,2023-07-21 11:00:00+00:00,10.45,10.45,10.45,10.45,151.0,2.0,10.450066
LC,2023-07-21 13:00:00+00:00,10.49,10.52,10.18,10.2,166866.0,1133.0,10.383689
LC,2023-07-21 14:00:00+00:00,10.205,10.24,10.12,10.15,138649.0,2154.0,10.17104
LC,2023-07-21 15:00:00+00:00,10.14,10.215,10.125,10.16,76933.0,1339.0,10.16667
LC,2023-07-21 16:00:00+00:00,10.16,10.2,10.14,10.175,100120.0,1364.0,10.167295
LC,2023-07-21 17:00:00+00:00,10.175,10.319,10.17,10.305,131091.0,1260.0,10.267093
LC,2023-07-21 18:00:00+00:00,10.305,10.31,10.25,10.265,67164.0,1025.0,10.273356
LC,2023-07-21 19:00:00+00:00,10.265,10.265,10.2,10.23,227794.0,2803.0,10.232262
LC,2023-07-21 20:00:00+00:00,10.22,10.22,10.18,10.22,92099.0,14.0,10.219349
LC,2023-07-21 23:00:00+00:00,10.2,10.2,10.2,10.2,250.0,1.0,10.2
LC,2023-07-24 11:00:00+00:00,10.24,10.24,10.24,10.24,103.0,2.0,10.239126
LC,2023-07-24 12:00:00+00:00,10.22,10.22,10.22,10.22,110.0,1.0,10.22
LC,2023-07-24 13:00:00+00:00,10.22,10.31,10.15,10.17,89021.0,1098.0,10.21935
LC,2023-07-24 14:00:00+00:00,10.175,10.195,10.105,10.14,450266.0,4152.0,10.149997
LC,2023-07-24 15:00:00+00:00,10.16,10.19,10.12,10.17,122626.0,1303.0,10.15612
LC,2023-07-24 16:00:00+00:00,10.175,10.27,10.16,10.245,87007.0,1215.0,10.204857
LC,2023-07-24 17:00:00+00:00,10.245,10.295,10.22,10.225,193310.0,1578.0,10.250134
LC,2023-07-24 18:00:00+00:00,10.225,10.23,10.15,10.18,162533.0,2095.0,10.186061
LC,2023-07-24 19:00:00+00:00,10.17,10.225,10.165,10.21,184637.0,2624.0,10.198335
LC,2023-07-24 20:00:00+00:00,10.2,10.2,10.2,10.2,110168.0,14.0,10.2
LC,2023-07-24 23:00:00+00:00,10.25,10.25,10.25,10.25,100.0,1.0,10.25
LC,2023-07-25 12:00:00+00:00,10.33,10.33,10.33,10.33,1523.0,4.0,10.328122
LC,2023-07-25 13:00:00+00:00,10.26,10.34,10.18,10.21,112409.0,1311.0,10.255687
LC,2023-07-25 14:00:00+00:00,10.22,10.275,10.13,10.17,338178.0,3189.0,10.224074
LC,2023-07-25 15:00:00+00:00,10.17,10.205,10.12,10.17,96097.0,1804.0,10.160003
LC,2023-07-25 16:00:00+00:00,10.17,10.25,10.17,10.24,81357.0,1217.0,10.208407
LC,2023-07-25 17:00:00+00:00,10.23,10.32,10.21,10.29,116373.0,1172.0,10.263883
LC,2023-07-25 18:00:00+00:00,10.2975,10.325,10.19,10.1986,189057.0,2137.0,10.270262
LC,2023-07-25 19:00:00+00:00,10.2,10.22,10.11,10.13,337169.0,3448.0,10.151404
LC,2023-07-25 20:00:00+00:00,10.12,10.12,10.12,10.12,85754.0,11.0,10.12
LC,2023-07-25 23:00:00+00:00,10.22,10.31,10.22,10.31,500.0,6.0,10.275
LC,2023-07-26 11:00:00+00:00,10.22,10.22,10.22,10.22,129.0,2.0,10.22
LC,2023-07-26 12:00:00+00:00,10.23,10.23,10.22,10.22,1800.0,2.0,10.224444
LC,2023-07-26 13:00:00+00:00,10.12,10.3006,10.092,10.28,157082.0,1430.0,10.204791
LC,2023-07-26 14:00:00+00:00,10.29,10.29,10.1,10.11,136286.0,1508.0,10.182362
LC,2023-07-26 15:00:00+00:00,10.11,10.14,10.06,10.09,105935.0,1147.0,10.107005
LC,2023-07-26 16:00:00+00:00,10.09,10.12,10.09,10.12,72071.0,840.0,10.109115
LC,2023-07-26 17:00:00+00:00,10.115,10.2,10.04,10.045,335753.0,2627.0,10.100305
LC,2023-07-26 18:00:00+00:00,10.045,10.17,10.04,10.12,362285.0,3082.0,10.10345
LC,2023-07-26 19:00:00+00:00,10.12,10.1591,10.04,10.13,965140.0,7381.0,10.081984
LC,2023-07-26 20:00:00+00:00,10.13,10.37,9.4,9.53,181807.0,171.0,10.01155
LC,2023-07-26 21:00:00+00:00,9.52,9.53,9.4,9.46,36704.0,53.0,9.438481
LC,2023-07-26 22:00:00+00:00,9.42,9.42,9.4,9.4,1051.0,8.0,9.406679
LC,2023-07-26 23:00:00+00:00,10.13,10.13,9.4,9.4,22542.0,47.0,9.400631
LC,2023-07-27 08:00:00+00:00,9.35,9.35,9.1,9.1,1850.0,13.0,9.24973
LC,2023-07-27 09:00:00+00:00,9.09,9.09,8.48,8.5,2619.0,28.0,8.795766
LC,2023-07-27 10:00:00+00:00,8.78,9.09,8.76,8.98,70245.0,79.0,8.946766
LC,2023-07-27 11:00:00+00:00,9.05,9.07,8.97,9.05,14877.0,108.0,9.009105
LC,2023-07-27 12:00:00+00:00,9.05,9.06,8.5,8.55,49353.0,432.0,8.81579
LC,2023-07-27 13:00:00+00:00,8.59,9.25,8.5631,9.055,1637857.0,8624.0,9.029388
LC,2023-07-27 14:00:00+00:00,9.0518,9.09,8.73,8.87,1644363.0,9926.0,8.925327
LC,2023-07-27 15:00:00+00:00,8.87,8.8701,8.75,8.76,699081.0,5272.0,8.792909
LC,2023-07-27 16:00:00+00:00,8.76,8.82,8.69,8.7,433997.0,3557.0,8.765974
LC,2023-07-27 17:00:00+00:00,8.7,8.74,8.42,8.445,903000.0,6857.0,8.590802
LC,2023-07-27 18:00:00+00:00,8.445,8.5,8.12,8.15,900751.0,6477.0,8.28763
LC,2023-07-27 19:00:00+00:00,8.14,8.14,7.97,8.03,1720396.0,10129.0,8.03906
LC,2023-07-27 20:00:00+00:00,8.04,8.18,8.04,8.08,156605.0,25.0,8.052782
LC,2023-07-27 21:00:00+00:00,8.1,8.1,8.05,8.06,34784.0,76.0,8.052243
LC,2023-07-27 22:00:00+00:00,8.0595,8.0595,8.01,8.04,1366.0,15.0,8.031764
LC,2023-07-27 23:00:00+00:00,8.04,8.0999,8.04,8.05,4070.0,8.0,8.055447
LC,2023-07-28 08:00:00+00:00,8.02,8.02,8.02,8.02,100.0,1.0,8.02
LC,2023-07-28 11:00:00+00:00,8.06,8.06,8.05,8.05,286.0,3.0,8.053497
LC,2023-07-28 12:00:00+00:00,8.09,8.18,8.0899,8.17,12917.0,34.0,8.158717
LC,2023-07-28 13:00:00+00:00,8.18,8.515,8.16,8.49,469495.0,3218.0,8.33326
LC,2023-07-28 14:00:00+00:00,8.5,8.59,8.2901,8.57,827755.0,6124.0,8.445725
LC,2023-07-28 15:00:00+00:00,8.57,8.69,8.45,8.49,698128.0,4388.0,8.576102
LC,2023-07-28 16:00:00+00:00,8.485,8.535,8.42,8.4375,330756.0,2704.0,8.46943
LC,2023-07-28 17:00:00+00:00,8.43,8.43,8.29,8.37,674232.0,4492.0,8.348984
LC,2023-07-28 18:00:00+00:00,8.37,8.45,8.33,8.445,314049.0,2832.0,8.394976
LC,2023-07-28 19:00:00+00:00,8.45,8.455,8.38,8.39,665516.0,4876.0,8.418972
LC,2023-07-28 20:00:00+00:00,8.4,8.4,8.4,8.4,163332.0,8.0,8.4
LC,2023-07-31 10:00:00+00:00,8.35,8.35,8.35,8.35,150.0,5.0,8.350067
LC,2023-07-31 11:00:00+00:00,8.59,8.66,8.59,8.66,500.0,3.0,8.618
LC,2023-07-31 12:00:00+00:00,8.5,8.5,8.49,8.49,355.0,2.0,8.497042
LC,2023-07-31 13:00:00+00:00,8.48,8.745,8.41,8.595,612262.0,4019.0,8.633843
LC,2023-07-31 14:00:00+00:00,8.595,8.65,8.485,8.485,601212.0,4331.0,8.572196
LC,2023-07-31 15:00:00+00:00,8.485,8.57,8.44,8.5315,346691.0,3061.0,8.498869
LC,2023-07-31 16:00:00+00:00,8.535,8.54,8.42,8.42,225419.0,2039.0,8.503187
LC,2023-07-31 17:00:00+00:00,8.42,8.49,8.375,8.47,273557.0,2124.0,8.439333
LC,2023-07-31 18:00:00+00:00,8.475,8.4775,8.365,8.38,300949.0,2647.0,8.414634
LC,2023-07-31 19:00:00+00:00,8.385,8.39,8.33,8.39,886410.0,5806.0,8.362487
LC,2023-07-31 20:00:00+00:00,8.39,8.42,8.39,8.4,403576.0,32.0,8.390024
LC,2023-07-31 21:00:00+00:00,8.3333,8.39,8.33,8.33,550.0,4.0,8.352718
LC,2023-07-31 22:00:00+00:00,8.3304,8.3304,8.3304,8.3304,1005.0,2.0,8.330498
LC,2023-07-31 23:00:00+00:00,8.39,8.39,8.39,8.39,100.0,1.0,8.39
LC,2023-08-01 11:00:00+00:00,8.33,8.33,8.31,8.31,400.0,3.0,8.325
LC,2023-08-01 12:00:00+00:00,8.34,8.3899,8.31,8.3591,5204.0,13.0,8.341571
LC,2023-08-01 13:00:00+00:00,8.3,8.36,8.17,8.21,333603.0,2676.0,8.23774
LC,2023-08-01 14:00:00+00:00,8.21,8.26,8.11,8.135,535025.0,4409.0,8.170383
LC,2023-08-01 15:00:00+00:00,8.13,8.155,8.04,8.04,365983.0,3091.0,8.097899
LC,2023-08-01 16:00:00+00:00,8.04,8.1,8.02,8.065,655268.0,4203.0,8.045744
LC,2023-08-01 17:00:00+00:00,8.065,8.1281,8.045,8.075,441933.0,2823.0,8.082972
LC,2023-08-01 18:00:00+00:00,8.08,8.125,8.06,8.085,714264.0,3522.0,8.092985
LC,2023-08-01 19:00:00+00:00,8.09,8.16,8.08,8.1,760627.0,5435.0,8.11626
LC,2023-08-01 20:00:00+00:00,8.1,8.13,8.1,8.13,134281.0,27.0,8.100022
LC,2023-08-01 21:00:00+00:00,8.09,8.09,8.04,8.05,3373.0,3.0,8.044628
LC,2023-08-01 22:00:00+00:00,8.07,8.07,8.05,8.05,3514.0,7.0,8.053363
LC,2023-08-01 23:00:00+00:00,8.05,8.08,8.05,8.08,1173.0,10.0,8.070657
LC,2023-08-02 08:00:00+00:00,7.84,7.84,7.8,7.8,327.0,4.0,7.811376
LC,2023-08-02 10:00:00+00:00,7.94,7.94,7.94,7.94,100.0,1.0,7.94
LC,2023-08-02 12:00:00+00:00,8.011,8.07,8.0,8.01,3819.0,22.0,8.014045
LC,2023-08-02 13:00:00+00:00,7.99,8.0,7.8399,7.875,258785.0,2006.0,7.893828
LC,2023-08-02 14:00:00+00:00,7.875,7.925,7.65,7.655,409985.0,3461.0,7.783503
LC,2023-08-02 15:00:00+00:00,7.66,7.765,7.65,7.665,263810.0,2463.0,7.709798
LC,2023-08-02 16:00:00+00:00,7.665,7.72,7.63,7.68,305768.0,2123.0,7.675861
LC,2023-08-02 17:00:00+00:00,7.685,7.76,7.65,7.73,332487.0,2247.0,7.706868
LC,2023-08-02 18:00:00+00:00,7.735,7.775,7.695,7.73,501030.0,3141.0,7.738111
LC,2023-08-02 19:00:00+00:00,7.74,7.75,7.63,7.735,703180.0,5664.0,7.701645
