symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LECO,2023-07-17 13:00:00+00:00,198.89,201.21,198.84,200.71,21577.0,454.0,200.527997
LECO,2023-07-17 14:00:00+00:00,200.965,201.79,200.675,201.015,40089.0,962.0,201.10476
LECO,2023-07-17 15:00:00+00:00,201.24,203.16,201.09,203.01,22761.0,989.0,202.391519
LECO,2023-07-17 16:00:00+00:00,202.9,203.46,202.835,203.46,28164.0,938.0,203.204353
LECO,2023-07-17 17:00:00+00:00,203.47,203.47,202.19,202.3,24038.0,820.0,203.016994
LECO,2023-07-17 18:00:00+00:00,202.1,202.57,202.0,202.365,15569.0,687.0,202.306653
LECO,2023-07-17 19:00:00+00:00,202.45,203.07,202.45,202.69,59958.0,2166.0,202.710775
LECO,2023-07-17 20:00:00+00:00,202.67,202.67,202.67,202.67,28329.0,21.0,202.67
LECO,2023-07-18 13:00:00+00:00,201.89,204.09,201.89,203.565,7259.0,181.0,203.266569
LECO,2023-07-18 14:00:00+00:00,204.04,204.93,203.73,204.67,35986.0,900.0,204.282701
LECO,2023-07-18 15:00:00+00:00,204.6,205.27,204.3825,205.11,34015.0,1200.0,204.922526
LECO,2023-07-18 16:00:00+00:00,205.25,207.14,204.84,206.96,90516.0,2220.0,205.981493
LECO,2023-07-18 17:00:00+00:00,206.98,207.76,206.53,207.41,86177.0,2450.0,207.294752
LECO,2023-07-18 18:00:00+00:00,207.47,208.13,207.38,207.76,54317.0,2170.0,207.686413
LECO,2023-07-18 19:00:00+00:00,207.79,208.5396,207.375,207.76,113278.0,3678.0,207.917358
LECO,2023-07-18 20:00:00+00:00,207.75,207.75,207.75,207.75,39932.0,32.0,207.75
LECO,2023-07-19 13:00:00+00:00,208.24,208.2499,207.07,207.79,22860.0,644.0,207.876101
LECO,2023-07-19 14:00:00+00:00,207.78,208.67,205.4201,205.56,38675.0,1449.0,207.46005
LECO,2023-07-19 15:00:00+00:00,205.715,207.09,205.56,207.06,62506.0,1965.0,206.322165
LECO,2023-07-19 16:00:00+00:00,207.21,208.19,206.95,208.08,71576.0,2087.0,207.501859
LECO,2023-07-19 17:00:00+00:00,207.92,208.0,207.255,207.52,34271.0,1161.0,207.656938
LECO,2023-07-19 18:00:00+00:00,207.68,208.02,207.31,207.56,44873.0,1523.0,207.610201
LECO,2023-07-19 19:00:00+00:00,207.55,209.43,207.445,209.05,118976.0,3903.0,208.763611
