symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LEGN,2023-07-17 13:00:00+00:00,69.54,71.39,69.54,71.205,15681.0,313.0,70.462792
LEGN,2023-07-17 14:00:00+00:00,71.215,71.75,70.56,71.74,70066.0,1085.0,71.126547
LEGN,2023-07-17 15:00:00+00:00,71.76,71.87,71.0,71.205,36820.0,941.0,71.374185
LEGN,2023-07-17 16:00:00+00:00,71.15,71.28,70.61,70.85,43144.0,1001.0,70.889067
LEGN,2023-07-17 17:00:00+00:00,70.885,71.005,70.435,70.46,32872.0,675.0,70.730724
LEGN,2023-07-17 18:00:00+00:00,70.5,70.55,70.19,70.53,53890.0,1068.0,70.397649
LEGN,2023-07-17 19:00:00+00:00,70.495,70.55,69.595,70.04,131063.0,2619.0,69.924277
LEGN,2023-07-17 20:00:00+00:00,70.04,70.04,70.04,70.04,49140.0,8.0,70.04
LEGN,2023-07-18 13:00:00+00:00,69.89,70.705,69.27,70.365,8718.0,200.0,70.137908
LEGN,2023-07-18 14:00:00+00:00,70.2559,71.33,70.2559,70.775,44228.0,910.0,70.827129
LEGN,2023-07-18 15:00:00+00:00,70.78,70.825,70.26,70.825,37683.0,597.0,70.510381
LEGN,2023-07-18 16:00:00+00:00,70.825,71.08,69.9,69.9,49987.0,926.0,70.413356
LEGN,2023-07-18 17:00:00+00:00,69.895,69.925,69.5,69.62,54315.0,467.0,69.626993
LEGN,2023-07-18 18:00:00+00:00,69.69,70.27,69.585,70.12,41891.0,594.0,69.961857
LEGN,2023-07-18 19:00:00+00:00,70.14,71.36,70.14,71.12,204317.0,3335.0,71.000301
LEGN,2023-07-18 20:00:00+00:00,71.13,71.13,71.13,71.13,42655.0,10.0,71.13
LEGN,2023-07-19 13:00:00+00:00,71.25,73.375,70.695,71.13,126451.0,1413.0,71.757664
LEGN,2023-07-19 14:00:00+00:00,71.13,71.36,69.9,70.0,211515.0,3084.0,70.867274
LEGN,2023-07-19 15:00:00+00:00,69.96,70.56,69.95,70.475,108929.0,1757.0,70.382202
LEGN,2023-07-19 16:00:00+00:00,70.44,70.55,69.98,70.55,129918.0,1913.0,70.286831
LEGN,2023-07-19 17:00:00+00:00,70.55,70.55,70.19,70.29,79189.0,1345.0,70.36313
LEGN,2023-07-19 18:00:00+00:00,70.28,70.825,70.14,70.7,106991.0,1817.0,70.539927
LEGN,2023-07-19 19:00:00+00:00,70.67,70.73,70.16,70.49,260463.0,3264.0,70.449197
LEGN,2023-07-19 20:00:00+00:00,70.42,70.42,70.42,70.42,31988.0,9.0,70.42
LEGN,2023-07-20 12:00:00+00:00,72.41,73.5,71.47,73.0,4377.0,37.0,72.982138
LEGN,2023-07-20 13:00:00+00:00,73.24,75.3,72.79,75.02,324065.0,2305.0,74.319275
LEGN,2023-07-20 14:00:00+00:00,75.135,76.0485,74.5,75.95,561933.0,4823.0,75.447464
LEGN,2023-07-20 15:00:00+00:00,75.935,76.01,75.76,75.865,257979.0,3313.0,75.91253
LEGN,2023-07-20 16:00:00+00:00,75.865,76.0,74.3,74.3,168709.0,2816.0,75.455798
LEGN,2023-07-20 17:00:00+00:00,74.265,74.68,73.3646,74.66,248762.0,3428.0,73.955638
LEGN,2023-07-20 18:00:00+00:00,74.64,75.28,74.07,75.02,138261.0,2299.0,74.613193
LEGN,2023-07-20 19:00:00+00:00,75.07,76.24,74.62,76.02,434076.0,6251.0,75.723858
LEGN,2023-07-20 20:00:00+00:00,76.01,76.01,76.01,76.01,55064.0,15.0,76.01
LEGN,2023-07-21 09:00:00+00:00,76.01,76.01,75.0,75.0,855.0,9.0,75.176444
LEGN,2023-07-21 10:00:00+00:00,75.95,76.01,75.95,76.01,2300.0,16.0,76.006461
