symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LGO,2023-07-17 13:00:00+00:00,4.3,4.42,4.3,4.37,5280.0,41.0,4.338446
LGO,2023-07-17 14:00:00+00:00,4.42,4.47,4.41,4.45,13655.0,42.0,4.42907
LGO,2023-07-17 15:00:00+00:00,4.48,4.5,4.4757,4.5,1561.0,21.0,4.489026
LGO,2023-07-17 16:00:00+00:00,4.4825,4.4825,4.43,4.44,1481.0,13.0,4.470732
LGO,2023-07-17 17:00:00+00:00,4.49,4.5,4.465,4.465,1256.0,8.0,4.482031
LGO,2023-07-17 18:00:00+00:00,4.47,4.59,4.47,4.5,3418.0,47.0,4.52493
LGO,2023-07-17 19:00:00+00:00,4.5,4.51,4.43,4.49,8969.0,116.0,4.476658
LGO,2023-07-17 20:00:00+00:00,4.49,4.49,4.49,4.49,383.0,2.0,4.476997
LGO,2023-07-18 13:00:00+00:00,4.71,4.71,4.49,4.56,2967.0,17.0,4.574831
LGO,2023-07-18 14:00:00+00:00,4.5995,4.6759,4.5995,4.6492,17036.0,97.0,4.635184
LGO,2023-07-18 15:00:00+00:00,4.66,4.67,4.525,4.525,15003.0,82.0,4.595741
LGO,2023-07-18 16:00:00+00:00,4.51,4.54,4.4479,4.49,5312.0,14.0,4.468813
LGO,2023-07-18 17:00:00+00:00,4.44,4.46,4.44,4.46,930.0,6.0,4.455054
LGO,2023-07-18 18:00:00+00:00,4.4599,4.47,4.4301,4.46,4866.0,20.0,4.44807
LGO,2023-07-18 19:00:00+00:00,4.455,4.4739,4.41,4.41,9549.0,109.0,4.43937
LGO,2023-07-18 20:00:00+00:00,4.43,4.43,4.43,4.43,204.0,1.0,4.43
LGO,2023-07-19 12:00:00+00:00,4.5,4.5,4.5,4.5,200.0,1.0,4.5
LGO,2023-07-19 13:00:00+00:00,4.49,4.505,4.49,4.505,688.0,15.0,4.494012
LGO,2023-07-19 14:00:00+00:00,4.54,4.58,4.4703,4.58,10142.0,31.0,4.531917
LGO,2023-07-19 15:00:00+00:00,4.54,4.65,4.515,4.6063,11651.0,117.0,4.585098
LGO,2023-07-19 16:00:00+00:00,4.6,4.6,4.51,4.52,4824.0,48.0,4.553398
LGO,2023-07-19 17:00:00+00:00,4.52,4.5263,4.47,4.49,2307.0,24.0,4.510814
LGO,2023-07-19 18:00:00+00:00,4.4969,4.52,4.45,4.49,5080.0,41.0,4.486997
LGO,2023-07-19 19:00:00+00:00,4.465,4.4999,4.43,4.43,10963.0,100.0,4.464586
LGO,2023-07-19 20:00:00+00:00,4.46,4.54,4.46,4.54,842.0,2.0,4.519572
LGO,2023-07-20 13:00:00+00:00,4.54,4.62,4.4959,4.5094,5664.0,30.0,4.538595
LGO,2023-07-20 14:00:00+00:00,4.55,4.58,4.55,4.58,4136.0,22.0,4.578536
LGO,2023-07-20 15:00:00+00:00,4.6058,4.7077,4.595,4.595,12728.0,116.0,4.64904
LGO,2023-07-20 16:00:00+00:00,4.58,4.6,4.53,4.585,4387.0,30.0,4.562282
LGO,2023-07-20 17:00:00+00:00,4.53,4.55,4.51,4.52,2160.0,23.0,4.533847
LGO,2023-07-20 18:00:00+00:00,4.515,4.54,4.49,4.52,3317.0,31.0,4.51992
LGO,2023-07-20 19:00:00+00:00,4.515,4.515,4.43,4.48,7693.0,126.0,4.454189
LGO,2023-07-20 20:00:00+00:00,4.5,4.5,4.5,4.5,150.0,1.0,4.5
LGO,2023-07-20 21:00:00+00:00,4.62,4.62,4.62,4.62,100.0,1.0,4.62
LGO,2023-07-21 12:00:00+00:00,4.56,4.59,4.56,4.59,500.0,2.0,4.572
LGO,2023-07-21 13:00:00+00:00,4.54,4.57,4.54,4.57,1309.0,13.0,4.545974
LGO,2023-07-21 14:00:00+00:00,4.52,4.52,4.4001,4.47,847.0,10.0,4.463554
LGO,2023-07-21 15:00:00+00:00,4.45,4.4799,4.45,4.4765,1350.0,5.0,4.475593
LGO,2023-07-21 16:00:00+00:00,4.47,4.5228,4.47,4.51,1375.0,10.0,4.485651
LGO,2023-07-21 17:00:00+00:00,4.4963,4.56,4.47,4.53,3950.0,37.0,4.509471
LGO,2023-07-21 18:00:00+00:00,4.51,4.56,4.485,4.53,3030.0,28.0,4.522212
LGO,2023-07-21 19:00:00+00:00,4.52,4.53,4.47,4.53,3839.0,54.0,4.514337
LGO,2023-07-24 13:00:00+00:00,4.63,4.63,4.53,4.55,6408.0,46.0,4.587898
LGO,2023-07-24 14:00:00+00:00,4.535,4.56,4.53,4.53,7999.0,24.0,4.549971
LGO,2023-07-24 15:00:00+00:00,4.54,4.62,4.54,4.62,6073.0,41.0,4.573941
LGO,2023-07-24 16:00:00+00:00,4.64,4.69,4.6387,4.67,8551.0,72.0,4.675571
LGO,2023-07-24 17:00:00+00:00,4.65,4.65,4.58,4.58,2303.0,17.0,4.591851
LGO,2023-07-24 18:00:00+00:00,4.5947,4.6199,4.45,4.52,12952.0,39.0,4.492579
LGO,2023-07-24 19:00:00+00:00,4.51,4.53,4.46,4.46,11146.0,101.0,4.498355
LGO,2023-07-24 20:00:00+00:00,4.46,4.46,4.46,4.46,561.0,1.0,4.46
LGO,2023-07-25 13:00:00+00:00,4.55,4.55,4.52,4.52,1683.0,9.0,4.54712
LGO,2023-07-25 14:00:00+00:00,4.55,4.5599,4.5204,4.5204,5175.0,23.0,4.537838
LGO,2023-07-25 15:00:00+00:00,4.52,4.64,4.52,4.64,7271.0,40.0,4.554268
LGO,2023-07-25 16:00:00+00:00,4.63,4.64,4.55,4.55,7011.0,57.0,4.603868
LGO,2023-07-25 17:00:00+00:00,4.54,4.54,4.49,4.54,2988.0,20.0,4.52436
LGO,2023-07-25 18:00:00+00:00,4.54,4.54,4.4701,4.5099,7561.0,44.0,4.4909
LGO,2023-07-25 19:00:00+00:00,4.47,4.49,4.45,4.49,6505.0,54.0,4.474089
LGO,2023-07-25 20:00:00+00:00,4.45,4.45,4.45,4.45,1230.0,1.0,4.45
LGO,2023-07-26 13:00:00+00:00,4.53,4.61,4.53,4.6093,5813.0,24.0,4.561872
LGO,2023-07-26 14:00:00+00:00,4.55,4.57,4.49,4.51,3611.0,24.0,4.540096
LGO,2023-07-26 15:00:00+00:00,4.53,4.54,4.5,4.5248,2274.0,21.0,4.530095
LGO,2023-07-26 16:00:00+00:00,4.505,4.505,4.445,4.46,3730.0,31.0,4.47338
LGO,2023-07-26 17:00:00+00:00,4.46,4.5,4.44,4.46,1923.0,17.0,4.475798
LGO,2023-07-26 18:00:00+00:00,4.455,4.51,4.43,4.51,7915.0,98.0,4.472437
LGO,2023-07-26 19:00:00+00:00,4.45,4.4999,4.44,4.48,6229.0,116.0,4.465915
LGO,2023-07-26 20:00:00+00:00,4.44,4.44,4.44,4.44,506.0,1.0,4.44
LGO,2023-07-27 13:00:00+00:00,4.61,4.61,4.45,4.495,7044.0,21.0,4.536185
LGO,2023-07-27 14:00:00+00:00,4.495,4.495,4.4,4.4,5508.0,46.0,4.432522
LGO,2023-07-27 15:00:00+00:00,4.44,4.44,4.37,4.37,1852.0,29.0,4.415292
LGO,2023-07-27 16:00:00+00:00,4.37,4.39,4.37,4.37,662.0,8.0,4.377553
LGO,2023-07-27 17:00:00+00:00,4.3849,4.3849,4.31,4.33,3103.0,36.0,4.348921
LGO,2023-07-27 18:00:00+00:00,4.3,4.41,4.27,4.4,4444.0,59.0,4.311913
LGO,2023-07-27 19:00:00+00:00,4.39,4.4,4.34,4.34,12092.0,114.0,4.376806
LGO,2023-07-27 20:00:00+00:00,4.35,4.35,4.35,4.35,218.0,1.0,4.35
LGO,2023-07-28 13:00:00+00:00,4.43,4.43,4.31,4.42,8124.0,33.0,4.372848
LGO,2023-07-28 14:00:00+00:00,4.41,4.5188,4.41,4.4499,26287.0,61.0,4.44949
LGO,2023-07-28 15:00:00+00:00,4.45,4.545,4.45,4.545,4007.0,24.0,4.499888
LGO,2023-07-28 16:00:00+00:00,4.52,4.5751,4.52,4.56,5426.0,42.0,4.545187
LGO,2023-07-28 17:00:00+00:00,4.54,4.5626,4.52,4.55,10302.0,56.0,4.531991
LGO,2023-07-28 18:00:00+00:00,4.55,4.64,4.5353,4.59,15874.0,111.0,4.582741
LGO,2023-07-28 19:00:00+00:00,4.59,4.62,4.55,4.62,24783.0,112.0,4.571442
LGO,2023-07-28 21:00:00+00:00,4.44,4.44,4.43,4.43,265.0,3.0,4.434604
LGO,2023-07-31 13:00:00+00:00,4.61,4.7047,4.61,4.68,6099.0,24.0,4.6585
LGO,2023-07-31 14:00:00+00:00,4.66,4.67,4.59,4.64,7442.0,37.0,4.641548
LGO,2023-07-31 15:00:00+00:00,4.66,4.73,4.66,4.7,13154.0,90.0,4.69806
LGO,2023-07-31 16:00:00+00:00,4.7,4.75,4.6857,4.7298,6769.0,72.0,4.730978
LGO,2023-07-31 17:00:00+00:00,4.73,4.73,4.69,4.7,1256.0,5.0,4.701497
LGO,2023-07-31 18:00:00+00:00,4.665,4.74,4.665,4.74,8105.0,27.0,4.697908
LGO,2023-07-31 19:00:00+00:00,4.7101,4.76,4.7101,4.76,11938.0,98.0,4.733092
LGO,2023-08-01 12:00:00+00:00,4.68,4.68,4.61,4.62,5000.0,6.0,4.621594
LGO,2023-08-01 13:00:00+00:00,4.61,4.64,4.6,4.6,12813.0,37.0,4.612882
LGO,2023-08-01 14:00:00+00:00,4.51,4.59,4.47,4.54,6466.0,58.0,4.513054
LGO,2023-08-01 15:00:00+00:00,4.52,4.52,4.47,4.5,12007.0,41.0,4.509046
LGO,2023-08-01 16:00:00+00:00,4.52,4.54,4.51,4.54,2363.0,32.0,4.519868
LGO,2023-08-01 17:00:00+00:00,4.55,4.5552,4.5187,4.54,9108.0,52.0,4.528279
LGO,2023-08-01 18:00:00+00:00,4.5504,4.58,4.54,4.54,7424.0,28.0,4.562227
LGO,2023-08-01 19:00:00+00:00,4.54,4.55,4.51,4.52,20751.0,169.0,4.536198
LGO,2023-08-01 20:00:00+00:00,4.51,4.71,4.51,4.71,10106.0,2.0,4.707902
LGO,2023-08-02 13:00:00+00:00,4.65,4.65,4.41,4.48,8540.0,74.0,4.488701
