symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LILAK,2023-07-17 13:00:00+00:00,8.13,8.31,8.06,8.29,54871.0,1084.0,8.186801
LILAK,2023-07-17 14:00:00+00:00,8.3,8.345,8.2125,8.31,109880.0,1909.0,8.290302
LILAK,2023-07-17 15:00:00+00:00,8.31,8.315,8.2,8.265,90879.0,1398.0,8.246742
LILAK,2023-07-17 16:00:00+00:00,8.26,8.28,8.15,8.15,99076.0,1182.0,8.229271
LILAK,2023-07-17 17:00:00+00:00,8.15,8.1875,8.14,8.145,95823.0,1476.0,8.155236
LILAK,2023-07-17 18:00:00+00:00,8.15,8.16,8.11,8.125,69955.0,1865.0,8.134804
LILAK,2023-07-17 19:00:00+00:00,8.13,8.15,8.06,8.07,198810.0,2245.0,8.097852
LILAK,2023-07-17 20:00:00+00:00,8.08,8.23,8.08,8.23,74111.0,7.0,8.080202
LILAK,2023-07-18 13:00:00+00:00,8.09,8.47,8.05,8.43,85292.0,1366.0,8.279928
LILAK,2023-07-18 14:00:00+00:00,8.43,8.475,8.285,8.305,72702.0,1144.0,8.382537
LILAK,2023-07-18 15:00:00+00:00,8.2971,8.315,8.23,8.24,45992.0,684.0,8.276239
LILAK,2023-07-18 16:00:00+00:00,8.2497,8.29,8.22,8.265,60435.0,933.0,8.249317
LILAK,2023-07-18 17:00:00+00:00,8.27,8.285,8.215,8.22,42862.0,733.0,8.251103
LILAK,2023-07-18 18:00:00+00:00,8.22,8.28,8.215,8.28,49120.0,843.0,8.251424
LILAK,2023-07-18 19:00:00+00:00,8.29,8.3,8.245,8.27,120297.0,1512.0,8.274866
LILAK,2023-07-18 20:00:00+00:00,8.27,8.27,8.27,8.27,62032.0,10.0,8.27
LILAK,2023-07-19 13:00:00+00:00,8.27,8.5,8.27,8.475,44533.0,630.0,8.380355
LILAK,2023-07-19 14:00:00+00:00,8.47,8.5,8.41,8.415,78285.0,1146.0,8.454418
LILAK,2023-07-19 15:00:00+00:00,8.42,8.44,8.3601,8.41,50428.0,737.0,8.406123
LILAK,2023-07-19 16:00:00+00:00,8.41,8.42,8.36,8.4084,32648.0,566.0,8.394808
LILAK,2023-07-19 17:00:00+00:00,8.405,8.41,8.36,8.38,37303.0,636.0,8.379101
LILAK,2023-07-19 18:00:00+00:00,8.385,8.43,8.37,8.425,45786.0,862.0,8.403652
LILAK,2023-07-19 19:00:00+00:00,8.425,8.47,8.38,8.38,255666.0,3007.0,8.416967
LILAK,2023-07-19 20:00:00+00:00,8.38,8.38,8.38,8.38,139946.0,14.0,8.38
LILAK,2023-07-20 13:00:00+00:00,8.4,8.46,8.29,8.41,79791.0,1172.0,8.39982
LILAK,2023-07-20 14:00:00+00:00,8.42,8.47,8.31,8.335,97371.0,1365.0,8.38219
LILAK,2023-07-20 15:00:00+00:00,8.33,8.42,8.33,8.395,46053.0,809.0,8.385144
LILAK,2023-07-20 16:00:00+00:00,8.4,8.4401,8.365,8.38,48761.0,796.0,8.404564
LILAK,2023-07-20 17:00:00+00:00,8.385,8.43,8.375,8.42,50094.0,840.0,8.407077
LILAK,2023-07-20 18:00:00+00:00,8.42,8.455,8.415,8.45,65720.0,946.0,8.440641
LILAK,2023-07-20 19:00:00+00:00,8.45,8.47,8.41,8.45,158761.0,1996.0,8.444268
LILAK,2023-07-20 20:00:00+00:00,8.45,8.45,8.42,8.42,70990.0,15.0,8.449915
LILAK,2023-07-20 22:00:00+00:00,8.5119,8.5119,8.5119,8.5119,128.0,1.0,8.5119
LILAK,2023-07-21 13:00:00+00:00,8.5,8.58,8.42,8.435,134096.0,1044.0,8.505891
LILAK,2023-07-21 14:00:00+00:00,8.44,8.47,8.42,8.44,87534.0,1358.0,8.449224
LILAK,2023-07-21 15:00:00+00:00,8.445,8.51,8.44,8.485,80243.0,1115.0,8.477599
LILAK,2023-07-21 16:00:00+00:00,8.485,8.49,8.4,8.405,39522.0,761.0,8.453167
LILAK,2023-07-21 17:00:00+00:00,8.405,8.465,8.4,8.445,51189.0,824.0,8.428607
LILAK,2023-07-21 18:00:00+00:00,8.445,8.45,8.41,8.42,52120.0,854.0,8.431231
LILAK,2023-07-21 19:00:00+00:00,8.425,8.43,8.39,8.41,151463.0,1816.0,8.4125
LILAK,2023-07-21 20:00:00+00:00,8.41,8.41,8.41,8.41,73848.0,4.0,8.41
LILAK,2023-07-24 13:00:00+00:00,8.44,8.51,8.41,8.42,47333.0,722.0,8.464252
LILAK,2023-07-24 14:00:00+00:00,8.44,8.49,8.4,8.475,60046.0,885.0,8.442021
LILAK,2023-07-24 15:00:00+00:00,8.48,8.57,8.48,8.51,82314.0,903.0,8.536869
LILAK,2023-07-24 16:00:00+00:00,8.52,8.53,8.44,8.475,78034.0,930.0,8.480072
LILAK,2023-07-24 17:00:00+00:00,8.475,8.54,8.45,8.495,104038.0,940.0,8.500086
LILAK,2023-07-24 18:00:00+00:00,8.495,8.53,8.48,8.5,68580.0,800.0,8.505172
LILAK,2023-07-24 19:00:00+00:00,8.495,8.5,8.44,8.5,198107.0,1913.0,8.465034
LILAK,2023-07-24 20:00:00+00:00,8.5,8.5,8.48,8.5,62004.0,17.0,8.499871
LILAK,2023-07-25 13:00:00+00:00,8.47,8.47,8.2,8.27,52039.0,997.0,8.347005
LILAK,2023-07-25 14:00:00+00:00,8.27,8.27,8.16,8.165,81138.0,1168.0,8.214387
