symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LMT,2023-07-17 11:00:00+00:00,465.0,465.0,465.0,465.0,655.0,9.0,465.00316
LMT,2023-07-17 13:00:00+00:00,466.29,470.853,465.62,470.275,192360.0,5025.0,468.778798
LMT,2023-07-17 14:00:00+00:00,470.377,471.88,469.48,471.81,219164.0,6664.0,470.828934
LMT,2023-07-17 15:00:00+00:00,471.82,473.563,471.3274,471.93,202817.0,6343.0,472.475591
LMT,2023-07-17 16:00:00+00:00,471.81,473.12,470.73,473.12,160608.0,4987.0,471.927422
LMT,2023-07-17 17:00:00+00:00,473.13,473.72,472.01,473.38,138539.0,4672.0,472.857916
LMT,2023-07-17 18:00:00+00:00,473.36,473.9899,471.81,472.475,217313.0,6311.0,472.721088
LMT,2023-07-17 19:00:00+00:00,472.475,473.05,469.76,469.98,583905.0,15722.0,471.052874
LMT,2023-07-17 20:00:00+00:00,470.0,471.14,469.97,471.05,151512.0,87.0,469.975656
LMT,2023-07-17 21:00:00+00:00,470.0,471.05,470.0,471.05,509.0,6.0,470.215266
LMT,2023-07-17 22:00:00+00:00,470.97,470.97,470.0,470.0,905.0,5.0,470.110707
LMT,2023-07-17 23:00:00+00:00,471.6899,471.92,470.75,471.92,2146.0,13.0,471.533891
LMT,2023-07-18 10:00:00+00:00,476.99,476.99,476.0,476.0,470.0,8.0,476.264426
LMT,2023-07-18 11:00:00+00:00,474.99,475.0,468.0,474.0,30513.0,754.0,472.813701
LMT,2023-07-18 12:00:00+00:00,474.49,475.5,469.98,475.2,30169.0,687.0,474.388357
LMT,2023-07-18 13:00:00+00:00,475.74,479.5,473.5111,474.7,380858.0,8416.0,475.933504
LMT,2023-07-18 14:00:00+00:00,474.2467,475.19,466.6001,470.01,351070.0,9678.0,469.786462
LMT,2023-07-18 15:00:00+00:00,470.01,470.51,463.5301,463.831,334705.0,9343.0,466.24026
LMT,2023-07-18 16:00:00+00:00,463.825,465.06,454.2841,457.105,490935.0,13439.0,458.510945
LMT,2023-07-18 17:00:00+00:00,457.2799,457.66,454.3,455.34,343185.0,10164.0,455.779045
LMT,2023-07-18 18:00:00+00:00,455.49,458.24,454.7,456.89,310893.0,9529.0,456.491621
LMT,2023-07-18 19:00:00+00:00,456.94,458.6199,455.59,455.68,639795.0,17216.0,457.148971
LMT,2023-07-18 20:00:00+00:00,455.7,457.5,455.7,457.5,183654.0,86.0,455.70777
LMT,2023-07-18 21:00:00+00:00,457.58,458.9106,457.0,458.9106,2479.0,72.0,457.699395
LMT,2023-07-18 22:00:00+00:00,458.5,458.5,458.0,458.0,1014.0,26.0,458.063007
LMT,2023-07-18 23:00:00+00:00,458.0,458.0,458.0,458.0,381.0,19.0,457.987821
LMT,2023-07-19 11:00:00+00:00,458.0,458.0,458.0,458.0,515.0,14.0,458.164738
LMT,2023-07-19 12:00:00+00:00,458.8,460.0,458.0,459.0,1048.0,57.0,458.883741
LMT,2023-07-19 13:00:00+00:00,458.25,459.2832,454.14,454.805,214946.0,5819.0,456.344876
LMT,2023-07-19 14:00:00+00:00,454.5,455.1999,448.41,448.41,448047.0,15305.0,451.981694
LMT,2023-07-19 15:00:00+00:00,448.54,450.7,448.11,449.12,325454.0,10348.0,449.120804
LMT,2023-07-19 16:00:00+00:00,449.06,451.85,448.37,449.595,216389.0,7740.0,449.923729
LMT,2023-07-19 17:00:00+00:00,449.64,451.5799,449.51,450.9,133623.0,4992.0,450.747446
LMT,2023-07-19 18:00:00+00:00,450.91,451.44,449.55,450.65,163310.0,6031.0,450.633677
LMT,2023-07-19 19:00:00+00:00,450.65,451.8699,450.4648,451.44,434224.0,13051.0,451.165637
LMT,2023-07-19 20:00:00+00:00,451.56,451.56,451.51,451.51,192943.0,66.0,451.511345
LMT,2023-07-19 22:00:00+00:00,451.51,451.51,451.0,451.3,304.0,5.0,451.273158
LMT,2023-07-19 23:00:00+00:00,451.51,451.51,451.0,451.0,1493.0,14.0,451.001882
LMT,2023-07-20 12:00:00+00:00,452.4367,452.5,451.5,452.5,1125.0,47.0,452.418521
LMT,2023-07-20 13:00:00+00:00,452.0,455.425,452.0,453.3975,142347.0,4056.0,454.229336
LMT,2023-07-20 14:00:00+00:00,453.29,458.2,453.29,456.76,248493.0,8652.0,455.936413
LMT,2023-07-20 15:00:00+00:00,456.66,457.6,455.875,456.43,131890.0,5079.0,456.843047
LMT,2023-07-20 16:00:00+00:00,456.65,457.2285,455.7245,456.265,100606.0,3903.0,456.39934
LMT,2023-07-20 17:00:00+00:00,456.335,457.0,455.87,456.35,95526.0,3659.0,456.334314
LMT,2023-07-20 18:00:00+00:00,456.39,456.93,455.8583,456.75,127031.0,5001.0,456.288659
LMT,2023-07-20 19:00:00+00:00,456.735,457.105,454.8,455.98,377697.0,12077.0,455.799951
LMT,2023-07-20 20:00:00+00:00,456.01,456.01,456.01,456.01,109080.0,54.0,456.01
LMT,2023-07-20 23:00:00+00:00,456.1,456.1,456.1,456.1,100.0,1.0,456.1
LMT,2023-07-21 13:00:00+00:00,455.4,456.935,453.58,454.16,110307.0,2948.0,454.718068
LMT,2023-07-21 14:00:00+00:00,454.15,455.0,453.35,454.15,104363.0,4218.0,454.447007
LMT,2023-07-21 15:00:00+00:00,454.09,455.1425,454.08,454.645,63053.0,2861.0,454.707322
LMT,2023-07-21 16:00:00+00:00,454.665,455.84,454.5,454.85,73839.0,2959.0,455.164222
LMT,2023-07-21 17:00:00+00:00,454.85,455.12,454.335,454.5,58877.0,2418.0,454.836432
LMT,2023-07-21 18:00:00+00:00,454.61,455.14,454.23,454.91,90396.0,3057.0,454.709887
