symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LQDT,2023-07-17 13:00:00+00:00,16.66,16.715,16.66,16.715,1986.0,43.0,16.66386
LQDT,2023-07-17 14:00:00+00:00,16.74,16.77,16.67,16.71,3646.0,143.0,16.727235
LQDT,2023-07-17 15:00:00+00:00,16.69,16.695,16.48,16.48,6216.0,204.0,16.586789
LQDT,2023-07-17 16:00:00+00:00,16.49,16.58,16.49,16.55,7267.0,141.0,16.513401
LQDT,2023-07-17 17:00:00+00:00,16.55,16.72,16.545,16.67,2217.0,84.0,16.612325
LQDT,2023-07-17 18:00:00+00:00,16.65,16.67,16.57,16.57,4176.0,99.0,16.631403
LQDT,2023-07-17 19:00:00+00:00,16.54,16.59,16.475,16.56,25322.0,709.0,16.519362
LQDT,2023-07-17 20:00:00+00:00,16.55,16.55,16.55,16.55,10884.0,2.0,16.55
LQDT,2023-07-18 13:00:00+00:00,16.55,16.76,16.55,16.68,1110.0,29.0,16.679638
LQDT,2023-07-18 14:00:00+00:00,16.76,16.8,16.58,16.65,6210.0,186.0,16.706691
LQDT,2023-07-18 15:00:00+00:00,16.65,16.68,16.615,16.62,2712.0,62.0,16.650203
LQDT,2023-07-18 16:00:00+00:00,16.59,16.59,16.48,16.52,2889.0,118.0,16.546611
LQDT,2023-07-18 17:00:00+00:00,16.51,16.56,16.51,16.56,1593.0,68.0,16.525769
LQDT,2023-07-18 18:00:00+00:00,16.56,16.63,16.56,16.62,4087.0,168.0,16.5928
LQDT,2023-07-18 19:00:00+00:00,16.6,16.69,16.58,16.61,14779.0,498.0,16.640075
LQDT,2023-07-18 20:00:00+00:00,16.6,16.6,16.6,16.6,10987.0,3.0,16.6
LQDT,2023-07-19 13:00:00+00:00,16.49,16.59,16.01,16.36,3487.0,32.0,16.24465
LQDT,2023-07-19 14:00:00+00:00,16.34,16.34,16.235,16.27,2847.0,103.0,16.278898
LQDT,2023-07-19 15:00:00+00:00,16.32,16.46,16.32,16.38,2215.0,49.0,16.38427
LQDT,2023-07-19 16:00:00+00:00,16.38,16.45,16.38,16.45,4388.0,120.0,16.400847
LQDT,2023-07-19 17:00:00+00:00,16.445,16.445,16.3001,16.38,6033.0,185.0,16.366452
LQDT,2023-07-19 18:00:00+00:00,16.35,16.39,16.35,16.35,3134.0,90.0,16.365277
LQDT,2023-07-19 19:00:00+00:00,16.37,16.55,16.37,16.55,21640.0,612.0,16.519638
LQDT,2023-07-19 20:00:00+00:00,16.55,16.55,16.55,16.55,9228.0,5.0,16.55
LQDT,2023-07-20 13:00:00+00:00,16.53,16.54,16.5,16.5,2447.0,30.0,16.511849
LQDT,2023-07-20 14:00:00+00:00,16.44,16.44,16.18,16.325,4092.0,87.0,16.31077
LQDT,2023-07-20 15:00:00+00:00,16.34,16.445,16.34,16.4,3478.0,134.0,16.384233
LQDT,2023-07-20 16:00:00+00:00,16.41,16.48,16.41,16.48,4617.0,111.0,16.429132
LQDT,2023-07-20 17:00:00+00:00,16.47,16.5,16.445,16.5,4540.0,147.0,16.470174
LQDT,2023-07-20 18:00:00+00:00,16.51,16.54,16.49,16.52,11114.0,206.0,16.506971
LQDT,2023-07-20 19:00:00+00:00,16.52,16.63,16.52,16.58,12134.0,295.0,16.564168
LQDT,2023-07-20 20:00:00+00:00,16.59,16.59,16.59,16.59,7779.0,4.0,16.59
LQDT,2023-07-21 13:00:00+00:00,16.77,16.77,16.77,16.77,9283.0,8.0,16.769916
LQDT,2023-07-21 14:00:00+00:00,16.63,16.635,16.45,16.4682,3367.0,107.0,16.570255
LQDT,2023-07-21 15:00:00+00:00,16.4,16.52,16.4,16.47,5367.0,120.0,16.465901
LQDT,2023-07-21 16:00:00+00:00,16.46,16.49,16.45,16.46,6182.0,108.0,16.46222
LQDT,2023-07-21 17:00:00+00:00,16.47,16.585,16.47,16.585,3687.0,89.0,16.530539
LQDT,2023-07-21 18:00:00+00:00,16.5501,16.65,16.5501,16.63,7115.0,175.0,16.610186
LQDT,2023-07-21 19:00:00+00:00,16.65,16.66,16.6,16.61,17584.0,453.0,16.627213
LQDT,2023-07-21 20:00:00+00:00,16.6,16.6,16.6,16.6,16192.0,4.0,16.6
LQDT,2023-07-24 13:00:00+00:00,16.59,16.59,16.4933,16.495,1247.0,30.0,16.519098
LQDT,2023-07-24 14:00:00+00:00,16.46,16.65,16.3775,16.64,7493.0,184.0,16.53336
LQDT,2023-07-24 15:00:00+00:00,16.67,16.8,16.67,16.8,3581.0,64.0,16.742949
LQDT,2023-07-24 16:00:00+00:00,16.79,16.91,16.79,16.87,5200.0,141.0,16.852067
LQDT,2023-07-24 17:00:00+00:00,16.8523,16.9398,16.85,16.92,6326.0,130.0,16.895949
LQDT,2023-07-24 18:00:00+00:00,16.89,16.95,16.835,16.9,12838.0,260.0,16.900325
LQDT,2023-07-24 19:00:00+00:00,16.885,16.97,16.86,16.94,14476.0,391.0,16.904836
LQDT,2023-07-24 20:00:00+00:00,16.95,16.95,16.95,16.95,8201.0,6.0,16.95
LQDT,2023-07-25 12:00:00+00:00,16.95,16.95,16.95,16.95,400.0,1.0,16.95
LQDT,2023-07-25 13:00:00+00:00,16.84,17.055,16.84,16.8601,2462.0,62.0,16.930333
LQDT,2023-07-25 14:00:00+00:00,16.99,17.11,16.99,17.0497,3806.0,125.0,17.035179
LQDT,2023-07-25 15:00:00+00:00,16.935,17.01,16.86,17.01,4804.0,181.0,16.937752
LQDT,2023-07-25 16:00:00+00:00,17.005,17.1,17.005,17.05,1945.0,80.0,17.045478
LQDT,2023-07-25 17:00:00+00:00,17.11,17.22,17.09,17.17,6143.0,193.0,17.157748
LQDT,2023-07-25 18:00:00+00:00,17.16,17.16,17.04,17.06,3262.0,114.0,17.086648
LQDT,2023-07-25 19:00:00+00:00,17.04,17.08,16.99,17.01,14990.0,536.0,17.021238
LQDT,2023-07-25 20:00:00+00:00,17.02,17.02,17.02,17.02,11054.0,5.0,17.02
LQDT,2023-07-26 13:00:00+00:00,16.98,17.11,16.66,17.11,3785.0,38.0,16.874669
LQDT,2023-07-26 14:00:00+00:00,17.11,17.1603,17.05,17.14,2703.0,96.0,17.117643
LQDT,2023-07-26 15:00:00+00:00,17.01,17.19,17.01,17.13,6516.0,188.0,17.130548
LQDT,2023-07-26 16:00:00+00:00,17.145,17.15,17.125,17.13,2579.0,69.0,17.134595
LQDT,2023-07-26 17:00:00+00:00,17.1,17.13,17.1,17.13,2482.0,100.0,17.113901
LQDT,2023-07-26 18:00:00+00:00,17.125,17.27,17.07,17.195,4009.0,172.0,17.12174
LQDT,2023-07-26 19:00:00+00:00,17.21,17.21,17.11,17.16,17800.0,564.0,17.162113
