symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LRGE,2023-07-17 13:00:00+00:00,55.67,55.67,55.4936,55.4936,929.0,7.0,55.599191
LRGE,2023-07-17 14:00:00+00:00,55.69,55.69,55.69,55.69,100.0,1.0,55.69
LRGE,2023-07-17 15:00:00+00:00,55.7657,55.7657,55.71,55.71,1980.0,2.0,55.760636
LRGE,2023-07-17 16:00:00+00:00,55.6868,55.6868,55.6868,55.6868,176.0,1.0,55.6868
LRGE,2023-07-17 17:00:00+00:00,55.7798,55.7798,55.7798,55.7798,505.0,1.0,55.7798
LRGE,2023-07-17 18:00:00+00:00,55.88,55.9,55.7301,55.9,844.0,6.0,55.797946
LRGE,2023-07-17 19:00:00+00:00,55.8308,56.0123,55.8308,55.93,2537.0,3.0,55.99494
LRGE,2023-07-18 14:00:00+00:00,55.77,55.9,55.72,55.86,1506.0,14.0,55.794216
LRGE,2023-07-18 15:00:00+00:00,55.88,56.15,55.86,56.0334,1139.0,12.0,55.951556
LRGE,2023-07-18 16:00:00+00:00,56.15,56.25,56.05,56.22,2060.0,10.0,56.104845
LRGE,2023-07-18 17:00:00+00:00,56.28,56.32,56.28,56.32,691.0,8.0,56.294567
LRGE,2023-07-18 18:00:00+00:00,56.3165,56.51,56.3165,56.51,2971.0,15.0,56.375102
LRGE,2023-07-18 19:00:00+00:00,56.455,56.455,56.455,56.455,193.0,1.0,56.455
LRGE,2023-07-19 13:00:00+00:00,56.63,56.63,56.56,56.56,200.0,2.0,56.595
LRGE,2023-07-19 14:00:00+00:00,56.62,56.67,56.5279,56.61,1628.0,12.0,56.580237
LRGE,2023-07-19 15:00:00+00:00,56.59,56.72,56.58,56.7,1490.0,14.0,56.683758
LRGE,2023-07-19 16:00:00+00:00,56.73,56.74,56.45,56.48,801.0,9.0,56.557815
LRGE,2023-07-19 17:00:00+00:00,56.4367,56.46,56.375,56.46,1124.0,15.0,56.438066
LRGE,2023-07-19 18:00:00+00:00,56.47,56.48,56.39,56.47,1172.0,12.0,56.435447
LRGE,2023-07-19 19:00:00+00:00,56.51,56.62,56.51,56.52,2924.0,28.0,56.558676
LRGE,2023-07-20 13:00:00+00:00,56.12,56.1381,56.0028,56.06,1676.0,7.0,56.101428
LRGE,2023-07-20 14:00:00+00:00,56.0,56.0,55.76,55.77,800.0,7.0,55.865
LRGE,2023-07-20 15:00:00+00:00,55.88,55.9,55.67,55.83,2361.0,24.0,55.829017
LRGE,2023-07-20 16:00:00+00:00,55.83,55.88,55.57,55.69,2735.0,30.0,55.755799
LRGE,2023-07-20 17:00:00+00:00,55.709,55.73,55.56,55.68,2163.0,30.0,55.676337
LRGE,2023-07-20 18:00:00+00:00,55.68,55.68,55.4493,55.5,5344.0,37.0,55.509005
LRGE,2023-07-20 19:00:00+00:00,55.43,55.43,55.43,55.43,119.0,3.0,55.431513
