symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LSTR,2023-07-17 13:00:00+00:00,194.5,194.5,192.65,193.505,9917.0,283.0,193.374179
LSTR,2023-07-17 14:00:00+00:00,193.495,194.57,193.3,193.665,9666.0,358.0,193.978664
LSTR,2023-07-17 15:00:00+00:00,193.595,194.33,193.43,193.49,45711.0,948.0,193.731257
LSTR,2023-07-17 16:00:00+00:00,193.65,194.09,193.27,193.98,20450.0,633.0,193.757785
LSTR,2023-07-17 17:00:00+00:00,194.04,194.35,193.74,194.14,10975.0,428.0,194.099399
LSTR,2023-07-17 18:00:00+00:00,194.18,194.5,193.95,193.95,59986.0,1442.0,194.190967
LSTR,2023-07-17 19:00:00+00:00,194.14,195.22,194.0,194.41,74178.0,2273.0,194.473684
LSTR,2023-07-17 20:00:00+00:00,194.42,194.42,194.42,194.42,21518.0,27.0,194.42
LSTR,2023-07-18 13:00:00+00:00,196.37,199.71,195.4,199.71,14491.0,433.0,197.943812
LSTR,2023-07-18 14:00:00+00:00,199.87,200.16,197.81,198.47,34312.0,1121.0,198.83317
LSTR,2023-07-18 15:00:00+00:00,198.39,199.2,198.08,198.47,17992.0,819.0,198.676353
LSTR,2023-07-18 16:00:00+00:00,198.55,198.76,197.41,197.41,21295.0,748.0,197.876178
LSTR,2023-07-18 17:00:00+00:00,197.48,197.76,196.77,196.95,14805.0,567.0,197.387333
LSTR,2023-07-18 18:00:00+00:00,197.13,197.19,196.58,196.79,10886.0,584.0,196.987246
LSTR,2023-07-18 19:00:00+00:00,196.9,197.365,196.76,197.07,75227.0,2455.0,197.103987
LSTR,2023-07-18 20:00:00+00:00,197.07,197.07,197.07,197.07,25189.0,26.0,197.07
LSTR,2023-07-19 13:00:00+00:00,197.28,199.49,197.28,199.0119,7271.0,210.0,198.379854
LSTR,2023-07-19 14:00:00+00:00,199.38,199.78,198.16,198.76,12693.0,549.0,199.04861
LSTR,2023-07-19 15:00:00+00:00,198.85,199.62,198.84,199.515,12859.0,593.0,199.240037
LSTR,2023-07-19 16:00:00+00:00,199.52,200.075,199.19,199.88,17600.0,756.0,199.424306
LSTR,2023-07-19 17:00:00+00:00,199.83,199.83,199.245,199.29,7864.0,376.0,199.527197
LSTR,2023-07-19 18:00:00+00:00,199.41,200.07,199.28,199.69,16700.0,809.0,199.645106
LSTR,2023-07-19 19:00:00+00:00,199.69,201.19,199.58,201.06,54654.0,2178.0,200.664373
LSTR,2023-07-19 20:00:00+00:00,201.06,201.06,201.06,201.06,32695.0,14.0,201.06
LSTR,2023-07-20 13:00:00+00:00,201.74,201.74,199.48,199.86,8660.0,193.0,200.965045
LSTR,2023-07-20 14:00:00+00:00,199.84,203.24,199.64,202.89,15377.0,606.0,201.810928
LSTR,2023-07-20 15:00:00+00:00,203.3,203.3,202.56,202.67,8959.0,365.0,202.85775
LSTR,2023-07-20 16:00:00+00:00,202.67,203.26,202.5,203.07,14675.0,464.0,202.926952
LSTR,2023-07-20 17:00:00+00:00,203.17,203.4,202.82,202.925,9543.0,388.0,203.078508
LSTR,2023-07-20 18:00:00+00:00,202.76,203.29,202.225,202.9,16319.0,697.0,202.823116
LSTR,2023-07-20 19:00:00+00:00,202.95,203.38,202.58,202.96,64599.0,2146.0,203.015358
LSTR,2023-07-20 20:00:00+00:00,203.05,203.05,202.44,202.44,28026.0,21.0,203.039041
LSTR,2023-07-21 13:00:00+00:00,204.11,204.555,203.06,203.89,12184.0,264.0,203.811153
LSTR,2023-07-21 14:00:00+00:00,204.2,204.54,203.14,204.18,12378.0,464.0,203.975273
LSTR,2023-07-21 15:00:00+00:00,204.245,204.51,203.98,204.38,9009.0,389.0,204.280207
LSTR,2023-07-21 16:00:00+00:00,204.16,204.78,203.05,203.12,12597.0,566.0,203.774159
LSTR,2023-07-21 17:00:00+00:00,203.05,203.125,202.64,203.08,9818.0,370.0,202.86505
