symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LUNG,2023-07-17 13:00:00+00:00,13.49,13.67,13.49,13.62,4095.0,105.0,13.587023
LUNG,2023-07-17 14:00:00+00:00,13.59,13.61,13.15,13.24,16719.0,405.0,13.283492
LUNG,2023-07-17 15:00:00+00:00,13.31,13.38,13.25,13.34,8874.0,181.0,13.309488
LUNG,2023-07-17 16:00:00+00:00,13.34,13.34,13.2,13.25,8867.0,194.0,13.256031
LUNG,2023-07-17 17:00:00+00:00,13.21,13.24,13.07,13.17,15428.0,346.0,13.148696
LUNG,2023-07-17 18:00:00+00:00,13.17,13.24,13.17,13.23,8837.0,202.0,13.212725
LUNG,2023-07-17 19:00:00+00:00,13.23,13.36,13.2,13.34,33772.0,655.0,13.294733
LUNG,2023-07-17 20:00:00+00:00,13.33,13.33,13.33,13.33,43480.0,8.0,13.33
LUNG,2023-07-18 13:00:00+00:00,13.35,13.46,13.35,13.43,6757.0,145.0,13.404715
LUNG,2023-07-18 14:00:00+00:00,13.43,13.57,13.32,13.335,19542.0,401.0,13.426512
LUNG,2023-07-18 15:00:00+00:00,13.32,13.35,12.99,13.04,20942.0,366.0,13.137224
LUNG,2023-07-18 16:00:00+00:00,13.07,13.14,12.88,12.975,18721.0,354.0,13.018742
LUNG,2023-07-18 17:00:00+00:00,12.98,13.09,12.96,13.04,14787.0,352.0,13.026616
LUNG,2023-07-18 18:00:00+00:00,13.05,13.09,13.04,13.09,13261.0,325.0,13.066873
LUNG,2023-07-18 19:00:00+00:00,13.09,13.24,13.07,13.14,48825.0,769.0,13.136437
LUNG,2023-07-18 20:00:00+00:00,13.14,13.14,13.14,13.14,31219.0,8.0,13.14
LUNG,2023-07-19 13:00:00+00:00,13.14,13.37,13.14,13.23,4356.0,61.0,13.21807
LUNG,2023-07-19 14:00:00+00:00,13.28,13.405,13.28,13.31,8902.0,180.0,13.33278
LUNG,2023-07-19 15:00:00+00:00,13.33,13.44,13.295,13.36,6878.0,176.0,13.350136
LUNG,2023-07-19 16:00:00+00:00,13.345,13.37,13.12,13.16,7242.0,140.0,13.251351
LUNG,2023-07-19 17:00:00+00:00,13.16,13.23,13.03,13.21,12861.0,251.0,13.132552
LUNG,2023-07-19 18:00:00+00:00,13.23,13.26,12.98,13.02,23221.0,437.0,13.081732
LUNG,2023-07-19 19:00:00+00:00,13.05,13.23,12.98,12.99,45702.0,931.0,13.049428
LUNG,2023-07-19 20:00:00+00:00,13.01,13.01,13.01,13.01,24173.0,7.0,13.01
LUNG,2023-07-20 13:00:00+00:00,13.01,13.01,12.85,12.9,3346.0,46.0,12.958207
LUNG,2023-07-20 14:00:00+00:00,12.83,12.87,12.725,12.77,19820.0,474.0,12.793182
LUNG,2023-07-20 15:00:00+00:00,12.79,12.81,12.58,12.59,13870.0,309.0,12.723251
LUNG,2023-07-20 16:00:00+00:00,12.61,12.6299,12.54,12.62,6096.0,148.0,12.580258
LUNG,2023-07-20 17:00:00+00:00,12.649,12.65,12.565,12.62,11602.0,200.0,12.604235
LUNG,2023-07-20 18:00:00+00:00,12.67,12.67,12.56,12.59,14566.0,269.0,12.590621
LUNG,2023-07-20 19:00:00+00:00,12.57,12.73,12.54,12.69,40022.0,831.0,12.651704
