symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LYG,2023-07-17 08:00:00+00:00,2.31,2.31,2.31,2.31,9300.0,3.0,2.31
LYG,2023-07-17 09:00:00+00:00,2.3,2.3,2.3,2.3,115503.0,26.0,2.3
LYG,2023-07-17 10:00:00+00:00,2.31,2.31,2.31,2.31,400.0,4.0,2.31
LYG,2023-07-17 11:00:00+00:00,2.3,2.3,2.3,2.3,14620.0,6.0,2.3
LYG,2023-07-17 12:00:00+00:00,2.3,2.31,2.3,2.3,20231.0,17.0,2.30528
LYG,2023-07-17 13:00:00+00:00,2.3,2.33,2.3,2.325,2333742.0,1259.0,2.313245
LYG,2023-07-17 14:00:00+00:00,2.3218,2.33,2.32,2.325,1469334.0,1842.0,2.321202
LYG,2023-07-17 15:00:00+00:00,2.32,2.33,2.3101,2.325,1934700.0,1649.0,2.32066
LYG,2023-07-17 16:00:00+00:00,2.325,2.33,2.32,2.32,130103.0,335.0,2.325597
LYG,2023-07-17 17:00:00+00:00,2.325,2.33,2.32,2.325,225129.0,546.0,2.323498
LYG,2023-07-17 18:00:00+00:00,2.3243,2.33,2.32,2.325,209024.0,588.0,2.326135
LYG,2023-07-17 19:00:00+00:00,2.3249,2.33,2.31,2.31,1328246.0,1624.0,2.322063
LYG,2023-07-17 20:00:00+00:00,2.33,2.33,2.33,2.33,66499.0,3.0,2.33
LYG,2023-07-17 22:00:00+00:00,2.29,2.34,2.26,2.34,4130.0,12.0,2.281453
LYG,2023-07-18 08:00:00+00:00,2.32,2.32,2.32,2.32,23200.0,3.0,2.32
LYG,2023-07-18 10:00:00+00:00,2.33,2.33,2.33,2.33,100.0,1.0,2.33
LYG,2023-07-18 11:00:00+00:00,2.33,2.33,2.33,2.33,66731.0,27.0,2.33
LYG,2023-07-18 12:00:00+00:00,2.33,2.33,2.32,2.32,120200.0,60.0,2.320441
LYG,2023-07-18 13:00:00+00:00,2.32,2.35,2.32,2.345,1436125.0,770.0,2.339258
LYG,2023-07-18 14:00:00+00:00,2.345,2.36,2.345,2.36,1730788.0,1472.0,2.35302
LYG,2023-07-18 15:00:00+00:00,2.36,2.37,2.355,2.36,640914.0,645.0,2.361702
LYG,2023-07-18 16:00:00+00:00,2.36,2.37,2.355,2.36,932113.0,593.0,2.360607
LYG,2023-07-18 17:00:00+00:00,2.365,2.37,2.36,2.365,235264.0,419.0,2.361598
LYG,2023-07-18 18:00:00+00:00,2.365,2.37,2.355,2.355,2209193.0,2518.0,2.360063
LYG,2023-07-18 19:00:00+00:00,2.36,2.36,2.34,2.34,4783672.0,7759.0,2.35096
LYG,2023-07-18 20:00:00+00:00,2.34,2.34,2.3001,2.3001,454213.0,8.0,2.339883
LYG,2023-07-18 22:00:00+00:00,2.3,2.33,2.3,2.33,212.0,2.0,2.315849
LYG,2023-07-19 08:00:00+00:00,2.39,2.39,2.39,2.39,100.0,1.0,2.39
LYG,2023-07-19 11:00:00+00:00,2.38,2.38,2.37,2.37,2764.0,4.0,2.374211
LYG,2023-07-19 12:00:00+00:00,2.3809,2.39,2.37,2.38,26950.0,10.0,2.377667
LYG,2023-07-19 13:00:00+00:00,2.39,2.4,2.38,2.4,1014105.0,817.0,2.389097
LYG,2023-07-19 14:00:00+00:00,2.3999,2.4,2.38,2.39,1471314.0,1359.0,2.390346
LYG,2023-07-19 15:00:00+00:00,2.39,2.39,2.38,2.39,1547869.0,1908.0,2.38105
LYG,2023-07-19 16:00:00+00:00,2.38,2.39,2.37,2.38,568987.0,745.0,2.378425
LYG,2023-07-19 17:00:00+00:00,2.38,2.38,2.37,2.375,212519.0,556.0,2.377089
LYG,2023-07-19 18:00:00+00:00,2.38,2.38,2.37,2.37,142872.0,362.0,2.37548
LYG,2023-07-19 19:00:00+00:00,2.38,2.39,2.37,2.39,4867950.0,3381.0,2.381122
LYG,2023-07-19 20:00:00+00:00,2.39,2.39,2.35,2.35,106880.0,9.0,2.384087
LYG,2023-07-20 08:00:00+00:00,2.39,2.39,2.38,2.38,889.0,8.0,2.38225
LYG,2023-07-20 10:00:00+00:00,2.37,2.37,2.37,2.37,3200.0,2.0,2.37
LYG,2023-07-20 11:00:00+00:00,2.36,2.36,2.36,2.36,3100.0,1.0,2.36
LYG,2023-07-20 12:00:00+00:00,2.36,2.36,2.35,2.35,23441.0,16.0,2.352154
LYG,2023-07-20 13:00:00+00:00,2.35,2.37,2.35,2.37,1687439.0,1030.0,2.359067
LYG,2023-07-20 14:00:00+00:00,2.3655,2.37,2.34,2.345,2241097.0,2450.0,2.35458
LYG,2023-07-20 15:00:00+00:00,2.35,2.36,2.34,2.355,781622.0,895.0,2.351076
LYG,2023-07-20 16:00:00+00:00,2.36,2.36,2.35,2.3599,369962.0,399.0,2.357839
LYG,2023-07-20 17:00:00+00:00,2.36,2.36,2.3518,2.355,141010.0,341.0,2.35825
LYG,2023-07-20 18:00:00+00:00,2.355,2.37,2.35,2.365,987886.0,1476.0,2.361649
LYG,2023-07-20 19:00:00+00:00,2.36,2.38,2.35,2.365,5089769.0,8141.0,2.368411
LYG,2023-07-20 20:00:00+00:00,2.38,2.4,2.34,2.4,415458.0,13.0,2.377899
LYG,2023-07-20 23:00:00+00:00,2.33,2.33,2.33,2.33,150.0,2.0,2.33
LYG,2023-07-21 08:00:00+00:00,2.36,2.36,2.36,2.36,33126.0,9.0,2.36
LYG,2023-07-21 09:00:00+00:00,2.35,2.37,2.33,2.36,4300.0,13.0,2.357209
LYG,2023-07-21 10:00:00+00:00,2.36,2.36,2.36,2.36,3200.0,2.0,2.36
LYG,2023-07-21 11:00:00+00:00,2.35,2.35,2.35,2.35,200.0,2.0,2.35
LYG,2023-07-21 12:00:00+00:00,2.3501,2.36,2.34,2.35,11343.0,19.0,2.352867
LYG,2023-07-21 13:00:00+00:00,2.35,2.35,2.33,2.335,849145.0,697.0,2.340292
LYG,2023-07-21 14:00:00+00:00,2.335,2.34,2.33,2.3315,629076.0,1048.0,2.3337
LYG,2023-07-21 15:00:00+00:00,2.33,2.34,2.32,2.335,2223684.0,2386.0,2.330429
LYG,2023-07-21 16:00:00+00:00,2.3399,2.34,2.33,2.335,739563.0,468.0,2.337718
LYG,2023-07-21 17:00:00+00:00,2.335,2.34,2.33,2.34,264383.0,451.0,2.33821
LYG,2023-07-21 18:00:00+00:00,2.34,2.34,2.33,2.3388,132701.0,432.0,2.338276
LYG,2023-07-21 19:00:00+00:00,2.335,2.34,2.32,2.32,1985355.0,1524.0,2.333322
LYG,2023-07-21 20:00:00+00:00,2.32,2.3201,2.32,2.3201,60779.0,2.0,2.320008
LYG,2023-07-24 08:00:00+00:00,2.33,2.34,2.33,2.34,6410.0,7.0,2.332044
LYG,2023-07-24 09:00:00+00:00,2.32,2.32,2.32,2.32,1217.0,5.0,2.32014
LYG,2023-07-24 11:00:00+00:00,2.32,2.32,2.32,2.32,4530.0,38.0,2.32
LYG,2023-07-24 12:00:00+00:00,2.32,2.32,2.32,2.32,3138.0,5.0,2.320003
LYG,2023-07-24 13:00:00+00:00,2.32,2.33,2.31,2.325,353523.0,400.0,2.323131
LYG,2023-07-24 14:00:00+00:00,2.32,2.33,2.32,2.33,599078.0,1360.0,2.322924
LYG,2023-07-24 15:00:00+00:00,2.325,2.34,2.325,2.335,1075177.0,963.0,2.330945
LYG,2023-07-24 16:00:00+00:00,2.335,2.35,2.33,2.34,1264916.0,1365.0,2.340484
LYG,2023-07-24 17:00:00+00:00,2.34,2.35,2.34,2.345,1030692.0,832.0,2.347372
LYG,2023-07-24 18:00:00+00:00,2.345,2.35,2.34,2.345,203991.0,832.0,2.34645
LYG,2023-07-24 19:00:00+00:00,2.34,2.3499,2.33,2.34,875003.0,1609.0,2.338502
LYG,2023-07-24 20:00:00+00:00,2.33,2.33,2.33,2.33,70184.0,3.0,2.33
LYG,2023-07-24 21:00:00+00:00,2.35,2.35,2.35,2.35,503.0,2.0,2.35
LYG,2023-07-25 09:00:00+00:00,2.35,2.35,2.35,2.35,11600.0,6.0,2.35
LYG,2023-07-25 11:00:00+00:00,2.34,2.34,2.34,2.34,200.0,2.0,2.34
LYG,2023-07-25 12:00:00+00:00,2.33,2.34,2.33,2.34,3232.0,6.0,2.339536
LYG,2023-07-25 13:00:00+00:00,2.34,2.35,2.33,2.34,2067625.0,1049.0,2.340382
LYG,2023-07-25 14:00:00+00:00,2.3415,2.35,2.34,2.35,858270.0,1294.0,2.341459
LYG,2023-07-25 15:00:00+00:00,2.3427,2.35,2.34,2.345,850032.0,954.0,2.346387
LYG,2023-07-25 16:00:00+00:00,2.345,2.35,2.3401,2.345,166456.0,333.0,2.347839
LYG,2023-07-25 17:00:00+00:00,2.345,2.35,2.34,2.34,287541.0,583.0,2.348157
LYG,2023-07-25 18:00:00+00:00,2.3425,2.35,2.33,2.3397,1253539.0,1275.0,2.340032
LYG,2023-07-25 19:00:00+00:00,2.34,2.34,2.33,2.33,1175107.0,1937.0,2.33771
LYG,2023-07-25 20:00:00+00:00,2.35,2.39,2.35,2.39,71340.0,10.0,2.350561
LYG,2023-07-25 22:00:00+00:00,2.34,2.38,2.34,2.38,200.0,2.0,2.36
LYG,2023-07-26 08:00:00+00:00,2.26,2.3,2.26,2.29,12100.0,32.0,2.277438
LYG,2023-07-26 09:00:00+00:00,2.3,2.3,2.29,2.29,900.0,9.0,2.297778
LYG,2023-07-26 10:00:00+00:00,2.29,2.29,2.29,2.29,600.0,6.0,2.29
LYG,2023-07-26 11:00:00+00:00,2.3,2.3,2.28,2.29,9473.0,43.0,2.290478
LYG,2023-07-26 12:00:00+00:00,2.2999,2.3,2.29,2.3,4990.0,29.0,2.29288
LYG,2023-07-26 13:00:00+00:00,2.31,2.33,2.3,2.3195,3108095.0,1750.0,2.319463
LYG,2023-07-26 14:00:00+00:00,2.32,2.32,2.3,2.31,1255125.0,913.0,2.31118
