symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LYV,2023-07-17 12:00:00+00:00,94.39,94.46,94.39,94.46,370.0,6.0,94.45727
LYV,2023-07-17 13:00:00+00:00,94.73,94.81,93.94,94.38,83040.0,1667.0,94.325152
LYV,2023-07-17 14:00:00+00:00,94.38,94.525,94.22,94.45,116065.0,3504.0,94.407357
LYV,2023-07-17 15:00:00+00:00,94.48,94.77,94.445,94.645,88740.0,3007.0,94.640301
LYV,2023-07-17 16:00:00+00:00,94.66,94.67,94.37,94.67,96966.0,2374.0,94.524746
LYV,2023-07-17 17:00:00+00:00,94.68,94.815,94.56,94.63,174291.0,2769.0,94.694956
LYV,2023-07-17 18:00:00+00:00,94.61,94.71,94.21,94.345,136927.0,3378.0,94.403986
LYV,2023-07-17 19:00:00+00:00,94.36,94.38,94.03,94.28,447313.0,7708.0,94.196948
LYV,2023-07-17 20:00:00+00:00,94.29,94.29,94.29,94.29,227177.0,31.0,94.29
LYV,2023-07-18 13:00:00+00:00,94.15,95.2,93.54,95.13,142587.0,2444.0,94.82557
LYV,2023-07-18 14:00:00+00:00,95.15,95.87,95.12,95.79,226013.0,5351.0,95.60739
LYV,2023-07-18 15:00:00+00:00,95.81,96.49,95.63,96.18,217294.0,4964.0,96.020607
LYV,2023-07-18 16:00:00+00:00,96.18,97.09,96.0789,96.94,341217.0,6139.0,96.677053
LYV,2023-07-18 17:00:00+00:00,96.9,97.31,96.71,97.165,435574.0,8005.0,96.979051
LYV,2023-07-18 18:00:00+00:00,97.15,97.4,96.8,96.815,262440.0,6235.0,97.191492
LYV,2023-07-18 19:00:00+00:00,96.84,97.7,96.71,97.64,658135.0,14034.0,97.421203
LYV,2023-07-18 20:00:00+00:00,97.63,97.63,97.63,97.63,244217.0,50.0,97.63
LYV,2023-07-18 23:00:00+00:00,97.89,97.89,97.89,97.89,200.0,5.0,97.87445
LYV,2023-07-19 13:00:00+00:00,97.7,97.74,96.45,96.745,182570.0,3236.0,96.840556
LYV,2023-07-19 14:00:00+00:00,96.76,96.81,95.61,95.87,403767.0,5880.0,96.279512
LYV,2023-07-19 15:00:00+00:00,95.85,96.61,95.72,96.58,219787.0,4203.0,96.118686
LYV,2023-07-19 16:00:00+00:00,96.56,96.56,96.02,96.22,83483.0,2484.0,96.252873
LYV,2023-07-19 17:00:00+00:00,96.225,96.36,95.835,96.0,229793.0,3059.0,96.119768
LYV,2023-07-19 18:00:00+00:00,96.0,96.11,95.52,95.61,175119.0,4438.0,95.803274
LYV,2023-07-19 19:00:00+00:00,95.615,95.885,95.39,95.64,836683.0,10011.0,95.627849
LYV,2023-07-19 20:00:00+00:00,95.68,95.98,95.64,95.98,150119.0,30.0,95.640828
LYV,2023-07-19 23:00:00+00:00,96.0,96.0,96.0,96.0,157.0,4.0,95.946115
LYV,2023-07-20 12:00:00+00:00,99.55,99.55,99.55,99.55,100.0,1.0,99.55
LYV,2023-07-20 13:00:00+00:00,94.94,95.47,94.58,95.28,123052.0,2175.0,95.172875
LYV,2023-07-20 14:00:00+00:00,95.32,95.42,94.75,94.98,240385.0,4293.0,94.965867
LYV,2023-07-20 15:00:00+00:00,95.0,95.525,94.945,95.46,305700.0,3141.0,95.315714
LYV,2023-07-20 16:00:00+00:00,95.47,95.55,95.27,95.355,109366.0,2541.0,95.377164
LYV,2023-07-20 17:00:00+00:00,95.36,95.475,95.24,95.475,97008.0,2255.0,95.374352
LYV,2023-07-20 18:00:00+00:00,95.49,96.15,95.49,95.7,277935.0,5710.0,95.834809
LYV,2023-07-20 19:00:00+00:00,95.725,96.9,95.46,96.8,967462.0,14730.0,96.346449
LYV,2023-07-20 20:00:00+00:00,96.82,97.06,96.82,96.99,198715.0,52.0,96.824398
LYV,2023-07-21 09:00:00+00:00,97.45,97.45,97.45,97.45,210.0,5.0,97.450048
LYV,2023-07-21 11:00:00+00:00,97.729,97.729,97.729,97.729,100.0,1.0,97.729
LYV,2023-07-21 12:00:00+00:00,97.46,97.46,97.46,97.46,300.0,7.0,97.483
LYV,2023-07-21 13:00:00+00:00,97.45,98.0,97.05,97.44,253378.0,3514.0,97.504566
LYV,2023-07-21 14:00:00+00:00,97.44,98.005,97.07,97.58,326447.0,6767.0,97.482516
LYV,2023-07-21 15:00:00+00:00,97.565,98.81,97.32,97.6,585516.0,8454.0,98.239046
LYV,2023-07-21 16:00:00+00:00,97.595,97.73,97.19,97.47,257367.0,4320.0,97.452617
LYV,2023-07-21 17:00:00+00:00,97.46,97.55,96.97,97.4,171033.0,3451.0,97.348222
LYV,2023-07-21 18:00:00+00:00,97.41,97.44,96.93,97.19,118975.0,3004.0,97.137816
LYV,2023-07-21 19:00:00+00:00,97.21,97.4,96.61,96.82,552631.0,10474.0,96.92902
LYV,2023-07-21 20:00:00+00:00,96.84,96.84,96.84,96.84,216038.0,29.0,96.84
LYV,2023-07-21 21:00:00+00:00,97.26,97.26,97.02,97.02,300.0,3.0,97.1
LYV,2023-07-21 22:00:00+00:00,96.84,97.1234,96.84,96.88,400.0,3.0,96.93085
LYV,2023-07-21 23:00:00+00:00,96.84,96.84,96.84,96.84,107.0,3.0,96.840748
LYV,2023-07-24 13:00:00+00:00,96.8,97.04,95.11,95.33,170598.0,2501.0,95.875722
LYV,2023-07-24 14:00:00+00:00,95.34,96.81,95.34,96.745,200649.0,3863.0,96.217941
LYV,2023-07-24 15:00:00+00:00,96.84,97.08,96.575,97.02,301341.0,4751.0,96.867196
LYV,2023-07-24 16:00:00+00:00,97.025,97.19,96.69,96.72,239906.0,3488.0,96.968824
LYV,2023-07-24 17:00:00+00:00,96.68,96.83,96.47,96.55,79122.0,1963.0,96.638966
LYV,2023-07-24 18:00:00+00:00,96.55,96.9,96.45,96.7507,195130.0,4413.0,96.641876
LYV,2023-07-24 19:00:00+00:00,96.77,97.32,96.77,97.17,433175.0,8249.0,97.116444
LYV,2023-07-24 20:00:00+00:00,97.16,97.16,96.45,96.45,260512.0,39.0,97.159456
LYV,2023-07-25 13:00:00+00:00,97.25,97.715,97.03,97.65,90945.0,2173.0,97.385889
LYV,2023-07-25 14:00:00+00:00,97.685,98.17,97.685,97.93,207627.0,4676.0,97.945744
LYV,2023-07-25 15:00:00+00:00,97.93,98.27,97.88,98.11,130492.0,3588.0,98.076914
LYV,2023-07-25 16:00:00+00:00,98.13,99.13,98.1,99.03,236834.0,4953.0,98.722608
LYV,2023-07-25 17:00:00+00:00,99.02,99.08,98.81,99.02,315159.0,5456.0,98.95865
LYV,2023-07-25 18:00:00+00:00,99.0,99.04,98.52,98.625,153151.0,4237.0,98.751469
LYV,2023-07-25 19:00:00+00:00,98.65,98.72,98.26,98.47,512431.0,9844.0,98.452794
