symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MBIN,2023-07-17 13:00:00+00:00,27.41,27.41,27.41,27.41,138.0,5.0,27.406377
MBIN,2023-07-17 14:00:00+00:00,27.85,28.06,27.75,27.925,6533.0,134.0,27.851993
MBIN,2023-07-17 15:00:00+00:00,28.07,28.2,28.07,28.2,1453.0,41.0,28.14121
MBIN,2023-07-17 16:00:00+00:00,28.18,28.18,28.1,28.1,639.0,24.0,28.1536
MBIN,2023-07-17 17:00:00+00:00,28.16,28.28,28.1,28.28,2729.0,70.0,28.209397
MBIN,2023-07-17 18:00:00+00:00,28.21,28.3599,28.21,28.3,2724.0,48.0,28.325525
MBIN,2023-07-17 19:00:00+00:00,28.26,28.27,28.0,28.03,5263.0,227.0,28.117606
MBIN,2023-07-17 20:00:00+00:00,28.05,28.05,28.05,28.05,6951.0,3.0,28.05
MBIN,2023-07-18 13:00:00+00:00,28.06,28.51,27.64,28.51,1762.0,42.0,28.212733
MBIN,2023-07-18 14:00:00+00:00,28.69,28.69,28.38,28.38,1634.0,34.0,28.497372
MBIN,2023-07-18 15:00:00+00:00,28.38,28.465,28.33,28.33,3283.0,99.0,28.392192
MBIN,2023-07-18 16:00:00+00:00,28.36,28.46,28.29,28.41,5742.0,88.0,28.401522
MBIN,2023-07-18 17:00:00+00:00,28.39,28.39,28.25,28.25,3141.0,86.0,28.286715
MBIN,2023-07-18 18:00:00+00:00,28.245,28.3,28.24,28.29,2390.0,105.0,28.277875
MBIN,2023-07-18 19:00:00+00:00,28.33,28.59,28.33,28.55,11198.0,404.0,28.529179
MBIN,2023-07-18 20:00:00+00:00,28.52,28.52,28.52,28.52,7127.0,2.0,28.52
MBIN,2023-07-19 13:00:00+00:00,28.49,28.8,28.49,28.74,3232.0,32.0,28.720597
MBIN,2023-07-19 14:00:00+00:00,28.92,28.97,28.81,28.92,15321.0,290.0,28.926564
MBIN,2023-07-19 15:00:00+00:00,28.895,28.95,28.8,28.95,3614.0,79.0,28.872885
MBIN,2023-07-19 16:00:00+00:00,28.96,29.46,28.94,29.46,47499.0,250.0,29.045495
MBIN,2023-07-19 17:00:00+00:00,29.46,29.73,29.45,29.62,35191.0,317.0,29.558798
MBIN,2023-07-19 18:00:00+00:00,29.5999,29.6,29.43,29.54,12813.0,142.0,29.535943
MBIN,2023-07-19 19:00:00+00:00,29.525,29.54,29.37,29.41,18484.0,454.0,29.480425
MBIN,2023-07-19 20:00:00+00:00,29.4,29.4,29.4,29.4,17562.0,5.0,29.4
MBIN,2023-07-20 13:00:00+00:00,29.43,29.5,29.19,29.41,2016.0,31.0,29.31789
MBIN,2023-07-20 14:00:00+00:00,29.21,29.21,28.9,29.0,1030.0,20.0,28.996044
MBIN,2023-07-20 15:00:00+00:00,29.035,29.18,28.82,29.17,6132.0,180.0,29.006478
MBIN,2023-07-20 16:00:00+00:00,29.12,29.12,28.59,28.73,6503.0,211.0,28.806033
MBIN,2023-07-20 17:00:00+00:00,28.73,28.775,28.665,28.7,6637.0,211.0,28.721583
MBIN,2023-07-20 18:00:00+00:00,28.705,29.06,28.68,29.06,6852.0,221.0,28.858364
MBIN,2023-07-20 19:00:00+00:00,28.95,29.38,28.88,29.29,36930.0,986.0,29.197829
MBIN,2023-07-20 20:00:00+00:00,29.31,29.31,29.31,29.31,7843.0,3.0,29.31
MBIN,2023-07-21 13:00:00+00:00,29.42,29.44,27.03,28.95,9268.0,61.0,29.193564
MBIN,2023-07-21 14:00:00+00:00,28.94,29.09,28.76,28.76,5967.0,154.0,28.912627
MBIN,2023-07-21 15:00:00+00:00,28.755,28.775,28.68,28.7,2297.0,62.0,28.732575
MBIN,2023-07-21 16:00:00+00:00,28.79,28.8,28.7392,28.76,3437.0,81.0,28.758555
MBIN,2023-07-21 17:00:00+00:00,28.604,28.79,28.604,28.78,4340.0,113.0,28.728145
MBIN,2023-07-21 18:00:00+00:00,28.78,28.8,28.72,28.74,3491.0,120.0,28.758996
MBIN,2023-07-21 19:00:00+00:00,28.72,28.73,28.52,28.58,6736.0,278.0,28.610518
MBIN,2023-07-21 20:00:00+00:00,28.6,28.6,28.6,28.6,34984.0,5.0,28.6
MBIN,2023-07-24 13:00:00+00:00,28.56,28.89,28.56,28.835,842.0,18.0,28.777352
MBIN,2023-07-24 14:00:00+00:00,28.81,28.97,28.8,28.87,2424.0,79.0,28.871691
MBIN,2023-07-24 15:00:00+00:00,28.82,28.94,28.79,28.89,1780.0,70.0,28.867059
MBIN,2023-07-24 16:00:00+00:00,28.96,29.485,28.96,29.485,10477.0,252.0,29.162984
MBIN,2023-07-24 17:00:00+00:00,29.5,29.525,29.44,29.47,16273.0,155.0,29.503462
MBIN,2023-07-24 18:00:00+00:00,29.48,29.48,29.22,29.24,7116.0,197.0,29.414582
MBIN,2023-07-24 19:00:00+00:00,29.21,29.36,29.2,29.22,12305.0,482.0,29.27157
MBIN,2023-07-24 20:00:00+00:00,29.25,29.25,29.25,29.25,5750.0,7.0,29.25
MBIN,2023-07-25 13:00:00+00:00,29.27,29.27,29.0,29.16,4319.0,66.0,29.068883
MBIN,2023-07-25 14:00:00+00:00,29.065,29.44,29.065,29.44,1110.0,33.0,29.305631
MBIN,2023-07-25 15:00:00+00:00,29.51,29.56,29.43,29.445,1215.0,39.0,29.47242
MBIN,2023-07-25 16:00:00+00:00,29.47,29.48,29.38,29.45,2587.0,58.0,29.44102
MBIN,2023-07-25 17:00:00+00:00,29.52,29.69,29.5,29.69,1859.0,40.0,29.572773
MBIN,2023-07-25 18:00:00+00:00,29.71,29.77,29.41,29.65,10020.0,219.0,29.635914
MBIN,2023-07-25 19:00:00+00:00,29.55,29.55,29.38,29.39,8355.0,256.0,29.459866
MBIN,2023-07-25 20:00:00+00:00,29.41,29.41,29.41,29.41,9108.0,4.0,29.41
MBIN,2023-07-26 13:00:00+00:00,29.61,30.27,29.565,29.975,23871.0,175.0,29.810989
MBIN,2023-07-26 14:00:00+00:00,29.97,30.03,29.87,30.03,5843.0,150.0,29.943073
MBIN,2023-07-26 15:00:00+00:00,30.115,30.115,29.995,30.11,2193.0,80.0,30.05021
MBIN,2023-07-26 16:00:00+00:00,30.1,30.22,30.04,30.05,5609.0,161.0,30.159667
MBIN,2023-07-26 17:00:00+00:00,30.03,30.04,29.94,29.94,2072.0,71.0,30.001062
MBIN,2023-07-26 18:00:00+00:00,30.0,30.135,29.89,30.03,3115.0,134.0,29.993368
MBIN,2023-07-26 19:00:00+00:00,30.05,30.12,29.96,30.03,13342.0,536.0,30.046297
MBIN,2023-07-26 20:00:00+00:00,30.0,30.0,30.0,30.0,7317.0,3.0,30.0
MBIN,2023-07-27 13:00:00+00:00,30.1,30.1,30.1,30.1,392.0,12.0,30.100293
MBIN,2023-07-27 14:00:00+00:00,29.99,30.32,29.99,30.25,1212.0,42.0,30.237921
MBIN,2023-07-27 15:00:00+00:00,30.39,30.64,30.31,30.61,22990.0,139.0,30.45835
MBIN,2023-07-27 16:00:00+00:00,30.62,30.665,30.62,30.665,237.0,6.0,30.64924
MBIN,2023-07-27 17:00:00+00:00,30.835,30.835,30.335,30.335,1744.0,53.0,30.593884
MBIN,2023-07-27 18:00:00+00:00,30.42,30.48,30.05,30.135,11569.0,104.0,30.207619
MBIN,2023-07-27 19:00:00+00:00,30.06,30.31,30.06,30.25,12361.0,442.0,30.214869
MBIN,2023-07-27 20:00:00+00:00,30.16,30.16,30.16,30.16,13646.0,5.0,30.16
