symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MKC.V,2023-07-17 13:00:00+00:00,85.43,85.43,85.43,85.43,102.0,3.0,85.43
MKC.V,2023-07-17 14:00:00+00:00,87.4799,87.4799,87.4799,87.4799,106.0,1.0,87.4799
MKC.V,2023-07-18 13:00:00+00:00,86.12,86.12,86.12,86.12,170.0,1.0,86.12
MKC.V,2023-07-18 14:00:00+00:00,86.2,86.2,86.2,86.2,100.0,1.0,86.2
MKC.V,2023-07-18 16:00:00+00:00,85.91,85.91,85.91,85.91,102.0,2.0,85.899216
MKC.V,2023-07-18 17:00:00+00:00,85.75,85.75,85.75,85.75,100.0,1.0,85.75
MKC.V,2023-07-19 16:00:00+00:00,86.3049,86.3049,86.3049,86.3049,100.0,1.0,86.3049
MKC.V,2023-07-20 13:00:00+00:00,86.92,89.9999,86.92,89.9999,254.0,2.0,88.326569
MKC.V,2023-07-20 15:00:00+00:00,87.0,87.0,87.0,87.0,216.0,3.0,86.906019
MKC.V,2023-07-20 17:00:00+00:00,88.13,88.13,88.13,88.13,100.0,1.0,88.13
MKC.V,2023-07-20 18:00:00+00:00,88.0,88.0,88.0,88.0,100.0,1.0,88.0
MKC.V,2023-07-24 13:00:00+00:00,89.45,89.45,89.45,89.45,616.0,3.0,89.444318
MKC.V,2023-07-24 14:00:00+00:00,88.5,88.995,87.9,87.96,29242.0,61.0,88.041976
MKC.V,2023-07-24 17:00:00+00:00,88.5,88.5,88.5,88.5,100.0,1.0,88.5
MKC.V,2023-07-25 14:00:00+00:00,90.0983,90.0983,90.0983,90.0983,137.0,2.0,90.092473
MKC.V,2023-07-25 15:00:00+00:00,89.7499,89.7499,89.7499,89.7499,250.0,2.0,89.64992
MKC.V,2023-07-25 16:00:00+00:00,89.6284,89.6284,89.6284,89.6284,124.0,3.0,89.651935
MKC.V,2023-07-25 19:00:00+00:00,89.26,89.26,89.26,89.26,164.0,2.0,89.265976
MKC.V,2023-07-26 14:00:00+00:00,91.5,91.5,91.5,91.5,100.0,1.0,91.5
MKC.V,2023-07-26 16:00:00+00:00,90.255,90.255,90.255,90.255,140.0,2.0,90.282114
MKC.V,2023-07-26 20:00:00+00:00,87.38,87.38,87.38,87.38,127.0,1.0,87.38
MKC.V,2023-07-27 15:00:00+00:00,90.0,90.0,90.0,90.0,370.0,3.0,90.0
MKC.V,2023-07-27 16:00:00+00:00,89.6,89.945,89.5,89.5,400.0,3.0,89.7475
MKC.V,2023-07-27 17:00:00+00:00,89.5,89.62,89.5,89.62,827.0,11.0,89.613183
MKC.V,2023-07-27 18:00:00+00:00,89.56,89.56,89.05,89.32,825.0,9.0,89.235758
MKC.V,2023-07-27 19:00:00+00:00,89.41,89.56,89.37,89.38,1201.0,12.0,89.422481
MKC.V,2023-07-28 13:00:00+00:00,90.6,90.6,90.6,90.6,101.0,2.0,90.594059
MKC.V,2023-07-28 14:00:00+00:00,90.1,90.1,90.05,90.05,586.0,4.0,90.077133
MKC.V,2023-07-28 15:00:00+00:00,89.91,89.91,89.91,89.91,551.0,7.0,89.904446
MKC.V,2023-07-28 17:00:00+00:00,89.8888,89.8888,89.8888,89.8888,100.0,1.0,89.8888
MKC.V,2023-07-28 19:00:00+00:00,89.54,89.88,89.54,89.88,302.0,5.0,89.705198
MKC.V,2023-07-31 13:00:00+00:00,89.88,89.88,89.88,89.88,129.0,3.0,89.88
MKC.V,2023-07-31 18:00:00+00:00,88.1101,88.1101,88.1101,88.1101,100.0,1.0,88.1101
MKC.V,2023-08-01 13:00:00+00:00,89.45,89.45,89.45,89.45,100.0,1.0,89.45
MKC.V,2023-08-01 14:00:00+00:00,89.105,89.44,89.105,89.44,404.0,9.0,89.30888
