symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MMSI,2023-07-17 13:00:00+00:00,84.46,84.46,83.87,84.39,5751.0,117.0,84.269685
MMSI,2023-07-17 14:00:00+00:00,84.48,84.98,84.19,84.205,10597.0,284.0,84.343922
MMSI,2023-07-17 15:00:00+00:00,84.1525,84.288,84.0,84.09,11674.0,395.0,84.110034
MMSI,2023-07-17 16:00:00+00:00,84.09,84.28,84.02,84.26,14288.0,515.0,84.151679
MMSI,2023-07-17 17:00:00+00:00,84.22,84.22,84.05,84.22,14058.0,389.0,84.127634
MMSI,2023-07-17 18:00:00+00:00,84.21,84.305,84.08,84.16,18028.0,626.0,84.189279
MMSI,2023-07-17 19:00:00+00:00,84.17,84.26,84.05,84.21,75135.0,1930.0,84.191727
MMSI,2023-07-17 20:00:00+00:00,84.17,84.17,84.17,84.17,55158.0,11.0,84.17
MMSI,2023-07-18 13:00:00+00:00,84.17,84.365,83.87,84.04,6002.0,112.0,84.096774
MMSI,2023-07-18 14:00:00+00:00,84.195,84.3,83.73,83.985,11140.0,380.0,84.031634
MMSI,2023-07-18 15:00:00+00:00,84.06,84.14,83.93,84.08,20077.0,568.0,84.037848
MMSI,2023-07-18 16:00:00+00:00,84.08,84.11,83.44,83.44,55938.0,410.0,83.785497
MMSI,2023-07-18 17:00:00+00:00,83.45,83.67,83.45,83.52,11071.0,388.0,83.568104
MMSI,2023-07-18 18:00:00+00:00,83.56,83.88,83.56,83.6,15061.0,554.0,83.725865
MMSI,2023-07-18 19:00:00+00:00,83.64,83.855,83.61,83.695,44998.0,1568.0,83.716065
MMSI,2023-07-18 20:00:00+00:00,83.68,83.68,83.68,83.68,31672.0,7.0,83.68
MMSI,2023-07-19 13:00:00+00:00,83.55,84.21,82.75,82.775,14738.0,318.0,83.257986
MMSI,2023-07-19 14:00:00+00:00,82.7,83.0,81.08,81.08,65184.0,1444.0,81.867319
MMSI,2023-07-19 15:00:00+00:00,81.16,82.255,81.12,82.255,25123.0,684.0,81.795888
MMSI,2023-07-19 16:00:00+00:00,82.47,82.63,82.32,82.41,45391.0,786.0,82.470028
MMSI,2023-07-19 17:00:00+00:00,82.39,82.41,81.79,81.83,39421.0,793.0,82.162928
MMSI,2023-07-19 18:00:00+00:00,81.83,82.02,81.705,81.705,29176.0,755.0,81.873313
MMSI,2023-07-19 19:00:00+00:00,81.72,82.51,81.695,82.43,95372.0,2382.0,82.204987
MMSI,2023-07-19 20:00:00+00:00,82.39,82.39,82.39,82.39,46752.0,13.0,82.39
MMSI,2023-07-20 13:00:00+00:00,82.63,83.1,81.92,82.93,3560.0,77.0,82.64821
MMSI,2023-07-20 14:00:00+00:00,82.62,82.85,82.48,82.48,13104.0,467.0,82.68013
MMSI,2023-07-20 15:00:00+00:00,82.45,82.52,82.12,82.38,21352.0,757.0,82.306997
MMSI,2023-07-20 16:00:00+00:00,82.43,82.59,82.24,82.4,17460.0,475.0,82.431774
MMSI,2023-07-20 17:00:00+00:00,82.345,82.6,82.18,82.56,16059.0,483.0,82.429322
MMSI,2023-07-20 18:00:00+00:00,82.545,82.6,82.22,82.325,27435.0,790.0,82.442983
MMSI,2023-07-20 19:00:00+00:00,82.31,82.38,81.94,81.96,58235.0,1710.0,82.070553
MMSI,2023-07-20 20:00:00+00:00,81.96,81.96,81.96,81.96,44968.0,12.0,81.960053
MMSI,2023-07-21 13:00:00+00:00,82.46,83.14,82.2,83.14,34338.0,114.0,82.462251
MMSI,2023-07-21 14:00:00+00:00,83.12,83.59,82.91,83.01,30017.0,654.0,83.253843
MMSI,2023-07-21 15:00:00+00:00,82.95,82.95,82.46,82.48,32936.0,722.0,82.683717
MMSI,2023-07-21 16:00:00+00:00,82.5,82.55,82.01,82.134,18588.0,487.0,82.355265
MMSI,2023-07-21 17:00:00+00:00,82.095,82.19,82.02,82.11,13642.0,378.0,82.133791
MMSI,2023-07-21 18:00:00+00:00,82.145,82.39,82.1,82.15,37254.0,1141.0,82.209803
MMSI,2023-07-21 19:00:00+00:00,82.14,82.249,81.86,81.96,80458.0,2404.0,82.041214
MMSI,2023-07-21 20:00:00+00:00,82.0,82.0,82.0,82.0,65000.0,15.0,82.0
MMSI,2023-07-24 13:00:00+00:00,81.69,81.73,81.08,81.25,22951.0,204.0,81.572307
MMSI,2023-07-24 14:00:00+00:00,81.305,81.5,80.915,81.15,36272.0,840.0,81.222293
MMSI,2023-07-24 15:00:00+00:00,81.13,81.42,81.1,81.13,15740.0,496.0,81.247041
MMSI,2023-07-24 16:00:00+00:00,81.17,81.17,80.73,80.87,18003.0,616.0,80.92876
MMSI,2023-07-24 17:00:00+00:00,80.82,81.02,80.65,80.66,16101.0,616.0,80.874271
MMSI,2023-07-24 18:00:00+00:00,80.72,81.01,80.68,80.99,18691.0,933.0,80.873342
MMSI,2023-07-24 19:00:00+00:00,80.91,80.92,80.12,80.16,99166.0,3398.0,80.308983
MMSI,2023-07-24 20:00:00+00:00,80.19,80.19,80.19,80.19,35481.0,17.0,80.18995
MMSI,2023-07-25 13:00:00+00:00,79.85,80.93,79.805,80.86,4776.0,108.0,80.209495
MMSI,2023-07-25 14:00:00+00:00,80.81,81.345,80.73,81.345,32074.0,1196.0,81.097796
MMSI,2023-07-25 15:00:00+00:00,81.355,81.625,81.3,81.45,34909.0,1367.0,81.431737
MMSI,2023-07-25 16:00:00+00:00,81.45,81.66,81.32,81.34,50718.0,1301.0,81.495139
MMSI,2023-07-25 17:00:00+00:00,81.34,81.65,81.13,81.18,53154.0,1223.0,81.432871
MMSI,2023-07-25 18:00:00+00:00,81.24,81.82,81.24,81.72,56450.0,1722.0,81.513993
MMSI,2023-07-25 19:00:00+00:00,81.75,81.85,81.2,81.53,101805.0,3435.0,81.542926
MMSI,2023-07-25 20:00:00+00:00,81.53,81.53,81.53,81.53,44296.0,28.0,81.539288
MMSI,2023-07-26 13:00:00+00:00,81.0,81.0,74.65,75.655,205346.0,3068.0,75.689723
MMSI,2023-07-26 14:00:00+00:00,75.249,75.96,74.29,74.485,194717.0,3744.0,75.008978
MMSI,2023-07-26 15:00:00+00:00,74.54,75.11,74.24,74.815,129336.0,2917.0,74.62767
MMSI,2023-07-26 16:00:00+00:00,74.86,74.925,73.48,73.67,131054.0,2475.0,74.34634
MMSI,2023-07-26 17:00:00+00:00,73.59,74.02,73.51,73.65,77616.0,1283.0,73.691856
MMSI,2023-07-26 18:00:00+00:00,73.75,74.27,73.4,73.47,126210.0,1971.0,73.729223
MMSI,2023-07-26 19:00:00+00:00,73.45,73.51,72.21,72.5,279793.0,6146.0,72.544266
MMSI,2023-07-26 20:00:00+00:00,72.5,72.5,72.5,72.5,64191.0,21.0,72.499991
MMSI,2023-07-27 13:00:00+00:00,73.34,73.465,72.51,73.46,33758.0,662.0,73.004453
MMSI,2023-07-27 14:00:00+00:00,73.4,74.65,73.07,74.43,108761.0,3277.0,73.939733
MMSI,2023-07-27 15:00:00+00:00,74.38,74.47,73.48,73.75,55435.0,1777.0,73.763636
MMSI,2023-07-27 16:00:00+00:00,73.695,73.97,73.38,73.77,39770.0,1340.0,73.697176
MMSI,2023-07-27 17:00:00+00:00,73.78,73.83,73.19,73.705,34490.0,1144.0,73.491335
MMSI,2023-07-27 18:00:00+00:00,73.65,73.7,73.1,73.3,47996.0,1450.0,73.359779
MMSI,2023-07-27 19:00:00+00:00,73.3,73.31,72.295,72.43,129580.0,3341.0,72.664828
MMSI,2023-07-27 20:00:00+00:00,72.38,72.38,72.38,72.38,76826.0,4.0,72.38
MMSI,2023-07-28 13:00:00+00:00,72.47,73.35,72.365,72.99,16522.0,332.0,72.825175
MMSI,2023-07-28 14:00:00+00:00,72.98,72.98,72.34,72.5,44390.0,1239.0,72.594536
MMSI,2023-07-28 15:00:00+00:00,72.4,73.04,72.195,72.75,32976.0,1060.0,72.602627
