c,h,l,n,o,t,v,vw
14.34,14.34,14.34,2,14.34,2022-01-18T12:00:00Z,165,14.31
14.23,14.23,14.23,2,14.23,2022-01-18T13:55:00Z,245,14.23
14.23,14.23,14.19,19,14.19,2022-01-18T14:30:00Z,25291,14.191952
14.22,14.22,14.22,3,14.22,2022-01-18T14:35:00Z,107,14.22
14.23,14.25,14.23,32,14.24,2022-01-18T14:40:00Z,2903,14.238615
14.24,14.24,14.23,7,14.23,2022-01-18T14:45:00Z,2388,14.23
14.22,14.22,14.22,5,14.22,2022-01-18T14:50:00Z,1092,14.22
14.22,14.22,14.22,6,14.22,2022-01-18T14:55:00Z,504,14.22
14.2,14.2,14.2,1,14.2,2022-01-18T15:00:00Z,100,14.2
14.21,14.21,14.19,12,14.19,2022-01-18T15:05:00Z,2672,14.19
14.21,14.21,14.21,3,14.21,2022-01-18T15:10:00Z,1145,14.21
14.19,14.19,14.19,10,14.19,2022-01-18T15:20:00Z,1431,14.19
14.18,14.19,14.18,10,14.18,2022-01-18T15:25:00Z,2415,14.18
14.18,14.18,14.17,11,14.17,2022-01-18T15:30:00Z,3591,14.170841
14.15,14.17,14.15,7,14.17,2022-01-18T15:35:00Z,2048,14.153945
14.16,14.16,14.15,7,14.15,2022-01-18T15:40:00Z,2970,14.158906
14.17,14.17,14.16,11,14.16,2022-01-18T15:45:00Z,2312,14.16
14.18,14.18,14.17,8,14.17,2022-01-18T15:50:00Z,1869,14.17
14.18,14.18,14.17,15,14.18,2022-01-18T16:05:00Z,2172,14.177537
14.2,14.2,14.19,16,14.19,2022-01-18T16:20:00Z,3159,14.190959
14.2,14.2,14.2,9,14.2,2022-01-18T16:25:00Z,93636,14.2
14.16,14.2,14.16,12,14.2,2022-01-18T16:30:00Z,499,14.186232
14.18,14.18,14.18,3,14.18,2022-01-18T16:35:00Z,557,14.18
14.17,14.17,14.16,7,14.16,2022-01-18T16:40:00Z,811,14.16
14.16,14.17,14.16,5,14.17,2022-01-18T16:50:00Z,466,14.164592
14.13,14.13,14.13,2,14.13,2022-01-18T17:00:00Z,178,14.13
14.12,14.13,14.12,3,14.13,2022-01-18T17:05:00Z,3332,14.12
14.13,14.13,14.12,5,14.12,2022-01-18T17:10:00Z,254,14.13
14.14,14.14,14.13,5,14.13,2022-01-18T17:15:00Z,2113,14.139465
14.12,14.12,14.12,12,14.12,2022-01-18T17:20:00Z,2384,14.12
14.12,14.12,14.11,23,14.11,2022-01-18T17:25:00Z,3849,14.11026
14.13,14.13,14.12,8,14.12,2022-01-18T17:30:00Z,1835,14.12455
14.12,14.13,14.12,65,14.12,2022-01-18T17:35:00Z,17912,14.12
14.09,14.11,14.09,9,14.11,2022-01-18T17:45:00Z,1829,14.09608
14.08,14.08,14.08,7,14.08,2022-01-18T17:55:00Z,357,14.08
14.07,14.08,14.07,9,14.08,2022-01-18T18:00:00Z,1004,14.07
14.07,14.07,14.07,13,14.07,2022-01-18T18:05:00Z,2798,14.07
14.08,14.08,14.07,10,14.07,2022-01-18T18:15:00Z,1322,14.077504
14.06,14.08,14.06,3,14.08,2022-01-18T18:20:00Z,1718,14.068952
14.07,14.07,14.07,5,14.07,2022-01-18T18:25:00Z,344,14.06
