symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MPAA,2023-07-17 13:00:00+00:00,7.97,8.4,7.87,8.39,66329.0,386.0,8.075078
MPAA,2023-07-17 14:00:00+00:00,8.39,8.49,8.21,8.41,42942.0,532.0,8.351836
MPAA,2023-07-17 15:00:00+00:00,8.4,8.5243,8.31,8.42,66615.0,719.0,8.424613
MPAA,2023-07-17 16:00:00+00:00,8.41,8.49,8.39,8.425,17284.0,350.0,8.43527
MPAA,2023-07-17 17:00:00+00:00,8.41,8.72,8.37,8.69,41636.0,568.0,8.584002
MPAA,2023-07-17 18:00:00+00:00,8.68,8.73,8.57,8.67,43386.0,641.0,8.667956
MPAA,2023-07-17 19:00:00+00:00,8.685,8.74,8.54,8.7,83266.0,1337.0,8.674794
MPAA,2023-07-17 20:00:00+00:00,8.68,8.68,8.68,8.68,10546.0,5.0,8.68
MPAA,2023-07-18 13:00:00+00:00,8.67,9.4094,8.65,9.34,54921.0,367.0,8.955254
MPAA,2023-07-18 14:00:00+00:00,9.39,9.39,9.0301,9.22,53671.0,569.0,9.204149
MPAA,2023-07-18 15:00:00+00:00,9.21,9.5,9.08,9.49,235778.0,1576.0,9.335409
MPAA,2023-07-18 16:00:00+00:00,9.5,9.61,9.37,9.45,183297.0,1350.0,9.479873
MPAA,2023-07-18 17:00:00+00:00,9.4862,9.55,9.28,9.285,108981.0,1004.0,9.382379
MPAA,2023-07-18 18:00:00+00:00,9.285,9.3142,9.12,9.16,76725.0,871.0,9.21038
MPAA,2023-07-18 19:00:00+00:00,9.16,9.195,9.0901,9.17,75535.0,1289.0,9.143908
MPAA,2023-07-18 20:00:00+00:00,9.15,9.15,9.15,9.15,10061.0,4.0,9.15
MPAA,2023-07-18 21:00:00+00:00,9.45,9.45,9.45,9.45,330.0,1.0,9.45
MPAA,2023-07-18 23:00:00+00:00,9.25,9.45,9.25,9.45,2058.0,2.0,9.347182
MPAA,2023-07-19 11:00:00+00:00,9.45,9.45,9.25,9.25,1511.0,2.0,9.32002
MPAA,2023-07-19 12:00:00+00:00,9.45,9.45,9.45,9.45,450.0,2.0,9.45
MPAA,2023-07-19 13:00:00+00:00,9.48,9.6485,9.2581,9.615,63853.0,404.0,9.460916
MPAA,2023-07-19 14:00:00+00:00,9.645,10.2,9.55,10.13,104277.0,1029.0,9.88523
MPAA,2023-07-19 15:00:00+00:00,10.13,10.24,9.7607,9.805,108383.0,991.0,10.034659
MPAA,2023-07-19 16:00:00+00:00,9.7801,9.85,9.61,9.835,32095.0,427.0,9.733176
MPAA,2023-07-19 17:00:00+00:00,9.82,9.88,9.7401,9.7401,27116.0,434.0,9.794529
MPAA,2023-07-19 18:00:00+00:00,9.755,9.86,9.74,9.825,21453.0,388.0,9.798984
MPAA,2023-07-19 19:00:00+00:00,9.825,9.8775,9.79,9.85,33267.0,720.0,9.835388
MPAA,2023-07-19 20:00:00+00:00,9.86,9.86,9.83,9.83,16373.0,6.0,9.858168
MPAA,2023-07-20 12:00:00+00:00,9.6,9.6,9.6,9.6,200.0,1.0,9.6
MPAA,2023-07-20 13:00:00+00:00,9.86,9.86,9.37,9.48,31186.0,314.0,9.588451
MPAA,2023-07-20 14:00:00+00:00,9.475,9.52,9.28,9.4,75294.0,686.0,9.405663
MPAA,2023-07-20 15:00:00+00:00,9.43,9.53,9.4,9.47,16150.0,318.0,9.485468
MPAA,2023-07-20 16:00:00+00:00,9.47,9.47,9.31,9.3799,28359.0,347.0,9.387081
MPAA,2023-07-20 17:00:00+00:00,9.37,9.45,9.27,9.45,18458.0,309.0,9.328723
MPAA,2023-07-20 18:00:00+00:00,9.43,9.445,9.36,9.36,10780.0,257.0,9.41964
MPAA,2023-07-20 19:00:00+00:00,9.38,9.66,9.355,9.51,67463.0,1273.0,9.519708
MPAA,2023-07-20 20:00:00+00:00,9.49,9.49,9.49,9.49,8278.0,4.0,9.49
MPAA,2023-07-21 13:00:00+00:00,9.69,9.69,9.15,9.21,41072.0,187.0,9.308963
MPAA,2023-07-21 14:00:00+00:00,9.21,9.24,8.97,9.1,47107.0,500.0,9.090802
MPAA,2023-07-21 15:00:00+00:00,9.08,9.185,9.06,9.185,12285.0,205.0,9.122604
MPAA,2023-07-21 16:00:00+00:00,9.185,9.2799,9.14,9.14,5975.0,98.0,9.190108
MPAA,2023-07-21 17:00:00+00:00,9.16,9.44,9.06,9.36,38404.0,369.0,9.332202
MPAA,2023-07-21 18:00:00+00:00,9.39,9.43,9.315,9.315,13901.0,213.0,9.362673
MPAA,2023-07-21 19:00:00+00:00,9.315,9.33,9.2,9.2,35430.0,696.0,9.258052
MPAA,2023-07-21 20:00:00+00:00,9.2,9.2,9.2,9.2,8828.0,2.0,9.2
MPAA,2023-07-24 13:00:00+00:00,9.27,9.4218,9.1216,9.26,15685.0,113.0,9.302602
MPAA,2023-07-24 14:00:00+00:00,9.34,9.69,9.24,9.68,29142.0,476.0,9.407943
MPAA,2023-07-24 15:00:00+00:00,9.695,9.745,9.65,9.655,23825.0,481.0,9.689935
MPAA,2023-07-24 16:00:00+00:00,9.65,9.785,9.61,9.76,14040.0,333.0,9.701093
MPAA,2023-07-24 17:00:00+00:00,9.75,9.85,9.74,9.765,18672.0,334.0,9.78609
MPAA,2023-07-24 18:00:00+00:00,9.78,9.825,9.76,9.82,20385.0,438.0,9.792723
MPAA,2023-07-24 19:00:00+00:00,9.81,9.82,9.68,9.68,46616.0,1050.0,9.752508
MPAA,2023-07-24 20:00:00+00:00,9.69,9.69,9.69,9.69,4684.0,4.0,9.69
MPAA,2023-07-25 13:00:00+00:00,9.69,9.8344,9.55,9.61,11678.0,97.0,9.639049
MPAA,2023-07-25 14:00:00+00:00,9.61,9.61,9.2,9.22,25468.0,362.0,9.377775
MPAA,2023-07-25 15:00:00+00:00,9.2,9.235,8.94,9.0,30672.0,377.0,9.087292
MPAA,2023-07-25 16:00:00+00:00,8.93,9.1,8.93,9.04,16461.0,246.0,8.998799
MPAA,2023-07-25 17:00:00+00:00,9.01,9.075,8.96,8.97,15961.0,233.0,9.016163
MPAA,2023-07-25 18:00:00+00:00,8.99,9.0083,8.86,8.86,25330.0,316.0,8.945138
MPAA,2023-07-25 19:00:00+00:00,8.84,8.86,8.71,8.74,33669.0,809.0,8.761236
MPAA,2023-07-25 20:00:00+00:00,8.74,8.74,8.74,8.74,4731.0,1.0,8.74
MPAA,2023-07-25 22:00:00+00:00,8.76,8.9,8.76,8.9,400.0,5.0,8.795
MPAA,2023-07-26 12:00:00+00:00,8.91,8.91,8.91,8.91,100.0,1.0,8.91
MPAA,2023-07-26 13:00:00+00:00,8.78,9.16,8.78,9.1,12348.0,71.0,8.98987
MPAA,2023-07-26 14:00:00+00:00,9.1,9.315,9.1,9.27,17431.0,318.0,9.215572
MPAA,2023-07-26 15:00:00+00:00,9.23,9.49,9.23,9.455,20722.0,335.0,9.38037
MPAA,2023-07-26 16:00:00+00:00,9.47,9.47,9.35,9.415,11961.0,233.0,9.412382
MPAA,2023-07-26 17:00:00+00:00,9.43,9.46,9.4,9.41,11185.0,254.0,9.42571
MPAA,2023-07-26 18:00:00+00:00,9.401,9.585,9.3913,9.515,11089.0,247.0,9.496837
MPAA,2023-07-26 19:00:00+00:00,9.51,9.57,9.36,9.5,31033.0,844.0,9.507216
MPAA,2023-07-26 20:00:00+00:00,9.51,9.51,9.51,9.51,4806.0,1.0,9.51
MPAA,2023-07-27 13:00:00+00:00,9.62,9.62,9.21,9.34,13381.0,147.0,9.344161
MPAA,2023-07-27 14:00:00+00:00,9.44,9.45,9.24,9.31,16027.0,244.0,9.318953
MPAA,2023-07-27 15:00:00+00:00,9.34,9.45,9.09,9.12,25037.0,296.0,9.320798
MPAA,2023-07-27 16:00:00+00:00,9.1,9.16,9.06,9.06,10771.0,220.0,9.106721
MPAA,2023-07-27 17:00:00+00:00,9.06,9.06,8.8632,8.945,28946.0,353.0,8.947462
MPAA,2023-07-27 18:00:00+00:00,8.93,8.9594,8.8643,8.91,17971.0,214.0,8.904166
MPAA,2023-07-27 19:00:00+00:00,8.93,8.95,8.85,8.88,30134.0,811.0,8.87959
MPAA,2023-07-27 20:00:00+00:00,8.89,8.89,8.89,8.89,4046.0,2.0,8.89
MPAA,2023-07-28 13:00:00+00:00,8.94,9.13,8.7584,8.775,16130.0,230.0,8.915688
MPAA,2023-07-28 14:00:00+00:00,8.76,8.9,8.75,8.9,12902.0,339.0,8.818733
MPAA,2023-07-28 15:00:00+00:00,8.9,9.0,8.88,8.94,14554.0,347.0,8.943374
MPAA,2023-07-28 16:00:00+00:00,8.94,8.9999,8.9001,8.915,7217.0,192.0,8.950959
MPAA,2023-07-28 17:00:00+00:00,8.89,8.933,8.79,8.835,14856.0,204.0,8.864134
MPAA,2023-07-28 18:00:00+00:00,8.89,9.0,8.85,8.97,14792.0,277.0,8.937571
MPAA,2023-07-28 19:00:00+00:00,8.99,9.09,8.99,9.06,35912.0,796.0,9.055935
MPAA,2023-07-28 20:00:00+00:00,9.05,9.05,9.05,9.05,9826.0,1.0,9.05
MPAA,2023-07-31 13:00:00+00:00,9.08,9.18,8.8001,9.015,15776.0,153.0,9.040268
MPAA,2023-07-31 14:00:00+00:00,9.0638,9.0638,8.903,8.955,17699.0,197.0,8.969998
MPAA,2023-07-31 15:00:00+00:00,8.93,8.99,8.84,8.88,17908.0,290.0,8.898868
MPAA,2023-07-31 16:00:00+00:00,8.88,8.91,8.83,8.87,5911.0,93.0,8.869154
MPAA,2023-07-31 17:00:00+00:00,8.86,8.89,8.76,8.81,24085.0,231.0,8.819116
MPAA,2023-07-31 18:00:00+00:00,8.78,9.0,8.78,8.96,32101.0,395.0,8.920028
MPAA,2023-07-31 19:00:00+00:00,8.99,9.01,8.93,8.98,42736.0,1040.0,8.963911
MPAA,2023-07-31 20:00:00+00:00,8.97,8.97,8.97,8.97,11504.0,1.0,8.97
MPAA,2023-07-31 22:00:00+00:00,8.97,8.97,8.97,8.97,250.0,2.0,8.97
MPAA,2023-08-01 13:00:00+00:00,8.97,9.04,8.73,8.94,9805.0,84.0,8.932529
MPAA,2023-08-01 14:00:00+00:00,8.99,9.28,8.99,9.27,29043.0,391.0,9.04821
MPAA,2023-08-01 15:00:00+00:00,9.28,9.3,9.225,9.3,6857.0,147.0,9.279838
MPAA,2023-08-01 16:00:00+00:00,9.28,9.3,9.19,9.27,5551.0,122.0,9.247117
MPAA,2023-08-01 17:00:00+00:00,9.29,9.305,9.19,9.19,8282.0,122.0,9.270751
MPAA,2023-08-01 18:00:00+00:00,9.18,9.35,9.18,9.32,5906.0,139.0,9.28568
MPAA,2023-08-01 19:00:00+00:00,9.3201,9.37,9.24,9.35,30605.0,859.0,9.312224
MPAA,2023-08-01 20:00:00+00:00,9.32,9.32,9.32,9.32,4951.0,2.0,9.32
MPAA,2023-08-02 12:00:00+00:00,9.32,9.32,9.32,9.32,500.0,1.0,9.32
MPAA,2023-08-02 13:00:00+00:00,9.13,9.175,8.8,8.965,18769.0,121.0,8.910556
MPAA,2023-08-02 14:00:00+00:00,8.91,9.04,8.855,8.855,29680.0,345.0,8.935857
MPAA,2023-08-02 15:00:00+00:00,8.855,8.98,8.785,8.915,21111.0,472.0,8.875266
MPAA,2023-08-02 16:00:00+00:00,8.9,9.08,8.85,8.99,16913.0,252.0,8.964019
MPAA,2023-08-02 17:00:00+00:00,9.015,9.12,8.985,9.095,14193.0,245.0,9.032719
MPAA,2023-08-02 18:00:00+00:00,9.06,9.15,9.06,9.135,6880.0,148.0,9.091544
MPAA,2023-08-02 19:00:00+00:00,9.135,9.2,9.05,9.17,24030.0,829.0,9.129949
MPAA,2023-08-02 20:00:00+00:00,9.16,9.16,9.16,9.16,5359.0,4.0,9.16
MPAA,2023-08-03 13:00:00+00:00,9.04,9.11,8.97,9.085,7391.0,110.0,9.039982
MPAA,2023-08-03 14:00:00+00:00,9.08,9.195,8.99,9.15,14350.0,289.0,9.141094
MPAA,2023-08-03 15:00:00+00:00,9.15,9.24,9.12,9.22,19999.0,321.0,9.164089
MPAA,2023-08-03 16:00:00+00:00,9.22,9.305,9.19,9.278,7197.0,136.0,9.271586
MPAA,2023-08-03 17:00:00+00:00,9.31,9.34,9.175,9.175,6042.0,156.0,9.277246
MPAA,2023-08-03 18:00:00+00:00,9.175,9.2199,9.15,9.2,6086.0,257.0,9.185815
MPAA,2023-08-03 19:00:00+00:00,9.19,9.22,9.16,9.18,20536.0,530.0,9.184461
MPAA,2023-08-03 20:00:00+00:00,9.16,9.16,9.16,9.16,3596.0,2.0,9.16
MPAA,2023-08-04 13:00:00+00:00,9.21,9.32,9.21,9.32,11979.0,73.0,9.258392
