symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MPLX,2023-07-17 13:00:00+00:00,34.54,34.805,34.52,34.5549,237649.0,1519.0,34.680333
MPLX,2023-07-17 14:00:00+00:00,34.56,34.59,34.4,34.42,215683.0,2043.0,34.478579
MPLX,2023-07-17 15:00:00+00:00,34.41,34.415,34.27,34.295,227896.0,1840.0,34.351674
MPLX,2023-07-17 16:00:00+00:00,34.29,34.34,34.24,34.27,197469.0,1523.0,34.2825
MPLX,2023-07-17 17:00:00+00:00,34.2789,34.35,34.25,34.3,174084.0,1480.0,34.276557
MPLX,2023-07-17 18:00:00+00:00,34.305,34.435,34.305,34.415,182239.0,1467.0,34.391596
MPLX,2023-07-17 19:00:00+00:00,34.42,34.5,34.395,34.405,561126.0,4268.0,34.44165
MPLX,2023-07-17 20:00:00+00:00,34.4,34.4,34.4,34.4,123102.0,3.0,34.4
MPLX,2023-07-17 21:00:00+00:00,34.69,34.7,34.69,34.7,485.0,2.0,34.696907
MPLX,2023-07-18 12:00:00+00:00,34.74,34.74,34.74,34.74,100.0,1.0,34.74
MPLX,2023-07-18 13:00:00+00:00,34.39,34.78,34.36,34.665,245085.0,1519.0,34.612896
MPLX,2023-07-18 14:00:00+00:00,34.66,34.82,34.6,34.795,431966.0,2969.0,34.712337
MPLX,2023-07-18 15:00:00+00:00,34.79,34.795,34.69,34.715,320485.0,2320.0,34.73273
MPLX,2023-07-18 16:00:00+00:00,34.71,34.715,34.67,34.67,218914.0,1771.0,34.688365
MPLX,2023-07-18 17:00:00+00:00,34.675,34.71,34.64,34.6987,214573.0,1443.0,34.66589
MPLX,2023-07-18 18:00:00+00:00,34.7,34.705,34.61,34.62,169728.0,1383.0,34.642727
MPLX,2023-07-18 19:00:00+00:00,34.625,34.66,34.52,34.54,615041.0,4013.0,34.577193
MPLX,2023-07-18 20:00:00+00:00,34.54,34.54,34.54,34.54,122184.0,1.0,34.54
MPLX,2023-07-19 13:00:00+00:00,34.68,34.78,34.57,34.675,65077.0,535.0,34.670697
MPLX,2023-07-19 14:00:00+00:00,34.675,34.69,34.58,34.65,157720.0,1266.0,34.644731
MPLX,2023-07-19 15:00:00+00:00,34.645,34.705,34.63,34.645,112177.0,1047.0,34.659345
MPLX,2023-07-19 16:00:00+00:00,34.64,34.725,34.595,34.705,109797.0,1016.0,34.667189
