symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSGE,2023-07-17 13:00:00+00:00,34.84,34.97,34.61,34.61,20999.0,315.0,34.754466
MSGE,2023-07-17 14:00:00+00:00,34.67,34.89,34.39,34.86,15998.0,452.0,34.706598
MSGE,2023-07-17 15:00:00+00:00,34.85,34.85,34.16,34.16,20823.0,497.0,34.394771
MSGE,2023-07-17 16:00:00+00:00,34.155,34.29,33.73,34.0,24087.0,531.0,34.016832
MSGE,2023-07-17 17:00:00+00:00,34.11,34.56,33.91,34.4,27338.0,641.0,34.235609
MSGE,2023-07-17 18:00:00+00:00,34.32,34.64,34.18,34.37,33912.0,792.0,34.489163
MSGE,2023-07-17 19:00:00+00:00,34.43,34.44,33.84,33.84,76121.0,1703.0,34.107337
MSGE,2023-07-17 20:00:00+00:00,33.84,33.84,33.84,33.84,90829.0,9.0,33.84
MSGE,2023-07-18 13:00:00+00:00,34.0,34.96,33.75,34.96,18018.0,207.0,34.349255
MSGE,2023-07-18 14:00:00+00:00,35.0,35.085,34.7,34.995,33551.0,623.0,34.895292
MSGE,2023-07-18 15:00:00+00:00,35.0399,35.635,34.95,35.58,51735.0,805.0,35.34158
MSGE,2023-07-18 16:00:00+00:00,35.58,35.605,34.99,35.02,35112.0,428.0,35.390371
MSGE,2023-07-18 17:00:00+00:00,35.0,35.29,34.93,35.11,14098.0,331.0,35.081918
MSGE,2023-07-18 18:00:00+00:00,35.11,35.45,35.0449,35.45,55630.0,393.0,35.244902
MSGE,2023-07-18 19:00:00+00:00,35.445,35.55,35.11,35.33,76897.0,1649.0,35.311155
MSGE,2023-07-18 20:00:00+00:00,35.32,35.32,35.32,35.32,30099.0,5.0,35.32
MSGE,2023-07-19 13:00:00+00:00,35.3,35.61,35.18,35.38,16515.0,277.0,35.306535
MSGE,2023-07-19 14:00:00+00:00,35.27,35.3,34.59,34.59,24947.0,501.0,34.930489
MSGE,2023-07-19 15:00:00+00:00,34.59,34.95,34.5,34.8683,27050.0,581.0,34.772026
MSGE,2023-07-19 16:00:00+00:00,34.805,34.84,34.39,34.48,11398.0,324.0,34.617272
MSGE,2023-07-19 17:00:00+00:00,34.49,34.51,34.14,34.37,23480.0,517.0,34.295079
