symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MTA,2023-07-17 13:00:00+00:00,4.62,4.73,4.62,4.73,10977.0,43.0,4.65507
MTA,2023-07-17 14:00:00+00:00,4.7,4.72,4.68,4.71,9156.0,38.0,4.699534
MTA,2023-07-17 15:00:00+00:00,4.7011,4.71,4.68,4.69,5673.0,30.0,4.68993
MTA,2023-07-17 16:00:00+00:00,4.68,4.72,4.68,4.71,5503.0,17.0,4.698366
MTA,2023-07-17 17:00:00+00:00,4.6966,4.7,4.64,4.68,43103.0,273.0,4.656118
MTA,2023-07-17 18:00:00+00:00,4.68,4.69,4.67,4.685,7744.0,82.0,4.682932
MTA,2023-07-17 19:00:00+00:00,4.685,4.7,4.66,4.66,15366.0,185.0,4.687689
MTA,2023-07-17 20:00:00+00:00,4.66,4.66,4.66,4.66,511.0,2.0,4.66
MTA,2023-07-18 12:00:00+00:00,4.69,4.69,4.69,4.69,120.0,2.0,4.69
MTA,2023-07-18 13:00:00+00:00,4.7,4.77,4.67,4.77,8967.0,59.0,4.703115
MTA,2023-07-18 14:00:00+00:00,4.765,4.8,4.765,4.78,29197.0,143.0,4.778296
MTA,2023-07-18 15:00:00+00:00,4.78,4.79,4.74,4.76,14356.0,92.0,4.765504
MTA,2023-07-18 16:00:00+00:00,4.7575,4.78,4.7201,4.75,22340.0,92.0,4.761532
MTA,2023-07-18 17:00:00+00:00,4.76,4.78,4.76,4.78,4215.0,44.0,4.765715
MTA,2023-07-18 18:00:00+00:00,4.78,4.78,4.75,4.76,6197.0,32.0,4.768271
MTA,2023-07-18 19:00:00+00:00,4.75,4.8,4.75,4.77,29012.0,195.0,4.770166
MTA,2023-07-18 20:00:00+00:00,4.77,4.77,4.75,4.75,2771.0,3.0,4.769278
MTA,2023-07-19 12:00:00+00:00,4.8,4.8,4.8,4.8,6000.0,5.0,4.8
MTA,2023-07-19 13:00:00+00:00,4.73,4.7856,4.73,4.775,4342.0,27.0,4.752414
MTA,2023-07-19 14:00:00+00:00,4.76,4.77,4.7,4.77,58608.0,263.0,4.732562
MTA,2023-07-19 15:00:00+00:00,4.76,4.815,4.76,4.79,15162.0,122.0,4.788471
