symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MTTR,2023-07-17 09:00:00+00:00,3.45,3.45,3.41,3.41,321.0,3.0,3.422461
MTTR,2023-07-17 10:00:00+00:00,3.41,3.41,3.41,3.41,300.0,2.0,3.41
MTTR,2023-07-17 12:00:00+00:00,3.45,3.47,3.41,3.47,9240.0,23.0,3.431962
MTTR,2023-07-17 13:00:00+00:00,3.48,3.48,3.375,3.4679,275203.0,1440.0,3.43054
MTTR,2023-07-17 14:00:00+00:00,3.46,3.4899,3.37,3.385,383316.0,2253.0,3.420326
MTTR,2023-07-17 15:00:00+00:00,3.39,3.44,3.37,3.43,401137.0,1672.0,3.404178
MTTR,2023-07-17 16:00:00+00:00,3.4308,3.45,3.4,3.41,204947.0,1271.0,3.420118
MTTR,2023-07-17 17:00:00+00:00,3.415,3.46,3.4,3.45,189879.0,1380.0,3.428152
MTTR,2023-07-17 18:00:00+00:00,3.455,3.47,3.44,3.45,298798.0,1383.0,3.451327
MTTR,2023-07-17 19:00:00+00:00,3.46,3.47,3.42,3.455,750340.0,3566.0,3.449504
MTTR,2023-07-17 20:00:00+00:00,3.46,3.46,3.43,3.46,153244.0,11.0,3.459972
MTTR,2023-07-17 21:00:00+00:00,3.46,3.5,3.46,3.46,1120.0,7.0,3.469107
MTTR,2023-07-17 22:00:00+00:00,3.46,3.46,3.46,3.46,380.0,3.0,3.46
MTTR,2023-07-17 23:00:00+00:00,3.51,3.54,3.5,3.5,4900.0,8.0,3.521449
MTTR,2023-07-18 10:00:00+00:00,3.46,3.46,3.46,3.46,100.0,1.0,3.46
MTTR,2023-07-18 12:00:00+00:00,3.48,3.48,3.48,3.48,266.0,5.0,3.479538
MTTR,2023-07-18 13:00:00+00:00,3.4807,3.534,3.375,3.43,214471.0,1201.0,3.403919
MTTR,2023-07-18 14:00:00+00:00,3.425,3.441,3.3302,3.3639,566137.0,2997.0,3.389586
MTTR,2023-07-18 15:00:00+00:00,3.37,3.38,3.355,3.375,221408.0,1349.0,3.36671
MTTR,2023-07-18 16:00:00+00:00,3.38,3.4,3.37,3.39,176370.0,1342.0,3.380025
MTTR,2023-07-18 17:00:00+00:00,3.39,3.41,3.3701,3.375,139146.0,1106.0,3.391214
MTTR,2023-07-18 18:00:00+00:00,3.375,3.42,3.37,3.405,159861.0,1261.0,3.402478
MTTR,2023-07-18 19:00:00+00:00,3.405,3.43,3.4,3.405,496163.0,2945.0,3.414316
MTTR,2023-07-18 20:00:00+00:00,3.41,3.41,3.4,3.41,124738.0,24.0,3.409675
MTTR,2023-07-18 21:00:00+00:00,3.4007,3.4007,3.38,3.38,1143.0,7.0,3.394989
MTTR,2023-07-18 22:00:00+00:00,3.39,3.39,3.38,3.39,3105.0,12.0,3.38706
MTTR,2023-07-18 23:00:00+00:00,3.4085,3.41,3.39,3.41,1106.0,5.0,3.397704
MTTR,2023-07-19 11:00:00+00:00,3.42,3.43,3.41,3.43,711.0,7.0,3.415865
MTTR,2023-07-19 12:00:00+00:00,3.45,3.45,3.38,3.43,6934.0,18.0,3.419102
MTTR,2023-07-19 13:00:00+00:00,3.43,3.54,3.38,3.4902,378948.0,1423.0,3.48502
MTTR,2023-07-19 14:00:00+00:00,3.49,3.57,3.47,3.54,383847.0,2667.0,3.522742
MTTR,2023-07-19 15:00:00+00:00,3.54,3.57,3.5,3.51,239390.0,1629.0,3.544789
MTTR,2023-07-19 16:00:00+00:00,3.5071,3.51,3.42,3.425,389585.0,2100.0,3.45249
MTTR,2023-07-19 17:00:00+00:00,3.425,3.445,3.4,3.435,213489.0,1326.0,3.423921
MTTR,2023-07-19 18:00:00+00:00,3.435,3.46,3.42,3.455,211471.0,1310.0,3.438728
MTTR,2023-07-19 19:00:00+00:00,3.4592,3.49,3.45,3.475,549288.0,3598.0,3.470547
MTTR,2023-07-19 20:00:00+00:00,3.48,3.49,3.46,3.46,89400.0,11.0,3.480007
MTTR,2023-07-19 21:00:00+00:00,3.46,3.4984,3.42,3.4984,1866.0,6.0,3.475136
MTTR,2023-07-19 22:00:00+00:00,3.5,3.5,3.5,3.5,101.0,2.0,3.5
MTTR,2023-07-19 23:00:00+00:00,3.48,3.49,3.48,3.48,1200.0,7.0,3.488133
MTTR,2023-07-20 09:00:00+00:00,3.41,3.41,3.41,3.41,270.0,4.0,3.417407
MTTR,2023-07-20 11:00:00+00:00,3.42,3.48,3.42,3.48,1228.0,8.0,3.44715
MTTR,2023-07-20 12:00:00+00:00,3.49,3.5,3.46,3.46,3616.0,9.0,3.480202
MTTR,2023-07-20 13:00:00+00:00,3.45,3.49,3.38,3.38,372655.0,1512.0,3.430658
MTTR,2023-07-20 14:00:00+00:00,3.38,3.39,3.32,3.35,515718.0,2813.0,3.350038
MTTR,2023-07-20 15:00:00+00:00,3.35,3.38,3.34,3.345,201713.0,1494.0,3.361689
MTTR,2023-07-20 16:00:00+00:00,3.3487,3.35,3.31,3.32,194665.0,1434.0,3.327728
MTTR,2023-07-20 17:00:00+00:00,3.325,3.36,3.31,3.34,188238.0,1154.0,3.330989
MTTR,2023-07-20 18:00:00+00:00,3.34,3.36,3.34,3.345,213417.0,1797.0,3.346594
MTTR,2023-07-20 19:00:00+00:00,3.34,3.35,3.3,3.305,476599.0,3685.0,3.313373
MTTR,2023-07-20 20:00:00+00:00,3.31,3.3294,3.31,3.32,145673.0,12.0,3.310208
MTTR,2023-07-20 21:00:00+00:00,3.32,3.3298,3.3,3.3,421.0,6.0,3.31819
MTTR,2023-07-20 22:00:00+00:00,3.33,3.33,3.3032,3.3032,1904.0,8.0,3.310747
MTTR,2023-07-21 11:00:00+00:00,3.34,3.34,3.33,3.33,1100.0,6.0,3.339091
MTTR,2023-07-21 12:00:00+00:00,3.33,3.4,3.33,3.4,2136.0,16.0,3.359423
MTTR,2023-07-21 13:00:00+00:00,3.38,3.4015,3.23,3.24,351843.0,1346.0,3.320737
MTTR,2023-07-21 14:00:00+00:00,3.23,3.275,3.215,3.24,286685.0,1987.0,3.245078
MTTR,2023-07-21 15:00:00+00:00,3.245,3.29,3.2349,3.27,188345.0,1397.0,3.265068
MTTR,2023-07-21 16:00:00+00:00,3.27,3.29,3.25,3.2732,168436.0,1085.0,3.270875
MTTR,2023-07-21 17:00:00+00:00,3.275,3.31,3.275,3.295,114945.0,875.0,3.293571
MTTR,2023-07-21 18:00:00+00:00,3.295,3.305,3.2736,3.275,241060.0,1672.0,3.291943
MTTR,2023-07-21 19:00:00+00:00,3.275,3.31,3.25,3.285,360797.0,2547.0,3.279175
MTTR,2023-07-21 20:00:00+00:00,3.28,3.4362,3.28,3.3,142464.0,13.0,3.282993
MTTR,2023-07-21 21:00:00+00:00,3.3005,3.3949,3.27,3.3949,3005.0,5.0,3.285128
MTTR,2023-07-21 22:00:00+00:00,3.27,3.27,3.27,3.27,140.0,1.0,3.27
MTTR,2023-07-24 08:00:00+00:00,3.28,3.28,3.28,3.28,1041.0,5.0,3.281364
MTTR,2023-07-24 09:00:00+00:00,3.24,3.24,3.24,3.24,450.0,1.0,3.24
MTTR,2023-07-24 11:00:00+00:00,3.29,3.29,3.29,3.29,791.0,1.0,3.29
MTTR,2023-07-24 12:00:00+00:00,3.2705,3.33,3.2705,3.2759,2627.0,15.0,3.290385
MTTR,2023-07-24 13:00:00+00:00,3.33,3.33,3.2,3.2,219190.0,1124.0,3.272457
MTTR,2023-07-24 14:00:00+00:00,3.205,3.235,3.2,3.21,174229.0,1226.0,3.21678
MTTR,2023-07-24 15:00:00+00:00,3.21,3.25,3.21,3.23,139028.0,1071.0,3.225476
MTTR,2023-07-24 16:00:00+00:00,3.235,3.25,3.22,3.24,145966.0,855.0,3.234145
MTTR,2023-07-24 17:00:00+00:00,3.24,3.255,3.23,3.245,133152.0,890.0,3.243752
MTTR,2023-07-24 18:00:00+00:00,3.245,3.25,3.22,3.22,94725.0,1019.0,3.236504
MTTR,2023-07-24 19:00:00+00:00,3.225,3.24,3.22,3.235,291127.0,2136.0,3.23067
MTTR,2023-07-24 20:00:00+00:00,3.24,3.2699,3.24,3.24,116913.0,7.0,3.240027
MTTR,2023-07-24 21:00:00+00:00,3.24,3.2836,3.2201,3.2201,3801.0,9.0,3.225835
MTTR,2023-07-25 12:00:00+00:00,3.22,3.23,3.22,3.23,2155.0,4.0,3.223132
MTTR,2023-07-25 13:00:00+00:00,3.24,3.28,3.235,3.265,106247.0,756.0,3.252876
MTTR,2023-07-25 14:00:00+00:00,3.2616,3.308,3.25,3.25,211960.0,1404.0,3.274563
MTTR,2023-07-25 15:00:00+00:00,3.255,3.28,3.25,3.255,111845.0,880.0,3.260527
MTTR,2023-07-25 16:00:00+00:00,3.255,3.3,3.25,3.297,161127.0,1034.0,3.27684
MTTR,2023-07-25 17:00:00+00:00,3.2975,3.33,3.28,3.325,246473.0,1434.0,3.311352
MTTR,2023-07-25 18:00:00+00:00,3.3296,3.345,3.3,3.305,226521.0,1344.0,3.325171
MTTR,2023-07-25 19:00:00+00:00,3.305,3.31,3.29,3.31,436614.0,2629.0,3.304457
MTTR,2023-07-25 20:00:00+00:00,3.31,3.34,3.3,3.34,113569.0,12.0,3.310871
MTTR,2023-07-25 21:00:00+00:00,3.34,3.34,3.31,3.31,945.0,3.0,3.329841
MTTR,2023-07-25 22:00:00+00:00,3.32,3.32,3.32,3.32,848.0,2.0,3.32
MTTR,2023-07-26 11:00:00+00:00,3.32,3.32,3.32,3.32,476.0,2.0,3.32
MTTR,2023-07-26 12:00:00+00:00,3.31,3.35,3.31,3.35,1338.0,5.0,3.341045
MTTR,2023-07-26 13:00:00+00:00,3.34,3.3508,3.23,3.3496,200306.0,1382.0,3.298255
MTTR,2023-07-26 14:00:00+00:00,3.3483,3.35,3.29,3.295,193605.0,1592.0,3.321747
MTTR,2023-07-26 15:00:00+00:00,3.295,3.33,3.29,3.31,129594.0,1229.0,3.313657
MTTR,2023-07-26 16:00:00+00:00,3.315,3.32,3.295,3.315,143764.0,780.0,3.306644
MTTR,2023-07-26 17:00:00+00:00,3.315,3.33,3.3,3.305,103902.0,843.0,3.318568
MTTR,2023-07-26 18:00:00+00:00,3.3,3.36,3.29,3.33,295764.0,1768.0,3.324208
MTTR,2023-07-26 19:00:00+00:00,3.3317,3.34,3.29,3.305,685486.0,5040.0,3.305206
MTTR,2023-07-26 20:00:00+00:00,3.3,3.45,3.3,3.35,176310.0,41.0,3.302038
MTTR,2023-07-26 21:00:00+00:00,3.3313,3.3313,3.3313,3.3313,100.0,1.0,3.3313
MTTR,2023-07-26 22:00:00+00:00,3.34,3.35,3.34,3.35,442.0,3.0,3.346358
MTTR,2023-07-26 23:00:00+00:00,3.3487,3.3487,3.3487,3.3487,100.0,1.0,3.3487
MTTR,2023-07-27 11:00:00+00:00,3.35,3.35,3.35,3.35,100.0,1.0,3.35
MTTR,2023-07-27 12:00:00+00:00,3.35,3.4,3.34,3.4,4697.0,27.0,3.381828
MTTR,2023-07-27 13:00:00+00:00,3.3984,3.3985,3.3,3.305,317770.0,1542.0,3.351668
MTTR,2023-07-27 14:00:00+00:00,3.3,3.32,3.265,3.265,544455.0,2714.0,3.290452
MTTR,2023-07-27 15:00:00+00:00,3.265,3.28,3.24,3.25,258392.0,1778.0,3.256365
MTTR,2023-07-27 16:00:00+00:00,3.25,3.28,3.23,3.235,195608.0,1597.0,3.257265
