symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NAPA,2023-07-17 13:00:00+00:00,12.72,12.75,12.645,12.685,34351.0,299.0,12.689232
NAPA,2023-07-17 14:00:00+00:00,12.68,12.71,12.605,12.675,62165.0,676.0,12.658294
NAPA,2023-07-17 15:00:00+00:00,12.675,12.69,12.65,12.655,37138.0,514.0,12.662816
NAPA,2023-07-17 16:00:00+00:00,12.655,12.6699,12.565,12.58,40514.0,517.0,12.634541
NAPA,2023-07-17 17:00:00+00:00,12.575,12.635,12.55,12.55,48592.0,669.0,12.587804
NAPA,2023-07-17 18:00:00+00:00,12.55,12.59,12.5205,12.54,73792.0,773.0,12.556491
NAPA,2023-07-17 19:00:00+00:00,12.54,12.64,12.5317,12.61,273630.0,2755.0,12.598107
NAPA,2023-07-17 20:00:00+00:00,12.62,12.62,12.62,12.62,69278.0,10.0,12.619995
NAPA,2023-07-18 13:00:00+00:00,12.7,12.71,12.6,12.625,40302.0,512.0,12.659119
NAPA,2023-07-18 14:00:00+00:00,12.625,12.73,12.625,12.705,75027.0,747.0,12.697365
NAPA,2023-07-18 15:00:00+00:00,12.705,12.74,12.67,12.6996,54731.0,576.0,12.704829
NAPA,2023-07-18 16:00:00+00:00,12.7,12.71,12.585,12.605,31503.0,502.0,12.629484
NAPA,2023-07-18 17:00:00+00:00,12.605,12.62,12.54,12.545,40436.0,687.0,12.581695
NAPA,2023-07-18 18:00:00+00:00,12.55,12.61,12.55,12.565,37300.0,714.0,12.585179
NAPA,2023-07-18 19:00:00+00:00,12.5681,12.58,12.51,12.53,111294.0,1502.0,12.538937
NAPA,2023-07-18 20:00:00+00:00,12.52,12.52,12.52,12.52,61493.0,9.0,12.519997
NAPA,2023-07-18 21:00:00+00:00,12.33,12.33,12.33,12.33,600.0,8.0,12.351033
NAPA,2023-07-19 12:00:00+00:00,12.45,12.45,12.4496,12.45,500.0,6.0,12.44992
NAPA,2023-07-19 13:00:00+00:00,12.62,12.82,12.6,12.77,68893.0,601.0,12.710231
NAPA,2023-07-19 14:00:00+00:00,12.77,12.77,12.63,12.67,41729.0,608.0,12.706382
NAPA,2023-07-19 15:00:00+00:00,12.675,12.79,12.675,12.78,46735.0,552.0,12.743625
NAPA,2023-07-19 16:00:00+00:00,12.78,12.82,12.76,12.815,37745.0,425.0,12.79709
NAPA,2023-07-19 17:00:00+00:00,12.815,12.82,12.78,12.815,32574.0,443.0,12.806322
NAPA,2023-07-19 18:00:00+00:00,12.815,12.855,12.81,12.825,44046.0,790.0,12.826334
NAPA,2023-07-19 19:00:00+00:00,12.825,12.88,12.81,12.88,256682.0,2080.0,12.854873
NAPA,2023-07-19 20:00:00+00:00,12.88,12.93,12.88,12.93,90451.0,16.0,12.880121
NAPA,2023-07-20 13:00:00+00:00,12.88,12.91,12.67,12.77,130917.0,760.0,12.748591
NAPA,2023-07-20 14:00:00+00:00,12.77,12.89,12.7207,12.87,112071.0,1078.0,12.812143
NAPA,2023-07-20 15:00:00+00:00,12.86,12.89,12.8209,12.865,113299.0,1138.0,12.858251
