symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NRC,2023-07-17 14:00:00+00:00,42.665,42.665,42.47,42.47,964.0,34.0,42.585042
NRC,2023-07-17 15:00:00+00:00,42.61,42.94,42.61,42.69,1458.0,38.0,42.800238
NRC,2023-07-17 16:00:00+00:00,42.715,42.715,42.56,42.57,540.0,8.0,42.60587
NRC,2023-07-17 17:00:00+00:00,42.8,42.8,42.8,42.8,103.0,3.0,42.804223
NRC,2023-07-17 18:00:00+00:00,43.005,43.05,43.005,43.05,286.0,4.0,43.036888
NRC,2023-07-17 19:00:00+00:00,42.95,43.01,42.74,43.01,4343.0,164.0,42.935756
NRC,2023-07-17 20:00:00+00:00,43.01,43.01,43.01,43.01,4756.0,2.0,43.01
NRC,2023-07-18 13:00:00+00:00,42.84,43.0,42.84,43.0,628.0,9.0,43.021179
NRC,2023-07-18 14:00:00+00:00,43.135,43.47,43.07,43.07,583.0,11.0,43.153044
NRC,2023-07-18 16:00:00+00:00,43.205,43.39,43.18,43.23,1982.0,79.0,43.277687
NRC,2023-07-18 17:00:00+00:00,43.16,43.5,43.1,43.37,5197.0,103.0,43.223242
NRC,2023-07-18 18:00:00+00:00,43.37,43.53,43.37,43.53,1309.0,59.0,43.452525
NRC,2023-07-18 19:00:00+00:00,43.73,43.73,43.39,43.54,6129.0,234.0,43.551872
NRC,2023-07-18 20:00:00+00:00,43.64,43.64,43.64,43.64,4383.0,3.0,43.64
NRC,2023-07-19 13:00:00+00:00,43.76,43.76,43.76,43.76,434.0,10.0,43.832114
NRC,2023-07-19 14:00:00+00:00,44.43,44.43,44.125,44.4,2044.0,63.0,44.273388
NRC,2023-07-19 15:00:00+00:00,44.4,45.01,44.4,44.87,2618.0,70.0,44.758734
NRC,2023-07-19 16:00:00+00:00,44.98,45.02,44.98,45.02,654.0,50.0,44.988227
NRC,2023-07-19 17:00:00+00:00,44.9826,45.23,44.9826,45.04,1200.0,20.0,45.098596
NRC,2023-07-19 18:00:00+00:00,45.18,45.2,45.11,45.15,519.0,20.0,45.154255
NRC,2023-07-19 19:00:00+00:00,45.32,45.4,44.81,44.81,7275.0,311.0,45.064845
NRC,2023-07-19 20:00:00+00:00,44.91,44.91,44.91,44.91,6017.0,6.0,44.91
NRC,2023-07-20 13:00:00+00:00,45.12,45.12,45.12,45.12,304.0,17.0,44.979326
NRC,2023-07-20 14:00:00+00:00,45.03,45.03,45.03,45.03,200.0,1.0,45.03
NRC,2023-07-20 16:00:00+00:00,44.66,44.73,44.66,44.73,461.0,13.0,44.717376
NRC,2023-07-20 17:00:00+00:00,44.65,44.73,44.515,44.587,1314.0,30.0,44.636553
NRC,2023-07-20 18:00:00+00:00,44.66,44.66,44.66,44.66,141.0,9.0,44.667057
NRC,2023-07-20 19:00:00+00:00,44.78,44.78,44.55,44.75,4164.0,177.0,44.670284
NRC,2023-07-20 20:00:00+00:00,44.59,44.59,44.59,44.59,3748.0,3.0,44.59
NRC,2023-07-21 13:00:00+00:00,44.73,44.73,44.0,44.0,5611.0,5.0,44.71664
NRC,2023-07-21 14:00:00+00:00,44.67,45.0,44.67,45.0,454.0,19.0,44.737919
NRC,2023-07-21 15:00:00+00:00,44.75,44.75,44.38,44.58,3039.0,117.0,44.575743
NRC,2023-07-21 16:00:00+00:00,44.71,44.72,44.2,44.25,1290.0,68.0,44.477739
NRC,2023-07-21 17:00:00+00:00,44.389,44.569,44.389,44.44,1192.0,30.0,44.44138
NRC,2023-07-21 18:00:00+00:00,44.54,44.54,44.44,44.44,421.0,12.0,44.459525
NRC,2023-07-21 19:00:00+00:00,44.01,44.02,43.8,43.87,2309.0,88.0,43.885238
NRC,2023-07-21 20:00:00+00:00,43.9,43.9,43.9,43.9,5463.0,2.0,43.9
NRC,2023-07-24 13:00:00+00:00,43.77,43.77,43.77,43.77,220.0,4.0,43.811909
NRC,2023-07-24 14:00:00+00:00,43.975,44.03,43.435,43.435,1687.0,78.0,43.801699
NRC,2023-07-24 15:00:00+00:00,43.35,43.8399,43.35,43.8399,1179.0,33.0,43.662464
NRC,2023-07-24 16:00:00+00:00,43.705,43.99,43.705,43.705,326.0,6.0,43.805475
