symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NXRT,2023-07-17 13:00:00+00:00,47.82,48.24,47.82,48.08,967.0,26.0,47.97106
NXRT,2023-07-17 14:00:00+00:00,48.2534,48.2534,47.83,47.95,1276.0,34.0,48.037428
NXRT,2023-07-17 15:00:00+00:00,47.965,48.1,47.91,47.93,5805.0,138.0,48.030229
NXRT,2023-07-17 16:00:00+00:00,48.07,48.07,47.85,47.85,1556.0,51.0,47.945624
NXRT,2023-07-17 17:00:00+00:00,47.82,47.855,47.66,47.72,5532.0,160.0,47.773191
NXRT,2023-07-17 18:00:00+00:00,47.77,47.9,47.71,47.89,3341.0,136.0,47.809831
NXRT,2023-07-17 19:00:00+00:00,47.82,48.0,47.69,47.93,15155.0,442.0,47.894231
NXRT,2023-07-17 20:00:00+00:00,47.93,47.93,47.93,47.93,11785.0,7.0,47.93
NXRT,2023-07-18 13:00:00+00:00,47.85,47.8775,47.74,47.74,1494.0,20.0,47.838178
NXRT,2023-07-18 14:00:00+00:00,48.045,48.35,48.01,48.08,28156.0,530.0,48.242528
NXRT,2023-07-18 15:00:00+00:00,47.92,47.92,47.47,47.47,4034.0,98.0,47.644532
NXRT,2023-07-18 16:00:00+00:00,47.43,47.43,47.13,47.23,5693.0,160.0,47.253491
NXRT,2023-07-18 17:00:00+00:00,47.42,47.42,47.03,47.11,5025.0,201.0,47.206589
NXRT,2023-07-18 18:00:00+00:00,47.08,47.34,47.08,47.24,2527.0,104.0,47.289766
NXRT,2023-07-18 19:00:00+00:00,47.205,47.4,47.18,47.26,13665.0,375.0,47.287806
NXRT,2023-07-18 20:00:00+00:00,47.26,47.26,47.26,47.26,13682.0,7.0,47.26
NXRT,2023-07-19 13:00:00+00:00,48.09,48.09,47.52,47.59,7208.0,120.0,47.798075
NXRT,2023-07-19 14:00:00+00:00,47.53,47.55,46.86,46.86,7939.0,205.0,47.22886
NXRT,2023-07-19 15:00:00+00:00,46.86,47.07,46.82,47.03,6722.0,207.0,46.943584
NXRT,2023-07-19 16:00:00+00:00,47.03,47.3201,46.975,47.28,6855.0,184.0,47.137533
NXRT,2023-07-19 17:00:00+00:00,47.27,47.3074,47.18,47.28,9210.0,222.0,47.245836
NXRT,2023-07-19 18:00:00+00:00,47.28,47.35,47.17,47.18,10145.0,335.0,47.272332
NXRT,2023-07-19 19:00:00+00:00,47.16,47.28,46.83,47.18,45118.0,1336.0,47.069984
NXRT,2023-07-19 20:00:00+00:00,47.18,47.18,47.18,47.18,19574.0,9.0,47.18
NXRT,2023-07-20 13:00:00+00:00,47.22,47.36,46.95,47.225,2892.0,59.0,47.276164
NXRT,2023-07-20 14:00:00+00:00,47.58,47.68,47.285,47.35,5506.0,121.0,47.449401
NXRT,2023-07-20 15:00:00+00:00,47.31,47.47,47.16,47.47,2529.0,76.0,47.252584
NXRT,2023-07-20 16:00:00+00:00,47.4,47.78,47.4,47.62,4506.0,127.0,47.646538
NXRT,2023-07-20 17:00:00+00:00,47.56,47.715,47.37,47.715,6916.0,248.0,47.519476
NXRT,2023-07-20 18:00:00+00:00,47.715,47.8,47.66,47.74,4928.0,194.0,47.72703
NXRT,2023-07-20 19:00:00+00:00,47.69,47.86,47.45,47.77,16968.0,565.0,47.671726
NXRT,2023-07-20 20:00:00+00:00,47.77,47.77,47.77,47.77,14035.0,4.0,47.77
NXRT,2023-07-21 13:00:00+00:00,48.01,48.01,47.39,47.5,9386.0,15.0,47.989862
NXRT,2023-07-21 14:00:00+00:00,47.36,47.62,47.22,47.62,993.0,37.0,47.495448
NXRT,2023-07-21 15:00:00+00:00,47.58,48.0296,47.58,48.01,1940.0,78.0,47.9205
NXRT,2023-07-21 16:00:00+00:00,47.98,48.1061,47.93,47.965,1541.0,40.0,48.0079
NXRT,2023-07-21 17:00:00+00:00,47.965,48.17,47.8601,47.985,3187.0,148.0,48.055044
NXRT,2023-07-21 18:00:00+00:00,47.9,47.94,47.85,47.88,1003.0,53.0,47.893026
NXRT,2023-07-21 19:00:00+00:00,47.88,47.88,47.45,47.56,15740.0,483.0,47.547381
