symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ODP,2023-07-17 13:00:00+00:00,47.22,47.5599,47.01,47.45,8671.0,219.0,47.183855
ODP,2023-07-17 14:00:00+00:00,47.63,47.855,47.405,47.73,16282.0,666.0,47.638758
ODP,2023-07-17 15:00:00+00:00,47.67,47.82,47.59,47.67,12474.0,567.0,47.699979
ODP,2023-07-17 16:00:00+00:00,47.705,48.125,47.68,47.87,17543.0,738.0,47.920479
ODP,2023-07-17 17:00:00+00:00,47.8653,48.18,47.84,48.02,17448.0,717.0,48.033827
ODP,2023-07-17 18:00:00+00:00,48.02,48.1,47.96,47.985,15082.0,764.0,48.018009
ODP,2023-07-17 19:00:00+00:00,47.99,47.99,47.715,47.76,66911.0,2248.0,47.806088
ODP,2023-07-17 20:00:00+00:00,47.77,47.77,47.77,47.77,68140.0,18.0,47.77
ODP,2023-07-18 13:00:00+00:00,47.73,48.69,47.73,48.57,11416.0,380.0,48.137578
ODP,2023-07-18 14:00:00+00:00,48.69,48.74,48.37,48.402,18067.0,754.0,48.56191
ODP,2023-07-18 15:00:00+00:00,48.37,48.54,48.31,48.34,7935.0,392.0,48.443471
ODP,2023-07-18 16:00:00+00:00,48.44,48.44,48.08,48.39,14815.0,684.0,48.280548
ODP,2023-07-18 17:00:00+00:00,48.38,48.54,48.345,48.43,13654.0,601.0,48.442129
ODP,2023-07-18 18:00:00+00:00,48.525,48.62,48.37,48.43,16269.0,758.0,48.478241
ODP,2023-07-18 19:00:00+00:00,48.45,48.57,48.36,48.51,58923.0,1969.0,48.479379
ODP,2023-07-18 20:00:00+00:00,48.51,48.51,48.51,48.51,49127.0,20.0,48.51
ODP,2023-07-19 13:00:00+00:00,48.62,48.62,48.24,48.35,5921.0,178.0,48.426014
ODP,2023-07-19 14:00:00+00:00,48.3,48.49,48.0015,48.1,8076.0,353.0,48.256361
ODP,2023-07-19 15:00:00+00:00,48.09,48.37,48.09,48.37,7611.0,308.0,48.267952
ODP,2023-07-19 16:00:00+00:00,48.4,48.55,48.28,48.5,12875.0,434.0,48.473829
ODP,2023-07-19 17:00:00+00:00,48.51,48.54,48.38,48.455,12612.0,565.0,48.457514
ODP,2023-07-19 18:00:00+00:00,48.45,48.45,48.19,48.26,19845.0,864.0,48.343497
