symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OMAB,2023-07-17 13:00:00+00:00,88.9,88.9,87.95,88.9,2493.0,46.0,88.54422
OMAB,2023-07-17 14:00:00+00:00,89.2,89.5,88.67,88.79,3148.0,95.0,89.053812
OMAB,2023-07-17 15:00:00+00:00,88.71,89.0687,88.63,88.96,2838.0,69.0,88.796431
OMAB,2023-07-17 16:00:00+00:00,88.89,89.3,88.89,89.2,1225.0,35.0,89.087118
OMAB,2023-07-17 17:00:00+00:00,89.17,89.29,89.13,89.29,2145.0,58.0,89.216684
OMAB,2023-07-17 18:00:00+00:00,89.28,89.32,88.99,89.21,3155.0,83.0,89.168291
OMAB,2023-07-17 19:00:00+00:00,89.39,89.5,89.22,89.5,19073.0,403.0,89.45836
OMAB,2023-07-17 20:00:00+00:00,89.23,89.23,89.23,89.23,1470.0,3.0,89.23
OMAB,2023-07-18 13:00:00+00:00,89.56,90.63,89.56,90.63,4185.0,79.0,90.233811
OMAB,2023-07-18 14:00:00+00:00,90.61,91.55,90.54,91.55,14368.0,269.0,90.974275
OMAB,2023-07-18 15:00:00+00:00,91.95,92.23,91.74,91.99,7556.0,192.0,91.962274
OMAB,2023-07-18 16:00:00+00:00,91.83,91.99,91.71,91.9499,6872.0,168.0,91.859571
OMAB,2023-07-18 17:00:00+00:00,92.065,92.205,91.96,92.04,1913.0,53.0,92.061856
OMAB,2023-07-18 18:00:00+00:00,92.33,92.99,92.33,92.99,3345.0,108.0,92.706062
OMAB,2023-07-18 19:00:00+00:00,92.9598,93.33,92.9598,93.21,5161.0,199.0,93.203094
OMAB,2023-07-18 20:00:00+00:00,93.22,93.22,93.22,93.22,2408.0,4.0,93.22
OMAB,2023-07-19 13:00:00+00:00,93.5,94.22,93.01,93.01,4651.0,150.0,93.651859
OMAB,2023-07-19 14:00:00+00:00,92.7101,92.81,92.09,92.61,4443.0,97.0,92.404734
OMAB,2023-07-19 15:00:00+00:00,92.98,93.19,92.8,93.19,2597.0,64.0,93.051491
OMAB,2023-07-19 16:00:00+00:00,93.39,93.39,92.51,92.53,5903.0,111.0,92.848052
OMAB,2023-07-19 17:00:00+00:00,92.79,92.9899,92.79,92.9899,688.0,15.0,92.862239
OMAB,2023-07-19 18:00:00+00:00,92.68,92.68,92.38,92.5,2523.0,57.0,92.596294
OMAB,2023-07-19 19:00:00+00:00,92.67,93.08,92.59,92.87,8779.0,243.0,92.863779
OMAB,2023-07-19 20:00:00+00:00,92.88,92.88,92.88,92.88,1843.0,3.0,92.88
OMAB,2023-07-20 13:00:00+00:00,93.39,93.39,92.0,92.38,3049.0,70.0,92.929001
OMAB,2023-07-20 14:00:00+00:00,92.42,92.62,91.5,91.7,2280.0,64.0,91.973632
OMAB,2023-07-20 15:00:00+00:00,91.8,92.26,90.57,90.71,9670.0,188.0,91.715443
OMAB,2023-07-20 16:00:00+00:00,90.89,91.04,89.77,89.77,5158.0,94.0,90.383646
OMAB,2023-07-20 17:00:00+00:00,89.9,90.13,89.46,89.46,6953.0,147.0,89.750451
OMAB,2023-07-20 18:00:00+00:00,89.71,89.73,88.94,89.29,7018.0,182.0,89.356797
OMAB,2023-07-20 19:00:00+00:00,89.355,89.4129,88.75,89.37,17733.0,424.0,89.173333
OMAB,2023-07-20 20:00:00+00:00,89.47,89.47,89.47,89.47,824.0,2.0,89.47
OMAB,2023-07-21 13:00:00+00:00,89.88,89.9,89.2,89.2,3689.0,64.0,89.655691
OMAB,2023-07-21 14:00:00+00:00,89.55,89.55,88.29,88.29,4444.0,101.0,88.932638
OMAB,2023-07-21 15:00:00+00:00,88.35,88.54,88.11,88.52,2283.0,59.0,88.396379
OMAB,2023-07-21 16:00:00+00:00,88.385,88.385,87.61,87.64,6805.0,124.0,88.056343
OMAB,2023-07-21 17:00:00+00:00,87.82,88.41,87.82,88.41,2227.0,58.0,88.216093
OMAB,2023-07-21 18:00:00+00:00,88.44,88.46,88.2,88.3075,3104.0,69.0,88.353879
OMAB,2023-07-21 19:00:00+00:00,88.4999,88.4999,87.74,87.77,7413.0,167.0,87.982464
OMAB,2023-07-21 20:00:00+00:00,87.75,87.75,87.75,87.75,1104.0,2.0,87.75
OMAB,2023-07-24 13:00:00+00:00,87.75,87.76,87.21,87.21,2127.0,12.0,87.661587
OMAB,2023-07-24 14:00:00+00:00,87.3,87.3,85.68,85.82,10115.0,190.0,86.263025
OMAB,2023-07-24 15:00:00+00:00,85.89,85.89,84.62,85.18,27628.0,630.0,85.233482
OMAB,2023-07-24 16:00:00+00:00,85.3953,85.3953,84.83,85.32,14936.0,334.0,85.178001
OMAB,2023-07-24 17:00:00+00:00,85.34,85.45,85.11,85.285,14142.0,273.0,85.276538
OMAB,2023-07-24 18:00:00+00:00,85.22,85.97,84.9,85.6,24326.0,308.0,85.427605
OMAB,2023-07-24 19:00:00+00:00,85.725,85.74,84.91,85.15,24691.0,546.0,85.308272
OMAB,2023-07-24 20:00:00+00:00,85.29,85.29,85.29,85.29,2158.0,2.0,85.29
OMAB,2023-07-25 13:00:00+00:00,85.07,85.07,84.7,85.06,2312.0,38.0,84.948947
OMAB,2023-07-25 14:00:00+00:00,84.8,84.8,83.18,83.325,31223.0,482.0,83.886277
OMAB,2023-07-25 15:00:00+00:00,83.36,83.78,82.81,83.59,15262.0,340.0,83.324833
OMAB,2023-07-25 16:00:00+00:00,83.52,83.875,83.52,83.83,5642.0,149.0,83.681046
OMAB,2023-07-25 17:00:00+00:00,83.6,83.69,83.34,83.6,9235.0,192.0,83.55315
OMAB,2023-07-25 18:00:00+00:00,83.68,83.72,83.43,83.71,17029.0,246.0,83.553388
OMAB,2023-07-25 19:00:00+00:00,83.7,83.88,83.415,83.515,25752.0,480.0,83.646003
OMAB,2023-07-25 20:00:00+00:00,83.59,83.59,83.59,83.59,1399.0,3.0,83.59
OMAB,2023-07-26 13:00:00+00:00,83.69,84.61,83.59,84.56,3219.0,62.0,84.021696
OMAB,2023-07-26 14:00:00+00:00,84.57,84.82,84.0656,84.8,3683.0,59.0,84.343524
OMAB,2023-07-26 15:00:00+00:00,84.95,85.24,84.68,85.04,8704.0,168.0,84.954377
OMAB,2023-07-26 16:00:00+00:00,85.08,85.89,85.08,85.83,2621.0,64.0,85.395929
OMAB,2023-07-26 17:00:00+00:00,85.87,86.365,85.7,86.0333,11756.0,190.0,86.016646
OMAB,2023-07-26 18:00:00+00:00,85.97,86.855,85.76,86.7,9395.0,177.0,86.333543
OMAB,2023-07-26 19:00:00+00:00,86.7,87.11,86.47,87.035,13821.0,303.0,86.865176
OMAB,2023-07-26 20:00:00+00:00,87.22,87.22,87.22,87.22,1603.0,3.0,87.22
OMAB,2023-07-27 13:00:00+00:00,87.22,87.42,86.77,87.42,3084.0,76.0,87.248369
OMAB,2023-07-27 14:00:00+00:00,88.0,88.8488,88.0,88.67,4337.0,85.0,88.479462
OMAB,2023-07-27 15:00:00+00:00,88.8396,89.4,88.69,88.69,3538.0,80.0,89.002776
OMAB,2023-07-27 16:00:00+00:00,88.75,89.42,88.7,89.42,2915.0,47.0,89.012227
OMAB,2023-07-27 17:00:00+00:00,89.59,89.745,89.56,89.675,1427.0,34.0,89.656156
OMAB,2023-07-27 18:00:00+00:00,89.89,89.89,88.87,88.9,4253.0,92.0,89.28531
OMAB,2023-07-27 19:00:00+00:00,88.88,89.1199,88.64,88.93,6983.0,203.0,88.839232
OMAB,2023-07-27 20:00:00+00:00,88.74,88.74,88.74,88.74,2577.0,2.0,88.74
OMAB,2023-07-28 13:00:00+00:00,89.52,90.12,89.46,90.12,2863.0,62.0,89.876953
OMAB,2023-07-28 14:00:00+00:00,90.45,91.23,90.27,91.1463,8511.0,173.0,90.641133
OMAB,2023-07-28 15:00:00+00:00,91.33,91.33,90.59,90.7,3946.0,88.0,90.865154
OMAB,2023-07-28 16:00:00+00:00,90.6,90.96,90.46,90.78,7614.0,111.0,90.774475
OMAB,2023-07-28 17:00:00+00:00,91.0,91.33,90.675,90.675,4762.0,82.0,91.070093
OMAB,2023-07-28 18:00:00+00:00,90.82,91.0,90.53,90.62,9182.0,222.0,90.839405
OMAB,2023-07-28 19:00:00+00:00,90.6762,90.77,90.31,90.54,16414.0,359.0,90.482737
OMAB,2023-07-28 20:00:00+00:00,90.34,90.34,90.34,90.34,1154.0,2.0,90.34
OMAB,2023-07-31 13:00:00+00:00,91.4,91.4,90.1,90.1,2012.0,33.0,90.800066
OMAB,2023-07-31 14:00:00+00:00,90.2278,90.46,90.0,90.46,2931.0,91.0,90.120259
OMAB,2023-07-31 15:00:00+00:00,90.44,90.54,89.761,89.85,7707.0,159.0,90.114492
OMAB,2023-07-31 16:00:00+00:00,89.88,90.14,89.85,89.93,3796.0,50.0,89.94845
OMAB,2023-07-31 17:00:00+00:00,89.9,89.96,89.89,89.94,1047.0,17.0,89.920669
OMAB,2023-07-31 18:00:00+00:00,89.85,90.11,89.78,89.94,3637.0,76.0,89.978689
OMAB,2023-07-31 19:00:00+00:00,89.93,90.58,89.74,90.57,18610.0,410.0,90.257146
OMAB,2023-07-31 20:00:00+00:00,90.6,90.6,90.6,90.6,3920.0,6.0,90.6
OMAB,2023-08-01 13:00:00+00:00,91.1,91.1,90.01,90.59,3442.0,81.0,90.46679
OMAB,2023-08-01 14:00:00+00:00,90.89,90.93,89.57,89.57,7203.0,211.0,90.529739
OMAB,2023-08-01 15:00:00+00:00,89.6,89.6,88.29,88.55,4585.0,147.0,88.691997
OMAB,2023-08-01 16:00:00+00:00,88.51,88.52,87.78,87.82,6996.0,146.0,88.099007
OMAB,2023-08-01 17:00:00+00:00,87.94,88.72,87.94,88.35,8463.0,162.0,88.361933
OMAB,2023-08-01 18:00:00+00:00,88.22,88.43,88.115,88.33,11883.0,206.0,88.300812
OMAB,2023-08-01 19:00:00+00:00,88.1135,88.17,87.61,87.8,9737.0,251.0,87.809662
OMAB,2023-08-01 20:00:00+00:00,87.95,87.95,87.95,87.95,1928.0,3.0,87.95
OMAB,2023-08-02 13:00:00+00:00,87.94,87.94,87.1,87.2647,1880.0,46.0,87.456616
OMAB,2023-08-02 14:00:00+00:00,87.1145,87.23,86.51,86.51,2417.0,109.0,86.888915
OMAB,2023-08-02 15:00:00+00:00,86.2501,86.51,85.54,85.54,9140.0,232.0,86.058315
OMAB,2023-08-02 16:00:00+00:00,85.5,86.03,85.5,86.03,2160.0,77.0,85.91518
OMAB,2023-08-02 17:00:00+00:00,86.17,86.28,85.65,85.69,4594.0,154.0,86.06392
OMAB,2023-08-02 18:00:00+00:00,85.685,85.685,85.38,85.42,3687.0,158.0,85.516175
OMAB,2023-08-02 19:00:00+00:00,85.35,85.55,85.06,85.45,9309.0,379.0,85.421548
OMAB,2023-08-02 20:00:00+00:00,85.47,85.47,85.47,85.47,1102.0,2.0,85.47
OMAB,2023-08-03 13:00:00+00:00,85.35,86.04,84.47,84.47,3098.0,49.0,85.089753
OMAB,2023-08-03 14:00:00+00:00,85.24,85.24,84.8,84.99,6573.0,196.0,84.898668
OMAB,2023-08-03 15:00:00+00:00,85.2,85.56,85.0,85.0,6315.0,205.0,85.274827
OMAB,2023-08-03 16:00:00+00:00,84.95,84.95,84.31,84.825,4557.0,186.0,84.650888
