symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ORIC,2023-07-17 11:00:00+00:00,8.0,8.0,8.0,8.0,300.0,1.0,8.0
ORIC,2023-07-17 12:00:00+00:00,8.0,8.1485,8.0,8.05,495.0,4.0,8.040101
ORIC,2023-07-17 13:00:00+00:00,7.86,8.15,7.86,8.01,62272.0,616.0,8.039021
ORIC,2023-07-17 14:00:00+00:00,8.0389,8.27,8.01,8.27,213849.0,1308.0,8.083067
ORIC,2023-07-17 15:00:00+00:00,8.29,8.3,8.17,8.23,24354.0,458.0,8.243399
ORIC,2023-07-17 16:00:00+00:00,8.23,8.2985,8.23,8.245,22202.0,401.0,8.253697
ORIC,2023-07-17 17:00:00+00:00,8.2477,8.26,8.227,8.25,24025.0,393.0,8.248798
ORIC,2023-07-17 18:00:00+00:00,8.25,8.29,8.21,8.25,32461.0,563.0,8.248787
ORIC,2023-07-17 19:00:00+00:00,8.25,8.26,8.17,8.23,73128.0,1397.0,8.22333
ORIC,2023-07-17 20:00:00+00:00,8.23,8.23,8.23,8.23,31060.0,7.0,8.23
ORIC,2023-07-17 23:00:00+00:00,8.28,8.28,8.28,8.28,100.0,1.0,8.28
ORIC,2023-07-18 11:00:00+00:00,8.5,8.5,8.49,8.49,600.0,3.0,8.49625
ORIC,2023-07-18 13:00:00+00:00,8.26,8.285,8.16,8.19,16173.0,146.0,8.235673
ORIC,2023-07-18 14:00:00+00:00,8.17,8.25,8.15,8.17,19991.0,316.0,8.192583
ORIC,2023-07-18 15:00:00+00:00,8.21,8.4,8.21,8.2756,33293.0,475.0,8.319873
ORIC,2023-07-18 16:00:00+00:00,8.26,8.4,8.22,8.37,20442.0,307.0,8.333268
ORIC,2023-07-18 17:00:00+00:00,8.36,8.36,8.2,8.205,13671.0,226.0,8.267893
ORIC,2023-07-18 18:00:00+00:00,8.2184,8.22,8.17,8.185,11461.0,236.0,8.196991
ORIC,2023-07-18 19:00:00+00:00,8.185,8.23,8.07,8.12,42471.0,725.0,8.133142
ORIC,2023-07-18 20:00:00+00:00,8.13,8.49,8.13,8.49,23726.0,6.0,8.131866
ORIC,2023-07-19 11:00:00+00:00,8.19,8.19,8.19,8.19,123.0,4.0,8.182764
ORIC,2023-07-19 13:00:00+00:00,8.17,8.22,7.99,8.15,34489.0,240.0,8.133484
ORIC,2023-07-19 14:00:00+00:00,8.1799,8.1799,7.99,8.01,14950.0,252.0,8.080255
ORIC,2023-07-19 15:00:00+00:00,8.06,8.18,8.05,8.15,22086.0,248.0,8.111311
ORIC,2023-07-19 16:00:00+00:00,8.13,8.15,7.99,8.0,38262.0,563.0,8.051945
ORIC,2023-07-19 17:00:00+00:00,7.995,7.995,7.72,7.74,36839.0,498.0,7.845778
ORIC,2023-07-19 18:00:00+00:00,7.72,7.73,7.51,7.63,84506.0,844.0,7.576101
ORIC,2023-07-19 19:00:00+00:00,7.625,7.79,7.545,7.58,90789.0,1551.0,7.634209
ORIC,2023-07-19 20:00:00+00:00,7.6,7.64,7.6,7.64,11369.0,7.0,7.600915
ORIC,2023-07-19 21:00:00+00:00,7.64,7.67,7.64,7.65,650.0,6.0,7.656154
ORIC,2023-07-19 22:00:00+00:00,7.68,7.68,7.6,7.6,2700.0,4.0,7.644444
ORIC,2023-07-20 11:00:00+00:00,7.76,7.82,7.76,7.82,644.0,8.0,7.795233
ORIC,2023-07-20 12:00:00+00:00,7.74,7.74,7.74,7.74,100.0,1.0,7.74
ORIC,2023-07-20 13:00:00+00:00,7.62,7.73,7.57,7.7,36900.0,510.0,7.686957
ORIC,2023-07-20 14:00:00+00:00,7.71,7.77,7.46,7.63,42137.0,705.0,7.613941
ORIC,2023-07-20 15:00:00+00:00,7.64,7.81,7.64,7.8,20329.0,360.0,7.706476
ORIC,2023-07-20 16:00:00+00:00,7.8,7.86,7.76,7.8,14218.0,315.0,7.798064
ORIC,2023-07-20 17:00:00+00:00,7.78,7.89,7.78,7.86,11873.0,241.0,7.811669
ORIC,2023-07-20 18:00:00+00:00,7.88,7.95,7.83,7.86,26938.0,416.0,7.875093
ORIC,2023-07-20 19:00:00+00:00,7.875,7.92,7.83,7.91,46818.0,933.0,7.878726
ORIC,2023-07-20 20:00:00+00:00,7.9,7.9,7.9,7.9,15219.0,2.0,7.9
ORIC,2023-07-21 13:00:00+00:00,8.0,8.2,7.97,8.1,42684.0,328.0,8.017936
ORIC,2023-07-21 14:00:00+00:00,8.15,8.4,8.15,8.33,42108.0,688.0,8.268319
ORIC,2023-07-21 15:00:00+00:00,8.32,8.34,8.22,8.29,27223.0,502.0,8.277484
ORIC,2023-07-21 16:00:00+00:00,8.28,8.34,8.26,8.32,47380.0,679.0,8.295274
ORIC,2023-07-21 17:00:00+00:00,8.33,8.54,8.32,8.535,105703.0,877.0,8.394144
ORIC,2023-07-21 18:00:00+00:00,8.5365,8.66,8.5365,8.62,34534.0,526.0,8.588705
ORIC,2023-07-21 19:00:00+00:00,8.62,8.62,8.52,8.57,106737.0,1713.0,8.563925
ORIC,2023-07-21 20:00:00+00:00,8.58,8.58,8.58,8.58,35658.0,7.0,8.58
ORIC,2023-07-21 22:00:00+00:00,8.16,8.16,8.16,8.16,400.0,1.0,8.16
ORIC,2023-07-24 12:00:00+00:00,7.93,7.93,7.93,7.93,100.0,1.0,7.93
ORIC,2023-07-24 13:00:00+00:00,8.5,9.0,8.45,8.86,67033.0,730.0,8.724106
