symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OTTR,2023-07-17 13:00:00+00:00,81.48,81.5575,80.97,81.5575,5204.0,117.0,81.380029
OTTR,2023-07-17 14:00:00+00:00,81.46,81.7028,81.245,81.7028,5527.0,179.0,81.481446
OTTR,2023-07-17 15:00:00+00:00,81.69,82.35,81.67,82.23,19347.0,447.0,82.107987
OTTR,2023-07-17 16:00:00+00:00,82.215,82.88,82.215,82.88,12096.0,357.0,82.564735
OTTR,2023-07-17 17:00:00+00:00,82.905,82.905,82.535,82.6753,9142.0,337.0,82.706552
OTTR,2023-07-17 18:00:00+00:00,82.76,82.93,82.45,82.8,11430.0,400.0,82.722967
OTTR,2023-07-17 19:00:00+00:00,82.81,82.97,82.51,82.52,48441.0,1606.0,82.742524
OTTR,2023-07-17 20:00:00+00:00,82.53,82.53,82.53,82.53,22758.0,4.0,82.53
OTTR,2023-07-18 13:00:00+00:00,82.5,83.609,82.47,83.6,16394.0,260.0,82.832814
OTTR,2023-07-18 14:00:00+00:00,83.61,83.705,83.11,83.35,19060.0,582.0,83.416241
OTTR,2023-07-18 15:00:00+00:00,83.25,83.3,82.65,82.9078,7543.0,276.0,83.062816
OTTR,2023-07-18 16:00:00+00:00,82.91,83.02,82.46,82.81,8387.0,312.0,82.627895
OTTR,2023-07-18 17:00:00+00:00,82.91,82.91,82.49,82.75,8378.0,251.0,82.644243
OTTR,2023-07-18 18:00:00+00:00,82.69,82.97,82.66,82.86,11207.0,449.0,82.839301
OTTR,2023-07-18 19:00:00+00:00,82.92,83.61,82.89,83.54,35514.0,1341.0,83.347671
OTTR,2023-07-18 20:00:00+00:00,83.54,83.54,83.54,83.54,23730.0,7.0,83.54
OTTR,2023-07-19 13:00:00+00:00,83.67,84.23,83.55,84.21,13570.0,235.0,83.909383
OTTR,2023-07-19 14:00:00+00:00,84.01,84.3,83.54,83.785,13567.0,505.0,83.793807
OTTR,2023-07-19 15:00:00+00:00,83.81,83.81,83.33,83.51,17327.0,510.0,83.576226
OTTR,2023-07-19 16:00:00+00:00,83.535,84.0037,83.53,83.86,7431.0,284.0,83.782276
OTTR,2023-07-19 17:00:00+00:00,83.84,83.97,83.6,83.69,3938.0,192.0,83.775224
OTTR,2023-07-19 18:00:00+00:00,83.8,83.81,83.6,83.68,5289.0,179.0,83.712456
OTTR,2023-07-19 19:00:00+00:00,83.618,83.95,83.535,83.95,28817.0,1177.0,83.786881
OTTR,2023-07-19 20:00:00+00:00,83.94,83.94,83.94,83.94,26285.0,5.0,83.94
OTTR,2023-07-20 13:00:00+00:00,84.36,84.3779,83.71,83.99,9162.0,168.0,84.159992
OTTR,2023-07-20 14:00:00+00:00,84.008,84.08,83.76,83.94,7475.0,331.0,83.965932
OTTR,2023-07-20 15:00:00+00:00,83.95,84.35,83.9,84.23,9499.0,326.0,84.070954
OTTR,2023-07-20 16:00:00+00:00,84.25,84.31,84.01,84.1,7406.0,246.0,84.169237
OTTR,2023-07-20 17:00:00+00:00,84.05,84.13,83.86,84.065,12526.0,371.0,84.014593
OTTR,2023-07-20 18:00:00+00:00,83.98,84.435,83.925,84.41,10775.0,436.0,84.215608
OTTR,2023-07-20 19:00:00+00:00,84.43,84.5,84.13,84.45,37681.0,1317.0,84.36341
OTTR,2023-07-20 20:00:00+00:00,84.42,84.42,84.42,84.42,16792.0,3.0,84.42
OTTR,2023-07-21 13:00:00+00:00,84.83,84.83,84.55,84.61,19716.0,58.0,84.820306
OTTR,2023-07-21 14:00:00+00:00,84.71,84.87,84.45,84.64,6366.0,346.0,84.65159
OTTR,2023-07-21 15:00:00+00:00,84.64,84.97,84.55,84.87,8472.0,380.0,84.707471
