symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OUNZ,2023-07-17 08:00:00+00:00,18.93,18.94,18.93,18.94,5241.0,6.0,18.932616
OUNZ,2023-07-17 09:00:00+00:00,18.93,18.96,18.93,18.96,572.0,2.0,18.940804
OUNZ,2023-07-17 12:00:00+00:00,18.92,18.92,18.8796,18.8796,13922.0,5.0,18.917403
OUNZ,2023-07-17 13:00:00+00:00,18.88,18.88,18.845,18.87,142795.0,157.0,18.863945
OUNZ,2023-07-17 14:00:00+00:00,18.89,18.9242,18.88,18.9201,225981.0,139.0,18.90424
OUNZ,2023-07-17 15:00:00+00:00,18.92,18.9304,18.895,18.9304,287648.0,167.0,18.914307
OUNZ,2023-07-17 16:00:00+00:00,18.94,18.94,18.925,18.93,133264.0,91.0,18.930299
OUNZ,2023-07-17 17:00:00+00:00,18.935,18.94,18.9116,18.931,179884.0,74.0,18.931453
OUNZ,2023-07-17 18:00:00+00:00,18.94,18.94,18.93,18.9399,8831.0,25.0,18.935832
OUNZ,2023-07-17 19:00:00+00:00,18.9315,18.945,18.93,18.935,79566.0,286.0,18.935987
OUNZ,2023-07-17 20:00:00+00:00,18.93,18.93,18.93,18.93,40450.0,1.0,18.93
OUNZ,2023-07-18 12:00:00+00:00,19.035,19.035,19.03,19.03,1110.0,4.0,19.03455
OUNZ,2023-07-18 13:00:00+00:00,19.05,19.09,19.02,19.085,194793.0,224.0,19.0638
OUNZ,2023-07-18 14:00:00+00:00,19.09,19.205,19.09,19.1852,298468.0,324.0,19.170541
OUNZ,2023-07-18 15:00:00+00:00,19.2,19.218,19.155,19.155,163636.0,135.0,19.197692
OUNZ,2023-07-18 16:00:00+00:00,19.16,19.19,19.15,19.155,34659.0,47.0,19.168662
OUNZ,2023-07-18 17:00:00+00:00,19.1509,19.1509,19.1291,19.135,55385.0,70.0,19.141532
OUNZ,2023-07-18 18:00:00+00:00,19.1399,19.15,19.13,19.145,70423.0,52.0,19.142179
OUNZ,2023-07-18 19:00:00+00:00,19.1479,19.16,19.14,19.155,107806.0,142.0,19.150216
OUNZ,2023-07-18 20:00:00+00:00,19.16,19.16,19.16,19.16,1562.0,1.0,19.16
OUNZ,2023-07-19 08:00:00+00:00,19.15,19.15,19.15,19.15,1044.0,1.0,19.15
OUNZ,2023-07-19 09:00:00+00:00,19.15,19.15,19.15,19.15,1044.0,1.0,19.15
OUNZ,2023-07-19 12:00:00+00:00,19.145,19.145,19.145,19.145,100.0,1.0,19.145
OUNZ,2023-07-19 13:00:00+00:00,19.14,19.175,19.14,19.145,89680.0,95.0,19.156497
OUNZ,2023-07-19 14:00:00+00:00,19.14,19.1509,19.0701,19.125,419678.0,293.0,19.108813
OUNZ,2023-07-19 15:00:00+00:00,19.12,19.14,19.105,19.12,125139.0,108.0,19.120839
OUNZ,2023-07-19 16:00:00+00:00,19.1195,19.155,19.105,19.1457,129755.0,93.0,19.129393
OUNZ,2023-07-19 17:00:00+00:00,19.15,19.165,19.14,19.1418,94591.0,95.0,19.150345
OUNZ,2023-07-19 18:00:00+00:00,19.1467,19.1599,19.14,19.1599,93111.0,85.0,19.147256
OUNZ,2023-07-19 19:00:00+00:00,19.16,19.16,19.152,19.155,15143.0,74.0,19.158287
OUNZ,2023-07-19 20:00:00+00:00,19.15,19.15,19.15,19.15,200.0,1.0,19.15
OUNZ,2023-07-19 22:00:00+00:00,19.15,19.15,19.15,19.15,310.0,2.0,19.15
OUNZ,2023-07-19 23:00:00+00:00,19.155,19.155,19.155,19.155,1000.0,1.0,19.155
OUNZ,2023-07-20 13:00:00+00:00,19.16,19.17,19.105,19.1311,161183.0,139.0,19.130245
OUNZ,2023-07-20 14:00:00+00:00,19.1399,19.1442,19.04,19.081,465560.0,418.0,19.086645
OUNZ,2023-07-20 15:00:00+00:00,19.0704,19.09,19.055,19.065,198268.0,147.0,19.071751
OUNZ,2023-07-20 16:00:00+00:00,19.06,19.065,19.0399,19.06,124650.0,78.0,19.051222
OUNZ,2023-07-20 17:00:00+00:00,19.06,19.085,19.06,19.085,65978.0,41.0,19.070843
OUNZ,2023-07-20 18:00:00+00:00,19.085,19.09,19.075,19.0799,115489.0,92.0,19.081039
OUNZ,2023-07-20 19:00:00+00:00,19.0707,19.09,19.06,19.065,133596.0,283.0,19.076423
OUNZ,2023-07-21 08:00:00+00:00,19.01,19.01,19.01,19.01,2104.0,2.0,19.01
OUNZ,2023-07-21 09:00:00+00:00,19.01,19.02,19.01,19.02,2103.0,2.0,19.014998
OUNZ,2023-07-21 13:00:00+00:00,18.99,19.02,18.975,18.99,99861.0,99.0,19.000145
OUNZ,2023-07-21 14:00:00+00:00,18.99,19.0209,18.96,18.979,201469.0,218.0,18.986065
OUNZ,2023-07-21 15:00:00+00:00,18.97,19.01,18.955,18.99,194147.0,172.0,18.98396
OUNZ,2023-07-21 16:00:00+00:00,18.9891,19.01,18.984,19.01,87982.0,72.0,18.999436
OUNZ,2023-07-21 17:00:00+00:00,19.0101,19.03,19.01,19.01,47728.0,61.0,19.016709
OUNZ,2023-07-21 18:00:00+00:00,19.01,19.02,19.004,19.015,41273.0,49.0,19.010638
OUNZ,2023-07-21 19:00:00+00:00,19.015,19.016,18.9901,19.005,158963.0,156.0,19.001251
OUNZ,2023-07-21 20:00:00+00:00,19.01,19.01,19.0,19.0,19853.0,7.0,19.00043
OUNZ,2023-07-24 08:00:00+00:00,18.99,18.99,18.99,18.99,1052.0,1.0,18.99
OUNZ,2023-07-24 13:00:00+00:00,19.01,19.03,18.975,18.98,129327.0,111.0,18.998969
OUNZ,2023-07-24 14:00:00+00:00,18.975,19.0,18.955,18.9896,163545.0,157.0,18.981962
OUNZ,2023-07-24 15:00:00+00:00,18.9809,18.99,18.96,18.98,152422.0,110.0,18.980571
OUNZ,2023-07-24 16:00:00+00:00,18.98,18.99,18.9691,18.98,123672.0,121.0,18.979446
OUNZ,2023-07-24 17:00:00+00:00,18.98,18.99,18.9701,18.9701,55697.0,38.0,18.981275
OUNZ,2023-07-24 18:00:00+00:00,18.97,18.97,18.9268,18.9279,14712.0,55.0,18.940716
OUNZ,2023-07-24 19:00:00+00:00,18.9296,18.93,18.914,18.925,96393.0,113.0,18.920722
OUNZ,2023-07-24 20:00:00+00:00,18.93,18.93,18.93,18.93,212.0,1.0,18.93
OUNZ,2023-07-25 12:00:00+00:00,19.0,19.0,19.0,19.0,10300.0,1.0,19.0
OUNZ,2023-07-25 13:00:00+00:00,18.95,18.99,18.95,18.95,25668.0,52.0,18.965301
OUNZ,2023-07-25 14:00:00+00:00,18.945,19.0,18.9,19.0,191834.0,138.0,18.961873
OUNZ,2023-07-25 15:00:00+00:00,19.0,19.025,19.0,19.02,126840.0,93.0,19.007684
OUNZ,2023-07-25 16:00:00+00:00,19.025,19.035,19.005,19.0101,86586.0,46.0,19.011139
OUNZ,2023-07-25 17:00:00+00:00,18.9994,19.02,18.9909,19.005,102682.0,46.0,19.002975
OUNZ,2023-07-25 18:00:00+00:00,18.9993,19.02,18.995,19.01,174634.0,97.0,19.008313
OUNZ,2023-07-25 19:00:00+00:00,19.02,19.03,19.015,19.015,148146.0,102.0,19.020655
OUNZ,2023-07-25 20:00:00+00:00,19.03,19.03,19.0296,19.0296,1138.0,2.0,19.029688
OUNZ,2023-07-26 11:00:00+00:00,19.11,19.11,19.11,19.11,1000.0,10.0,19.11
OUNZ,2023-07-26 12:00:00+00:00,19.1,19.11,19.1,19.1,16800.0,15.0,19.10256
