symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PAHC,2023-07-17 13:00:00+00:00,14.62,14.62,14.5,14.5,1370.0,19.0,14.532183
PAHC,2023-07-17 14:00:00+00:00,14.6058,14.62,14.48,14.57,5105.0,95.0,14.545833
PAHC,2023-07-17 15:00:00+00:00,14.48,14.515,14.47,14.495,3908.0,94.0,14.491328
PAHC,2023-07-17 16:00:00+00:00,14.51,14.57,14.51,14.57,5951.0,83.0,14.522756
PAHC,2023-07-17 17:00:00+00:00,14.555,14.555,14.5,14.5,1836.0,41.0,14.52902
PAHC,2023-07-17 18:00:00+00:00,14.515,14.54,14.46,14.49,4183.0,100.0,14.509331
PAHC,2023-07-17 19:00:00+00:00,14.46,14.63,14.455,14.51,31725.0,702.0,14.542021
PAHC,2023-07-17 20:00:00+00:00,14.51,14.51,14.51,14.51,12241.0,5.0,14.51
PAHC,2023-07-18 13:00:00+00:00,14.55,14.67,14.36,14.6,3170.0,55.0,14.566508
PAHC,2023-07-18 14:00:00+00:00,14.56,14.6271,14.415,14.415,5028.0,86.0,14.574565
PAHC,2023-07-18 15:00:00+00:00,14.48,14.52,14.425,14.425,2980.0,76.0,14.470258
PAHC,2023-07-18 16:00:00+00:00,14.41,14.44,14.36,14.36,2370.0,66.0,14.393645
PAHC,2023-07-18 17:00:00+00:00,14.37,14.37,14.27,14.31,2411.0,69.0,14.307569
PAHC,2023-07-18 18:00:00+00:00,14.31,14.4,14.31,14.37,1925.0,47.0,14.3512
PAHC,2023-07-18 19:00:00+00:00,14.39,14.39,14.27,14.31,15377.0,349.0,14.313553
PAHC,2023-07-18 20:00:00+00:00,14.32,14.32,14.32,14.32,11357.0,2.0,14.32
PAHC,2023-07-19 13:00:00+00:00,14.36,14.41,14.35,14.35,1160.0,14.0,14.383897
PAHC,2023-07-19 14:00:00+00:00,14.465,14.58,14.37,14.41,7452.0,152.0,14.46973
PAHC,2023-07-19 15:00:00+00:00,14.41,14.5,14.34,14.5,5707.0,86.0,14.439329
PAHC,2023-07-19 16:00:00+00:00,14.52,14.53,14.5,14.53,2026.0,31.0,14.520817
PAHC,2023-07-19 17:00:00+00:00,14.52,14.52,14.51,14.52,1146.0,23.0,14.5187
