symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PDFS,2023-07-17 13:00:00+00:00,45.57,46.33,45.57,46.25,9276.0,222.0,46.155619
PDFS,2023-07-17 14:00:00+00:00,46.22,46.39,46.03,46.03,12290.0,309.0,46.229931
PDFS,2023-07-17 15:00:00+00:00,46.24,46.49,46.21,46.49,9487.0,197.0,46.331081
PDFS,2023-07-17 16:00:00+00:00,46.45,46.59,46.39,46.52,9318.0,291.0,46.484156
PDFS,2023-07-17 17:00:00+00:00,46.53,46.74,46.43,46.67,13609.0,350.0,46.540595
PDFS,2023-07-17 18:00:00+00:00,46.65,46.7,46.36,46.47,13993.0,350.0,46.524332
PDFS,2023-07-17 19:00:00+00:00,46.51,46.7,46.3,46.35,37092.0,1188.0,46.488627
PDFS,2023-07-17 20:00:00+00:00,46.34,46.34,46.34,46.34,18590.0,5.0,46.34
PDFS,2023-07-18 13:00:00+00:00,46.45,46.45,45.9,45.96,3979.0,92.0,46.146308
PDFS,2023-07-18 14:00:00+00:00,46.0,46.0,45.6,45.635,7708.0,192.0,45.795184
PDFS,2023-07-18 15:00:00+00:00,45.63,45.63,45.4246,45.56,5762.0,193.0,45.507452
PDFS,2023-07-18 16:00:00+00:00,45.53,45.575,45.47,45.53,4366.0,197.0,45.519513
PDFS,2023-07-18 17:00:00+00:00,45.54,45.67,45.54,45.65,2161.0,74.0,45.606347
PDFS,2023-07-18 18:00:00+00:00,45.59,45.7,45.59,45.63,5327.0,239.0,45.648559
PDFS,2023-07-18 19:00:00+00:00,45.62,45.81,45.59,45.74,33983.0,1076.0,45.702548
PDFS,2023-07-18 20:00:00+00:00,45.76,45.76,45.76,45.76,16252.0,5.0,45.76
PDFS,2023-07-19 13:00:00+00:00,45.67,45.67,44.845,45.075,9372.0,193.0,45.186794
PDFS,2023-07-19 14:00:00+00:00,44.97,45.11,44.2823,44.6,13570.0,355.0,44.604245
PDFS,2023-07-19 15:00:00+00:00,44.83,45.05,44.81,44.92,8822.0,280.0,44.927073
PDFS,2023-07-19 16:00:00+00:00,44.95,45.14,44.27,44.49,10486.0,324.0,44.686987
PDFS,2023-07-19 17:00:00+00:00,44.47,44.47,44.19,44.36,13773.0,396.0,44.300278
PDFS,2023-07-19 18:00:00+00:00,44.4,44.75,44.365,44.5,13603.0,414.0,44.582529
PDFS,2023-07-19 19:00:00+00:00,44.49,44.805,44.43,44.58,48282.0,1654.0,44.630033
PDFS,2023-07-19 20:00:00+00:00,44.6,44.6,44.6,44.6,19585.0,7.0,44.6
PDFS,2023-07-20 13:00:00+00:00,44.2,44.36,44.11,44.295,4344.0,104.0,44.195931
PDFS,2023-07-20 14:00:00+00:00,44.17,44.48,44.01,44.15,11713.0,297.0,44.272789
PDFS,2023-07-20 15:00:00+00:00,44.17,44.42,44.15,44.15,6314.0,229.0,44.26843
PDFS,2023-07-20 16:00:00+00:00,44.14,44.19,43.96,44.058,4681.0,193.0,44.041344
PDFS,2023-07-20 17:00:00+00:00,44.08,44.33,44.05,44.19,3469.0,128.0,44.179321
PDFS,2023-07-20 18:00:00+00:00,44.075,44.075,43.8,43.8,8720.0,313.0,43.964679
PDFS,2023-07-20 19:00:00+00:00,43.73,43.78,43.49,43.63,24255.0,995.0,43.641895
PDFS,2023-07-20 20:00:00+00:00,43.65,43.65,43.65,43.65,15318.0,6.0,43.65
PDFS,2023-07-21 13:00:00+00:00,44.19,44.58,44.17,44.17,17170.0,89.0,44.237038
PDFS,2023-07-21 14:00:00+00:00,44.29,44.34,43.56,43.56,7937.0,308.0,43.937968
PDFS,2023-07-21 15:00:00+00:00,43.64,43.82,43.505,43.55,6670.0,248.0,43.654848
PDFS,2023-07-21 16:00:00+00:00,43.68,44.04,43.67,44.02,18944.0,427.0,43.893731
PDFS,2023-07-21 17:00:00+00:00,44.09,44.42,44.08,44.25,9279.0,323.0,44.256313
PDFS,2023-07-21 18:00:00+00:00,44.2,44.2,43.79,43.79,25226.0,470.0,43.947671
PDFS,2023-07-21 19:00:00+00:00,43.79,43.935,43.58,43.77,28943.0,1029.0,43.814102
PDFS,2023-07-21 20:00:00+00:00,43.78,43.78,43.78,43.78,23019.0,6.0,43.78
PDFS,2023-07-21 22:00:00+00:00,44.09,44.09,44.09,44.09,100.0,1.0,44.09
PDFS,2023-07-24 13:00:00+00:00,43.905,43.955,43.66,43.86,2743.0,70.0,43.801981
PDFS,2023-07-24 14:00:00+00:00,43.64,43.64,42.74,43.17,26312.0,413.0,43.189386
PDFS,2023-07-24 15:00:00+00:00,43.17,43.47,43.165,43.47,4103.0,147.0,43.285065
PDFS,2023-07-24 16:00:00+00:00,43.38,43.46,43.37,43.45,3648.0,120.0,43.409085
PDFS,2023-07-24 17:00:00+00:00,43.39,43.43,43.125,43.2,6731.0,248.0,43.262479
PDFS,2023-07-24 18:00:00+00:00,43.27,43.34,43.23,43.34,4578.0,171.0,43.279784
PDFS,2023-07-24 19:00:00+00:00,43.32,43.65,43.32,43.53,19182.0,708.0,43.519443
PDFS,2023-07-24 20:00:00+00:00,43.51,43.51,43.51,43.51,16922.0,6.0,43.51
PDFS,2023-07-25 13:00:00+00:00,43.64,44.2,43.52,44.13,4183.0,79.0,43.873027
PDFS,2023-07-25 14:00:00+00:00,44.03,44.27,44.0,44.08,9393.0,211.0,44.162255
PDFS,2023-07-25 15:00:00+00:00,44.2,44.55,44.2,44.4204,6554.0,176.0,44.354612
PDFS,2023-07-25 16:00:00+00:00,44.54,44.6222,44.29,44.345,4967.0,157.0,44.443805
PDFS,2023-07-25 17:00:00+00:00,44.32,44.34,44.03,44.1,6935.0,188.0,44.197023
PDFS,2023-07-25 18:00:00+00:00,44.03,44.3,43.98,44.12,9647.0,345.0,44.161032
PDFS,2023-07-25 19:00:00+00:00,44.1,44.23,44.05,44.16,19306.0,643.0,44.126656
PDFS,2023-07-25 20:00:00+00:00,44.16,44.16,43.75,43.75,16397.0,7.0,44.151448
PDFS,2023-07-26 13:00:00+00:00,43.96,43.99,43.6,43.95,39297.0,112.0,43.828094
PDFS,2023-07-26 14:00:00+00:00,44.295,44.48,43.68,43.79,21440.0,401.0,43.975517
PDFS,2023-07-26 15:00:00+00:00,43.74,44.11,43.73,44.075,6220.0,213.0,43.855937
PDFS,2023-07-26 16:00:00+00:00,44.04,44.05,43.82,43.85,2755.0,127.0,43.925663
PDFS,2023-07-26 17:00:00+00:00,43.87,43.96,43.87,43.87,2776.0,124.0,43.919833
PDFS,2023-07-26 18:00:00+00:00,43.83,44.21,43.79,44.01,12636.0,368.0,43.9556
