symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PENN,2023-07-17 08:00:00+00:00,26.03,26.03,25.95,25.95,1309.0,3.0,25.956043
PENN,2023-07-17 11:00:00+00:00,25.8,25.8,25.8,25.8,2008.0,13.0,25.801474
PENN,2023-07-17 12:00:00+00:00,25.98,26.2,25.8,26.2,17621.0,29.0,25.983045
PENN,2023-07-17 13:00:00+00:00,25.84,25.895,25.595,25.83,277348.0,2887.0,25.766802
PENN,2023-07-17 14:00:00+00:00,25.86,26.04,25.71,25.89,313920.0,4124.0,25.903125
PENN,2023-07-17 15:00:00+00:00,25.879,25.96,25.79,25.85,179877.0,3125.0,25.867823
PENN,2023-07-17 16:00:00+00:00,25.85,26.09,25.85,26.0348,242539.0,3445.0,26.009029
PENN,2023-07-17 17:00:00+00:00,26.035,26.0492,25.925,25.9479,145804.0,2653.0,25.991909
PENN,2023-07-17 18:00:00+00:00,25.95,25.97,25.8237,25.902,160838.0,3089.0,25.896427
PENN,2023-07-17 19:00:00+00:00,25.91,25.92,25.69,25.7,513967.0,6757.0,25.776468
PENN,2023-07-17 20:00:00+00:00,25.71,25.75,25.5701,25.75,214615.0,40.0,25.709947
PENN,2023-07-17 21:00:00+00:00,25.71,25.71,25.6002,25.7,752.0,10.0,25.680425
PENN,2023-07-17 22:00:00+00:00,25.71,25.71,25.67,25.67,1360.0,7.0,25.688101
PENN,2023-07-17 23:00:00+00:00,25.67,25.67,25.61,25.61,1824.0,13.0,25.618569
PENN,2023-07-18 11:00:00+00:00,25.6,25.6,25.6,25.6,100.0,1.0,25.6
PENN,2023-07-18 12:00:00+00:00,25.59,25.7,25.59,25.66,1328.0,18.0,25.673072
PENN,2023-07-18 13:00:00+00:00,25.7,26.62,25.7,26.48,358061.0,3428.0,26.356147
PENN,2023-07-18 14:00:00+00:00,26.47,26.66,26.28,26.4605,461034.0,5800.0,26.482496
PENN,2023-07-18 15:00:00+00:00,26.46,26.68,26.405,26.515,396273.0,5147.0,26.547853
PENN,2023-07-18 16:00:00+00:00,26.515,26.53,26.35,26.3899,178370.0,2305.0,26.448955
PENN,2023-07-18 17:00:00+00:00,26.3805,26.52,26.375,26.4612,147821.0,2293.0,26.45404
PENN,2023-07-18 18:00:00+00:00,26.47,26.98,26.42,26.975,565708.0,6084.0,26.746542
PENN,2023-07-18 19:00:00+00:00,26.98,27.335,26.95,27.08,1676601.0,15094.0,27.146612
PENN,2023-07-18 20:00:00+00:00,27.1,27.12,27.1,27.1,2713660.0,51.0,27.100005
PENN,2023-07-18 21:00:00+00:00,27.0317,27.1439,27.0317,27.1439,1493.0,13.0,27.071105
PENN,2023-07-18 23:00:00+00:00,27.12,27.12,27.12,27.12,190.0,1.0,27.12
PENN,2023-07-19 11:00:00+00:00,27.22,27.26,27.22,27.25,744.0,9.0,27.242849
PENN,2023-07-19 12:00:00+00:00,27.27,27.27,27.17,27.23,5414.0,27.0,27.221757
PENN,2023-07-19 13:00:00+00:00,27.22,27.77,27.22,27.61,452788.0,5005.0,27.526055
PENN,2023-07-19 14:00:00+00:00,27.615,27.925,27.37,27.45,731655.0,8084.0,27.695561
PENN,2023-07-19 15:00:00+00:00,27.45,27.82,27.35,27.765,453200.0,5495.0,27.533642
PENN,2023-07-19 16:00:00+00:00,27.76,27.77,27.35,27.545,261629.0,3694.0,27.580969
PENN,2023-07-19 17:00:00+00:00,27.54,27.59,27.433,27.565,205610.0,3002.0,27.511921
PENN,2023-07-19 18:00:00+00:00,27.565,27.66,27.525,27.65,184846.0,3317.0,27.600865
PENN,2023-07-19 19:00:00+00:00,27.65,27.705,27.575,27.62,577172.0,8161.0,27.634837
PENN,2023-07-19 20:00:00+00:00,27.62,27.7,27.45,27.7,581133.0,41.0,27.619861
PENN,2023-07-19 21:00:00+00:00,27.44,27.62,27.44,27.62,753.0,3.0,27.501806
PENN,2023-07-19 22:00:00+00:00,27.1713,27.46,27.1713,27.3,3377.0,6.0,27.306766
PENN,2023-07-19 23:00:00+00:00,27.31,27.31,27.31,27.31,1301.0,6.0,27.309331
PENN,2023-07-20 12:00:00+00:00,27.47,27.51,27.2701,27.28,3916.0,24.0,27.406836
PENN,2023-07-20 13:00:00+00:00,27.3,27.61,27.27,27.46,176521.0,2139.0,27.476518
PENN,2023-07-20 14:00:00+00:00,27.475,27.5,27.0475,27.23,334416.0,4609.0,27.226114
PENN,2023-07-20 15:00:00+00:00,27.215,27.32,27.12,27.255,107036.0,2134.0,27.220662
PENN,2023-07-20 16:00:00+00:00,27.27,27.29,26.462,27.015,485033.0,4808.0,26.880249
PENN,2023-07-20 17:00:00+00:00,27.02,27.05,26.885,26.935,389826.0,4026.0,26.964391
PENN,2023-07-20 18:00:00+00:00,26.935,27.01,26.885,26.94,169508.0,3197.0,26.949734
PENN,2023-07-20 19:00:00+00:00,26.9373,26.95,26.725,26.78,702548.0,9107.0,26.813031
PENN,2023-07-20 20:00:00+00:00,26.78,27.08,26.7,26.7,190495.0,35.0,26.779575
PENN,2023-07-20 21:00:00+00:00,26.5228,26.5228,26.5228,26.5228,200.0,1.0,26.5228
PENN,2023-07-20 23:00:00+00:00,26.84,26.84,26.84,26.84,100.0,1.0,26.84
PENN,2023-07-21 10:00:00+00:00,27.62,27.98,27.62,27.98,1825.0,22.0,27.855387
PENN,2023-07-21 11:00:00+00:00,27.14,27.4,26.81,27.05,2163.0,17.0,27.037938
PENN,2023-07-21 12:00:00+00:00,27.1369,27.5,26.8,27.5,3904.0,28.0,27.143494
PENN,2023-07-21 13:00:00+00:00,27.09,27.21,26.525,26.54,243911.0,2623.0,26.860109
PENN,2023-07-21 14:00:00+00:00,26.545,26.7899,26.47,26.72,299453.0,3856.0,26.639125
PENN,2023-07-21 15:00:00+00:00,26.725,26.78,26.56,26.625,216516.0,2889.0,26.6883
PENN,2023-07-21 16:00:00+00:00,26.6335,26.645,26.36,26.37,234518.0,3179.0,26.50013
PENN,2023-07-21 17:00:00+00:00,26.37,26.475,26.32,26.44,283280.0,3068.0,26.402413
PENN,2023-07-21 18:00:00+00:00,26.45,26.5087,26.295,26.335,324491.0,3746.0,26.392496
PENN,2023-07-21 19:00:00+00:00,26.34,26.43,26.24,26.39,1017173.0,10946.0,26.338368
PENN,2023-07-21 20:00:00+00:00,26.39,26.39,26.3,26.3,338952.0,21.0,26.389969
PENN,2023-07-21 21:00:00+00:00,26.35,26.35,26.35,26.35,500.0,1.0,26.35
PENN,2023-07-21 22:00:00+00:00,26.31,26.3101,26.31,26.3101,625.0,2.0,26.31002
PENN,2023-07-21 23:00:00+00:00,26.39,26.39,26.39,26.39,4100.0,2.0,26.39
PENN,2023-07-24 11:00:00+00:00,26.5,26.51,26.5,26.5,2433.0,17.0,26.503292
PENN,2023-07-24 12:00:00+00:00,26.607,26.61,26.4,26.451,3707.0,31.0,26.518433
PENN,2023-07-24 13:00:00+00:00,26.41,26.51,26.1,26.16,172382.0,2360.0,26.283297
PENN,2023-07-24 14:00:00+00:00,26.16,26.22,26.01,26.05,287875.0,4598.0,26.107457
PENN,2023-07-24 15:00:00+00:00,26.045,26.09,25.76,25.805,382368.0,5197.0,25.882328
PENN,2023-07-24 16:00:00+00:00,25.8008,25.86,25.43,25.485,666226.0,6248.0,25.608967
PENN,2023-07-24 17:00:00+00:00,25.485,25.725,25.41,25.625,520055.0,5414.0,25.541694
PENN,2023-07-24 18:00:00+00:00,25.63,25.67,25.45,25.545,450807.0,4911.0,25.525654
PENN,2023-07-24 19:00:00+00:00,25.545,25.71,25.48,25.69,948735.0,9748.0,25.597944
PENN,2023-07-24 20:00:00+00:00,25.69,25.73,25.471,25.72,355783.0,38.0,25.69024
PENN,2023-07-24 21:00:00+00:00,25.66,25.7,25.66,25.7,250.0,2.0,25.684
PENN,2023-07-24 22:00:00+00:00,25.71,25.71,25.7,25.7,1600.0,2.0,25.709375
PENN,2023-07-24 23:00:00+00:00,25.7001,25.73,25.7001,25.73,500.0,2.0,25.71206
PENN,2023-07-25 11:00:00+00:00,25.79,25.85,25.79,25.85,2025.0,10.0,25.820212
PENN,2023-07-25 12:00:00+00:00,25.9297,25.93,25.72,25.81,6613.0,20.0,25.830896
PENN,2023-07-25 13:00:00+00:00,25.71,26.14,25.6354,25.82,357339.0,3069.0,25.881777
PENN,2023-07-25 14:00:00+00:00,25.82,25.94,25.67,25.895,394475.0,4840.0,25.836598
PENN,2023-07-25 15:00:00+00:00,25.895,25.91,25.511,25.59,223882.0,3740.0,25.724323
PENN,2023-07-25 16:00:00+00:00,25.59,25.71,25.535,25.68,139725.0,2671.0,25.617224
PENN,2023-07-25 17:00:00+00:00,25.68,25.68,25.49,25.49,142285.0,2287.0,25.596066
PENN,2023-07-25 18:00:00+00:00,25.49,25.55,25.3028,25.325,341051.0,4040.0,25.430069
PENN,2023-07-25 19:00:00+00:00,25.33,25.56,25.28,25.5,847173.0,9169.0,25.506016
PENN,2023-07-25 20:00:00+00:00,25.5,25.55,25.3542,25.3542,199917.0,30.0,25.499977
PENN,2023-07-25 21:00:00+00:00,25.5399,25.56,25.5399,25.557,1834.0,4.0,25.546259
PENN,2023-07-25 22:00:00+00:00,25.52,25.52,25.4918,25.4918,2740.0,5.0,25.49723
PENN,2023-07-25 23:00:00+00:00,25.51,25.51,25.51,25.51,100.0,1.0,25.51
PENN,2023-07-26 08:00:00+00:00,25.6,25.6,25.6,25.6,100.0,1.0,25.6
PENN,2023-07-26 13:00:00+00:00,25.48,26.0,25.48,25.74,206145.0,2260.0,25.815337
PENN,2023-07-26 14:00:00+00:00,25.73,25.91,25.58,25.589,312097.0,3877.0,25.75394
PENN,2023-07-26 15:00:00+00:00,25.585,25.9,25.5006,25.865,207535.0,2957.0,25.641657
PENN,2023-07-26 16:00:00+00:00,25.855,25.92,25.705,25.865,199414.0,2928.0,25.824504
PENN,2023-07-26 17:00:00+00:00,25.865,26.02,25.86,25.92,227579.0,3373.0,25.962284
PENN,2023-07-26 18:00:00+00:00,25.91,26.185,25.86,26.0598,388177.0,5217.0,26.030816
PENN,2023-07-26 19:00:00+00:00,26.06,26.09,25.9,26.05,633129.0,8484.0,26.010095
