symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFC,2023-07-17 13:00:00+00:00,17.38,17.49,17.29,17.49,2834.0,46.0,17.383949
PFC,2023-07-17 14:00:00+00:00,17.59,17.65,17.485,17.65,6001.0,164.0,17.562575
PFC,2023-07-17 15:00:00+00:00,17.635,17.705,17.59,17.66,3141.0,98.0,17.640276
PFC,2023-07-17 16:00:00+00:00,17.66,17.7242,17.635,17.65,5347.0,149.0,17.674226
PFC,2023-07-17 17:00:00+00:00,17.665,17.73,17.665,17.72,3278.0,92.0,17.711495
PFC,2023-07-17 18:00:00+00:00,17.71,17.8392,17.71,17.72,8396.0,208.0,17.761018
PFC,2023-07-17 19:00:00+00:00,17.72,17.72,17.59,17.59,25854.0,648.0,17.637703
PFC,2023-07-17 20:00:00+00:00,17.61,17.61,17.61,17.61,22278.0,3.0,17.61
PFC,2023-07-18 13:00:00+00:00,17.61,18.15,17.61,18.15,2351.0,59.0,17.829504
PFC,2023-07-18 14:00:00+00:00,18.37,18.395,18.17,18.17,7494.0,212.0,18.26848
PFC,2023-07-18 15:00:00+00:00,18.2339,18.41,18.2339,18.33,5533.0,155.0,18.341736
PFC,2023-07-18 16:00:00+00:00,18.345,18.38,18.24,18.28,19970.0,358.0,18.31714
PFC,2023-07-18 17:00:00+00:00,18.28,18.32,18.25,18.28,22267.0,283.0,18.282648
PFC,2023-07-18 18:00:00+00:00,18.28,18.35,18.25,18.33,7049.0,156.0,18.306807
PFC,2023-07-18 19:00:00+00:00,18.31,18.41,18.29,18.29,91907.0,1502.0,18.348309
PFC,2023-07-18 20:00:00+00:00,18.3,18.3,18.3,18.3,42310.0,5.0,18.3
PFC,2023-07-19 13:00:00+00:00,18.44,18.54,18.3,18.45,9766.0,251.0,18.439757
PFC,2023-07-19 14:00:00+00:00,18.45,18.6376,18.44,18.48,10602.0,404.0,18.523923
PFC,2023-07-19 15:00:00+00:00,18.45,18.55,18.37,18.524,15257.0,430.0,18.478511
PFC,2023-07-19 16:00:00+00:00,18.55,18.7,18.524,18.675,17249.0,411.0,18.582446
PFC,2023-07-19 17:00:00+00:00,18.675,18.69,18.56,18.6,28178.0,662.0,18.63487
