symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PGRE,2023-07-17 13:00:00+00:00,5.13,5.13,4.995,5.06,120521.0,866.0,5.045424
PGRE,2023-07-17 14:00:00+00:00,5.065,5.07,4.98,4.995,168736.0,1249.0,5.0177
PGRE,2023-07-17 15:00:00+00:00,4.995,5.0,4.935,4.935,214173.0,1062.0,4.967918
PGRE,2023-07-17 16:00:00+00:00,4.935,4.95,4.9,4.905,157811.0,1052.0,4.929032
PGRE,2023-07-17 17:00:00+00:00,4.905,4.92,4.9,4.905,93514.0,895.0,4.908631
PGRE,2023-07-17 18:00:00+00:00,4.905,4.92,4.89,4.91,123996.0,1039.0,4.907317
PGRE,2023-07-17 19:00:00+00:00,4.91,4.92,4.88,4.89,372247.0,2617.0,4.89762
PGRE,2023-07-17 20:00:00+00:00,4.9,4.9,4.9,4.9,80355.0,8.0,4.9
PGRE,2023-07-18 13:00:00+00:00,4.97,4.97,4.87,4.95,96431.0,713.0,4.939599
PGRE,2023-07-18 14:00:00+00:00,4.945,5.01,4.93,4.94,526468.0,2730.0,4.961483
PGRE,2023-07-18 15:00:00+00:00,4.93,4.945,4.84,4.865,639587.0,1474.0,4.873393
PGRE,2023-07-18 16:00:00+00:00,4.865,4.9,4.86,4.895,142058.0,761.0,4.877772
PGRE,2023-07-18 17:00:00+00:00,4.895,4.915,4.89,4.915,152992.0,651.0,4.902186
PGRE,2023-07-18 18:00:00+00:00,4.91,4.94,4.905,4.925,91929.0,717.0,4.923733
PGRE,2023-07-18 19:00:00+00:00,4.925,4.94,4.91,4.94,270443.0,1829.0,4.929424
PGRE,2023-07-18 20:00:00+00:00,4.93,4.93,4.93,4.93,132516.0,7.0,4.93
PGRE,2023-07-19 13:00:00+00:00,4.91,5.03,4.89,5.005,129225.0,876.0,4.977569
PGRE,2023-07-19 14:00:00+00:00,5.005,5.035,4.96,4.975,148883.0,971.0,4.995095
PGRE,2023-07-19 15:00:00+00:00,4.97,4.99,4.94,4.985,110931.0,792.0,4.959535
PGRE,2023-07-19 16:00:00+00:00,4.985,5.0,4.96,4.99,120471.0,829.0,4.979897
PGRE,2023-07-19 17:00:00+00:00,4.99,5.0,4.97,5.0,111320.0,788.0,4.98905
PGRE,2023-07-19 18:00:00+00:00,4.995,5.03,4.99,5.03,153289.0,1141.0,5.011951
PGRE,2023-07-19 19:00:00+00:00,5.025,5.05,5.0,5.045,498016.0,2989.0,5.026111
PGRE,2023-07-19 20:00:00+00:00,5.04,5.04,5.04,5.04,124642.0,7.0,5.04
PGRE,2023-07-20 13:00:00+00:00,5.11,5.11,5.01,5.055,177929.0,984.0,5.063688
PGRE,2023-07-20 14:00:00+00:00,5.05,5.07,5.02,5.06,214097.0,1374.0,5.044543
PGRE,2023-07-20 15:00:00+00:00,5.06,5.065,5.0,5.04,150674.0,942.0,5.022012
PGRE,2023-07-20 16:00:00+00:00,5.04,5.05,5.02,5.035,115023.0,795.0,5.036564
PGRE,2023-07-20 17:00:00+00:00,5.035,5.04,5.005,5.02,246381.0,1369.0,5.019967
PGRE,2023-07-20 18:00:00+00:00,5.02,5.04,5.01,5.04,108448.0,870.0,5.028871
PGRE,2023-07-20 19:00:00+00:00,5.04,5.07,5.03,5.07,446843.0,2411.0,5.051214
PGRE,2023-07-20 20:00:00+00:00,5.07,5.07,5.07,5.07,100823.0,9.0,5.07
PGRE,2023-07-21 13:00:00+00:00,5.09,5.11,4.97,4.97,132999.0,500.0,5.0778
PGRE,2023-07-21 14:00:00+00:00,4.975,5.02,4.95,5.01,145499.0,1358.0,4.989437
PGRE,2023-07-21 15:00:00+00:00,5.01,5.03,4.98,5.02,83652.0,880.0,5.010361
PGRE,2023-07-21 16:00:00+00:00,5.025,5.07,5.02,5.05,94334.0,817.0,5.038854
PGRE,2023-07-21 17:00:00+00:00,5.045,5.06,5.0325,5.05,79519.0,883.0,5.04498
PGRE,2023-07-21 18:00:00+00:00,5.05,5.055,5.025,5.035,113908.0,1029.0,5.038766
PGRE,2023-07-21 19:00:00+00:00,5.035,5.055,5.02,5.03,326379.0,2386.0,5.03241
PGRE,2023-07-21 20:00:00+00:00,5.02,5.02,5.02,5.02,166274.0,5.0,5.02
PGRE,2023-07-24 13:00:00+00:00,5.02,5.165,5.02,5.1,67993.0,527.0,5.09749
PGRE,2023-07-24 14:00:00+00:00,5.1,5.105,5.055,5.06,88704.0,683.0,5.077166
PGRE,2023-07-24 15:00:00+00:00,5.07,5.105,5.06,5.1,46300.0,428.0,5.086729
PGRE,2023-07-24 16:00:00+00:00,5.105,5.13,5.105,5.125,40834.0,300.0,5.115269
PGRE,2023-07-24 17:00:00+00:00,5.13,5.13,5.07,5.075,219620.0,1215.0,5.094653
PGRE,2023-07-24 18:00:00+00:00,5.075,5.08,5.04,5.045,194427.0,1050.0,5.063217
PGRE,2023-07-24 19:00:00+00:00,5.04,5.05,5.03,5.05,472260.0,2064.0,5.041446
PGRE,2023-07-24 20:00:00+00:00,5.04,5.04,5.04,5.04,121403.0,7.0,5.04
PGRE,2023-07-25 13:00:00+00:00,5.03,5.05,4.97,4.99,64654.0,510.0,5.017758
PGRE,2023-07-25 14:00:00+00:00,4.99,5.05,4.99,5.035,84266.0,908.0,5.01862
PGRE,2023-07-25 15:00:00+00:00,5.03,5.09,5.02,5.06,184518.0,1337.0,5.061841
PGRE,2023-07-25 16:00:00+00:00,5.065,5.07,5.03,5.045,104567.0,766.0,5.046484
PGRE,2023-07-25 17:00:00+00:00,5.05,5.055,5.03,5.05,91526.0,790.0,5.041008
PGRE,2023-07-25 18:00:00+00:00,5.05,5.065,5.01,5.035,128276.0,905.0,5.041726
PGRE,2023-07-25 19:00:00+00:00,5.04,5.04,5.01,5.025,232496.0,1694.0,5.02205
PGRE,2023-07-25 20:00:00+00:00,5.01,5.01,5.01,5.01,81707.0,12.0,5.01
PGRE,2023-07-26 13:00:00+00:00,5.03,5.13,5.02,5.11,96748.0,666.0,5.099539
PGRE,2023-07-26 14:00:00+00:00,5.11,5.165,5.1,5.145,119224.0,876.0,5.131707
PGRE,2023-07-26 15:00:00+00:00,5.14,5.15,5.09,5.12,114714.0,1027.0,5.116436
PGRE,2023-07-26 16:00:00+00:00,5.12,5.14,5.11,5.115,51914.0,481.0,5.124772
PGRE,2023-07-26 17:00:00+00:00,5.115,5.1275,5.11,5.115,41045.0,373.0,5.116504
PGRE,2023-07-26 18:00:00+00:00,5.12,5.17,5.11,5.17,81277.0,928.0,5.136237
PGRE,2023-07-26 19:00:00+00:00,5.17,5.22,5.16,5.215,436893.0,2985.0,5.194699
PGRE,2023-07-26 20:00:00+00:00,5.22,5.22,5.2,5.2,157439.0,10.0,5.219987
PGRE,2023-07-26 23:00:00+00:00,5.2,5.2,5.2,5.2,500.0,4.0,5.2
PGRE,2023-07-27 13:00:00+00:00,5.24,5.28,5.16,5.195,78374.0,673.0,5.196107
PGRE,2023-07-27 14:00:00+00:00,5.195,5.255,5.19,5.215,213873.0,1586.0,5.223452
PGRE,2023-07-27 15:00:00+00:00,5.215,5.225,5.195,5.225,107386.0,937.0,5.208811
PGRE,2023-07-27 16:00:00+00:00,5.23,5.24,5.21,5.24,77324.0,747.0,5.225497
PGRE,2023-07-27 17:00:00+00:00,5.24,5.24,5.17,5.19,97772.0,948.0,5.199037
PGRE,2023-07-27 18:00:00+00:00,5.19,5.19,5.11,5.11,177854.0,1278.0,5.143318
PGRE,2023-07-27 19:00:00+00:00,5.11,5.115,5.065,5.11,481842.0,2887.0,5.094183
PGRE,2023-07-27 20:00:00+00:00,5.11,5.11,5.11,5.11,167177.0,9.0,5.11
