symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PPG,2023-07-17 12:00:00+00:00,150.0,150.0,150.0,150.0,950.0,5.0,150.0
PPG,2023-07-17 13:00:00+00:00,149.2,149.88,148.88,149.755,42979.0,943.0,149.456779
PPG,2023-07-17 14:00:00+00:00,149.895,150.29,149.29,149.69,72561.0,1905.0,149.790252
PPG,2023-07-17 15:00:00+00:00,149.74,151.14,149.74,150.99,161334.0,2480.0,150.49701
PPG,2023-07-17 16:00:00+00:00,150.96,151.67,150.96,151.57,146734.0,3006.0,151.32515
PPG,2023-07-17 17:00:00+00:00,151.56,151.84,151.26,151.32,161418.0,3372.0,151.60724
PPG,2023-07-17 18:00:00+00:00,151.335,151.49,151.1,151.19,166388.0,3096.0,151.270781
PPG,2023-07-17 19:00:00+00:00,151.2,151.57,151.04,151.2,378590.0,6610.0,151.327318
PPG,2023-07-17 20:00:00+00:00,151.2,151.2,151.2,151.2,164636.0,46.0,151.2
PPG,2023-07-18 13:00:00+00:00,150.94,151.95,150.53,151.7,108099.0,1348.0,151.385961
PPG,2023-07-18 14:00:00+00:00,151.67,152.78,151.65,152.75,82219.0,2516.0,152.077106
PPG,2023-07-18 15:00:00+00:00,152.73,152.89,151.96,152.03,114080.0,2739.0,152.421939
PPG,2023-07-18 16:00:00+00:00,152.0922,152.22,151.45,151.62,139792.0,2679.0,151.782371
PPG,2023-07-18 17:00:00+00:00,151.63,151.63,150.83,151.31,114608.0,2530.0,151.189328
PPG,2023-07-18 18:00:00+00:00,151.35,151.81,151.21,151.38,96900.0,2992.0,151.488641
PPG,2023-07-18 19:00:00+00:00,151.4,151.65,151.2057,151.38,389886.0,7893.0,151.389924
PPG,2023-07-18 20:00:00+00:00,151.37,151.37,151.37,151.37,200936.0,52.0,151.369995
PPG,2023-07-19 13:00:00+00:00,151.56,152.21,150.57,150.7,80220.0,1539.0,151.094136
PPG,2023-07-19 14:00:00+00:00,150.72,150.78,149.38,149.49,258018.0,5223.0,150.137068
PPG,2023-07-19 15:00:00+00:00,149.53,150.15,149.49,150.15,126782.0,2822.0,149.849339
PPG,2023-07-19 16:00:00+00:00,150.17,150.64,149.87,150.34,194133.0,3891.0,150.184691
PPG,2023-07-19 17:00:00+00:00,150.38,150.46,149.89,150.175,113021.0,2708.0,150.156503
PPG,2023-07-19 18:00:00+00:00,150.16,150.34,149.98,150.29,164031.0,3732.0,150.171562
PPG,2023-07-19 19:00:00+00:00,150.285,150.4,150.019,150.22,413901.0,8230.0,150.215874
PPG,2023-07-19 20:00:00+00:00,150.17,151.08,150.17,151.08,163938.0,67.0,150.259986
PPG,2023-07-19 22:00:00+00:00,149.01,149.01,149.01,149.01,139.0,4.0,149.021583
PPG,2023-07-20 12:00:00+00:00,150.25,150.25,150.25,150.25,130.0,3.0,150.248154
PPG,2023-07-20 13:00:00+00:00,150.18,150.445,148.64,149.995,76116.0,1368.0,149.634544
PPG,2023-07-20 14:00:00+00:00,149.975,150.38,148.89,149.79,313317.0,5935.0,149.614717
PPG,2023-07-20 15:00:00+00:00,149.78,150.23,149.69,149.82,220641.0,4739.0,149.898523
PPG,2023-07-20 16:00:00+00:00,149.87,150.06,149.37,149.64,162766.0,3377.0,149.738271
PPG,2023-07-20 17:00:00+00:00,149.625,150.14,149.51,149.73,139547.0,3146.0,149.820514
PPG,2023-07-20 18:00:00+00:00,149.72,149.88,149.3,149.495,199470.0,4853.0,149.572611
PPG,2023-07-20 19:00:00+00:00,149.51,149.79,148.92,149.69,914558.0,16058.0,149.275901
PPG,2023-07-20 20:00:00+00:00,149.72,152.19,144.0001,146.0,223101.0,156.0,149.64031
PPG,2023-07-20 21:00:00+00:00,146.75,146.75,146.0,146.0,964.0,9.0,146.24055
PPG,2023-07-20 22:00:00+00:00,146.75,146.75,146.75,146.75,200.0,1.0,146.75
PPG,2023-07-20 23:00:00+00:00,146.0,146.0,146.0,146.0,200.0,2.0,146.0
PPG,2023-07-21 12:00:00+00:00,146.48,146.48,144.84,145.55,3718.0,27.0,145.493999
PPG,2023-07-21 13:00:00+00:00,146.0,151.18,145.09,150.77,368342.0,5844.0,148.107318
PPG,2023-07-21 14:00:00+00:00,151.1,152.6,150.42,152.085,380444.0,7824.0,151.486235
PPG,2023-07-21 15:00:00+00:00,152.04,152.3,150.48,150.74,248757.0,5714.0,151.281192
PPG,2023-07-21 16:00:00+00:00,150.74,150.74,149.21,150.39,338678.0,4729.0,149.82609
PPG,2023-07-21 17:00:00+00:00,150.395,151.125,150.08,150.845,206611.0,3935.0,150.658338
PPG,2023-07-21 18:00:00+00:00,150.88,150.9,149.965,150.05,226115.0,4364.0,150.334062
PPG,2023-07-21 19:00:00+00:00,150.045,150.25,148.935,149.35,882187.0,15632.0,149.472149
PPG,2023-07-21 20:00:00+00:00,149.35,149.35,149.35,149.35,257647.0,27.0,149.35
PPG,2023-07-24 13:00:00+00:00,150.47,151.185,149.365,150.78,86474.0,1891.0,150.511203
PPG,2023-07-24 14:00:00+00:00,150.795,150.85,148.995,149.455,227130.0,5176.0,149.690116
PPG,2023-07-24 15:00:00+00:00,149.44,149.44,147.19,147.4828,225730.0,4687.0,147.896374
PPG,2023-07-24 16:00:00+00:00,147.485,147.56,145.88,146.08,278934.0,5514.0,146.585122
PPG,2023-07-24 17:00:00+00:00,146.09,146.565,145.77,146.24,318518.0,5305.0,146.122976
PPG,2023-07-24 18:00:00+00:00,146.29,146.48,145.42,145.855,194143.0,4421.0,145.828907
PPG,2023-07-24 19:00:00+00:00,145.86,146.09,145.1,145.86,652336.0,12257.0,145.655504
PPG,2023-07-24 20:00:00+00:00,145.87,145.87,145.87,145.87,236454.0,52.0,145.87
PPG,2023-07-25 13:00:00+00:00,148.07,148.07,146.5,146.845,209039.0,3028.0,147.264391
PPG,2023-07-25 14:00:00+00:00,146.845,148.52,146.66,148.295,408536.0,6404.0,147.721776
PPG,2023-07-25 15:00:00+00:00,148.23,148.44,147.41,147.485,192778.0,3589.0,147.869371
PPG,2023-07-25 16:00:00+00:00,147.475,147.6,146.97,147.215,276067.0,3846.0,147.263132
PPG,2023-07-25 17:00:00+00:00,147.18,147.255,146.64,146.65,170381.0,3365.0,147.026234
PPG,2023-07-25 18:00:00+00:00,146.68,146.87,146.37,146.51,222581.0,4680.0,146.58955
PPG,2023-07-25 19:00:00+00:00,146.53,147.04,146.3,146.9,747182.0,10927.0,146.67839
PPG,2023-07-25 20:00:00+00:00,146.96,147.01,146.96,147.01,399617.0,71.0,147.009972
PPG,2023-07-26 13:00:00+00:00,145.44,146.73,144.53,145.23,161337.0,2621.0,145.410324
PPG,2023-07-26 14:00:00+00:00,145.11,145.495,144.75,145.05,257159.0,5483.0,145.044851
PPG,2023-07-26 15:00:00+00:00,145.045,146.12,144.82,146.0,721567.0,5208.0,145.011892
PPG,2023-07-26 16:00:00+00:00,146.0,146.035,145.22,145.245,94899.0,3129.0,145.643182
PPG,2023-07-26 17:00:00+00:00,145.28,145.31,144.65,145.28,140286.0,3458.0,145.049265
PPG,2023-07-26 18:00:00+00:00,145.26,146.44,145.17,145.98,204179.0,4499.0,145.839809
PPG,2023-07-26 19:00:00+00:00,146.02,146.2,145.15,146.18,513467.0,10889.0,145.783037
PPG,2023-07-26 20:00:00+00:00,146.18,146.18,146.18,146.18,336827.0,46.0,146.18
PPG,2023-07-27 13:00:00+00:00,146.94,147.2,146.165,146.855,62548.0,1124.0,146.713022
