symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PPH,2023-07-17 13:00:00+00:00,77.84,77.84,77.26,77.442,5507.0,34.0,77.532042
PPH,2023-07-17 14:00:00+00:00,77.44,77.67,77.44,77.61,1752.0,20.0,77.597017
PPH,2023-07-17 15:00:00+00:00,77.6162,77.6162,77.5,77.58,4072.0,34.0,77.555638
PPH,2023-07-17 16:00:00+00:00,77.58,77.58,77.55,77.56,844.0,15.0,77.561137
PPH,2023-07-17 17:00:00+00:00,77.59,77.61,77.491,77.51,24091.0,54.0,77.582836
PPH,2023-07-17 18:00:00+00:00,77.53,77.599,77.51,77.58,3795.0,45.0,77.567989
PPH,2023-07-17 19:00:00+00:00,77.5638,77.7,77.55,77.55,80884.0,590.0,77.637313
PPH,2023-07-18 13:00:00+00:00,77.73,78.33,77.73,78.24,1684.0,24.0,78.114565
PPH,2023-07-18 14:00:00+00:00,78.3407,78.515,78.26,78.49,92437.0,732.0,78.328668
PPH,2023-07-18 15:00:00+00:00,78.5,78.59,78.32,78.36,26515.0,284.0,78.502291
PPH,2023-07-18 16:00:00+00:00,78.36,78.36,77.97,78.0,22088.0,261.0,78.084855
PPH,2023-07-18 17:00:00+00:00,77.96,77.98,77.89,77.98,6918.0,61.0,77.930971
PPH,2023-07-18 18:00:00+00:00,77.96,78.08,77.96,78.05,74531.0,555.0,78.024993
PPH,2023-07-18 19:00:00+00:00,78.04,78.26,78.03,78.25,44315.0,401.0,78.21038
PPH,2023-07-19 13:00:00+00:00,78.38,78.923,78.38,78.9,4663.0,41.0,78.738847
PPH,2023-07-19 14:00:00+00:00,78.88,79.03,78.58,78.58,27724.0,261.0,78.732778
PPH,2023-07-19 15:00:00+00:00,78.595,78.73,78.5353,78.73,20362.0,194.0,78.602404
PPH,2023-07-19 16:00:00+00:00,78.79,78.9288,78.73,78.9288,7771.0,84.0,78.823066
PPH,2023-07-19 17:00:00+00:00,78.95,79.01,78.91,78.99,6254.0,61.0,78.971707
PPH,2023-07-19 18:00:00+00:00,78.93,78.955,78.81,78.94,12173.0,125.0,78.888281
PPH,2023-07-19 19:00:00+00:00,78.93,78.95,78.84,78.85,22267.0,182.0,78.884998
PPH,2023-07-20 13:00:00+00:00,79.43,80.01,79.43,79.89,74958.0,496.0,79.874869
PPH,2023-07-20 14:00:00+00:00,79.91,80.07,79.86,80.07,58777.0,497.0,79.959147
PPH,2023-07-20 15:00:00+00:00,80.07,80.11,79.91,79.98,38225.0,308.0,79.98652
PPH,2023-07-20 16:00:00+00:00,80.01,80.08,79.98,80.05,10605.0,112.0,80.03481
