symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PRFT,2023-07-17 13:00:00+00:00,91.79,92.43,91.57,91.98,17899.0,183.0,92.000391
PRFT,2023-07-17 14:00:00+00:00,92.13,93.11,91.965,92.83,22219.0,606.0,92.685452
PRFT,2023-07-17 15:00:00+00:00,92.795,93.23,92.33,93.03,31172.0,657.0,92.679747
PRFT,2023-07-17 16:00:00+00:00,92.96,94.19,92.96,94.19,26937.0,706.0,93.72471
PRFT,2023-07-17 17:00:00+00:00,94.15,94.46,93.98,94.3431,23910.0,765.0,94.2433
PRFT,2023-07-17 18:00:00+00:00,94.46,94.65,93.5,93.5,93598.0,1054.0,94.341537
PRFT,2023-07-17 19:00:00+00:00,93.51,94.28,93.5,93.92,87477.0,2033.0,93.922533
PRFT,2023-07-17 20:00:00+00:00,93.9,93.9,93.9,93.9,40881.0,14.0,93.9
PRFT,2023-07-18 13:00:00+00:00,93.95,94.48,93.73,93.785,10556.0,187.0,94.030166
PRFT,2023-07-18 14:00:00+00:00,93.975,94.665,93.76,94.58,14987.0,415.0,94.22876
PRFT,2023-07-18 15:00:00+00:00,94.3501,94.8,94.01,94.54,29269.0,735.0,94.46349
PRFT,2023-07-18 16:00:00+00:00,94.5208,95.16,94.3,95.08,16605.0,450.0,94.698596
PRFT,2023-07-18 17:00:00+00:00,95.08,95.365,94.96,95.08,11675.0,311.0,95.152827
PRFT,2023-07-18 18:00:00+00:00,95.07,95.6,95.01,95.5,10886.0,362.0,95.256392
PRFT,2023-07-18 19:00:00+00:00,95.525,96.68,95.48,96.39,87062.0,2188.0,96.214121
PRFT,2023-07-18 20:00:00+00:00,96.31,96.31,96.31,96.31,26826.0,13.0,96.31
PRFT,2023-07-19 13:00:00+00:00,96.9,96.92,95.65,95.825,41698.0,223.0,96.595115
PRFT,2023-07-19 14:00:00+00:00,95.6,96.56,95.53,96.42,97988.0,1531.0,96.092434
PRFT,2023-07-19 15:00:00+00:00,96.4,96.88,96.2936,96.66,15002.0,508.0,96.642264
