symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PSO,2023-07-17 12:00:00+00:00,10.96,10.96,10.95,10.95,6106.0,22.0,10.958362
PSO,2023-07-17 13:00:00+00:00,10.95,10.98,10.93,10.98,58266.0,218.0,10.940353
PSO,2023-07-17 14:00:00+00:00,10.98,10.99,10.965,10.975,60808.0,470.0,10.979482
PSO,2023-07-17 15:00:00+00:00,10.975,10.98,10.935,10.935,41057.0,341.0,10.956389
PSO,2023-07-17 16:00:00+00:00,10.94,10.95,10.935,10.945,18991.0,250.0,10.941745
PSO,2023-07-17 17:00:00+00:00,10.945,10.96,10.9403,10.95,17162.0,117.0,10.950151
PSO,2023-07-17 18:00:00+00:00,10.95,10.96,10.94,10.95,16323.0,138.0,10.950118
PSO,2023-07-17 19:00:00+00:00,10.95,10.96,10.945,10.96,50721.0,479.0,10.954077
PSO,2023-07-17 20:00:00+00:00,10.96,10.96,10.96,10.96,8911.0,5.0,10.96
PSO,2023-07-18 09:00:00+00:00,10.99,10.99,10.99,10.99,100.0,1.0,10.99
PSO,2023-07-18 13:00:00+00:00,11.04,11.05,11.01,11.04,40515.0,203.0,11.026016
PSO,2023-07-18 14:00:00+00:00,11.04,11.06,11.01,11.035,64947.0,400.0,11.036878
PSO,2023-07-18 15:00:00+00:00,11.035,11.06,11.025,11.03,27451.0,235.0,11.039664
PSO,2023-07-18 16:00:00+00:00,11.03,11.04,11.005,11.005,11246.0,143.0,11.021283
PSO,2023-07-18 17:00:00+00:00,11.0,11.025,11.0,11.025,22541.0,157.0,11.009163
PSO,2023-07-18 18:00:00+00:00,11.025,11.04,11.02,11.035,7999.0,112.0,11.031444
PSO,2023-07-18 19:00:00+00:00,11.035,11.05,11.03,11.045,51445.0,415.0,11.043876
PSO,2023-07-18 20:00:00+00:00,11.05,11.05,11.05,11.05,9522.0,4.0,11.05
PSO,2023-07-19 08:00:00+00:00,11.06,11.06,11.06,11.06,200.0,2.0,11.06
