symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PXD,2023-07-17 08:00:00+00:00,209.0,209.0,209.0,209.0,426.0,11.0,209.087981
PXD,2023-07-17 11:00:00+00:00,208.5,208.5,208.5,208.5,100.0,1.0,208.5
PXD,2023-07-17 12:00:00+00:00,208.0,208.5,208.0,208.25,691.0,6.0,208.321997
PXD,2023-07-17 13:00:00+00:00,208.9999,209.08,207.1,208.105,118903.0,2423.0,208.03258
PXD,2023-07-17 14:00:00+00:00,208.0,208.9244,207.53,208.56,227051.0,4858.0,208.364928
PXD,2023-07-17 15:00:00+00:00,208.71,209.11,207.04,207.14,168826.0,4517.0,208.116475
PXD,2023-07-17 16:00:00+00:00,207.22,207.96,207.11,207.47,112124.0,3382.0,207.523307
PXD,2023-07-17 17:00:00+00:00,207.38,208.38,207.34,208.17,93788.0,2817.0,207.942598
PXD,2023-07-17 18:00:00+00:00,208.195,208.42,207.5,207.94,137478.0,3890.0,208.134169
PXD,2023-07-17 19:00:00+00:00,207.8801,207.95,206.88,207.0,324672.0,9018.0,207.236507
PXD,2023-07-17 20:00:00+00:00,207.0,207.0,207.0,207.0,129169.0,33.0,206.999996
PXD,2023-07-17 21:00:00+00:00,207.0,207.0,207.0,207.0,199.0,7.0,207.0
PXD,2023-07-17 22:00:00+00:00,206.85,206.8761,206.85,206.8761,202.0,3.0,206.862921
PXD,2023-07-18 11:00:00+00:00,207.97,207.97,207.55,207.55,656.0,15.0,207.738003
PXD,2023-07-18 12:00:00+00:00,209.4358,209.4358,207.25,207.25,2367.0,45.0,207.51204
PXD,2023-07-18 13:00:00+00:00,207.0,211.21,207.0,211.06,139113.0,2431.0,209.522915
PXD,2023-07-18 14:00:00+00:00,210.955,211.8,210.725,211.48,153698.0,4630.0,211.25024
PXD,2023-07-18 15:00:00+00:00,211.51,212.92,211.5,212.27,190417.0,4456.0,212.374746
PXD,2023-07-18 16:00:00+00:00,212.27,212.5,211.385,212.36,164946.0,4198.0,212.016681
PXD,2023-07-18 17:00:00+00:00,212.395,212.9801,212.01,212.46,127762.0,3480.0,212.526232
PXD,2023-07-18 18:00:00+00:00,212.445,212.61,211.285,211.48,176520.0,2906.0,211.757303
PXD,2023-07-18 19:00:00+00:00,211.5,211.8,210.8,211.13,398727.0,8750.0,211.336569
PXD,2023-07-18 20:00:00+00:00,211.11,211.13,210.6588,210.6588,197722.0,43.0,211.129731
PXD,2023-07-18 22:00:00+00:00,211.13,211.13,211.0,211.0,203.0,6.0,210.998325
PXD,2023-07-19 10:00:00+00:00,211.97,211.97,211.97,211.97,102.0,1.0,211.97
PXD,2023-07-19 13:00:00+00:00,212.8,213.48,210.38,212.65,129263.0,2395.0,211.940989
