symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QS,2023-07-17 08:00:00+00:00,9.8,9.94,9.51,9.84,5292.0,49.0,9.818853
QS,2023-07-17 09:00:00+00:00,9.87,9.88,9.8,9.8,696.0,5.0,9.854914
QS,2023-07-17 10:00:00+00:00,9.81,9.81,9.76,9.76,2662.0,27.0,9.78343
QS,2023-07-17 11:00:00+00:00,9.8,9.83,9.76,9.79,6037.0,42.0,9.792916
QS,2023-07-17 12:00:00+00:00,9.79,9.8,9.75,9.78,35172.0,97.0,9.770818
QS,2023-07-17 13:00:00+00:00,9.75,10.0,9.68,9.965,626192.0,4188.0,9.846908
QS,2023-07-17 14:00:00+00:00,9.98,10.23,9.975,10.14,1715279.0,7390.0,10.131807
QS,2023-07-17 15:00:00+00:00,10.14,10.19,10.05,10.19,505444.0,4298.0,10.140346
QS,2023-07-17 16:00:00+00:00,10.185,10.328,10.13,10.3093,559946.0,4102.0,10.225481
QS,2023-07-17 17:00:00+00:00,10.31,10.47,10.29,10.46,818214.0,5642.0,10.388434
QS,2023-07-17 18:00:00+00:00,10.455,10.46,10.27,10.31,479427.0,3912.0,10.341651
QS,2023-07-17 19:00:00+00:00,10.32,10.33,10.21,10.27,901842.0,6489.0,10.272852
QS,2023-07-17 20:00:00+00:00,10.27,10.3,10.27,10.28,212808.0,41.0,10.270317
QS,2023-07-17 21:00:00+00:00,10.2815,10.3,10.27,10.3,3489.0,24.0,10.284282
QS,2023-07-17 22:00:00+00:00,10.27,10.3,10.27,10.3,1252.0,12.0,10.285432
QS,2023-07-17 23:00:00+00:00,10.3,10.3,10.22,10.28,6614.0,22.0,10.278874
QS,2023-07-18 08:00:00+00:00,10.21,10.21,10.21,10.21,345.0,3.0,10.211739
QS,2023-07-18 09:00:00+00:00,10.25,10.25,10.25,10.25,300.0,1.0,10.25
QS,2023-07-18 10:00:00+00:00,10.25,10.29,10.23,10.23,2600.0,14.0,10.251534
QS,2023-07-18 11:00:00+00:00,10.26,10.26,10.26,10.26,200.0,4.0,10.26505
QS,2023-07-18 12:00:00+00:00,10.3,10.36,10.18,10.2,22443.0,175.0,10.270653
QS,2023-07-18 13:00:00+00:00,10.27,10.84,10.23,10.825,1487426.0,8028.0,10.636991
QS,2023-07-18 14:00:00+00:00,10.83,11.05,10.57,10.59,2233461.0,13892.0,10.818944
QS,2023-07-18 15:00:00+00:00,10.59,10.6,10.34,10.405,848479.0,6566.0,10.483949
QS,2023-07-18 16:00:00+00:00,10.4011,10.46,10.27,10.375,670079.0,5283.0,10.375153
QS,2023-07-18 17:00:00+00:00,10.37,10.455,10.37,10.4,348571.0,3442.0,10.416155
QS,2023-07-18 18:00:00+00:00,10.405,10.57,10.4,10.54,600794.0,4914.0,10.509992
QS,2023-07-18 19:00:00+00:00,10.55,10.6,10.515,10.56,1112146.0,8183.0,10.568605
QS,2023-07-18 20:00:00+00:00,10.56,10.59,10.56,10.59,288921.0,45.0,10.560684
QS,2023-07-18 21:00:00+00:00,10.58,10.59,10.55,10.55,5316.0,30.0,10.577883
QS,2023-07-18 22:00:00+00:00,10.561,10.59,10.56,10.59,828.0,6.0,10.564155
QS,2023-07-18 23:00:00+00:00,10.56,10.6,10.56,10.59,2204.0,13.0,10.590921
QS,2023-07-19 08:00:00+00:00,10.56,10.56,10.55,10.55,1879.0,25.0,10.559189
QS,2023-07-19 09:00:00+00:00,10.56,10.56,10.56,10.56,241.0,4.0,10.559668
QS,2023-07-19 10:00:00+00:00,10.52,10.57,10.52,10.57,300.0,3.0,10.553333
QS,2023-07-19 11:00:00+00:00,10.7,10.7,10.45,10.56,9388.0,122.0,10.529743
QS,2023-07-19 12:00:00+00:00,10.7,10.7,10.46,10.55,9319.0,72.0,10.550916
QS,2023-07-19 13:00:00+00:00,10.5,10.58,10.3,10.4,1005739.0,6339.0,10.442293
QS,2023-07-19 14:00:00+00:00,10.405,10.61,10.3725,10.54,926574.0,7308.0,10.476389
QS,2023-07-19 15:00:00+00:00,10.545,10.5766,10.39,10.3977,705548.0,6054.0,10.48232
QS,2023-07-19 16:00:00+00:00,10.395,10.475,10.18,10.28,848500.0,6165.0,10.31291
QS,2023-07-19 17:00:00+00:00,10.275,10.31,10.15,10.16,493976.0,4088.0,10.230477
