symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RBLX,2023-07-17 08:00:00+00:00,42.8,42.8,42.8,42.8,300.0,16.0,42.8423
RBLX,2023-07-17 09:00:00+00:00,43.4,43.4,43.24,43.24,1196.0,22.0,43.358888
RBLX,2023-07-17 10:00:00+00:00,43.2,43.2,43.1,43.2,2081.0,34.0,43.171648
RBLX,2023-07-17 11:00:00+00:00,43.08,43.3,43.08,43.2,4938.0,36.0,43.217744
RBLX,2023-07-17 12:00:00+00:00,43.23,43.38,42.84,43.06,14851.0,214.0,43.072827
RBLX,2023-07-17 13:00:00+00:00,43.07,43.7199,41.82,43.3582,1176295.0,11545.0,42.964214
RBLX,2023-07-17 14:00:00+00:00,43.36,43.65,43.0799,43.36,1157543.0,14053.0,43.3561
RBLX,2023-07-17 15:00:00+00:00,43.36,43.81,43.31,43.7901,730043.0,7778.0,43.603041
RBLX,2023-07-17 16:00:00+00:00,43.8,43.8991,43.551,43.895,488141.0,5715.0,43.734227
RBLX,2023-07-17 17:00:00+00:00,43.89,44.27,43.85,44.262,632444.0,7245.0,44.011899
RBLX,2023-07-17 18:00:00+00:00,44.27,44.35,44.085,44.28,551158.0,5980.0,44.231714
RBLX,2023-07-17 19:00:00+00:00,44.29,44.59,44.29,44.488,1614096.0,15729.0,44.450384
RBLX,2023-07-17 20:00:00+00:00,44.42,44.5,44.35,44.36,470011.0,275.0,44.458752
RBLX,2023-07-17 21:00:00+00:00,44.32,44.46,44.32,44.38,20303.0,132.0,44.345478
RBLX,2023-07-17 22:00:00+00:00,44.42,44.46,44.36,44.37,4568.0,49.0,44.395219
RBLX,2023-07-17 23:00:00+00:00,44.46,44.46,44.32,44.38,6160.0,59.0,44.371216
RBLX,2023-07-18 08:00:00+00:00,44.45,44.53,44.31,44.53,2580.0,25.0,44.404431
RBLX,2023-07-18 09:00:00+00:00,44.59,44.96,44.56,44.78,11029.0,94.0,44.806424
RBLX,2023-07-18 10:00:00+00:00,44.9,45.09,44.85,44.96,20131.0,180.0,44.940339
RBLX,2023-07-18 11:00:00+00:00,45.01,45.45,44.96,45.28,33494.0,492.0,45.235621
RBLX,2023-07-18 12:00:00+00:00,44.99,45.45,44.45,44.99,61002.0,736.0,45.176562
RBLX,2023-07-18 13:00:00+00:00,44.97,45.74,44.01,44.72,2871844.0,25619.0,44.888021
RBLX,2023-07-18 14:00:00+00:00,44.73,45.18,44.465,44.93,1976172.0,20432.0,44.856443
RBLX,2023-07-18 15:00:00+00:00,44.94,45.39,44.73,44.88,1015641.0,9609.0,45.013353
RBLX,2023-07-18 16:00:00+00:00,44.89,45.37,44.8801,45.06,892412.0,9327.0,45.07671
RBLX,2023-07-18 17:00:00+00:00,45.07,45.3,44.8,45.26,663369.0,8093.0,45.095922
RBLX,2023-07-18 18:00:00+00:00,45.265,45.55,45.2,45.5408,846942.0,9082.0,45.396785
RBLX,2023-07-18 19:00:00+00:00,45.545,45.81,45.4,45.56,1597042.0,18549.0,45.612301
RBLX,2023-07-18 20:00:00+00:00,45.54,45.56,45.47,45.48,322441.0,145.0,45.538736
RBLX,2023-07-18 21:00:00+00:00,45.51,45.52,45.41,45.42,14884.0,60.0,45.4568
RBLX,2023-07-18 22:00:00+00:00,45.4,45.5,45.39,45.49,7618.0,30.0,45.44648
RBLX,2023-07-18 23:00:00+00:00,45.5,45.69,45.49,45.69,3836.0,37.0,45.516115
RBLX,2023-07-19 08:00:00+00:00,45.52,45.52,45.45,45.46,3162.0,36.0,45.46648
RBLX,2023-07-19 09:00:00+00:00,45.45,45.46,45.45,45.46,1639.0,20.0,45.459365
RBLX,2023-07-19 10:00:00+00:00,45.62,45.62,45.54,45.62,1690.0,24.0,45.595645
RBLX,2023-07-19 11:00:00+00:00,45.69,45.85,45.61,45.8,14562.0,126.0,45.720525
RBLX,2023-07-19 12:00:00+00:00,45.68,45.94,45.0,45.94,48379.0,485.0,45.743027
RBLX,2023-07-19 13:00:00+00:00,45.94,46.14,45.41,45.62,1258834.0,12648.0,45.8209
RBLX,2023-07-19 14:00:00+00:00,45.61,46.25,45.52,45.7385,1771319.0,20209.0,45.938049
RBLX,2023-07-19 15:00:00+00:00,45.735,45.975,45.6,45.613,1076410.0,11460.0,45.821611
RBLX,2023-07-19 16:00:00+00:00,45.6299,45.65,44.53,44.76,1368243.0,13971.0,45.008507
RBLX,2023-07-19 17:00:00+00:00,44.769,44.8,44.395,44.61,932801.0,8497.0,44.557462
RBLX,2023-07-19 18:00:00+00:00,44.62,44.65,44.39,44.645,613517.0,7073.0,44.54054
RBLX,2023-07-19 19:00:00+00:00,44.6478,44.99,44.6478,44.86,1460595.0,14332.0,44.882827
RBLX,2023-07-19 20:00:00+00:00,44.83,44.86,44.0,44.71,352934.0,336.0,44.833541
RBLX,2023-07-19 21:00:00+00:00,44.71,44.86,44.63,44.63,9371.0,54.0,44.801995
RBLX,2023-07-19 22:00:00+00:00,44.6,44.86,44.01,44.1,34616.0,146.0,44.196937
RBLX,2023-07-19 23:00:00+00:00,44.86,44.86,42.95,44.0,82045.0,370.0,43.410654
RBLX,2023-07-20 08:00:00+00:00,44.15,44.15,44.15,44.15,451.0,12.0,44.16643
RBLX,2023-07-20 09:00:00+00:00,44.0,44.0,43.99,44.0,1354.0,22.0,43.997408
RBLX,2023-07-20 10:00:00+00:00,44.12,44.15,44.12,44.15,554.0,8.0,44.128358
RBLX,2023-07-20 11:00:00+00:00,44.15,44.16,44.11,44.15,9386.0,23.0,44.124222
