symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RCI,2023-07-17 13:00:00+00:00,44.68,44.77,44.54,44.76,14870.0,210.0,44.668074
RCI,2023-07-17 14:00:00+00:00,44.715,44.7399,44.6,44.68,19401.0,293.0,44.666855
RCI,2023-07-17 15:00:00+00:00,44.69,44.7,44.45,44.53,23974.0,465.0,44.543868
RCI,2023-07-17 16:00:00+00:00,44.54,44.56,44.35,44.36,20238.0,433.0,44.467908
RCI,2023-07-17 17:00:00+00:00,44.35,44.37,44.11,44.11,18698.0,354.0,44.288223
RCI,2023-07-17 18:00:00+00:00,44.115,44.16,43.95,44.01,22048.0,411.0,44.049395
RCI,2023-07-17 19:00:00+00:00,44.0,44.12,43.89,43.94,93931.0,1343.0,43.999448
RCI,2023-07-17 20:00:00+00:00,43.94,43.94,43.94,43.94,25538.0,4.0,43.94
RCI,2023-07-18 13:00:00+00:00,43.96,44.36,43.6281,44.24,54118.0,731.0,43.94831
RCI,2023-07-18 14:00:00+00:00,44.24,44.62,44.21,44.61,51596.0,776.0,44.450871
RCI,2023-07-18 15:00:00+00:00,44.64,44.64,44.56,44.61,28034.0,402.0,44.60088
RCI,2023-07-18 16:00:00+00:00,44.62,44.63,44.51,44.59,39432.0,569.0,44.58273
RCI,2023-07-18 17:00:00+00:00,44.56,44.61,44.47,44.6,16879.0,287.0,44.55422
RCI,2023-07-18 18:00:00+00:00,44.59,44.78,44.55,44.74,46333.0,574.0,44.710002
RCI,2023-07-18 19:00:00+00:00,44.74,44.87,44.69,44.83,72559.0,1142.0,44.796123
RCI,2023-07-18 20:00:00+00:00,44.83,44.83,44.83,44.83,25853.0,5.0,44.83
RCI,2023-07-19 13:00:00+00:00,45.13,45.5,45.085,45.39,27636.0,364.0,45.335706
RCI,2023-07-19 14:00:00+00:00,45.39,45.44,45.12,45.16,34689.0,497.0,45.254227
RCI,2023-07-19 15:00:00+00:00,45.18,45.36,45.16,45.25,46641.0,635.0,45.256101
RCI,2023-07-19 16:00:00+00:00,45.25,45.27,45.14,45.26,45769.0,575.0,45.195293
RCI,2023-07-19 17:00:00+00:00,45.26,45.34,45.22,45.28,44136.0,588.0,45.285898
RCI,2023-07-19 18:00:00+00:00,45.295,45.295,45.0,45.01,30460.0,564.0,45.11328
RCI,2023-07-19 19:00:00+00:00,45.01,45.11,44.98,45.02,81213.0,1113.0,45.061425
RCI,2023-07-19 20:00:00+00:00,45.02,45.02,45.02,45.02,28865.0,11.0,45.02
RCI,2023-07-20 13:00:00+00:00,44.91,45.02,44.77,44.77,12922.0,231.0,44.845852
RCI,2023-07-20 14:00:00+00:00,44.79,44.79,44.64,44.7,18564.0,304.0,44.70843
RCI,2023-07-20 15:00:00+00:00,44.7,44.7,44.57,44.58,11585.0,155.0,44.633027
RCI,2023-07-20 16:00:00+00:00,44.6,44.61,44.14,44.31,37486.0,540.0,44.291196
RCI,2023-07-20 17:00:00+00:00,44.31,44.57,44.29,44.44,35379.0,419.0,44.443377
RCI,2023-07-20 18:00:00+00:00,44.46,44.59,44.32,44.55,34211.0,572.0,44.504839
RCI,2023-07-20 19:00:00+00:00,44.52,44.82,44.52,44.77,89440.0,1426.0,44.747137
RCI,2023-07-20 20:00:00+00:00,44.77,44.77,44.77,44.77,20618.0,8.0,44.769999
RCI,2023-07-21 13:00:00+00:00,44.73,44.89,44.7,44.7,11263.0,167.0,44.788747
RCI,2023-07-21 14:00:00+00:00,44.69,44.86,44.68,44.74,29016.0,458.0,44.75903
RCI,2023-07-21 15:00:00+00:00,44.73,44.75,44.605,44.64,21774.0,328.0,44.692229
RCI,2023-07-21 16:00:00+00:00,44.66,44.67,44.58,44.63,24140.0,327.0,44.628272
RCI,2023-07-21 17:00:00+00:00,44.62,44.66,44.58,44.62,22063.0,355.0,44.629571
RCI,2023-07-21 18:00:00+00:00,44.63,44.89,44.63,44.87,36295.0,537.0,44.777925
RCI,2023-07-21 19:00:00+00:00,44.87,44.885,44.79,44.83,99565.0,1441.0,44.828455
RCI,2023-07-21 20:00:00+00:00,44.8,44.8,44.8,44.8,20634.0,6.0,44.8
