symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RGA,2023-07-17 13:00:00+00:00,139.52,141.76,139.52,141.05,10114.0,226.0,140.870285
RGA,2023-07-17 14:00:00+00:00,141.02,141.34,140.73,141.205,40904.0,907.0,140.97984
RGA,2023-07-17 15:00:00+00:00,141.15,141.77,141.15,141.62,16244.0,677.0,141.403606
RGA,2023-07-17 16:00:00+00:00,141.66,142.83,141.66,142.38,28489.0,1023.0,142.431875
RGA,2023-07-17 17:00:00+00:00,142.405,142.47,142.0531,142.19,20593.0,814.0,142.271624
RGA,2023-07-17 18:00:00+00:00,142.32,143.1175,142.105,143.005,45604.0,1264.0,142.570034
RGA,2023-07-17 19:00:00+00:00,143.005,143.23,142.16,142.43,116013.0,3371.0,142.586011
RGA,2023-07-17 20:00:00+00:00,142.43,142.43,142.43,142.43,47315.0,6.0,142.43
RGA,2023-07-18 13:00:00+00:00,142.26,143.55,140.21,143.33,14404.0,121.0,141.851236
RGA,2023-07-18 14:00:00+00:00,143.79,143.86,142.95,143.26,27788.0,703.0,143.256033
RGA,2023-07-18 15:00:00+00:00,143.31,144.2,143.03,143.14,31897.0,814.0,143.539225
RGA,2023-07-18 16:00:00+00:00,143.0,144.17,143.0,144.17,16544.0,505.0,143.617543
RGA,2023-07-18 17:00:00+00:00,144.16,144.16,143.15,143.26,10497.0,358.0,143.457623
RGA,2023-07-18 18:00:00+00:00,143.24,143.7,143.145,143.23,21979.0,758.0,143.499263
RGA,2023-07-18 19:00:00+00:00,143.27,143.27,142.34,142.61,91352.0,2872.0,142.554637
RGA,2023-07-18 20:00:00+00:00,142.62,142.62,142.62,142.62,57780.0,17.0,142.62
RGA,2023-07-19 13:00:00+00:00,142.52,142.92,142.13,142.655,7874.0,128.0,142.519901
RGA,2023-07-19 14:00:00+00:00,143.05,143.14,141.84,141.84,17115.0,618.0,142.61038
RGA,2023-07-19 15:00:00+00:00,141.85,142.84,141.11,142.73,40080.0,1228.0,142.160404
RGA,2023-07-19 16:00:00+00:00,142.92,143.06,142.59,143.06,29760.0,760.0,142.869598
RGA,2023-07-19 17:00:00+00:00,142.925,143.06,142.24,142.405,20935.0,662.0,142.698273
RGA,2023-07-19 18:00:00+00:00,142.405,142.45,142.06,142.19,21368.0,814.0,142.279319
RGA,2023-07-19 19:00:00+00:00,142.2,142.44,141.92,142.35,91249.0,2914.0,142.216143
RGA,2023-07-19 20:00:00+00:00,142.37,142.37,142.37,142.37,90309.0,12.0,142.37
RGA,2023-07-20 13:00:00+00:00,143.83,144.77,142.62,144.454,23810.0,401.0,144.216203
RGA,2023-07-20 14:00:00+00:00,144.462,144.67,143.235,143.235,23953.0,902.0,143.961754
RGA,2023-07-20 15:00:00+00:00,143.12,143.63,142.95,143.63,11765.0,612.0,143.276189
RGA,2023-07-20 16:00:00+00:00,143.68,144.22,143.49,143.49,22768.0,654.0,143.819408
RGA,2023-07-20 17:00:00+00:00,143.41,143.87,143.365,143.87,10347.0,393.0,143.622686
RGA,2023-07-20 18:00:00+00:00,144.0,144.45,143.72,144.34,30003.0,1004.0,144.109172
RGA,2023-07-20 19:00:00+00:00,144.375,145.14,144.24,144.94,92496.0,2904.0,144.828965
RGA,2023-07-20 20:00:00+00:00,145.0,145.0,145.0,145.0,35826.0,18.0,145.0
RGA,2023-07-21 13:00:00+00:00,145.37,145.98,143.68,144.82,17210.0,260.0,144.72614
RGA,2023-07-21 14:00:00+00:00,144.585,145.4975,144.08,144.45,40051.0,1114.0,144.787104
RGA,2023-07-21 15:00:00+00:00,144.2,144.98,144.2,144.75,32977.0,881.0,144.536434
RGA,2023-07-21 16:00:00+00:00,144.645,144.73,143.65,143.79,23894.0,848.0,144.122483
RGA,2023-07-21 17:00:00+00:00,143.79,144.0925,143.34,143.425,26918.0,876.0,143.786929
RGA,2023-07-21 18:00:00+00:00,143.4,143.99,143.33,143.735,30827.0,967.0,143.74055
RGA,2023-07-21 19:00:00+00:00,143.78,144.08,143.59,143.98,104613.0,2429.0,143.912931
RGA,2023-07-21 20:00:00+00:00,143.98,143.98,143.98,143.98,50595.0,21.0,143.98
RGA,2023-07-24 13:00:00+00:00,143.67,144.66,143.52,143.65,15657.0,311.0,143.941849
RGA,2023-07-24 14:00:00+00:00,143.631,143.695,142.73,142.8,32593.0,884.0,143.26921
RGA,2023-07-24 15:00:00+00:00,142.8415,143.685,142.33,143.5,35516.0,1157.0,143.036244
RGA,2023-07-24 16:00:00+00:00,143.505,144.115,143.385,143.665,35645.0,1111.0,143.712225
RGA,2023-07-24 17:00:00+00:00,143.56,143.56,142.9,143.0,15551.0,522.0,143.237486
RGA,2023-07-24 18:00:00+00:00,143.02,143.82,142.95,143.2,32102.0,854.0,143.473103
RGA,2023-07-24 19:00:00+00:00,143.07,143.54,142.92,143.3,84979.0,2538.0,143.214417
RGA,2023-07-24 20:00:00+00:00,143.24,143.24,143.24,143.24,57979.0,22.0,143.239997
RGA,2023-07-25 13:00:00+00:00,142.99,143.74,142.25,142.44,5930.0,211.0,142.918497
RGA,2023-07-25 14:00:00+00:00,142.245,143.13,142.05,143.015,24321.0,951.0,142.638663
RGA,2023-07-25 15:00:00+00:00,142.98,143.345,142.715,142.74,19930.0,717.0,142.987526
RGA,2023-07-25 16:00:00+00:00,142.74,143.29,142.58,143.09,19329.0,693.0,142.875579
RGA,2023-07-25 17:00:00+00:00,143.07,143.105,142.7721,142.97,17913.0,653.0,142.973861
RGA,2023-07-25 18:00:00+00:00,142.9,143.11,142.45,142.575,24950.0,964.0,142.89569
RGA,2023-07-25 19:00:00+00:00,142.67,142.835,142.46,142.56,58176.0,2192.0,142.66653
RGA,2023-07-25 20:00:00+00:00,142.62,142.62,142.62,142.62,34657.0,15.0,142.619997
RGA,2023-07-26 13:00:00+00:00,142.64,144.45,142.64,143.855,16664.0,281.0,143.706256
RGA,2023-07-26 14:00:00+00:00,143.78,143.86,143.085,143.32,27527.0,840.0,143.547333
RGA,2023-07-26 15:00:00+00:00,143.34,143.44,142.68,142.71,16810.0,645.0,143.08545
RGA,2023-07-26 16:00:00+00:00,142.79,142.97,142.73,142.86,29811.0,823.0,142.857028
RGA,2023-07-26 17:00:00+00:00,142.775,142.99,142.63,142.76,23083.0,686.0,142.814193
RGA,2023-07-26 18:00:00+00:00,142.84,142.84,142.08,142.34,56275.0,1927.0,142.365919
RGA,2023-07-26 19:00:00+00:00,142.32,142.4,141.57,142.06,111008.0,2982.0,141.992499
RGA,2023-07-26 20:00:00+00:00,142.07,142.13,142.07,142.13,48008.0,25.0,142.129747
RGA,2023-07-27 13:00:00+00:00,142.43,142.43,140.7,140.99,18323.0,400.0,141.538439
RGA,2023-07-27 14:00:00+00:00,141.075,141.61,140.77,141.015,49954.0,1427.0,141.166653
RGA,2023-07-27 15:00:00+00:00,140.95,142.16,140.57,140.94,203291.0,2108.0,140.884732
