symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RKLB,2023-07-17 08:00:00+00:00,6.42,6.49,6.42,6.49,644.0,2.0,6.468261
RKLB,2023-07-17 09:00:00+00:00,6.48,6.48,6.44,6.44,2106.0,17.0,6.452483
RKLB,2023-07-17 10:00:00+00:00,6.45,6.45,6.45,6.45,206.0,3.0,6.45
RKLB,2023-07-17 11:00:00+00:00,6.44,6.44,6.35,6.42,1401.0,28.0,6.399379
RKLB,2023-07-17 12:00:00+00:00,6.45,6.45,6.33,6.4,17834.0,66.0,6.402136
RKLB,2023-07-17 13:00:00+00:00,6.4286,6.5199,6.2015,6.5199,569820.0,3388.0,6.363262
RKLB,2023-07-17 14:00:00+00:00,6.52,6.7002,6.4906,6.6563,619560.0,4778.0,6.62523
RKLB,2023-07-17 15:00:00+00:00,6.655,6.765,6.63,6.745,554760.0,3817.0,6.710643
RKLB,2023-07-17 16:00:00+00:00,6.745,6.84,6.745,6.805,572000.0,3319.0,6.77937
RKLB,2023-07-17 17:00:00+00:00,6.81,6.925,6.77,6.907,650259.0,4094.0,6.851841
RKLB,2023-07-17 18:00:00+00:00,6.905,6.91,6.845,6.875,596525.0,3631.0,6.873476
RKLB,2023-07-17 19:00:00+00:00,6.88,6.935,6.85,6.885,1073278.0,6213.0,6.883169
RKLB,2023-07-17 20:00:00+00:00,6.89,6.9399,6.88,6.9,238248.0,80.0,6.891276
RKLB,2023-07-17 21:00:00+00:00,6.92,6.99,6.91,6.9618,20149.0,58.0,6.959943
RKLB,2023-07-17 22:00:00+00:00,6.96,6.98,6.88,6.9,12471.0,33.0,6.95955
RKLB,2023-07-17 23:00:00+00:00,6.88,6.97,6.88,6.96,6813.0,17.0,6.895251
RKLB,2023-07-18 08:00:00+00:00,6.95,7.06,6.89,6.89,8273.0,56.0,6.990174
RKLB,2023-07-18 09:00:00+00:00,6.89,6.89,6.89,6.89,790.0,2.0,6.89
RKLB,2023-07-18 10:00:00+00:00,6.89,6.89,6.89,6.89,352.0,4.0,6.89
RKLB,2023-07-18 11:00:00+00:00,6.93,7.0,6.92,6.95,8235.0,52.0,6.971131
RKLB,2023-07-18 12:00:00+00:00,6.96,7.05,6.87,7.0,84300.0,355.0,6.997079
RKLB,2023-07-18 13:00:00+00:00,7.04,7.29,7.0,7.2692,1843294.0,8553.0,7.128736
RKLB,2023-07-18 14:00:00+00:00,7.2653,7.505,7.24,7.48,2013547.0,11788.0,7.397891
RKLB,2023-07-18 15:00:00+00:00,7.48,7.56,7.325,7.445,1742685.0,9782.0,7.4764
RKLB,2023-07-18 16:00:00+00:00,7.45,7.57,7.42,7.5697,900862.0,6285.0,7.498177
RKLB,2023-07-18 17:00:00+00:00,7.565,7.615,7.51,7.58,979406.0,6190.0,7.564202
RKLB,2023-07-18 18:00:00+00:00,7.58,7.74,7.58,7.72,1493947.0,8736.0,7.670608
RKLB,2023-07-18 19:00:00+00:00,7.715,7.8699,7.705,7.8201,3613604.0,18362.0,7.81031
RKLB,2023-07-18 20:00:00+00:00,7.83,7.9,7.83,7.85,485413.0,279.0,7.832036
RKLB,2023-07-18 21:00:00+00:00,7.8401,7.86,7.84,7.8598,22386.0,97.0,7.846756
RKLB,2023-07-18 22:00:00+00:00,7.86,7.88,7.84,7.88,8009.0,72.0,7.866439
RKLB,2023-07-18 23:00:00+00:00,7.85,7.88,7.79,7.87,16959.0,125.0,7.846841
RKLB,2023-07-19 08:00:00+00:00,7.89,7.89,7.85,7.86,2101.0,14.0,7.864893
RKLB,2023-07-19 09:00:00+00:00,7.86,7.89,7.86,7.89,500.0,5.0,7.885
RKLB,2023-07-19 10:00:00+00:00,7.9,7.94,7.9,7.94,5300.0,43.0,7.91836
RKLB,2023-07-19 11:00:00+00:00,7.91,7.94,7.86,7.87,11598.0,113.0,7.899023
RKLB,2023-07-19 12:00:00+00:00,7.94,7.95,7.83,7.8692,91125.0,391.0,7.887828
RKLB,2023-07-19 13:00:00+00:00,7.87,8.0,7.75,7.93,2139814.0,10021.0,7.902155
RKLB,2023-07-19 14:00:00+00:00,7.9299,8.05,7.81,7.9569,1952995.0,10535.0,7.973665
RKLB,2023-07-19 15:00:00+00:00,7.96,8.0,7.78,7.81,1322005.0,7874.0,7.912393
RKLB,2023-07-19 16:00:00+00:00,7.8122,7.84,7.61,7.76,1365776.0,8875.0,7.719484
RKLB,2023-07-19 17:00:00+00:00,7.76,7.85,7.755,7.85,703664.0,5816.0,7.801067
RKLB,2023-07-19 18:00:00+00:00,7.85,7.94,7.82,7.94,896222.0,6629.0,7.885399
RKLB,2023-07-19 19:00:00+00:00,7.935,7.97,7.9,7.93,1378329.0,9284.0,7.929911
RKLB,2023-07-19 20:00:00+00:00,7.93,7.94,7.91,7.92,683391.0,86.0,7.930012
RKLB,2023-07-19 21:00:00+00:00,7.9,7.9508,7.9,7.9508,961.0,11.0,7.919601
RKLB,2023-07-19 22:00:00+00:00,7.82,7.86,7.82,7.85,8295.0,28.0,7.841475
RKLB,2023-07-19 23:00:00+00:00,7.84,7.84,7.78,7.78,19416.0,77.0,7.806381
RKLB,2023-07-20 08:00:00+00:00,7.78,7.78,7.63,7.67,5746.0,51.0,7.714678
RKLB,2023-07-20 09:00:00+00:00,7.68,7.73,7.68,7.73,1434.0,14.0,7.701311
RKLB,2023-07-20 10:00:00+00:00,7.7,7.82,7.7,7.82,1135.0,12.0,7.766907
RKLB,2023-07-20 11:00:00+00:00,7.84,7.9,7.8,7.89,7821.0,64.0,7.839627
RKLB,2023-07-20 12:00:00+00:00,7.7902,7.9,7.75,7.9,44164.0,100.0,7.853407
RKLB,2023-07-20 13:00:00+00:00,7.87,8.03,7.75,7.9452,1190795.0,5656.0,7.936267
RKLB,2023-07-20 14:00:00+00:00,7.95,7.965,7.56,7.7473,1414381.0,8250.0,7.73448
RKLB,2023-07-20 15:00:00+00:00,7.75,7.98,7.72,7.91,986146.0,6279.0,7.85627
RKLB,2023-07-20 16:00:00+00:00,7.91,7.95,7.76,7.8027,619200.0,4084.0,7.849843
RKLB,2023-07-20 17:00:00+00:00,7.81,7.865,7.8043,7.8265,465962.0,2897.0,7.833482
RKLB,2023-07-20 18:00:00+00:00,7.82,7.845,7.75,7.78,501011.0,3808.0,7.791515
RKLB,2023-07-20 19:00:00+00:00,7.775,7.82,7.75,7.8195,697200.0,5397.0,7.79329
RKLB,2023-07-20 20:00:00+00:00,7.81,7.95,7.76,7.8397,268655.0,116.0,7.813175
RKLB,2023-07-20 21:00:00+00:00,7.81,7.81,7.77,7.78,2996.0,21.0,7.779936
RKLB,2023-07-20 22:00:00+00:00,7.8,7.82,7.8,7.81,705.0,3.0,7.808298
RKLB,2023-07-20 23:00:00+00:00,7.82,7.83,7.75,7.76,6629.0,25.0,7.80233
RKLB,2023-07-21 08:00:00+00:00,7.81,7.81,7.81,7.81,289.0,3.0,7.81
RKLB,2023-07-21 11:00:00+00:00,7.83,7.89,7.83,7.89,1654.0,10.0,7.848561
RKLB,2023-07-21 12:00:00+00:00,7.87,7.96,7.7808,7.9,24046.0,89.0,7.88859
RKLB,2023-07-21 13:00:00+00:00,7.92,7.93,7.48,7.5008,1009843.0,5470.0,7.724675
RKLB,2023-07-21 14:00:00+00:00,7.505,7.665,7.36,7.5,1286373.0,9439.0,7.504528
RKLB,2023-07-21 15:00:00+00:00,7.5,7.67,7.5,7.5901,644577.0,5421.0,7.631791
RKLB,2023-07-21 16:00:00+00:00,7.5901,7.63,7.56,7.608,437592.0,4279.0,7.595892
RKLB,2023-07-21 17:00:00+00:00,7.61,7.69,7.6027,7.65,491299.0,4544.0,7.659478
RKLB,2023-07-21 18:00:00+00:00,7.65,7.67,7.57,7.615,660632.0,5271.0,7.62845
RKLB,2023-07-21 19:00:00+00:00,7.615,7.62,7.47,7.5,1334153.0,10253.0,7.518162
RKLB,2023-07-21 20:00:00+00:00,7.5,7.5,7.49,7.5,319892.0,24.0,7.499991
RKLB,2023-07-21 21:00:00+00:00,7.4999,7.5,7.42,7.4998,4743.0,32.0,7.466413
RKLB,2023-07-21 22:00:00+00:00,7.5,7.51,7.4318,7.5085,3836.0,22.0,7.501988
RKLB,2023-07-21 23:00:00+00:00,7.49,7.51,7.49,7.51,1064.0,8.0,7.501222
RKLB,2023-07-24 09:00:00+00:00,7.52,7.52,7.52,7.52,461.0,7.0,7.520087
RKLB,2023-07-24 11:00:00+00:00,7.5,7.5,7.49,7.49,926.0,25.0,7.495745
RKLB,2023-07-24 12:00:00+00:00,7.52,7.55,7.46,7.47,7498.0,62.0,7.48051
RKLB,2023-07-24 13:00:00+00:00,7.47,7.5,7.27,7.285,723206.0,4195.0,7.413338
RKLB,2023-07-24 14:00:00+00:00,7.29,7.425,7.29,7.37,603819.0,4487.0,7.375859
RKLB,2023-07-24 15:00:00+00:00,7.37,7.405,7.31,7.355,468425.0,3363.0,7.352717
RKLB,2023-07-24 16:00:00+00:00,7.3599,7.4,7.351,7.3882,296188.0,2819.0,7.377289
RKLB,2023-07-24 17:00:00+00:00,7.3867,7.42,7.37,7.395,352789.0,3125.0,7.396431
RKLB,2023-07-24 18:00:00+00:00,7.395,7.485,7.395,7.445,564426.0,4254.0,7.441382
RKLB,2023-07-24 19:00:00+00:00,7.445,7.46,7.38,7.395,850251.0,6451.0,7.424623
RKLB,2023-07-24 20:00:00+00:00,7.39,7.5,7.39,7.42,280406.0,52.0,7.391004
RKLB,2023-07-24 21:00:00+00:00,7.4193,7.48,7.4,7.4,40720.0,39.0,7.405805
RKLB,2023-07-24 22:00:00+00:00,7.4,7.48,7.4,7.43,2468.0,13.0,7.46452
RKLB,2023-07-24 23:00:00+00:00,7.46,7.4782,7.43,7.47,949.0,9.0,7.461012
RKLB,2023-07-25 08:00:00+00:00,7.48,7.48,7.46,7.47,1823.0,18.0,7.469419
RKLB,2023-07-25 09:00:00+00:00,7.48,7.49,7.48,7.49,410.0,5.0,7.487561
RKLB,2023-07-25 11:00:00+00:00,7.47,7.5,7.47,7.5,4403.0,33.0,7.476675
RKLB,2023-07-25 12:00:00+00:00,7.4719,7.52,7.45,7.52,17927.0,146.0,7.500208
RKLB,2023-07-25 13:00:00+00:00,7.52,7.7,7.48,7.625,1046750.0,5424.0,7.603053
RKLB,2023-07-25 14:00:00+00:00,7.635,7.7899,7.635,7.7218,1131504.0,6743.0,7.725772
RKLB,2023-07-25 15:00:00+00:00,7.72,7.785,7.6,7.62,653574.0,3684.0,7.703026
RKLB,2023-07-25 16:00:00+00:00,7.62,7.66,7.59,7.655,317700.0,2431.0,7.619896
RKLB,2023-07-25 17:00:00+00:00,7.655,7.695,7.61,7.665,291587.0,2493.0,7.659749
RKLB,2023-07-25 18:00:00+00:00,7.665,7.71,7.59,7.6,408677.0,3033.0,7.656624
RKLB,2023-07-25 19:00:00+00:00,7.6,7.63,7.56,7.62,621408.0,5061.0,7.599875
RKLB,2023-07-25 20:00:00+00:00,7.62,7.68,7.62,7.65,1328867.0,43.0,7.620202
RKLB,2023-07-25 21:00:00+00:00,7.65,7.68,7.6495,7.68,3543.0,10.0,7.665425
RKLB,2023-07-25 22:00:00+00:00,7.68,7.71,7.63,7.71,2795.0,12.0,7.667224
RKLB,2023-07-25 23:00:00+00:00,7.7,7.7,7.69,7.69,1561.0,6.0,7.6964
RKLB,2023-07-26 10:00:00+00:00,7.81,7.81,7.7,7.78,697.0,7.0,7.756628
RKLB,2023-07-26 11:00:00+00:00,7.7,7.7,7.69,7.69,641.0,10.0,7.693635
RKLB,2023-07-26 12:00:00+00:00,7.7,7.8592,7.62,7.7,19003.0,91.0,7.664242
RKLB,2023-07-26 13:00:00+00:00,7.6961,7.7,7.08,7.255,1666262.0,8502.0,7.294051
RKLB,2023-07-26 14:00:00+00:00,7.26,7.275,7.0108,7.02,1383780.0,9058.0,7.117605
RKLB,2023-07-26 15:00:00+00:00,7.015,7.1,6.98,7.0767,973937.0,6082.0,7.025653
RKLB,2023-07-26 16:00:00+00:00,7.075,7.09,7.015,7.065,557385.0,3936.0,7.041642
RKLB,2023-07-26 17:00:00+00:00,7.065,7.09,7.05,7.05,314655.0,3431.0,7.068959
RKLB,2023-07-26 18:00:00+00:00,7.0574,7.24,7.04,7.145,749363.0,5260.0,7.129769
RKLB,2023-07-26 19:00:00+00:00,7.145,7.1698,7.07,7.13,997475.0,7560.0,7.125027
RKLB,2023-07-26 20:00:00+00:00,7.14,7.1584,7.1,7.11,394984.0,90.0,7.139535
RKLB,2023-07-26 21:00:00+00:00,7.11,7.12,7.1092,7.12,4918.0,29.0,7.113777
RKLB,2023-07-26 22:00:00+00:00,7.11,7.15,7.1,7.11,3620.0,36.0,7.111483
RKLB,2023-07-26 23:00:00+00:00,7.13,7.16,7.13,7.1599,4345.0,27.0,7.15224
RKLB,2023-07-27 08:00:00+00:00,7.16,7.29,7.16,7.24,1081.0,13.0,7.206938
RKLB,2023-07-27 09:00:00+00:00,7.24,7.27,7.24,7.25,2797.0,14.0,7.245502
RKLB,2023-07-27 10:00:00+00:00,7.25,7.26,7.25,7.26,1689.0,15.0,7.251865
RKLB,2023-07-27 11:00:00+00:00,7.27,7.27,7.23,7.24,2777.0,27.0,7.248524
RKLB,2023-07-27 12:00:00+00:00,7.27,7.27,7.18,7.26,24949.0,107.0,7.230805
RKLB,2023-07-27 13:00:00+00:00,7.27,7.3,6.995,7.03,849505.0,4845.0,7.126727
RKLB,2023-07-27 14:00:00+00:00,7.025,7.07,6.78,6.905,1876346.0,9834.0,6.888211
RKLB,2023-07-27 15:00:00+00:00,6.91,6.99,6.87,6.9483,534664.0,4021.0,6.921724
RKLB,2023-07-27 16:00:00+00:00,6.95,6.98,6.93,6.9301,264578.0,2780.0,6.95281
RKLB,2023-07-27 17:00:00+00:00,6.935,6.935,6.8,6.815,517590.0,3436.0,6.854052
RKLB,2023-07-27 18:00:00+00:00,6.815,6.82,6.71,6.75,763518.0,5258.0,6.761368
RKLB,2023-07-27 19:00:00+00:00,6.74,6.765,6.71,6.74,1016653.0,7338.0,6.73246
RKLB,2023-07-27 20:00:00+00:00,6.73,6.77,6.73,6.76,277765.0,85.0,6.730346
RKLB,2023-07-27 21:00:00+00:00,6.77,6.78,6.75,6.77,10796.0,41.0,6.770982
RKLB,2023-07-27 22:00:00+00:00,6.78,6.79,6.73,6.73,5207.0,28.0,6.756633
RKLB,2023-07-27 23:00:00+00:00,6.73,6.7796,6.73,6.75,3910.0,13.0,6.732865
RKLB,2023-07-28 08:00:00+00:00,6.77,6.77,6.7,6.71,4316.0,45.0,6.739289
RKLB,2023-07-28 09:00:00+00:00,6.73,6.74,6.72,6.74,934.0,15.0,6.730331
RKLB,2023-07-28 10:00:00+00:00,6.8,6.81,6.79,6.81,4680.0,12.0,6.799327
RKLB,2023-07-28 11:00:00+00:00,6.81,6.81,6.75,6.81,1874.0,22.0,6.784274
RKLB,2023-07-28 12:00:00+00:00,6.81,6.98,6.73,6.83,22085.0,80.0,6.836785
RKLB,2023-07-28 13:00:00+00:00,6.8799,7.12,6.81,6.9602,744289.0,3537.0,6.987746
RKLB,2023-07-28 14:00:00+00:00,6.97,7.01,6.9,6.9773,493383.0,3342.0,6.964345
RKLB,2023-07-28 15:00:00+00:00,6.975,7.03,6.96,7.015,495568.0,2927.0,6.99692
RKLB,2023-07-28 16:00:00+00:00,7.01,7.04,6.99,7.0293,268006.0,2155.0,7.016214
RKLB,2023-07-28 17:00:00+00:00,7.0285,7.09,7.02,7.085,504639.0,3001.0,7.051982
RKLB,2023-07-28 18:00:00+00:00,7.085,7.13,7.07,7.075,405968.0,2574.0,7.100588
RKLB,2023-07-28 19:00:00+00:00,7.0778,7.125,7.065,7.095,719665.0,5384.0,7.101876
RKLB,2023-07-28 20:00:00+00:00,7.1,7.13,7.1,7.1,548384.0,35.0,7.100057
RKLB,2023-07-28 21:00:00+00:00,7.1,7.14,7.0994,7.14,3362.0,12.0,7.102891
RKLB,2023-07-28 22:00:00+00:00,7.081,7.11,7.071,7.1,4461.0,18.0,7.101571
RKLB,2023-07-28 23:00:00+00:00,7.14,7.14,7.07,7.07,1190.0,6.0,7.115731
RKLB,2023-07-31 08:00:00+00:00,7.17,7.17,7.1,7.1,2247.0,12.0,7.112626
RKLB,2023-07-31 09:00:00+00:00,7.1,7.1,7.1,7.1,1100.0,4.0,7.1
RKLB,2023-07-31 10:00:00+00:00,7.07,7.07,7.0,7.0,3226.0,26.0,7.009935
RKLB,2023-07-31 11:00:00+00:00,7.05,7.09,7.03,7.06,5901.0,35.0,7.046267
RKLB,2023-07-31 12:00:00+00:00,7.03,7.1,6.92,7.08,33726.0,85.0,7.04833
RKLB,2023-07-31 13:00:00+00:00,7.08,7.29,7.08,7.2202,810331.0,4715.0,7.195716
RKLB,2023-07-31 14:00:00+00:00,7.23,7.395,7.205,7.365,822124.0,6268.0,7.331641
RKLB,2023-07-31 15:00:00+00:00,7.365,7.39,7.34,7.35,393379.0,2817.0,7.365695
RKLB,2023-07-31 16:00:00+00:00,7.345,7.35,7.3,7.33,238826.0,2422.0,7.327724
RKLB,2023-07-31 17:00:00+00:00,7.33,7.34,7.3,7.33,292352.0,2609.0,7.316372
RKLB,2023-07-31 18:00:00+00:00,7.335,7.365,7.3,7.35,268540.0,2550.0,7.336784
RKLB,2023-07-31 19:00:00+00:00,7.345,7.365,7.2828,7.35,1145122.0,6596.0,7.335815
RKLB,2023-07-31 20:00:00+00:00,7.37,7.37,7.26,7.3513,761795.0,144.0,7.368279
RKLB,2023-07-31 21:00:00+00:00,7.35,7.39,7.35,7.36,8618.0,21.0,7.38526
RKLB,2023-07-31 22:00:00+00:00,7.37,7.43,7.36,7.43,1235.0,10.0,7.401498
RKLB,2023-07-31 23:00:00+00:00,7.44,7.44,7.43,7.44,1613.0,8.0,7.432108
RKLB,2023-08-01 08:00:00+00:00,7.43,7.43,7.41,7.41,3951.0,9.0,7.415118
RKLB,2023-08-01 09:00:00+00:00,7.37,7.37,7.36,7.36,263.0,6.0,7.365627
RKLB,2023-08-01 10:00:00+00:00,7.35,7.35,7.2,7.22,5214.0,29.0,7.259996
RKLB,2023-08-01 11:00:00+00:00,7.28,7.33,7.28,7.32,7927.0,21.0,7.321828
RKLB,2023-08-01 12:00:00+00:00,7.28,7.45,7.2015,7.32,17531.0,73.0,7.34369
RKLB,2023-08-01 13:00:00+00:00,7.33,7.37,7.18,7.2,465448.0,3071.0,7.256003
RKLB,2023-08-01 14:00:00+00:00,7.205,7.26,7.15,7.205,371185.0,4009.0,7.208388
RKLB,2023-08-01 15:00:00+00:00,7.21,7.3,7.18,7.26,242702.0,2528.0,7.228816
RKLB,2023-08-01 16:00:00+00:00,7.255,7.295,7.2192,7.28,240408.0,2090.0,7.247586
RKLB,2023-08-01 17:00:00+00:00,7.28,7.29,7.24,7.27,159251.0,1888.0,7.267844
RKLB,2023-08-01 18:00:00+00:00,7.27,7.28,7.25,7.25,151879.0,1966.0,7.266767
