symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RYAN,2023-07-17 13:00:00+00:00,44.94,45.15,44.8106,45.125,31826.0,529.0,45.056757
RYAN,2023-07-17 14:00:00+00:00,45.125,45.35,45.1,45.22,68185.0,1393.0,45.248018
RYAN,2023-07-17 15:00:00+00:00,45.245,45.35,45.16,45.31,27065.0,763.0,45.27653
RYAN,2023-07-17 16:00:00+00:00,45.32,45.49,45.32,45.41,42702.0,935.0,45.413312
RYAN,2023-07-17 17:00:00+00:00,45.4,45.48,45.31,45.45,35081.0,609.0,45.403693
RYAN,2023-07-17 18:00:00+00:00,45.45,45.45,45.21,45.25,49162.0,1027.0,45.318695
RYAN,2023-07-17 19:00:00+00:00,45.25,45.29,45.05,45.07,218471.0,3121.0,45.125798
RYAN,2023-07-17 20:00:00+00:00,45.07,45.07,45.07,45.07,286127.0,15.0,45.07
RYAN,2023-07-18 13:00:00+00:00,45.0,45.15,44.78,45.07,8606.0,197.0,45.045887
RYAN,2023-07-18 14:00:00+00:00,45.1,45.3099,45.06,45.07,22475.0,616.0,45.18721
RYAN,2023-07-18 15:00:00+00:00,45.08,45.27,45.08,45.2,24195.0,590.0,45.195124
RYAN,2023-07-18 16:00:00+00:00,45.175,45.18,45.0,45.02,22325.0,554.0,45.110388
RYAN,2023-07-18 17:00:00+00:00,45.01,45.01,44.76,44.79,29917.0,717.0,44.841357
RYAN,2023-07-18 18:00:00+00:00,44.8,45.07,44.8,44.97,56068.0,1203.0,44.993522
RYAN,2023-07-18 19:00:00+00:00,44.98,45.26,44.96,45.18,112184.0,2271.0,45.165021
RYAN,2023-07-18 20:00:00+00:00,45.17,45.17,45.17,45.17,59091.0,14.0,45.17
RYAN,2023-07-19 13:00:00+00:00,45.12,45.29,45.1,45.2,5385.0,98.0,45.157561
RYAN,2023-07-19 14:00:00+00:00,45.18,45.19,44.85,44.945,26785.0,699.0,45.046491
RYAN,2023-07-19 15:00:00+00:00,44.96,45.04,44.85,44.97,39301.0,905.0,44.951151
RYAN,2023-07-19 16:00:00+00:00,44.97,44.99,44.77,44.9,40590.0,1042.0,44.876359
RYAN,2023-07-19 17:00:00+00:00,44.9,45.075,44.87,45.06,27544.0,708.0,44.991057
RYAN,2023-07-19 18:00:00+00:00,45.07,45.15,45.02,45.12,31412.0,836.0,45.112285
RYAN,2023-07-19 19:00:00+00:00,45.14,45.3298,45.14,45.17,103570.0,2485.0,45.210154
RYAN,2023-07-19 20:00:00+00:00,45.17,45.17,45.17,45.17,76833.0,17.0,45.17
RYAN,2023-07-20 13:00:00+00:00,45.07,45.57,44.87,45.49,56904.0,622.0,45.431257
RYAN,2023-07-20 14:00:00+00:00,45.52,45.84,45.48,45.61,65998.0,1205.0,45.688437
RYAN,2023-07-20 15:00:00+00:00,45.59,45.98,45.54,45.9,48888.0,905.0,45.695189
RYAN,2023-07-20 16:00:00+00:00,45.91,46.04,45.88,46.0,75561.0,1108.0,45.965352
RYAN,2023-07-20 17:00:00+00:00,46.0,46.085,45.91,46.01,109039.0,1187.0,46.015324
RYAN,2023-07-20 18:00:00+00:00,46.01,46.37,46.0,46.225,171415.0,2031.0,46.195275
RYAN,2023-07-20 19:00:00+00:00,46.225,46.38,45.98,46.12,237338.0,3872.0,46.109167
RYAN,2023-07-20 20:00:00+00:00,46.11,46.11,46.11,46.11,140448.0,15.0,46.11
RYAN,2023-07-21 13:00:00+00:00,46.34,46.345,45.84,45.93,42743.0,596.0,46.029481
RYAN,2023-07-21 14:00:00+00:00,45.925,45.965,45.76,45.935,40858.0,957.0,45.885515
RYAN,2023-07-21 15:00:00+00:00,45.935,46.03,45.84,45.91,23517.0,757.0,45.92089
RYAN,2023-07-21 16:00:00+00:00,45.89,45.89,45.61,45.75,34947.0,924.0,45.73363
RYAN,2023-07-21 17:00:00+00:00,45.72,45.99,45.72,45.96,30738.0,874.0,45.872466
RYAN,2023-07-21 18:00:00+00:00,45.98,45.98,45.75,45.79,33365.0,918.0,45.853554
RYAN,2023-07-21 19:00:00+00:00,45.8,45.95,45.8,45.91,111778.0,2055.0,45.877564
RYAN,2023-07-21 20:00:00+00:00,45.91,45.91,45.91,45.91,76049.0,12.0,45.91
RYAN,2023-07-24 13:00:00+00:00,45.62,45.65,43.64,45.18,179884.0,1625.0,44.662613
RYAN,2023-07-24 14:00:00+00:00,45.11,45.444,44.92,44.98,116691.0,1863.0,45.225607
RYAN,2023-07-24 15:00:00+00:00,45.01,45.12,44.85,45.02,76456.0,1540.0,45.012051
RYAN,2023-07-24 16:00:00+00:00,45.01,45.12,44.91,45.08,71937.0,1368.0,45.021656
RYAN,2023-07-24 17:00:00+00:00,45.08,45.26,44.94,45.05,67023.0,1214.0,45.044324
RYAN,2023-07-24 18:00:00+00:00,45.05,45.12,44.92,45.06,76011.0,1914.0,45.019773
RYAN,2023-07-24 19:00:00+00:00,45.135,45.18,44.99,45.0,117018.0,2913.0,45.072592
RYAN,2023-07-24 20:00:00+00:00,45.01,45.01,45.01,45.01,66373.0,31.0,45.01
RYAN,2023-07-25 13:00:00+00:00,45.19,45.31,44.88,45.03,22543.0,377.0,45.193273
RYAN,2023-07-25 14:00:00+00:00,45.11,45.495,45.04,45.45,78033.0,1740.0,45.306054
RYAN,2023-07-25 15:00:00+00:00,45.42,45.505,45.23,45.35,55811.0,1261.0,45.338129
RYAN,2023-07-25 16:00:00+00:00,45.36,45.37,45.245,45.3,40086.0,1049.0,45.311383
