symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SCHE,2023-07-17 11:00:00+00:00,25.61,25.61,25.18,25.2,1803.0,16.0,25.267449
SCHE,2023-07-17 12:00:00+00:00,25.2,25.2,25.2,25.2,100.0,1.0,25.2
SCHE,2023-07-17 13:00:00+00:00,25.3,25.38,25.18,25.38,135910.0,534.0,25.26567
SCHE,2023-07-17 14:00:00+00:00,25.38,25.3992,25.34,25.3872,162278.0,484.0,25.380704
SCHE,2023-07-17 15:00:00+00:00,25.38,25.385,25.32,25.385,121944.0,436.0,25.359063
SCHE,2023-07-17 16:00:00+00:00,25.3826,25.4,25.3797,25.3935,168063.0,408.0,25.387528
SCHE,2023-07-17 17:00:00+00:00,25.395,25.42,25.3713,25.405,64962.0,239.0,25.39536
SCHE,2023-07-17 18:00:00+00:00,25.4,25.4099,25.39,25.405,172058.0,541.0,25.396262
SCHE,2023-07-17 19:00:00+00:00,25.405,25.44,25.405,25.44,228337.0,711.0,25.426696
SCHE,2023-07-17 20:00:00+00:00,25.45,25.45,25.45,25.45,36752.0,2.0,25.45
SCHE,2023-07-18 13:00:00+00:00,25.3,25.3,25.21,25.28,119183.0,327.0,25.258829
SCHE,2023-07-18 14:00:00+00:00,25.29,25.335,25.2814,25.325,96214.0,347.0,25.307776
SCHE,2023-07-18 15:00:00+00:00,25.32,25.33,25.24,25.27,59967.0,260.0,25.279737
SCHE,2023-07-18 16:00:00+00:00,25.27,25.27,25.195,25.195,195480.0,431.0,25.24887
SCHE,2023-07-18 17:00:00+00:00,25.1999,25.2092,25.1703,25.175,126295.0,234.0,25.188836
SCHE,2023-07-18 18:00:00+00:00,25.1701,25.2482,25.1701,25.245,108957.0,410.0,25.224962
SCHE,2023-07-18 19:00:00+00:00,25.245,25.255,25.225,25.24,170413.0,588.0,25.241454
SCHE,2023-07-18 20:00:00+00:00,25.25,25.25,25.25,25.25,38690.0,1.0,25.25
SCHE,2023-07-19 13:00:00+00:00,25.29,25.3917,25.29,25.33,187346.0,420.0,25.355252
SCHE,2023-07-19 14:00:00+00:00,25.33,25.33,25.225,25.2509,92652.0,304.0,25.280554
SCHE,2023-07-19 15:00:00+00:00,25.26,25.29,25.23,25.23,116026.0,336.0,25.26766
SCHE,2023-07-19 16:00:00+00:00,25.22,25.25,25.1901,25.215,182881.0,903.0,25.233191
SCHE,2023-07-19 17:00:00+00:00,25.2101,25.2299,25.2,25.2199,63875.0,223.0,25.210994
SCHE,2023-07-19 18:00:00+00:00,25.215,25.2399,25.19,25.23,126747.0,344.0,25.21116
SCHE,2023-07-19 19:00:00+00:00,25.2349,25.25,25.22,25.23,95645.0,441.0,25.235116
SCHE,2023-07-19 20:00:00+00:00,25.23,25.23,25.23,25.23,2234.0,1.0,25.23
SCHE,2023-07-20 13:00:00+00:00,25.15,25.1699,25.09,25.1499,263011.0,641.0,25.123448
SCHE,2023-07-20 14:00:00+00:00,25.155,25.1605,25.01,25.07,132548.0,749.0,25.076961
SCHE,2023-07-20 15:00:00+00:00,25.065,25.095,25.03,25.04,103097.0,415.0,25.05445
SCHE,2023-07-20 16:00:00+00:00,25.05,25.09,25.04,25.08,313684.0,833.0,25.065191
SCHE,2023-07-20 17:00:00+00:00,25.0787,25.1099,25.0787,25.0999,99218.0,308.0,25.092756
SCHE,2023-07-20 18:00:00+00:00,25.09,25.1,25.05,25.07,248275.0,586.0,25.077287
SCHE,2023-07-20 19:00:00+00:00,25.065,25.08,25.04,25.065,101754.0,541.0,25.060464
SCHE,2023-07-20 20:00:00+00:00,25.07,25.07,25.07,25.07,1538.0,2.0,25.07
SCHE,2023-07-21 13:00:00+00:00,25.14,25.15,25.065,25.09,277696.0,518.0,25.112149
SCHE,2023-07-21 14:00:00+00:00,25.09,25.1087,25.0482,25.0523,110235.0,452.0,25.068077
SCHE,2023-07-21 15:00:00+00:00,25.06,25.105,25.0449,25.07,161687.0,653.0,25.079131
SCHE,2023-07-21 16:00:00+00:00,25.08,25.08,25.0519,25.0646,159055.0,315.0,25.070725
SCHE,2023-07-21 17:00:00+00:00,25.0699,25.08,25.0621,25.078,89349.0,251.0,25.070398
SCHE,2023-07-21 18:00:00+00:00,25.075,25.085,25.06,25.06,71283.0,314.0,25.071759
SCHE,2023-07-21 19:00:00+00:00,25.06,25.06,25.02,25.05,146490.0,722.0,25.043301
SCHE,2023-07-21 20:00:00+00:00,25.06,25.06,25.06,25.06,7958.0,2.0,25.06
SCHE,2023-07-24 13:00:00+00:00,25.09,25.115,25.051,25.08,154236.0,394.0,25.079871
SCHE,2023-07-24 14:00:00+00:00,25.09,25.36,25.09,25.34,140730.0,534.0,25.236388
SCHE,2023-07-24 15:00:00+00:00,25.3388,25.4151,25.3388,25.4151,127497.0,555.0,25.382281
SCHE,2023-07-24 16:00:00+00:00,25.41,25.4401,25.3701,25.3952,179998.0,438.0,25.407178
SCHE,2023-07-24 17:00:00+00:00,25.3901,25.4,25.37,25.375,95085.0,310.0,25.386591
SCHE,2023-07-24 18:00:00+00:00,25.38,25.39,25.355,25.3645,101594.0,280.0,25.371735
SCHE,2023-07-24 19:00:00+00:00,25.365,25.38,25.34,25.37,158994.0,719.0,25.358469
SCHE,2023-07-24 20:00:00+00:00,25.39,25.39,25.39,25.39,14859.0,1.0,25.39
SCHE,2023-07-25 11:00:00+00:00,25.65,25.65,25.65,25.65,7400.0,2.0,25.65
SCHE,2023-07-25 12:00:00+00:00,25.73,25.73,25.73,25.73,500.0,1.0,25.73
SCHE,2023-07-25 13:00:00+00:00,25.68,25.71,25.595,25.645,192908.0,505.0,25.651848
SCHE,2023-07-25 14:00:00+00:00,25.64,25.6805,25.62,25.6243,155754.0,503.0,25.643677
SCHE,2023-07-25 15:00:00+00:00,25.625,25.64,25.5639,25.6101,158233.0,406.0,25.606673
SCHE,2023-07-25 16:00:00+00:00,25.61,25.6263,25.5801,25.5806,122932.0,368.0,25.612369
SCHE,2023-07-25 17:00:00+00:00,25.59,25.6091,25.5801,25.6091,66581.0,293.0,25.59659
SCHE,2023-07-25 18:00:00+00:00,25.6,25.64,25.6,25.6,239349.0,396.0,25.612718
SCHE,2023-07-25 19:00:00+00:00,25.605,25.63,25.58,25.58,146471.0,558.0,25.608555
SCHE,2023-07-25 20:00:00+00:00,25.59,25.59,25.59,25.59,1493.0,1.0,25.59
SCHE,2023-07-25 21:00:00+00:00,25.61,25.61,25.61,25.61,681.0,1.0,25.61
SCHE,2023-07-26 13:00:00+00:00,25.51,25.7,25.51,25.7,125233.0,289.0,25.589679
SCHE,2023-07-26 14:00:00+00:00,25.71,25.71,25.65,25.6699,98394.0,472.0,25.673527
SCHE,2023-07-26 15:00:00+00:00,25.67,25.725,25.66,25.7102,93569.0,427.0,25.687941
SCHE,2023-07-26 16:00:00+00:00,25.7102,25.7399,25.71,25.735,34816.0,356.0,25.72396
SCHE,2023-07-26 17:00:00+00:00,25.74,25.74,25.695,25.7,262184.0,589.0,25.731503
SCHE,2023-07-26 18:00:00+00:00,25.7,25.835,25.69,25.795,97034.0,543.0,25.769355
SCHE,2023-07-26 19:00:00+00:00,25.8,25.8,25.71,25.77,220438.0,1230.0,25.752811
SCHE,2023-07-26 20:00:00+00:00,25.77,25.77,25.77,25.77,1756.0,1.0,25.77
SCHE,2023-07-27 13:00:00+00:00,25.77,25.79,25.66,25.6781,120236.0,454.0,25.710624
SCHE,2023-07-27 14:00:00+00:00,25.67,25.67,25.62,25.6489,119220.0,464.0,25.638469
SCHE,2023-07-27 15:00:00+00:00,25.645,25.7138,25.645,25.7,75328.0,361.0,25.686714
SCHE,2023-07-27 16:00:00+00:00,25.7,25.72,25.68,25.705,138316.0,380.0,25.693175
SCHE,2023-07-27 17:00:00+00:00,25.705,25.72,25.6309,25.637,104870.0,405.0,25.674446
SCHE,2023-07-27 18:00:00+00:00,25.6343,25.635,25.4701,25.48,186980.0,1126.0,25.529928
SCHE,2023-07-27 19:00:00+00:00,25.48,25.52,25.445,25.465,260638.0,708.0,25.481623
