symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SFL,2023-07-17 13:00:00+00:00,9.25,9.295,9.22,9.29,58765.0,480.0,9.256042
SFL,2023-07-17 14:00:00+00:00,9.29,9.308,9.255,9.28,95161.0,800.0,9.279904
SFL,2023-07-17 15:00:00+00:00,9.28,9.31,9.27,9.3,97643.0,866.0,9.287337
SFL,2023-07-17 16:00:00+00:00,9.31,9.33,9.3,9.3,56906.0,615.0,9.319361
SFL,2023-07-17 17:00:00+00:00,9.3,9.34,9.3,9.33,59263.0,640.0,9.318742
SFL,2023-07-17 18:00:00+00:00,9.325,9.34,9.305,9.315,65744.0,743.0,9.321958
SFL,2023-07-17 19:00:00+00:00,9.31,9.32,9.29,9.3,169346.0,1669.0,9.306274
SFL,2023-07-17 20:00:00+00:00,9.3,9.3,9.3,9.3,102085.0,12.0,9.3
SFL,2023-07-18 13:00:00+00:00,9.3,9.46,9.3,9.455,79270.0,599.0,9.392272
SFL,2023-07-18 14:00:00+00:00,9.45,9.45,9.38,9.395,47631.0,741.0,9.41956
SFL,2023-07-18 15:00:00+00:00,9.39,9.415,9.3809,9.395,47571.0,561.0,9.400604
SFL,2023-07-18 16:00:00+00:00,9.391,9.405,9.37,9.379,46287.0,477.0,9.38871
SFL,2023-07-18 17:00:00+00:00,9.37,9.38,9.355,9.375,40255.0,430.0,9.369785
SFL,2023-07-18 18:00:00+00:00,9.38,9.39,9.37,9.3712,23585.0,322.0,9.37841
SFL,2023-07-18 19:00:00+00:00,9.3765,9.41,9.37,9.41,229322.0,1736.0,9.395586
SFL,2023-07-18 20:00:00+00:00,9.4,9.45,9.4,9.45,69331.0,14.0,9.400383
SFL,2023-07-19 13:00:00+00:00,9.42,9.465,9.4,9.455,59209.0,422.0,9.430351
SFL,2023-07-19 14:00:00+00:00,9.455,9.46,9.43,9.46,80182.0,903.0,9.443837
SFL,2023-07-19 15:00:00+00:00,9.455,9.49,9.455,9.46,63337.0,727.0,9.471038
SFL,2023-07-19 16:00:00+00:00,9.465,9.4699,9.44,9.445,52489.0,648.0,9.450981
SFL,2023-07-19 17:00:00+00:00,9.445,9.4499,9.43,9.43,40365.0,484.0,9.435513
SFL,2023-07-19 18:00:00+00:00,9.435,9.435,9.4,9.4,54324.0,612.0,9.417962
SFL,2023-07-19 19:00:00+00:00,9.405,9.42,9.4,9.42,196474.0,2126.0,9.407353
SFL,2023-07-19 20:00:00+00:00,9.42,9.47,9.42,9.47,102232.0,9.0,9.420183
SFL,2023-07-19 21:00:00+00:00,9.35,9.35,9.35,9.35,1150.0,1.0,9.35
SFL,2023-07-19 23:00:00+00:00,9.49,9.49,9.49,9.49,250.0,3.0,9.48072
SFL,2023-07-20 13:00:00+00:00,9.5,9.52,9.44,9.44,54771.0,405.0,9.480465
SFL,2023-07-20 14:00:00+00:00,9.445,9.445,9.38,9.415,64768.0,659.0,9.407005
SFL,2023-07-20 15:00:00+00:00,9.415,9.425,9.38,9.395,56772.0,521.0,9.402266
SFL,2023-07-20 16:00:00+00:00,9.395,9.4,9.37,9.37,30697.0,460.0,9.382077
SFL,2023-07-20 17:00:00+00:00,9.37,9.38,9.36,9.365,21501.0,378.0,9.36803
SFL,2023-07-20 18:00:00+00:00,9.36,9.395,9.36,9.375,88215.0,713.0,9.37986
SFL,2023-07-20 19:00:00+00:00,9.375,9.4,9.36,9.38,107784.0,1489.0,9.381147
SFL,2023-07-20 20:00:00+00:00,9.38,9.38,9.38,9.38,66474.0,5.0,9.38
SFL,2023-07-21 13:00:00+00:00,9.44,9.44,9.28,9.285,130078.0,533.0,9.368385
SFL,2023-07-21 14:00:00+00:00,9.285,9.29,9.255,9.27,81942.0,704.0,9.274549
SFL,2023-07-21 15:00:00+00:00,9.275,9.325,9.265,9.305,75719.0,622.0,9.292249
SFL,2023-07-21 16:00:00+00:00,9.305,9.34,9.3,9.3296,25500.0,315.0,9.321272
SFL,2023-07-21 17:00:00+00:00,9.329,9.33,9.31,9.315,30838.0,317.0,9.315049
SFL,2023-07-21 18:00:00+00:00,9.315,9.34,9.3,9.34,42304.0,560.0,9.319505
SFL,2023-07-21 19:00:00+00:00,9.34,9.35,9.32,9.35,169116.0,1627.0,9.335987
SFL,2023-07-21 20:00:00+00:00,9.34,9.35,9.2602,9.2602,80530.0,14.0,9.339878
SFL,2023-07-21 23:00:00+00:00,9.34,9.34,9.34,9.34,100.0,1.0,9.34
SFL,2023-07-24 13:00:00+00:00,9.35,9.42,9.34,9.365,82851.0,573.0,9.379317
SFL,2023-07-24 14:00:00+00:00,9.365,9.37,9.32,9.345,98215.0,836.0,9.345431
SFL,2023-07-24 15:00:00+00:00,9.34,9.39,9.33,9.365,121735.0,1144.0,9.358963
SFL,2023-07-24 16:00:00+00:00,9.37,9.37,9.34,9.36,77713.0,772.0,9.357721
SFL,2023-07-24 17:00:00+00:00,9.365,9.39,9.35,9.375,72310.0,820.0,9.375405
SFL,2023-07-24 18:00:00+00:00,9.375,9.38,9.345,9.35,76300.0,843.0,9.360581
SFL,2023-07-24 19:00:00+00:00,9.35,9.38,9.34,9.35,198513.0,1949.0,9.360353
SFL,2023-07-24 20:00:00+00:00,9.35,9.35,9.35,9.35,99766.0,6.0,9.35
SFL,2023-07-25 12:00:00+00:00,9.46,9.46,9.46,9.46,100.0,1.0,9.46
SFL,2023-07-25 13:00:00+00:00,9.38,9.42,9.35,9.395,58712.0,464.0,9.380672
SFL,2023-07-25 14:00:00+00:00,9.395,9.4888,9.375,9.4703,56567.0,673.0,9.440014
SFL,2023-07-25 15:00:00+00:00,9.48,9.5,9.47,9.495,78984.0,680.0,9.48692
SFL,2023-07-25 16:00:00+00:00,9.495,9.5,9.46,9.475,47821.0,510.0,9.480634
SFL,2023-07-25 17:00:00+00:00,9.475,9.51,9.45,9.505,91065.0,647.0,9.479984
SFL,2023-07-25 18:00:00+00:00,9.505,9.545,9.505,9.515,113197.0,870.0,9.52352
SFL,2023-07-25 19:00:00+00:00,9.515,9.52,9.48,9.485,221032.0,1776.0,9.500015
SFL,2023-07-25 20:00:00+00:00,9.48,9.48,9.48,9.48,73082.0,12.0,9.48
SFL,2023-07-26 13:00:00+00:00,9.495,9.51,9.43,9.48,43110.0,377.0,9.477957
SFL,2023-07-26 14:00:00+00:00,9.4775,9.53,9.4721,9.5291,66241.0,661.0,9.502986
SFL,2023-07-26 15:00:00+00:00,9.53,9.56,9.53,9.55,42675.0,446.0,9.542402
SFL,2023-07-26 16:00:00+00:00,9.55,9.56,9.54,9.55,54066.0,485.0,9.550956
SFL,2023-07-26 17:00:00+00:00,9.5499,9.555,9.52,9.52,52371.0,508.0,9.542387
SFL,2023-07-26 18:00:00+00:00,9.52,9.575,9.52,9.555,69627.0,747.0,9.552205
SFL,2023-07-26 19:00:00+00:00,9.551,9.56,9.53,9.55,143634.0,1644.0,9.549097
SFL,2023-07-26 20:00:00+00:00,9.55,9.58,9.55,9.58,68705.0,10.0,9.550047
SFL,2023-07-26 21:00:00+00:00,9.5,9.5,9.5,9.5,200.0,1.0,9.5
SFL,2023-07-27 13:00:00+00:00,9.55,9.55,9.48,9.52,61941.0,425.0,9.513845
SFL,2023-07-27 14:00:00+00:00,9.52,9.575,9.51,9.5594,60749.0,868.0,9.542514
SFL,2023-07-27 15:00:00+00:00,9.55,9.56,9.52,9.555,74461.0,868.0,9.539005
SFL,2023-07-27 16:00:00+00:00,9.5554,9.58,9.555,9.5601,38729.0,584.0,9.568516
SFL,2023-07-27 17:00:00+00:00,9.565,9.575,9.54,9.545,31705.0,498.0,9.556293
SFL,2023-07-27 18:00:00+00:00,9.54,9.55,9.5,9.515,52529.0,494.0,9.525735
SFL,2023-07-27 19:00:00+00:00,9.52,9.52,9.46,9.485,111113.0,1164.0,9.48648
SFL,2023-07-27 20:00:00+00:00,9.49,9.49,9.42,9.42,87306.0,9.0,9.485839
SFL,2023-07-28 13:00:00+00:00,9.51,9.555,9.5,9.545,34552.0,290.0,9.52154
SFL,2023-07-28 14:00:00+00:00,9.55,9.625,9.54,9.6,112537.0,1019.0,9.583887
SFL,2023-07-28 15:00:00+00:00,9.61,9.645,9.6,9.645,62146.0,739.0,9.620476
SFL,2023-07-28 16:00:00+00:00,9.65,9.67,9.62,9.66,107425.0,944.0,9.646686
SFL,2023-07-28 17:00:00+00:00,9.67,9.67,9.61,9.65,95821.0,952.0,9.645499
SFL,2023-07-28 18:00:00+00:00,9.645,9.67,9.64,9.665,55472.0,665.0,9.655698
SFL,2023-07-28 19:00:00+00:00,9.67,9.698,9.66,9.68,202442.0,2016.0,9.680618
SFL,2023-07-28 20:00:00+00:00,9.68,9.68,9.68,9.68,105705.0,14.0,9.68
SFL,2023-07-28 22:00:00+00:00,9.69,9.69,9.69,9.69,2100.0,2.0,9.69
SFL,2023-07-31 12:00:00+00:00,9.72,9.72,9.72,9.72,2002.0,2.0,9.71996
SFL,2023-07-31 13:00:00+00:00,9.6071,9.79,9.6,9.755,94491.0,560.0,9.753266
SFL,2023-07-31 14:00:00+00:00,9.76,9.85,9.76,9.83,93956.0,863.0,9.817687
SFL,2023-07-31 15:00:00+00:00,9.83,9.88,9.825,9.85,125414.0,1000.0,9.854079
SFL,2023-07-31 16:00:00+00:00,9.855,9.86,9.84,9.845,40084.0,557.0,9.85148
SFL,2023-07-31 17:00:00+00:00,9.85,9.89,9.845,9.89,52222.0,545.0,9.862127
SFL,2023-07-31 18:00:00+00:00,9.885,9.9,9.865,9.875,110895.0,1010.0,9.88357
SFL,2023-07-31 19:00:00+00:00,9.875,9.88,9.84,9.86,204586.0,1974.0,9.864767
SFL,2023-07-31 20:00:00+00:00,9.86,9.86,9.86,9.86,135820.0,20.0,9.86
SFL,2023-07-31 21:00:00+00:00,9.9,9.9,9.9,9.9,200.0,3.0,9.9198
SFL,2023-08-01 11:00:00+00:00,9.95,9.95,9.95,9.95,319.0,4.0,9.947962
SFL,2023-08-01 13:00:00+00:00,9.86,9.86,9.75,9.765,100448.0,1019.0,9.805768
SFL,2023-08-01 14:00:00+00:00,9.7664,9.77,9.655,9.705,104161.0,1257.0,9.70172
SFL,2023-08-01 15:00:00+00:00,9.705,9.72,9.7,9.7001,34430.0,626.0,9.708668
SFL,2023-08-01 16:00:00+00:00,9.705,9.73,9.7,9.72,62735.0,708.0,9.711825
SFL,2023-08-01 17:00:00+00:00,9.715,9.7499,9.71,9.71,73346.0,746.0,9.72591
SFL,2023-08-01 18:00:00+00:00,9.715,9.76,9.71,9.75,84679.0,1010.0,9.732437
SFL,2023-08-01 19:00:00+00:00,9.755,9.76,9.74,9.74,133083.0,1826.0,9.74513
SFL,2023-08-01 20:00:00+00:00,9.75,9.75,9.75,9.75,79794.0,7.0,9.75
SFL,2023-08-01 21:00:00+00:00,9.74,9.74,9.74,9.74,500.0,2.0,9.74
SFL,2023-08-01 22:00:00+00:00,9.75,9.75,9.75,9.75,1.0,1.0,9.82
SFL,2023-08-02 12:00:00+00:00,9.65,9.65,9.65,9.65,100.0,1.0,9.65
SFL,2023-08-02 13:00:00+00:00,9.65,9.73,9.65,9.71,51186.0,619.0,9.695734
SFL,2023-08-02 14:00:00+00:00,9.71,9.715,9.6,9.615,122166.0,1045.0,9.66108
SFL,2023-08-02 15:00:00+00:00,9.62,9.67,9.61,9.655,51722.0,463.0,9.641593
SFL,2023-08-02 16:00:00+00:00,9.655,9.68,9.64,9.665,45252.0,459.0,9.663715
SFL,2023-08-02 17:00:00+00:00,9.665,9.69,9.665,9.685,41418.0,452.0,9.679115
SFL,2023-08-02 18:00:00+00:00,9.6855,9.7,9.6825,9.695,24906.0,350.0,9.694549
SFL,2023-08-02 19:00:00+00:00,9.695,9.715,9.67,9.675,163627.0,1547.0,9.688508
SFL,2023-08-02 20:00:00+00:00,9.68,9.68,9.68,9.68,85423.0,8.0,9.68
SFL,2023-08-03 13:00:00+00:00,9.69,9.74,9.68,9.73,50261.0,579.0,9.711967
SFL,2023-08-03 14:00:00+00:00,9.74,9.82,9.72,9.805,88021.0,1270.0,9.774145
SFL,2023-08-03 15:00:00+00:00,9.8,9.88,9.79,9.87,105264.0,1034.0,9.833918
SFL,2023-08-03 16:00:00+00:00,9.87,9.95,9.865,9.92,105096.0,1029.0,9.918095
SFL,2023-08-03 17:00:00+00:00,9.91,9.935,9.895,9.935,80976.0,878.0,9.916063
SFL,2023-08-03 18:00:00+00:00,9.935,9.95,9.93,9.945,107988.0,1034.0,9.94088
SFL,2023-08-03 19:00:00+00:00,9.945,9.95,9.92,9.92,170596.0,2188.0,9.9372
SFL,2023-08-03 20:00:00+00:00,9.93,9.93,9.93,9.93,77290.0,6.0,9.929999
SFL,2023-08-04 13:00:00+00:00,9.96,10.01,9.96,9.975,105065.0,587.0,9.985146
SFL,2023-08-04 14:00:00+00:00,9.98,10.04,9.96,10.0,84626.0,1080.0,10.00771
SFL,2023-08-04 15:00:00+00:00,9.995,9.995,9.9508,9.98,48446.0,725.0,9.973279
SFL,2023-08-04 16:00:00+00:00,9.975,10.01,9.96,10.005,61099.0,566.0,9.986903
SFL,2023-08-04 17:00:00+00:00,10.0,10.0,9.96,9.97,46263.0,622.0,9.979488
SFL,2023-08-04 18:00:00+00:00,9.961,9.98,9.935,9.945,76280.0,975.0,9.958092
SFL,2023-08-04 19:00:00+00:00,9.945,9.95,9.93,9.93,117425.0,2364.0,9.935763
SFL,2023-08-04 20:00:00+00:00,9.93,9.93,9.93,9.93,77129.0,7.0,9.93
SFL,2023-08-07 13:00:00+00:00,9.92,9.99,9.82,9.8893,172083.0,499.0,9.908993
SFL,2023-08-07 14:00:00+00:00,9.89,9.945,9.87,9.935,62452.0,1101.0,9.910449
SFL,2023-08-07 15:00:00+00:00,9.94,10.0,9.93,9.975,184689.0,1333.0,9.965817
SFL,2023-08-07 16:00:00+00:00,9.9711,9.975,9.95,9.96,24058.0,359.0,9.96229
SFL,2023-08-07 17:00:00+00:00,9.965,9.975,9.96,9.975,53808.0,624.0,9.964307
SFL,2023-08-07 18:00:00+00:00,9.9712,9.975,9.93,9.95,65762.0,702.0,9.949577
SFL,2023-08-07 19:00:00+00:00,9.955,9.99,9.95,9.98,159259.0,2182.0,9.968761
SFL,2023-08-07 20:00:00+00:00,9.98,9.98,9.98,9.98,105396.0,6.0,9.98
SFL,2023-08-08 13:00:00+00:00,9.85,9.87,9.815,9.87,42771.0,434.0,9.844427
SFL,2023-08-08 14:00:00+00:00,9.88,9.9,9.85,9.88,133047.0,1239.0,9.87566
SFL,2023-08-08 15:00:00+00:00,9.88,9.92,9.86,9.9,61528.0,888.0,9.900369
SFL,2023-08-08 16:00:00+00:00,9.9,9.925,9.89,9.925,35914.0,660.0,9.905388
SFL,2023-08-08 17:00:00+00:00,9.93,9.98,9.92,9.98,68594.0,978.0,9.94955
SFL,2023-08-08 18:00:00+00:00,9.975,9.98,9.93,9.945,76079.0,1038.0,9.958337
SFL,2023-08-08 19:00:00+00:00,9.945,9.97,9.93,9.965,151278.0,2038.0,9.952575
SFL,2023-08-08 20:00:00+00:00,9.96,9.96,9.96,9.96,90249.0,9.0,9.96
SFL,2023-08-09 13:00:00+00:00,9.9615,10.07,9.9615,10.055,96708.0,923.0,10.018867
SFL,2023-08-09 14:00:00+00:00,10.07,10.14,10.055,10.115,139041.0,1745.0,10.095132
SFL,2023-08-09 15:00:00+00:00,10.12,10.12,10.035,10.035,74088.0,1475.0,10.070168
SFL,2023-08-09 16:00:00+00:00,10.03,10.05,10.02,10.04,57470.0,1076.0,10.031453
SFL,2023-08-09 17:00:00+00:00,10.03,10.06,10.03,10.04,42582.0,969.0,10.043228
