symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SHC,2023-07-17 13:00:00+00:00,18.76,18.77,18.5,18.58,22845.0,492.0,18.634507
SHC,2023-07-17 14:00:00+00:00,18.6,18.79,18.57,18.78,41508.0,1023.0,18.661773
SHC,2023-07-17 15:00:00+00:00,18.78,18.78,18.66,18.78,36093.0,873.0,18.745046
SHC,2023-07-17 16:00:00+00:00,18.77,18.89,18.73,18.75,45406.0,937.0,18.806989
SHC,2023-07-17 17:00:00+00:00,18.75,18.96,18.75,18.93,33448.0,811.0,18.885807
SHC,2023-07-17 18:00:00+00:00,18.93,18.93,18.81,18.83,25768.0,897.0,18.862199
SHC,2023-07-17 19:00:00+00:00,18.83,18.85,18.75,18.785,109133.0,2475.0,18.786876
SHC,2023-07-17 20:00:00+00:00,18.8,18.8,18.8,18.8,79799.0,11.0,18.8
SHC,2023-07-18 13:00:00+00:00,18.84,18.96,18.825,18.96,10231.0,200.0,18.886883
SHC,2023-07-18 14:00:00+00:00,18.96,19.08,18.9,18.94,91089.0,1425.0,18.976919
SHC,2023-07-18 15:00:00+00:00,18.94,19.0,18.87,18.875,99580.0,1278.0,18.934015
SHC,2023-07-18 16:00:00+00:00,18.86,18.865,18.75,18.75,102905.0,912.0,18.790272
SHC,2023-07-18 17:00:00+00:00,18.74,18.83,18.71,18.71,29847.0,679.0,18.761791
SHC,2023-07-18 18:00:00+00:00,18.725,18.89,18.72,18.85,76293.0,1096.0,18.835238
SHC,2023-07-18 19:00:00+00:00,18.85,18.98,18.84,18.96,135976.0,2407.0,18.921658
SHC,2023-07-18 20:00:00+00:00,18.95,18.95,18.95,18.95,111429.0,13.0,18.95
SHC,2023-07-19 13:00:00+00:00,19.06,19.21,19.0,19.08,27820.0,386.0,19.075921
SHC,2023-07-19 14:00:00+00:00,19.075,19.15,19.0,19.128,57084.0,1192.0,19.091718
SHC,2023-07-19 15:00:00+00:00,19.12,19.4,19.1,19.3,142267.0,1939.0,19.260168
SHC,2023-07-19 16:00:00+00:00,19.3,19.4,18.98,18.99,97966.0,1512.0,19.177529
SHC,2023-07-19 17:00:00+00:00,18.99,19.06,18.915,19.03,39784.0,1005.0,18.977002
SHC,2023-07-19 18:00:00+00:00,19.02,19.03,18.82,18.835,70774.0,1448.0,18.965192
SHC,2023-07-19 19:00:00+00:00,18.835,19.02,18.835,18.95,168362.0,3080.0,18.944881
SHC,2023-07-19 20:00:00+00:00,18.95,18.95,18.95,18.95,86615.0,9.0,18.95
SHC,2023-07-20 13:00:00+00:00,18.98,19.17,18.85,18.85,28789.0,331.0,18.992036
SHC,2023-07-20 14:00:00+00:00,18.87,19.0,18.83,18.9,91036.0,1169.0,18.910923
SHC,2023-07-20 15:00:00+00:00,18.92,19.035,18.92,18.95,29601.0,899.0,18.977711
SHC,2023-07-20 16:00:00+00:00,18.96,19.04,18.9,18.93,26430.0,766.0,18.949946
SHC,2023-07-20 17:00:00+00:00,18.92,19.06,18.9,18.98,39088.0,956.0,18.962877
SHC,2023-07-20 18:00:00+00:00,18.99,19.0,18.91,18.97,55906.0,1400.0,18.950782
SHC,2023-07-20 19:00:00+00:00,18.98,19.0,18.85,18.89,108397.0,2266.0,18.902856
