symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SIBN,2023-07-17 13:00:00+00:00,26.1,26.26,25.78,26.26,12167.0,177.0,26.05348
SIBN,2023-07-17 14:00:00+00:00,26.29,26.36,25.9,26.095,52796.0,830.0,26.050157
SIBN,2023-07-17 15:00:00+00:00,26.12,26.335,26.05,26.27,31272.0,667.0,26.221054
SIBN,2023-07-17 16:00:00+00:00,26.3,26.4,26.2,26.36,23579.0,569.0,26.277369
SIBN,2023-07-17 17:00:00+00:00,26.36,26.36,26.21,26.35,24836.0,588.0,26.297602
SIBN,2023-07-17 18:00:00+00:00,26.365,26.45,26.27,26.43,42386.0,818.0,26.34444
SIBN,2023-07-17 19:00:00+00:00,26.4468,26.51,26.325,26.46,98628.0,2077.0,26.413562
SIBN,2023-07-17 20:00:00+00:00,26.45,26.48,26.45,26.48,53612.0,8.0,26.479944
SIBN,2023-07-18 12:00:00+00:00,26.48,26.48,26.48,26.48,125.0,1.0,26.48
SIBN,2023-07-18 13:00:00+00:00,26.45,26.45,25.205,25.895,84408.0,1115.0,25.731744
SIBN,2023-07-18 14:00:00+00:00,25.96,26.15,25.83,25.84,48823.0,982.0,25.989943
SIBN,2023-07-18 15:00:00+00:00,25.865,25.865,25.45,25.73,34290.0,832.0,25.624025
SIBN,2023-07-18 16:00:00+00:00,25.74,25.83,25.425,25.45,51866.0,1026.0,25.565231
SIBN,2023-07-18 17:00:00+00:00,25.455,25.63,25.33,25.35,30744.0,808.0,25.450473
SIBN,2023-07-18 18:00:00+00:00,25.34,25.54,25.17,25.36,81030.0,1490.0,25.292832
SIBN,2023-07-18 19:00:00+00:00,25.36,25.75,25.36,25.64,113312.0,2238.0,25.613831
SIBN,2023-07-18 20:00:00+00:00,25.65,25.65,25.65,25.65,54810.0,7.0,25.65
SIBN,2023-07-19 13:00:00+00:00,25.95,26.48,25.82,26.295,53101.0,612.0,26.157431
SIBN,2023-07-19 14:00:00+00:00,26.2635,26.28,25.24,25.3191,49164.0,1262.0,25.593806
SIBN,2023-07-19 15:00:00+00:00,25.29,25.7,25.29,25.46,41968.0,1028.0,25.518478
SIBN,2023-07-19 16:00:00+00:00,25.4482,25.5401,25.17,25.352,27022.0,702.0,25.339033
SIBN,2023-07-19 17:00:00+00:00,25.35,25.735,25.31,25.57,66054.0,1027.0,25.535009
SIBN,2023-07-19 18:00:00+00:00,25.59,25.8,25.55,25.66,35460.0,872.0,25.662865
SIBN,2023-07-19 19:00:00+00:00,25.665,25.715,25.52,25.55,101357.0,2191.0,25.600632
SIBN,2023-07-19 20:00:00+00:00,25.57,25.57,25.57,25.57,54525.0,9.0,25.569937
SIBN,2023-07-19 21:00:00+00:00,25.84,26.01,25.09,26.01,300.0,3.0,25.646667
SIBN,2023-07-20 13:00:00+00:00,25.43,25.705,25.4,25.705,14836.0,274.0,25.517329
SIBN,2023-07-20 14:00:00+00:00,25.66,25.67,25.46,25.6,12513.0,378.0,25.562533
SIBN,2023-07-20 15:00:00+00:00,25.57,25.64,25.31,25.31,13744.0,424.0,25.479776
SIBN,2023-07-20 16:00:00+00:00,25.35,25.38,25.06,25.17,13443.0,393.0,25.250147
SIBN,2023-07-20 17:00:00+00:00,25.14,25.25,25.1,25.2,13968.0,341.0,25.164478
SIBN,2023-07-20 18:00:00+00:00,25.2,25.2,25.0556,25.0556,13868.0,532.0,25.114803
SIBN,2023-07-20 19:00:00+00:00,25.055,25.065,24.94,25.04,60256.0,1567.0,25.002055
SIBN,2023-07-20 20:00:00+00:00,25.04,25.04,25.04,25.04,27110.0,5.0,25.04
SIBN,2023-07-21 13:00:00+00:00,25.0,25.44,25.0,25.44,20453.0,102.0,25.2469
SIBN,2023-07-21 14:00:00+00:00,25.36,25.415,25.13,25.175,9449.0,269.0,25.258292
SIBN,2023-07-21 15:00:00+00:00,25.16,25.25,25.15,25.18,13669.0,382.0,25.214274
SIBN,2023-07-21 16:00:00+00:00,25.18,25.21,25.07,25.15,10577.0,369.0,25.130809
SIBN,2023-07-21 17:00:00+00:00,25.135,25.32,25.13,25.3,16356.0,457.0,25.212184
SIBN,2023-07-21 18:00:00+00:00,25.27,25.28,25.06,25.12,12539.0,412.0,25.152265
SIBN,2023-07-21 19:00:00+00:00,25.08,25.17,25.02,25.08,49032.0,1316.0,25.095462
SIBN,2023-07-21 20:00:00+00:00,25.11,25.11,25.11,25.11,63685.0,5.0,25.11
SIBN,2023-07-24 13:00:00+00:00,24.97,25.19,24.7901,24.925,9255.0,190.0,25.030453
SIBN,2023-07-24 14:00:00+00:00,24.965,25.27,24.95,24.96,13888.0,254.0,25.118766
SIBN,2023-07-24 15:00:00+00:00,24.93,24.995,24.675,24.71,21218.0,480.0,24.807935
SIBN,2023-07-24 16:00:00+00:00,24.71,24.73,24.46,24.68,86225.0,997.0,24.579205
SIBN,2023-07-24 17:00:00+00:00,24.68,25.07,24.68,25.0,39106.0,716.0,24.957832
SIBN,2023-07-24 18:00:00+00:00,25.03,25.11,24.99,24.99,17815.0,444.0,25.048171
SIBN,2023-07-24 19:00:00+00:00,24.97,25.05,24.91,25.05,76528.0,1463.0,24.994422
SIBN,2023-07-24 20:00:00+00:00,25.05,25.05,25.05,25.05,31390.0,10.0,25.05
SIBN,2023-07-25 13:00:00+00:00,25.04,25.28,24.675,25.195,32524.0,516.0,25.178222
SIBN,2023-07-25 14:00:00+00:00,25.21,25.55,25.13,25.41,115030.0,1192.0,25.370737
SIBN,2023-07-25 15:00:00+00:00,25.46,25.65,25.35,25.395,47799.0,882.0,25.485737
SIBN,2023-07-25 16:00:00+00:00,25.43,25.445,24.965,24.9901,31898.0,436.0,25.313507
SIBN,2023-07-25 17:00:00+00:00,25.04,25.12,24.99,25.01,14837.0,505.0,25.030792
SIBN,2023-07-25 18:00:00+00:00,24.99,25.08,24.85,24.85,36392.0,856.0,24.956454
SIBN,2023-07-25 19:00:00+00:00,24.85,24.96,24.68,24.74,111620.0,1955.0,24.801896
SIBN,2023-07-25 20:00:00+00:00,24.74,24.74,24.74,24.74,30673.0,4.0,24.74
SIBN,2023-07-26 13:00:00+00:00,24.76,24.97,24.7409,24.77,3860.0,118.0,24.836857
SIBN,2023-07-26 14:00:00+00:00,24.84,25.21,24.7925,25.005,21906.0,582.0,25.029011
SIBN,2023-07-26 15:00:00+00:00,25.01,25.32,24.87,25.32,19812.0,626.0,25.082308
SIBN,2023-07-26 16:00:00+00:00,25.295,25.295,24.95,25.04,19935.0,605.0,25.067517
SIBN,2023-07-26 17:00:00+00:00,25.08,25.2,25.07,25.08,12406.0,300.0,25.12026
SIBN,2023-07-26 18:00:00+00:00,25.11,25.39,25.06,25.28,28459.0,784.0,25.202773
SIBN,2023-07-26 19:00:00+00:00,25.285,25.51,25.18,25.47,140486.0,2555.0,25.362586
SIBN,2023-07-26 20:00:00+00:00,25.46,25.46,25.46,25.46,52237.0,11.0,25.459924
SIBN,2023-07-27 13:00:00+00:00,25.55,25.67,25.43,25.43,4286.0,110.0,25.555339
SIBN,2023-07-27 14:00:00+00:00,25.43,25.62,25.33,25.46,15073.0,532.0,25.453528
SIBN,2023-07-27 15:00:00+00:00,25.46,25.46,25.18,25.18,9498.0,349.0,25.380818
SIBN,2023-07-27 16:00:00+00:00,25.2,25.29,25.091,25.091,12827.0,415.0,25.226163
SIBN,2023-07-27 17:00:00+00:00,25.105,25.105,24.93,25.025,15693.0,441.0,24.987954
SIBN,2023-07-27 18:00:00+00:00,25.01,25.14,24.94,25.0,29925.0,826.0,25.035742
SIBN,2023-07-27 19:00:00+00:00,24.99,25.16,24.89,25.0,67043.0,1522.0,25.01283
SIBN,2023-07-27 20:00:00+00:00,24.98,24.98,24.98,24.98,47134.0,12.0,24.98
SIBN,2023-07-28 13:00:00+00:00,25.09,25.57,25.08,25.57,7013.0,150.0,25.353461
SIBN,2023-07-28 14:00:00+00:00,25.6,25.63,25.39,25.455,21136.0,641.0,25.50367
SIBN,2023-07-28 15:00:00+00:00,25.46,25.52,25.36,25.52,9478.0,382.0,25.440087
SIBN,2023-07-28 16:00:00+00:00,25.5,25.8,25.45,25.76,43693.0,614.0,25.604796
SIBN,2023-07-28 17:00:00+00:00,25.78,25.83,25.695,25.83,16610.0,482.0,25.767797
SIBN,2023-07-28 18:00:00+00:00,25.83,25.98,25.82,25.91,22678.0,601.0,25.906427
SIBN,2023-07-28 19:00:00+00:00,25.895,25.93,25.66,25.67,57096.0,1289.0,25.785973
SIBN,2023-07-28 20:00:00+00:00,25.67,25.67,25.67,25.67,61776.0,10.0,25.67
SIBN,2023-07-31 13:00:00+00:00,25.64,25.71,25.435,25.435,4899.0,62.0,25.625518
SIBN,2023-07-31 14:00:00+00:00,25.49,26.03,25.42,25.74,29138.0,607.0,25.792249
